Date,Open,High,Low,Close,Volume
31-Dec-13,26.17,26.40,26.16,26.28,2198493
30-Dec-13,26.00,26.10,25.88,26.07,1858535
27-Dec-13,26.06,26.06,25.96,26.01,993567
26-Dec-13,26.20,26.22,25.74,26.05,1708537
24-Dec-13,25.92,26.13,25.92,26.05,816778
23-Dec-13,26.22,26.22,25.90,25.95,2548696
20-Dec-13,26.00,26.08,25.76,25.95,3484652
19-Dec-13,25.98,26.03,25.85,25.94,3236038
18-Dec-13,25.58,26.04,25.38,26.00,3471111
17-Dec-13,25.78,25.79,25.41,25.58,3342306
16-Dec-13,25.61,25.96,25.60,25.76,2492999
13-Dec-13,25.70,25.88,25.59,25.76,2609194
12-Dec-13,25.73,25.80,25.18,25.58,5898818
11-Dec-13,26.16,26.47,25.79,25.79,9779225
10-Dec-13,26.46,26.80,26.33,26.35,3290374
9-Dec-13,26.55,26.77,26.50,26.66,3314281
6-Dec-13,26.47,26.52,26.16,26.44,3747169
5-Dec-13,26.52,26.61,26.13,26.15,2399385
4-Dec-13,26.28,26.58,26.17,26.55,2509610
3-Dec-13,26.43,26.55,26.36,26.52,2285003
2-Dec-13,26.54,26.75,26.44,26.46,1924387
29-Nov-13,26.63,26.80,26.48,26.65,1111193
27-Nov-13,26.49,26.60,26.44,26.60,1362206
26-Nov-13,26.33,26.60,25.42,26.45,2154496
25-Nov-13,26.27,26.37,26.20,26.36,1904360
22-Nov-13,26.25,26.25,26.09,26.24,1941219
21-Nov-13,26.07,26.18,25.65,26.12,2687430
20-Nov-13,26.15,26.16,25.86,25.90,2668815
19-Nov-13,26.04,26.11,25.92,25.98,3218442
18-Nov-13,26.27,26.40,26.07,26.09,3775378
15-Nov-13,26.19,26.39,26.14,26.27,2017164
14-Nov-13,25.81,26.28,25.77,26.28,4839630
13-Nov-13,25.53,25.87,25.22,25.85,2627631
12-Nov-13,25.35,25.85,25.21,25.68,3049074
11-Nov-13,25.04,25.49,25.00,25.39,2926859
8-Nov-13,24.89,25.18,24.61,25.10,2624275
7-Nov-13,25.31,25.55,24.93,24.93,2775208
6-Nov-13,25.45,25.45,25.16,25.36,1771216
5-Nov-13,25.11,25.32,25.04,25.24,2339404
4-Nov-13,25.32,25.33,25.07,25.19,1579374
1-Nov-13,25.31,25.41,25.03,25.25,2323297
31-Oct-13,25.64,25.71,25.36,25.37,2558151
30-Oct-13,25.99,26.00,25.58,25.62,1349465
29-Oct-13,25.78,25.96,25.64,25.89,1894638
28-Oct-13,25.81,25.89,25.65,25.72,3126469
25-Oct-13,25.71,25.77,25.59,25.73,2021032
24-Oct-13,25.61,25.80,25.60,25.70,2622338
23-Oct-13,25.98,26.07,25.62,25.67,3426176
22-Oct-13,25.99,26.28,25.91,26.13,2738284
21-Oct-13,25.84,26.00,25.72,25.95,1991864
18-Oct-13,25.86,25.87,25.59,25.79,1835053
17-Oct-13,25.68,25.94,25.32,25.71,3145753
16-Oct-13,25.45,25.82,25.26,25.73,3875021
15-Oct-13,25.17,25.36,25.00,25.17,2799016
14-Oct-13,24.89,25.29,24.88,25.21,3118059
11-Oct-13,24.73,25.15,24.66,25.09,2100231
10-Oct-13,24.41,24.84,24.32,24.72,3236380
9-Oct-13,24.39,24.40,23.93,24.17,3319503
8-Oct-13,24.66,24.80,24.23,24.28,2748328
7-Oct-13,24.90,24.95,24.62,24.70,1617378
4-Oct-13,24.64,25.15,24.53,25.06,2431461
3-Oct-13,24.73,24.88,24.45,24.60,2869883
2-Oct-13,24.64,24.83,24.60,24.81,2478726
1-Oct-13,24.97,24.99,24.62,24.88,3148140
30-Sep-13,24.94,25.10,24.75,24.90,3270342
27-Sep-13,25.05,25.20,24.94,25.14,1460581
26-Sep-13,25.10,25.40,24.87,25.20,2134887
25-Sep-13,24.73,25.18,24.73,25.09,2244471
24-Sep-13,24.87,25.14,24.72,24.98,2778192
23-Sep-13,24.92,24.92,24.61,24.82,2062158
20-Sep-13,25.26,25.35,25.05,25.07,3988388
19-Sep-13,25.40,25.49,25.20,25.31,4518898
18-Sep-13,24.92,25.38,24.83,25.29,3081293
17-Sep-13,24.77,24.98,24.73,24.93,1923805
16-Sep-13,24.98,25.00,24.74,24.83,2010973
13-Sep-13,24.90,24.92,24.69,24.77,1547265
12-Sep-13,24.93,24.97,24.81,24.90,1854027
11-Sep-13,24.76,24.96,24.68,24.94,3466858
10-Sep-13,24.78,24.90,24.63,24.76,1915034
9-Sep-13,24.24,24.69,24.16,24.69,2699393
6-Sep-13,24.36,24.36,23.88,24.15,2431718
5-Sep-13,24.31,24.52,24.12,24.17,2870564
4-Sep-13,24.11,24.37,24.04,24.20,3897816
3-Sep-13,24.36,24.36,24.08,24.33,1804295
30-Aug-13,24.15,24.24,23.89,23.99,1781590
29-Aug-13,23.95,24.30,23.86,24.08,1902268
28-Aug-13,23.96,24.11,23.84,23.98,3022563
27-Aug-13,24.56,24.57,23.90,23.98,3244795
26-Aug-13,25.10,25.11,24.75,24.76,2277333
23-Aug-13,24.94,25.07,24.57,25.00,2193008
22-Aug-13,24.76,25.10,24.71,24.96,1054277
21-Aug-13,24.83,24.94,24.61,24.72,1625314
20-Aug-13,24.52,24.96,24.29,24.84,2011876
19-Aug-13,24.69,24.94,24.49,24.50,2920455
16-Aug-13,24.53,25.02,24.41,24.82,2773945
15-Aug-13,24.58,24.77,24.20,24.64,2320992
14-Aug-13,24.97,25.08,24.85,24.98,2789681
13-Aug-13,24.78,25.17,24.69,25.00,5336625
12-Aug-13,24.71,24.82,24.54,24.79,1307363
9-Aug-13,24.79,24.91,24.55,24.73,1949822
8-Aug-13,24.67,24.98,24.56,24.84,2043806
7-Aug-13,24.74,24.74,24.22,24.49,3884661
6-Aug-13,25.00,25.00,24.62,24.76,3211877
5-Aug-13,24.99,25.20,24.86,25.06,3584638
2-Aug-13,24.98,25.08,24.85,24.99,2770255
1-Aug-13,24.87,25.06,24.78,24.98,6634059
31-Jul-13,24.59,24.93,24.42,24.71,5573176
30-Jul-13,24.05,24.71,23.97,24.53,5696327
29-Jul-13,24.18,24.18,23.83,24.00,1665162
26-Jul-13,24.32,24.37,24.12,24.16,1561598
25-Jul-13,24.68,24.99,24.28,24.43,2421415
24-Jul-13,24.82,24.90,24.52,24.56,2277246
23-Jul-13,25.05,25.06,24.74,24.79,4297748
22-Jul-13,24.52,24.90,24.50,24.86,3939268
19-Jul-13,24.67,24.67,24.24,24.54,4199337
18-Jul-13,24.31,25.14,23.87,24.44,9522795
17-Jul-13,23.50,23.61,23.38,23.41,2430150
16-Jul-13,23.60,23.74,23.34,23.41,2790597
15-Jul-13,23.50,23.59,23.41,23.54,2677765
12-Jul-13,23.32,23.45,23.10,23.40,2736773
11-Jul-13,23.50,23.50,23.19,23.35,2438314
10-Jul-13,23.29,23.39,23.09,23.25,2079164
9-Jul-13,23.30,23.39,23.02,23.27,3115936
8-Jul-13,23.10,23.18,23.04,23.07,2281858
5-Jul-13,22.93,23.24,22.83,22.99,1678260
3-Jul-13,22.82,22.94,22.69,22.89,2462462
2-Jul-13,22.96,23.09,22.90,22.99,3153880
1-Jul-13,22.98,23.20,22.86,23.00,2144364
28-Jun-13,23.00,23.00,22.65,22.86,3853305
27-Jun-13,23.11,23.16,22.98,22.99,2411945
26-Jun-13,22.97,23.11,22.70,22.97,2591478
25-Jun-13,22.15,22.96,22.15,22.92,3822133
24-Jun-13,21.99,22.17,21.90,22.05,3478214
21-Jun-13,22.67,22.67,22.15,22.36,6128623
20-Jun-13,22.76,22.97,22.47,22.48,4167324
19-Jun-13,23.09,23.28,22.89,22.91,3103277
18-Jun-13,22.92,23.25,22.92,23.13,3849693
17-Jun-13,23.18,23.91,22.84,23.01,3825775
14-Jun-13,23.32,23.35,22.84,22.98,7649575
13-Jun-13,23.30,23.34,23.19,23.26,7209770
12-Jun-13,23.58,23.58,23.27,23.34,2748857
11-Jun-13,23.31,23.52,23.19,23.36,5365423
10-Jun-13,23.60,23.73,23.44,23.49,5642862
7-Jun-13,23.84,23.88,23.47,23.56,4703460
6-Jun-13,23.47,23.76,23.35,23.75,3523991
5-Jun-13,23.58,23.74,23.40,23.54,3578179
4-Jun-13,23.96,24.12,23.75,23.84,5713084
3-Jun-13,23.84,24.10,23.57,23.96,4878087
31-May-13,23.99,24.24,23.70,23.74,4656034
30-May-13,23.50,24.32,23.42,24.04,8093206
29-May-13,25.09,26.17,23.40,23.48,12315075
28-May-13,23.00,23.14,22.90,22.98,3590798
24-May-13,22.55,22.81,22.45,22.79,2301948
23-May-13,22.81,22.90,22.60,22.65,3810452
22-May-13,22.87,23.14,22.77,22.90,3458072
21-May-13,22.87,23.01,22.79,22.90,2926590
20-May-13,22.76,22.94,22.69,22.86,2792647
17-May-13,22.50,22.78,22.25,22.74,3907819
16-May-13,22.37,22.55,22.20,22.38,4172994
15-May-13,21.54,22.40,21.50,22.38,4404768
14-May-13,21.08,21.64,21.08,21.56,2429858
13-May-13,21.09,21.17,20.92,21.05,1483512
10-May-13,21.27,21.30,20.90,21.16,1967513
9-May-13,21.38,21.42,21.03,21.31,2115162
8-May-13,21.29,21.43,20.98,21.39,2001989
7-May-13,21.23,21.38,21.01,21.34,1352654
6-May-13,20.99,21.18,20.91,21.14,1647250
3-May-13,21.11,21.25,20.82,20.96,2379209
2-May-13,20.66,20.99,20.66,20.99,1421562
1-May-13,20.57,20.89,20.53,20.57,1801225
30-Apr-13,20.51,20.66,20.18,20.65,2328551
29-Apr-13,20.55,20.65,20.38,20.53,2347372
26-Apr-13,20.83,20.85,20.42,20.52,2262304
25-Apr-13,20.79,21.00,20.68,20.80,1928308
24-Apr-13,20.42,20.79,20.34,20.68,2319998
23-Apr-13,20.31,20.48,19.79,20.40,4730622
22-Apr-13,20.33,20.68,20.10,20.63,2301495
19-Apr-13,19.97,20.38,19.68,20.32,2942334
18-Apr-13,20.07,20.69,19.55,19.76,5780881
17-Apr-13,20.70,20.78,20.36,20.37,4901690
16-Apr-13,20.57,20.85,20.38,20.82,2758579
15-Apr-13,20.88,21.02,20.62,20.63,3873793
12-Apr-13,20.75,21.02,20.62,20.92,2897545
11-Apr-13,20.40,20.89,20.33,20.78,3321948
10-Apr-13,20.21,20.50,20.17,20.36,2129875
9-Apr-13,19.99,20.37,19.92,20.23,2074879
8-Apr-13,19.84,19.92,19.64,19.91,1429384
5-Apr-13,19.47,19.84,19.32,19.80,2492879
4-Apr-13,19.60,19.88,19.57,19.63,4584595
3-Apr-13,20.21,20.32,19.50,19.60,4954227
2-Apr-13,20.18,20.34,20.09,20.18,2571933
1-Apr-13,20.50,20.50,20.04,20.09,2376260
28-Mar-13,20.27,20.50,20.12,20.50,3023819
27-Mar-13,20.15,20.39,20.14,20.28,1654960
26-Mar-13,20.27,20.42,20.08,20.29,2367153
25-Mar-13,20.42,20.47,20.04,20.11,2757069
22-Mar-13,20.07,20.35,20.06,20.31,3943997
21-Mar-13,19.87,20.19,19.79,20.07,3973878
20-Mar-13,19.93,20.16,19.86,19.93,2921028
19-Mar-13,20.16,20.25,19.58,19.86,3008555
18-Mar-13,19.72,20.16,19.62,20.13,4054772
15-Mar-13,19.80,19.95,19.65,19.92,5578990
14-Mar-13,19.87,20.04,19.81,19.90,2917699
13-Mar-13,19.68,19.89,19.66,19.80,3214216
12-Mar-13,19.50,19.79,19.21,19.74,4835405
11-Mar-13,18.97,19.41,18.96,19.41,5347394
8-Mar-13,19.50,19.59,18.84,19.07,11503798
7-Mar-13,19.60,19.67,19.27,19.37,4108230
6-Mar-13,19.48,19.74,19.42,19.58,3360624
5-Mar-13,19.76,20.13,19.52,19.65,3877408
4-Mar-13,19.68,19.87,19.45,19.62,5549900
1-Mar-13,18.83,19.78,18.80,19.77,7163877
28-Feb-13,18.98,19.24,18.96,18.97,3176084
27-Feb-13,18.54,18.99,18.38,18.91,3280577
26-Feb-13,18.85,18.94,18.52,18.67,4136263
25-Feb-13,19.06,19.20,18.72,18.77,4323387
22-Feb-13,19.01,19.08,18.69,18.90,3739155
21-Feb-13,19.08,19.17,18.85,18.90,3790503
20-Feb-13,19.17,19.40,19.06,19.13,5184448
19-Feb-13,18.82,19.27,18.82,19.20,3176626
15-Feb-13,19.01,19.12,18.88,18.96,3416409
14-Feb-13,18.40,19.04,18.36,18.94,4208652
13-Feb-13,18.27,18.84,18.27,18.38,3768014
12-Feb-13,18.43,18.46,18.23,18.27,2617251
11-Feb-13,18.60,18.66,18.29,18.36,4945299
8-Feb-13,17.92,18.69,17.92,18.66,5931477
7-Feb-13,18.00,18.18,17.61,17.91,4761340
6-Feb-13,17.22,17.87,17.17,17.83,5355322
5-Feb-13,17.05,17.18,16.98,17.16,4111009
4-Feb-13,16.93,17.06,16.85,17.00,4851102
1-Feb-13,17.00,17.10,16.82,17.07,3354514
31-Jan-13,16.80,16.93,16.64,16.89,4390958
30-Jan-13,16.84,16.86,16.66,16.77,4750044
29-Jan-13,16.70,16.92,16.70,16.88,2384665
28-Jan-13,16.96,16.96,16.66,16.75,1593881
25-Jan-13,16.95,16.96,16.75,16.90,1437000
24-Jan-13,16.99,17.08,16.77,16.90,2350137
23-Jan-13,16.90,17.00,16.76,16.97,2321764
22-Jan-13,16.78,16.92,16.57,16.92,3421417
18-Jan-13,16.83,16.93,16.64,16.88,4786487
17-Jan-13,17.12,17.24,16.73,16.82,9328092
16-Jan-13,17.68,17.68,17.24,17.30,4222489
15-Jan-13,17.31,17.38,17.23,17.33,2437793
14-Jan-13,17.39,17.46,17.25,17.36,1450697
11-Jan-13,17.74,17.74,17.34,17.37,3942012
10-Jan-13,17.66,17.70,17.44,17.64,3738326
9-Jan-13,17.43,17.64,17.43,17.56,2349405
8-Jan-13,17.37,17.48,17.35,17.44,2632277
7-Jan-13,17.39,17.52,17.30,17.39,1691372
4-Jan-13,17.33,17.55,17.28,17.50,2019922
3-Jan-13,17.40,17.49,17.32,17.35,1933294
2-Jan-13,17.43,17.50,17.24,17.40,2244626
31-Dec-12,16.81,17.17,16.70,17.13,2862656
28-Dec-12,16.67,16.87,16.63,16.80,2144130
27-Dec-12,16.78,16.85,16.61,16.77,1687133
26-Dec-12,16.85,16.88,16.71,16.72,1513947
24-Dec-12,16.98,17.00,16.76,16.79,1009833
21-Dec-12,16.63,16.86,16.47,16.82,8047658
20-Dec-12,16.86,16.94,16.62,16.82,3872544
19-Dec-12,17.19,17.29,16.87,16.87,2321052
18-Dec-12,17.17,17.21,16.98,17.21,3374877
17-Dec-12,16.81,17.13,16.76,17.11,3881876
14-Dec-12,16.90,16.90,16.60,16.69,3687088
13-Dec-12,17.16,17.19,16.88,16.89,3660375
12-Dec-12,17.39,17.41,17.05,17.08,4019600
11-Dec-12,17.28,17.46,17.17,17.32,3102600
10-Dec-12,16.91,17.24,16.81,17.15,3429136
7-Dec-12,17.07,17.10,16.77,16.90,4467026
6-Dec-12,16.87,17.14,16.82,17.00,3755834
5-Dec-12,16.69,17.03,16.62,16.84,4321167
4-Dec-12,16.45,16.67,16.44,16.64,2493807
3-Dec-12,16.60,16.64,16.46,16.49,3096045
30-Nov-12,16.84,16.94,16.49,16.55,7367460
29-Nov-12,17.16,17.20,16.69,16.79,3223237
28-Nov-12,16.65,17.09,16.62,17.05,4226671
27-Nov-12,16.69,16.88,16.63,16.74,2892393
26-Nov-12,16.94,17.00,16.67,16.74,2491256
23-Nov-12,16.95,17.07,16.79,17.05,716542
21-Nov-12,16.92,16.92,16.74,16.89,1933853
20-Nov-12,16.90,16.97,16.68,16.85,2632771
19-Nov-12,16.94,16.98,16.76,16.96,2519443
16-Nov-12,16.57,16.79,16.46,16.74,2452353
15-Nov-12,16.60,16.66,16.35,16.53,3596488
14-Nov-12,16.89,17.00,16.48,16.56,2604522
13-Nov-12,16.78,16.97,16.68,16.79,3315796
12-Nov-12,16.94,17.19,16.69,16.80,2409959
9-Nov-12,16.89,17.15,16.82,16.85,2993376
8-Nov-12,17.15,17.33,16.83,16.84,3704670
7-Nov-12,17.12,17.33,16.71,17.11,6872305
6-Nov-12,17.71,17.82,17.69,17.75,3884505
5-Nov-12,17.58,17.99,17.49,17.68,3714245
2-Nov-12,17.76,17.94,17.61,17.68,4513652
1-Nov-12,17.67,17.80,17.43,17.70,5782169
31-Oct-12,17.62,17.65,17.28,17.58,3529372
26-Oct-12,17.45,17.64,17.40,17.49,3636253
25-Oct-12,17.28,17.58,17.25,17.54,3852948
24-Oct-12,16.97,17.30,16.92,17.14,4264666
23-Oct-12,16.48,16.85,16.42,16.79,4290381
22-Oct-12,16.52,16.74,16.45,16.69,3289128
19-Oct-12,16.79,17.00,16.47,16.60,3142892
18-Oct-12,16.99,17.00,16.80,16.96,5611189
17-Oct-12,17.20,17.25,16.97,17.16,5009337
16-Oct-12,17.22,17.36,17.09,17.13,4387957
15-Oct-12,17.13,17.15,16.98,17.10,2445226
12-Oct-12,17.22,17.31,16.76,17.00,3496861
11-Oct-12,16.87,17.40,16.78,17.31,4281201
10-Oct-12,16.63,16.71,16.44,16.66,1928101
9-Oct-12,16.81,16.91,16.60,16.64,2167874
8-Oct-12,16.50,16.79,16.47,16.77,1331126
5-Oct-12,16.80,16.87,16.50,16.67,3531354
4-Oct-12,16.37,16.89,16.37,16.68,3454467
3-Oct-12,16.24,16.32,16.07,16.29,2531608
2-Oct-12,16.13,16.29,16.03,16.19,2804561
1-Oct-12,15.82,16.06,15.75,15.98,3280448
28-Sep-12,15.73,15.86,15.63,15.72,3225533
27-Sep-12,15.77,15.92,15.56,15.83,3396500
26-Sep-12,16.09,16.11,15.73,15.74,2478805
25-Sep-12,16.54,16.54,16.03,16.04,2621165
24-Sep-12,16.24,16.61,16.16,16.44,3829206
21-Sep-12,16.54,16.57,16.25,16.29,5114878
20-Sep-12,16.59,16.59,16.30,16.46,3405115
19-Sep-12,16.56,16.73,16.48,16.64,3258744
18-Sep-12,16.60,16.63,16.34,16.57,2092022
17-Sep-12,16.72,16.84,16.50,16.59,2025201
14-Sep-12,16.58,16.94,16.42,16.78,2632362
13-Sep-12,16.27,16.71,16.18,16.59,3428902
12-Sep-12,16.20,16.37,16.17,16.28,1743886
11-Sep-12,16.01,16.20,15.86,16.16,2011459
10-Sep-12,15.96,16.11,15.88,15.95,1618796
7-Sep-12,15.85,16.11,15.77,15.94,1881786
6-Sep-12,15.55,15.86,15.40,15.78,2850699
5-Sep-12,15.67,15.67,15.33,15.48,3265316
4-Sep-12,15.75,15.88,15.56,15.82,2860387
31-Aug-12,15.67,15.86,15.63,15.75,2840080
30-Aug-12,15.60,15.62,15.44,15.53,1452939
29-Aug-12,15.75,15.80,15.58,15.70,1153924
28-Aug-12,15.68,15.83,15.61,15.72,1495942
27-Aug-12,15.87,15.92,15.69,15.72,2191298
24-Aug-12,15.65,15.86,15.59,15.82,1789460
23-Aug-12,15.80,15.82,15.62,15.71,1472144
22-Aug-12,15.73,15.87,15.55,15.81,3839500
21-Aug-12,15.92,15.98,15.66,15.70,4868246
20-Aug-12,16.01,16.03,15.86,15.97,3382882
17-Aug-12,16.11,16.14,15.95,16.03,2913119
16-Aug-12,16.28,16.35,16.06,16.08,2954598
15-Aug-12,16.11,16.41,16.04,16.25,2836615
14-Aug-12,16.17,16.24,16.00,16.06,1389782
13-Aug-12,16.07,16.13,15.94,16.12,1623081
10-Aug-12,15.94,16.18,15.83,16.12,1496969
9-Aug-12,16.02,16.08,15.93,15.99,2350993
8-Aug-12,15.94,16.10,15.90,16.05,2394802
7-Aug-12,15.75,16.15,15.75,16.02,1990409
6-Aug-12,16.14,16.18,15.83,15.83,3052987
3-Aug-12,15.85,16.22,15.78,16.02,3117166
2-Aug-12,15.62,15.84,15.40,15.54,3822912
1-Aug-12,16.12,16.12,15.68,15.73,4048322
31-Jul-12,15.98,16.11,15.67,15.99,6361494
30-Jul-12,16.05,16.22,15.99,16.04,3768318
27-Jul-12,16.01,16.25,15.73,16.11,5465404
26-Jul-12,15.92,15.99,15.69,15.96,6374371
25-Jul-12,15.32,15.77,15.19,15.63,5094158
24-Jul-12,15.45,15.56,15.16,15.30,5333437
23-Jul-12,15.61,15.61,15.13,15.45,6433904
20-Jul-12,15.29,16.26,15.07,15.69,13084023
19-Jul-12,15.95,15.95,15.14,15.20,20868576
18-Jul-12,16.09,16.25,15.98,16.04,4367977
17-Jul-12,16.42,16.44,15.96,16.17,4818235
16-Jul-12,16.25,16.39,16.19,16.38,2564003
13-Jul-12,16.04,16.36,16.04,16.32,3048220
12-Jul-12,16.09,16.10,15.90,16.01,3299463
11-Jul-12,16.02,16.28,15.99,16.20,5701771
10-Jul-12,16.39,16.43,15.95,16.04,5253993
9-Jul-12,16.26,16.32,16.03,16.25,3045982
6-Jul-12,15.83,16.30,15.83,16.28,4282934
5-Jul-12,15.99,16.14,15.88,16.02,2812711
3-Jul-12,16.02,16.08,15.97,16.02,1840394
2-Jul-12,15.79,16.04,15.75,15.98,4368181
29-Jun-12,15.59,15.80,15.49,15.71,4376915
28-Jun-12,15.03,15.32,15.01,15.29,3281298
27-Jun-12,14.77,15.30,14.74,15.20,4903376
26-Jun-12,14.96,15.03,14.57,14.70,6889903
25-Jun-12,14.93,15.11,14.84,14.97,3551208
22-Jun-12,14.97,15.26,14.88,15.15,3619403
21-Jun-12,15.12,15.18,14.80,14.81,3300638
20-Jun-12,15.24,15.24,14.92,15.05,4678864
19-Jun-12,15.17,15.40,15.09,15.30,3643689
18-Jun-12,14.92,15.18,14.90,15.03,3546917
15-Jun-12,14.60,15.07,14.37,15.01,8878553
14-Jun-12,14.29,14.63,14.29,14.53,3987957
13-Jun-12,14.40,14.65,14.24,14.28,3163353
12-Jun-12,14.26,14.51,14.18,14.51,3409094
11-Jun-12,14.67,14.85,14.16,14.19,3869414
8-Jun-12,14.30,14.55,14.21,14.53,3350238
7-Jun-12,14.80,14.93,14.25,14.29,4602436
6-Jun-12,14.18,14.56,14.16,14.56,3604750
5-Jun-12,13.70,14.14,13.70,14.10,3315889
4-Jun-12,13.71,13.85,13.66,13.79,3925634
1-Jun-12,13.66,13.85,13.66,13.68,4351752
31-May-12,14.12,14.15,13.82,13.97,4784011
30-May-12,13.89,14.13,13.79,14.04,6479294
29-May-12,13.65,13.83,13.65,13.80,3399526
25-May-12,13.53,13.68,13.50,13.57,2955121
24-May-12,13.38,13.56,13.31,13.56,4724771
23-May-12,13.23,13.43,13.08,13.31,5147960
22-May-12,13.36,13.68,13.25,13.37,3985198
21-May-12,12.93,13.31,12.91,13.27,2904904
18-May-12,13.04,13.13,12.84,12.89,3440629
17-May-12,13.24,13.30,12.96,12.96,3808744
16-May-12,13.60,13.74,13.20,13.20,3872259
15-May-12,13.65,13.80,13.53,13.55,4036523
14-May-12,13.51,13.74,13.50,13.62,4098727
11-May-12,13.72,13.92,13.60,13.70,2531429
10-May-12,14.02,14.02,13.80,13.88,2769050
9-May-12,13.56,13.94,13.50,13.86,3851306
8-May-12,13.79,13.90,13.50,13.73,5702502
7-May-12,13.83,14.03,13.79,13.92,2429226
4-May-12,14.15,14.19,13.87,13.88,3302095
3-May-12,14.45,14.51,14.13,14.20,3799955
2-May-12,14.69,14.75,14.43,14.45,2408555
1-May-12,14.85,15.01,14.73,14.75,3111631
30-Apr-12,14.85,14.86,14.68,14.83,4793338
27-Apr-12,14.95,14.98,14.76,14.86,2321004
26-Apr-12,14.83,14.92,14.69,14.86,5053991
25-Apr-12,15.05,15.09,14.80,14.85,4662890
24-Apr-12,14.96,15.02,14.86,14.97,4303191
23-Apr-12,14.95,15.00,14.76,14.92,4539053
20-Apr-12,14.96,15.13,14.83,15.08,3881370
19-Apr-12,15.06,15.14,14.64,14.90,4226235
18-Apr-12,14.95,15.17,14.82,14.95,3642166
17-Apr-12,15.00,15.16,14.88,15.06,2491944
16-Apr-12,14.94,15.15,14.80,14.84,3671885
13-Apr-12,15.17,15.21,14.82,14.85,4968804
12-Apr-12,14.98,15.23,14.94,15.22,2779540
11-Apr-12,15.05,15.11,14.87,14.93,6848634
10-Apr-12,15.02,15.39,14.85,14.85,6022266
9-Apr-12,15.02,15.23,14.93,15.13,2689964
5-Apr-12,15.36,15.52,15.24,15.26,4550878
4-Apr-12,15.69,15.73,15.45,15.45,3008293
3-Apr-12,15.73,15.88,15.61,15.84,6618257
2-Apr-12,15.70,15.96,15.61,15.81,4385899
30-Mar-12,15.97,15.98,15.63,15.76,3358533
29-Mar-12,15.77,15.90,15.69,15.85,3990430
28-Mar-12,15.98,16.05,15.47,15.86,7921915
27-Mar-12,16.29,16.30,15.99,16.02,4107906
26-Mar-12,16.32,16.54,16.22,16.29,4578187
23-Mar-12,16.05,16.22,16.02,16.12,1768430
22-Mar-12,16.10,16.26,16.01,16.03,2761498
21-Mar-12,16.51,16.58,16.17,16.29,1888541
20-Mar-12,16.38,16.58,16.22,16.47,2339277
19-Mar-12,16.24,16.63,16.16,16.50,3443796
16-Mar-12,16.20,16.35,16.14,16.27,4199180
15-Mar-12,16.16,16.29,16.03,16.15,6594333
14-Mar-12,16.89,16.89,16.07,16.10,5673633
13-Mar-12,16.40,16.67,16.37,16.57,3808592
12-Mar-12,16.33,16.35,16.21,16.27,2094792
9-Mar-12,16.21,16.36,16.02,16.36,3108042
8-Mar-12,16.08,16.20,15.90,16.16,2810307
7-Mar-12,15.81,16.06,15.68,15.97,4007552
6-Mar-12,15.75,15.89,15.56,15.64,3119139
5-Mar-12,16.08,16.10,15.86,15.98,2548224
2-Mar-12,16.20,16.32,16.06,16.11,3103558
1-Mar-12,15.84,16.37,15.84,16.24,3208057
