Date,Open,High,Low,Close,Volume
31-Dec-13,44.85,45.50,44.83,45.49,13605
30-Dec-13,44.75,45.00,44.51,44.89,4699
27-Dec-13,44.84,44.95,44.55,44.95,4915
26-Dec-13,45.00,45.00,44.67,44.82,7306
24-Dec-13,45.02,45.24,44.65,44.67,3251
23-Dec-13,44.60,45.45,44.60,45.40,12250
20-Dec-13,44.51,45.00,44.50,44.50,8535
19-Dec-13,44.68,44.70,44.02,44.40,4187
18-Dec-13,44.47,44.70,44.11,44.70,5239
17-Dec-13,43.43,44.31,43.00,44.31,20078
16-Dec-13,44.60,44.70,43.45,43.77,9325
13-Dec-13,44.20,44.95,44.00,44.65,2389
12-Dec-13,44.50,44.84,44.25,44.74,8975
11-Dec-13,44.90,45.00,44.85,44.85,1102
10-Dec-13,45.15,45.16,44.01,44.50,7738
9-Dec-13,45.60,45.84,45.15,45.15,5557
6-Dec-13,45.90,45.95,45.15,45.15,7403
5-Dec-13,45.85,46.25,45.84,45.84,2481
4-Dec-13,46.00,46.22,45.80,46.00,3051
3-Dec-13,46.70,46.70,46.01,46.02,1800
2-Dec-13,46.00,46.96,46.00,46.38,3100
29-Nov-13,46.30,46.30,46.30,46.30,149
27-Nov-13,46.39,47.49,46.39,47.45,2890
26-Nov-13,46.49,46.49,46.16,46.35,2575
25-Nov-13,46.40,46.44,46.06,46.06,2549
22-Nov-13,46.39,46.39,46.06,46.39,2310
21-Nov-13,46.23,46.23,45.80,45.80,2294
20-Nov-13,46.50,46.54,46.00,46.01,9053
19-Nov-13,46.25,47.00,46.20,47.00,2312
18-Nov-13,46.00,46.74,46.00,46.00,3395
15-Nov-13,46.41,46.50,45.40,46.50,17571
14-Nov-13,46.69,46.69,45.82,45.85,3884
13-Nov-13,46.65,47.15,46.65,46.69,4530
12-Nov-13,46.35,47.00,46.35,47.00,523
11-Nov-13,46.35,47.86,46.35,47.50,3872
8-Nov-13,47.89,47.90,46.50,46.50,7331
7-Nov-13,47.41,47.94,47.30,47.94,2080
6-Nov-13,47.35,47.35,47.35,47.35,221
5-Nov-13,47.00,47.71,47.00,47.33,2729
4-Nov-13,47.22,47.25,47.20,47.23,1912
1-Nov-13,47.14,48.00,47.14,47.75,3772
31-Oct-13,47.98,47.98,47.00,47.34,5466
30-Oct-13,46.89,48.00,46.71,47.84,3275
29-Oct-13,46.57,47.19,46.57,47.08,2011
28-Oct-13,46.60,47.50,46.60,47.50,1435
25-Oct-13,46.55,47.00,46.55,47.00,1255
24-Oct-13,46.69,46.75,46.69,46.75,900
23-Oct-13,47.47,47.47,46.90,46.94,1250
22-Oct-13,46.89,48.00,46.61,47.75,5300
21-Oct-13,46.99,47.00,46.92,47.00,3150
18-Oct-13,47.45,47.65,47.35,47.45,3695
17-Oct-13,47.01,47.94,47.00,47.65,12389
16-Oct-13,47.16,47.77,47.16,47.65,8180
15-Oct-13,47.00,47.50,47.00,47.40,2562
14-Oct-13,46.93,47.65,46.80,46.80,2400
11-Oct-13,47.55,47.55,47.01,47.25,500
10-Oct-13,47.00,47.10,46.05,47.05,141155
9-Oct-13,46.44,47.07,46.44,46.51,900
8-Oct-13,46.80,46.82,46.51,46.81,5435
7-Oct-13,46.50,47.00,46.50,47.00,2653
4-Oct-13,46.00,47.00,46.00,46.59,5449
3-Oct-13,46.80,47.00,46.31,47.00,1416
2-Oct-13,47.13,47.20,47.10,47.10,3600
1-Oct-13,47.41,47.45,46.80,47.01,1220
30-Sep-13,47.83,47.83,47.83,47.83,130
27-Sep-13,47.00,47.17,46.60,46.60,3190
25-Sep-13,45.90,47.60,45.90,46.51,9972
24-Sep-13,46.88,46.88,45.86,45.96,2471
23-Sep-13,45.84,46.98,45.78,46.12,3755
20-Sep-13,46.04,46.26,45.67,45.84,2650
19-Sep-13,46.21,46.50,45.85,46.17,6150
18-Sep-13,45.68,46.00,45.67,45.90,2431
17-Sep-13,45.86,46.40,45.62,45.85,2941
16-Sep-13,46.56,46.56,46.20,46.20,1000
13-Sep-13,46.75,46.75,45.77,46.10,3000
12-Sep-13,46.71,46.75,46.39,46.68,2805
11-Sep-13,46.19,46.68,46.10,46.68,800
10-Sep-13,46.65,46.65,45.56,46.20,3450
9-Sep-13,46.66,46.75,46.17,46.17,1100
6-Sep-13,46.20,46.66,46.20,46.66,6790
5-Sep-13,45.57,46.20,45.56,46.20,2200
4-Sep-13,45.29,45.89,45.29,45.89,3218
3-Sep-13,45.90,45.90,45.70,45.70,1100
30-Aug-13,45.57,45.99,45.57,45.67,3215
29-Aug-13,45.99,45.99,45.10,45.10,7100
28-Aug-13,46.43,46.99,45.67,45.93,8833
27-Aug-13,46.79,47.02,46.45,46.97,2019
26-Aug-13,47.74,47.74,47.01,47.25,1085
23-Aug-13,47.21,47.24,47.01,47.01,900
22-Aug-13,45.79,46.24,45.76,46.24,1954
21-Aug-13,46.30,46.77,45.10,45.33,5008
20-Aug-13,46.01,48.00,46.01,46.45,2898
19-Aug-13,47.50,47.50,46.08,46.37,8927
16-Aug-13,47.74,48.09,47.55,47.64,2195
15-Aug-13,48.00,48.00,47.47,47.96,3907
14-Aug-13,48.21,48.21,48.10,48.11,1909
13-Aug-13,48.50,48.70,48.50,48.50,1355
12-Aug-13,48.00,48.50,48.00,48.50,1245
9-Aug-13,48.26,48.28,48.25,48.25,650
8-Aug-13,48.25,48.35,48.25,48.35,1078
7-Aug-13,48.74,48.91,48.38,48.51,4170
6-Aug-13,48.75,48.77,48.74,48.74,844
5-Aug-13,48.64,48.80,48.40,48.75,3350
2-Aug-13,48.52,49.00,48.16,48.40,5730
1-Aug-13,49.00,49.00,48.59,48.65,1005
31-Jul-13,49.20,49.20,48.75,48.75,2684
30-Jul-13,49.23,49.23,48.75,48.95,2851
29-Jul-13,48.75,49.29,48.75,48.79,2150
26-Jul-13,48.75,48.90,48.75,48.78,2648
25-Jul-13,48.73,48.95,48.73,48.78,10180
24-Jul-13,48.77,48.77,48.42,48.51,1609
23-Jul-13,49.12,49.29,48.36,48.36,2988
22-Jul-13,48.90,49.08,48.88,49.00,4400
19-Jul-13,48.52,48.90,48.52,48.66,2200
18-Jul-13,48.90,48.90,48.50,48.88,1421
17-Jul-13,48.99,48.99,48.11,48.70,4837
16-Jul-13,49.40,49.68,49.32,49.50,9807
15-Jul-13,49.05,49.90,49.05,49.33,9336
12-Jul-13,49.55,49.76,49.55,49.76,3788
11-Jul-13,49.09,49.76,49.05,49.62,12586
10-Jul-13,49.00,49.35,48.98,49.05,67595
9-Jul-13,49.47,49.47,49.22,49.35,2286
8-Jul-13,49.50,49.50,48.36,49.04,3400
5-Jul-13,50.13,50.20,49.25,49.50,8150
3-Jul-13,49.75,49.90,49.40,49.90,45197
2-Jul-13,49.50,49.60,49.49,49.50,14691
1-Jul-13,49.90,49.90,49.45,49.55,5458
28-Jun-13,49.63,49.90,48.52,49.49,5712
27-Jun-13,49.53,49.59,48.47,49.50,11634
26-Jun-13,48.59,49.24,48.59,49.22,17683
25-Jun-13,47.75,48.82,47.70,48.54,3873
24-Jun-13,48.52,48.52,46.61,47.70,9298
21-Jun-13,49.50,49.50,48.33,49.08,4840
20-Jun-13,49.20,49.84,48.90,49.05,4905
19-Jun-13,49.88,49.90,49.20,49.66,3190
18-Jun-13,49.50,49.80,49.16,49.20,1957
17-Jun-13,49.11,49.90,49.10,49.90,6260
14-Jun-13,49.10,49.79,49.00,49.19,16768
13-Jun-13,49.36,49.89,49.10,49.20,26731
12-Jun-13,49.88,49.88,49.29,49.70,18243
11-Jun-13,49.25,49.51,49.24,49.38,3125
10-Jun-13,49.90,49.90,49.26,49.77,3314
7-Jun-13,49.82,49.90,49.63,49.90,4065
6-Jun-13,49.10,49.84,49.10,49.83,4891
5-Jun-13,49.93,49.93,48.82,49.19,5566
4-Jun-13,48.92,49.95,48.92,49.93,31565
3-Jun-13,50.00,50.07,49.24,49.60,19630
31-May-13,50.05,50.05,49.96,50.00,20575
30-May-13,49.98,50.44,49.70,50.21,23766
29-May-13,50.49,50.49,49.02,49.98,31468
28-May-13,50.15,50.23,50.15,50.22,430
24-May-13,50.13,50.48,50.13,50.45,1895
23-May-13,50.15,50.24,50.14,50.24,2356
22-May-13,50.13,50.60,50.13,50.21,4338
21-May-13,50.25,50.45,50.20,50.32,3017
20-May-13,50.67,50.67,50.30,50.30,2700
17-May-13,50.78,50.99,50.27,50.46,2050
16-May-13,50.45,50.45,50.35,50.45,800
15-May-13,50.25,50.60,50.25,50.60,3873
14-May-13,50.30,50.30,50.08,50.30,2073
13-May-13,50.22,50.41,50.22,50.38,1932
10-May-13,50.32,50.38,50.18,50.28,2077
9-May-13,50.37,50.38,50.20,50.35,6200
8-May-13,50.40,50.40,50.05,50.38,4834
7-May-13,50.20,50.32,50.02,50.21,8050
6-May-13,50.38,50.38,50.00,50.15,5500
3-May-13,50.41,50.41,50.05,50.06,4941
2-May-13,50.15,50.15,49.87,50.10,7629
1-May-13,49.99,50.41,49.99,50.10,4154
30-Apr-13,50.20,50.20,49.83,49.92,5522
29-Apr-13,50.17,50.47,50.01,50.01,3300
26-Apr-13,50.10,50.10,50.03,50.03,900
25-Apr-13,50.39,50.39,50.00,50.00,12231
24-Apr-13,50.00,50.09,50.00,50.00,1218
23-Apr-13,50.10,50.10,49.97,49.97,2008
22-Apr-13,49.90,50.12,49.78,49.86,7386
19-Apr-13,49.96,50.11,49.70,49.70,900
18-Apr-13,49.95,50.10,49.95,49.96,4052
17-Apr-13,49.07,50.02,49.07,50.02,6334
16-Apr-13,50.40,50.50,49.94,50.50,6550
15-Apr-13,49.75,50.22,49.51,50.00,8250
12-Apr-13,49.50,50.53,49.01,49.50,13650
11-Apr-13,50.35,50.35,49.81,49.84,12685
10-Apr-13,50.28,50.40,50.28,50.28,6724
9-Apr-13,50.30,50.30,50.24,50.30,2491
8-Apr-13,50.40,50.40,50.15,50.21,1800
5-Apr-13,50.05,50.20,50.05,50.12,3404
4-Apr-13,50.39,50.39,50.05,50.05,2677
3-Apr-13,50.20,50.20,50.01,50.05,1640
2-Apr-13,50.35,50.35,50.00,50.00,530
1-Apr-13,50.05,50.59,49.95,49.96,4406
28-Mar-13,50.02,50.02,49.86,50.01,6723
27-Mar-13,49.80,50.07,49.80,50.01,3630
26-Mar-13,50.10,50.11,49.90,49.90,3169
25-Mar-13,50.60,50.60,49.80,50.02,8400
22-Mar-13,49.99,49.99,49.96,49.96,220
21-Mar-13,49.50,50.10,49.50,49.70,3450
20-Mar-13,49.60,49.76,49.45,49.61,895
19-Mar-13,49.36,49.56,49.36,49.50,1150
18-Mar-13,49.63,49.66,49.39,49.47,22778
15-Mar-13,49.44,49.64,49.31,49.57,2331
14-Mar-13,49.53,49.54,49.36,49.50,3709
13-Mar-13,49.39,49.67,49.36,49.61,7620
12-Mar-13,49.50,49.51,49.36,49.40,2750
11-Mar-13,49.35,49.53,49.35,49.50,2489
8-Mar-13,49.68,49.68,48.85,49.25,19996
7-Mar-13,49.10,49.88,49.10,49.80,8066
6-Mar-13,49.44,49.44,49.01,49.15,10566
5-Mar-13,49.00,49.49,49.00,49.10,9955
4-Mar-13,49.00,49.20,49.00,49.00,4610
1-Mar-13,49.20,49.20,49.02,49.17,4200
28-Feb-13,49.03,49.41,49.00,49.14,4345
27-Feb-13,49.00,49.24,48.99,49.20,7341
26-Feb-13,48.77,49.00,48.77,48.86,11262
25-Feb-13,48.80,48.85,48.77,48.80,9952
22-Feb-13,48.45,48.85,48.45,48.85,7400
21-Feb-13,48.83,48.85,48.75,48.76,940
20-Feb-13,48.75,48.85,48.64,48.84,3975
19-Feb-13,48.85,48.85,48.80,48.80,2225
15-Feb-13,48.81,48.85,48.70,48.85,4050
14-Feb-13,48.82,48.83,48.60,48.60,13700
13-Feb-13,48.75,48.75,48.40,48.41,8320
12-Feb-13,48.70,48.75,48.70,48.73,7197
11-Feb-13,48.70,48.70,48.33,48.70,15990
8-Feb-13,48.70,48.70,48.70,48.70,1750
7-Feb-13,48.67,48.70,48.42,48.60,2740
6-Feb-13,48.70,48.70,48.60,48.68,3050
5-Feb-13,48.70,48.70,48.41,48.66,6390
4-Feb-13,48.45,48.70,48.45,48.58,1700
1-Feb-13,48.70,48.71,48.46,48.65,4250
31-Jan-13,48.67,48.67,48.45,48.45,1536
30-Jan-13,48.36,48.60,48.10,48.49,7352
29-Jan-13,48.51,48.71,48.51,48.51,10916
28-Jan-13,48.75,48.75,48.58,48.70,5662
25-Jan-13,48.98,49.00,48.51,48.60,9187
24-Jan-13,48.71,49.00,48.59,48.81,16581
23-Jan-13,48.38,48.99,48.20,48.90,17291
22-Jan-13,49.00,49.05,48.25,48.25,3934
18-Jan-13,48.34,48.80,48.31,48.75,9080
17-Jan-13,48.65,48.83,48.36,48.60,12469
16-Jan-13,48.76,48.79,48.40,48.48,8553
15-Jan-13,49.23,49.49,48.92,49.49,8516
14-Jan-13,49.12,49.49,48.57,48.82,6959
11-Jan-13,49.18,49.38,49.00,49.19,6144
10-Jan-13,49.50,49.50,49.11,49.20,8396
9-Jan-13,49.43,49.43,49.02,49.16,5038
8-Jan-13,48.85,49.40,48.83,49.30,5324
7-Jan-13,48.71,48.90,48.71,48.90,10808
4-Jan-13,49.05,49.05,48.70,48.79,3012
3-Jan-13,48.25,48.88,48.24,48.71,5065
2-Jan-13,48.80,48.84,48.37,48.60,3412
31-Dec-12,48.28,48.28,48.10,48.28,3627
9-Dec-11,39.86,40.41,39.85,39.85,6050
8-Dec-11,40.15,40.17,39.85,39.85,5600
7-Dec-11,40.33,40.55,40.14,40.14,8550
6-Dec-11,40.12,40.80,40.12,40.25,7137
5-Dec-11,39.92,40.62,39.92,40.55,2900
2-Dec-11,39.93,40.19,39.70,39.90,15985
1-Dec-11,40.01,40.01,39.85,39.87,2108
30-Nov-11,40.20,40.99,39.97,40.20,7297
29-Nov-11,40.01,40.18,39.81,40.12,5340
28-Nov-11,40.31,40.44,40.00,40.00,8960
25-Nov-11,41.48,41.48,40.01,40.10,9700
23-Nov-11,-,-,-,41.04,0
22-Nov-11,41.00,41.19,40.90,40.90,3940
21-Nov-11,41.25,41.50,40.85,41.20,7500
18-Nov-11,41.28,41.49,41.28,41.49,800
17-Nov-11,41.42,41.88,41.25,41.25,3257
16-Nov-11,41.26,41.81,41.25,41.75,3783
15-Nov-11,42.06,42.06,41.38,41.38,8051
14-Nov-11,42.11,42.13,41.97,41.97,3471
11-Nov-11,42.35,42.48,42.22,42.44,3554
10-Nov-11,42.32,42.32,41.97,41.97,1200
9-Nov-11,42.03,42.25,41.97,42.02,4250
8-Nov-11,42.32,42.55,42.10,42.50,9021
7-Nov-11,42.24,42.80,42.24,42.50,1875
4-Nov-11,42.68,42.68,42.00,42.60,3653
3-Nov-11,42.34,42.82,42.31,42.60,3544
2-Nov-11,42.06,42.81,41.85,42.30,10020
1-Nov-11,41.59,42.19,41.21,42.02,3973
31-Oct-11,41.79,42.24,41.50,42.24,6765
28-Oct-11,41.60,41.78,41.14,41.70,8823
27-Oct-11,41.93,42.00,41.00,41.60,13558
26-Oct-11,41.20,41.20,40.37,41.19,16182
