Date,Open,High,Low,Close,Volume
31-Dec-13,5.08,5.14,4.97,5.05,9030
30-Dec-13,5.20,5.20,5.03,5.05,23362
27-Dec-13,5.16,5.26,5.14,5.25,6526
26-Dec-13,5.11,5.19,5.05,5.19,17632
24-Dec-13,5.14,5.14,5.11,5.11,1117
23-Dec-13,5.20,5.20,5.11,5.17,5139
20-Dec-13,5.21,5.21,5.10,5.20,16176
19-Dec-13,5.10,5.21,5.00,5.17,23084
18-Dec-13,5.05,5.22,5.03,5.03,10608
17-Dec-13,5.06,5.15,5.06,5.09,6893
16-Dec-13,5.14,5.19,5.07,5.10,16737
13-Dec-13,5.06,5.20,5.06,5.10,7173
12-Dec-13,5.12,5.15,5.06,5.09,15343
11-Dec-13,5.30,5.30,5.16,5.16,13437
10-Dec-13,5.23,5.40,5.23,5.26,11982
9-Dec-13,5.35,5.40,5.23,5.23,20574
6-Dec-13,5.42,5.45,5.28,5.37,14051
5-Dec-13,5.50,5.50,5.31,5.36,42773
4-Dec-13,5.06,5.28,5.06,5.26,32725
3-Dec-13,5.11,5.11,4.95,5.11,56869
2-Dec-13,5.01,5.16,4.95,5.15,46236
29-Nov-13,5.01,5.10,5.01,5.02,31413
27-Nov-13,5.10,5.19,5.05,5.10,39645
26-Nov-13,5.02,5.14,5.02,5.14,33603
25-Nov-13,5.01,5.02,4.95,4.99,20324
22-Nov-13,4.95,5.03,4.91,4.97,13880
21-Nov-13,4.93,5.00,4.92,4.95,6015
20-Nov-13,4.95,5.00,4.85,4.96,37568
19-Nov-13,5.44,5.44,4.84,4.95,87357
18-Nov-13,5.47,5.47,5.18,5.28,59756
15-Nov-13,5.32,5.43,5.21,5.31,34644
14-Nov-13,5.32,5.41,5.24,5.38,26555
13-Nov-13,5.26,5.30,5.12,5.24,15479
12-Nov-13,5.30,5.42,5.22,5.26,37938
11-Nov-13,5.30,5.42,5.20,5.28,30172
8-Nov-13,5.29,5.41,5.24,5.32,35549
7-Nov-13,5.42,5.42,5.16,5.36,31322
6-Nov-13,5.40,5.57,5.40,5.41,59266
5-Nov-13,5.23,5.49,5.22,5.34,81862
4-Nov-13,5.27,5.29,5.18,5.18,23014
1-Nov-13,5.21,5.27,5.20,5.21,11921
31-Oct-13,5.28,5.28,5.17,5.24,21517
30-Oct-13,5.25,5.45,5.14,5.20,12400
29-Oct-13,4.89,5.25,4.86,5.25,51262
28-Oct-13,4.91,4.95,4.75,4.94,15117
25-Oct-13,4.80,4.91,4.77,4.89,11596
24-Oct-13,4.79,4.80,4.70,4.79,21169
23-Oct-13,4.82,4.85,4.78,4.79,19150
22-Oct-13,4.85,4.85,4.81,4.81,5398
21-Oct-13,4.77,4.89,4.77,4.89,34941
18-Oct-13,4.80,4.83,4.73,4.82,25150
17-Oct-13,4.81,4.85,4.80,4.82,13867
16-Oct-13,4.80,4.83,4.74,4.82,32305
15-Oct-13,4.75,4.84,4.75,4.79,26443
14-Oct-13,4.68,4.80,4.67,4.79,32928
11-Oct-13,4.78,4.80,4.71,4.77,1915
10-Oct-13,4.73,4.80,4.70,4.77,10643
9-Oct-13,4.74,4.80,4.70,4.74,9863
8-Oct-13,4.81,4.81,4.75,4.76,4895
7-Oct-13,4.80,4.84,4.75,4.81,18870
4-Oct-13,4.75,4.82,4.74,4.80,23311
3-Oct-13,4.80,4.80,4.71,4.78,26992
2-Oct-13,4.76,4.85,4.76,4.84,26696
1-Oct-13,4.80,4.90,4.76,4.81,20952
30-Sep-13,4.81,4.88,4.80,4.81,7798
27-Sep-13,4.90,4.90,4.86,4.88,3841
26-Sep-13,4.95,4.95,4.88,4.90,36864
25-Sep-13,4.80,4.96,4.80,4.96,64886
24-Sep-13,4.73,4.84,4.73,4.84,40246
23-Sep-13,4.79,4.82,4.71,4.82,41661
20-Sep-13,4.83,4.84,4.78,4.78,8979
19-Sep-13,4.77,4.90,4.77,4.85,6366
18-Sep-13,4.80,4.80,4.72,4.77,11529
17-Sep-13,4.76,4.85,4.76,4.78,6849
16-Sep-13,4.79,4.84,4.73,4.79,3432
13-Sep-13,4.76,4.81,4.76,4.80,15302
12-Sep-13,4.76,4.85,4.76,4.83,15670
11-Sep-13,4.80,4.80,4.78,4.79,1811
10-Sep-13,4.71,4.83,4.67,4.83,27276
9-Sep-13,4.75,4.79,4.68,4.79,19767
6-Sep-13,4.83,4.83,4.76,4.79,6491
5-Sep-13,4.80,4.80,4.76,4.80,53873
4-Sep-13,4.75,4.83,4.75,4.82,3472
3-Sep-13,4.83,4.83,4.70,4.80,24400
30-Aug-13,4.81,4.81,4.75,4.78,5500
29-Aug-13,4.79,4.82,4.75,4.79,12865
28-Aug-13,4.79,4.83,4.75,4.79,12375
27-Aug-13,4.76,4.83,4.70,4.76,7074
26-Aug-13,4.77,4.83,4.61,4.74,13549
23-Aug-13,4.82,4.82,4.71,4.81,9735
22-Aug-13,4.83,4.83,4.68,4.82,1851
21-Aug-13,4.83,4.83,4.67,4.78,12522
20-Aug-13,4.74,4.83,4.69,4.80,13564
19-Aug-13,4.76,4.83,4.71,4.71,29121
16-Aug-13,4.75,4.80,4.72,4.73,2992
15-Aug-13,4.76,4.80,4.71,4.79,18845
14-Aug-13,4.77,4.80,4.72,4.73,14369
13-Aug-13,4.83,4.83,4.72,4.83,9798
12-Aug-13,4.81,4.85,4.79,4.81,38611
