Date,Open,High,Low,Close,Volume
31-Dec-13,15.38,15.67,15.13,15.44,36143
30-Dec-13,15.67,15.70,15.51,15.51,11453
27-Dec-13,15.91,15.97,15.88,15.88,50887
26-Dec-13,15.76,15.87,15.71,15.71,22567
24-Dec-13,15.47,15.47,15.43,15.45,3750
23-Dec-13,15.48,15.52,15.44,15.44,4574
20-Dec-13,15.29,15.49,15.29,15.39,18751
19-Dec-13,15.54,15.54,15.23,15.23,43163
18-Dec-13,15.85,15.98,15.64,15.68,25925
17-Dec-13,15.93,16.07,15.91,15.96,16110
16-Dec-13,16.10,16.13,15.75,16.02,19029
13-Dec-13,15.76,15.86,15.71,15.85,37093
12-Dec-13,16.05,16.05,15.64,15.71,23878
11-Dec-13,16.34,16.39,16.22,16.29,5493
10-Dec-13,16.00,16.32,16.00,16.24,6731
9-Dec-13,15.86,16.02,15.81,15.93,10263
6-Dec-13,15.65,15.74,15.60,15.65,19862
5-Dec-13,15.53,15.75,15.47,15.52,33977
4-Dec-13,15.43,15.89,15.43,15.85,19558
3-Dec-13,15.32,15.95,15.21,15.32,53631
2-Dec-13,16.03,16.03,15.36,15.36,30517
29-Nov-13,15.93,16.10,15.93,16.01,9978
27-Nov-13,15.92,15.92,15.74,15.78,19600
26-Nov-13,16.10,16.10,15.88,15.92,15758
25-Nov-13,15.84,16.09,15.84,16.06,30002
22-Nov-13,16.01,16.01,15.91,15.94,28837
21-Nov-13,15.90,16.03,15.82,15.99,9125
20-Nov-13,16.30,16.30,15.88,15.94,41718
19-Nov-13,16.27,16.37,16.26,16.26,10555
18-Nov-13,17.17,17.17,16.28,16.30,47254
15-Nov-13,16.77,16.84,16.75,16.83,33098
14-Nov-13,17.34,17.34,16.74,16.84,41496
13-Nov-13,16.74,16.74,16.62,16.63,23743
12-Nov-13,17.15,17.15,16.68,16.76,49109
11-Nov-13,17.58,17.58,17.17,17.23,17904
8-Nov-13,17.25,17.25,17.15,17.24,6792
7-Nov-13,17.45,17.45,17.32,17.32,29972
6-Nov-13,17.55,17.58,17.47,17.50,9630
5-Nov-13,17.86,17.86,17.37,17.42,9399
4-Nov-13,17.61,17.61,17.38,17.40,36409
1-Nov-13,17.56,17.57,17.47,17.56,7976
31-Oct-13,17.99,18.00,17.53,17.55,19100
30-Oct-13,18.05,18.30,17.97,18.08,14217
29-Oct-13,17.97,17.99,17.94,17.97,25235
28-Oct-13,17.90,18.06,17.90,17.96,18488
25-Oct-13,17.86,18.03,17.78,17.92,23884
24-Oct-13,18.02,18.13,18.02,18.06,5238
23-Oct-13,17.95,18.02,17.93,17.93,16970
22-Oct-13,17.81,18.06,17.81,17.96,13797
21-Oct-13,17.36,17.72,17.36,17.71,24663
18-Oct-13,17.42,17.49,17.41,17.44,15788
17-Oct-13,17.44,17.64,17.44,17.50,17877
16-Oct-13,17.13,17.24,17.08,17.18,33374
15-Oct-13,17.28,17.28,17.05,17.20,10690
14-Oct-13,17.26,17.32,17.16,17.16,12801
11-Oct-13,17.06,17.17,17.04,17.17,10983
10-Oct-13,17.54,17.56,17.38,17.38,1922
9-Oct-13,17.66,17.68,17.37,17.55,5250
8-Oct-13,17.95,17.95,17.88,17.88,2309
7-Oct-13,17.56,17.98,17.56,17.82,8987
4-Oct-13,17.40,17.40,17.32,17.37,1779
3-Oct-13,17.36,17.39,17.36,17.38,4600
