Date,Open,High,Low,Close,Volume
31-Dec-13,8.62,8.69,8.32,8.32,17020
30-Dec-13,8.74,8.75,8.73,8.75,15008
27-Dec-13,8.77,8.77,8.77,8.77,1248
26-Dec-13,8.80,8.80,8.74,8.75,9528
24-Dec-13,8.75,8.75,8.71,8.71,4460
23-Dec-13,9.00,9.00,8.70,8.74,48716
20-Dec-13,8.00,9.00,8.00,9.00,236612
18-Dec-13,8.37,8.37,8.37,8.37,3204
16-Dec-13,8.17,8.38,8.17,8.37,1552
13-Dec-13,8.13,8.13,8.13,8.13,400
12-Dec-13,8.28,8.28,8.15,8.18,7080
11-Dec-13,8.37,8.37,8.37,8.37,600
10-Dec-13,8.00,8.36,8.00,8.22,2392
9-Dec-13,7.95,7.95,7.91,7.95,2528
4-Dec-13,8.30,8.30,8.30,8.30,1200
3-Dec-13,8.31,8.43,8.31,8.38,11008
2-Dec-13,8.75,8.75,8.25,8.44,4820
29-Nov-13,7.98,9.00,7.98,9.00,4436
25-Nov-13,8.00,8.00,7.94,7.94,1200
22-Nov-13,7.77,8.00,7.68,8.00,15248
21-Nov-13,7.74,7.78,7.68,7.78,8844
20-Nov-13,7.82,7.82,7.76,7.76,5200
18-Nov-13,7.87,7.87,7.87,7.87,400
14-Nov-13,7.74,7.74,7.73,7.73,10000
11-Nov-13,7.82,7.82,7.75,7.75,2660
7-Nov-13,7.87,7.87,7.87,7.87,1000
6-Nov-13,7.50,7.81,7.50,7.62,12528
5-Nov-13,7.54,7.60,7.52,7.54,4000
4-Nov-13,7.59,7.86,7.52,7.52,21788
1-Nov-13,7.75,7.75,7.51,7.54,35688
31-Oct-13,7.88,7.88,7.74,7.74,7272
30-Oct-13,7.75,7.76,7.75,7.75,6484
29-Oct-13,7.70,7.74,7.65,7.74,6500
28-Oct-13,7.70,7.70,7.63,7.70,52736
25-Oct-13,7.48,7.51,7.48,7.50,7888
24-Oct-13,7.12,7.50,7.12,7.50,30516
22-Oct-13,6.99,7.12,6.99,7.12,19600
21-Oct-13,6.91,6.96,6.91,6.94,26660
18-Oct-13,6.86,6.86,6.75,6.76,3800
17-Oct-13,6.99,6.99,6.88,6.88,800
16-Oct-13,6.85,6.85,6.52,6.52,1320
15-Oct-13,6.90,6.90,6.79,6.79,4800
14-Oct-13,6.90,6.90,6.89,6.89,4400
11-Oct-13,6.94,6.94,6.89,6.90,5504
10-Oct-13,6.84,6.93,6.84,6.93,2368
9-Oct-13,6.88,6.89,6.88,6.88,6304
8-Oct-13,6.89,6.89,6.89,6.89,400
4-Oct-13,6.90,6.90,6.90,6.90,2180
2-Oct-13,6.90,6.93,6.80,6.82,3452
1-Oct-13,6.72,6.73,6.70,6.73,3800
30-Sep-13,6.60,6.60,6.60,6.60,400
26-Sep-13,6.70,6.70,6.70,6.70,2064
25-Sep-13,6.63,6.73,6.62,6.62,2752
24-Sep-13,6.62,6.74,6.62,6.63,3200
23-Sep-13,6.93,6.93,6.50,6.62,31444
20-Sep-13,6.88,6.88,6.88,6.88,3500
19-Sep-13,6.63,6.65,6.63,6.63,4000
18-Sep-13,6.63,6.94,6.63,6.94,4412
16-Sep-13,6.70,6.92,6.63,6.75,20008
13-Sep-13,6.75,6.75,6.75,6.75,1600
10-Sep-13,6.94,6.94,6.69,6.69,1776
6-Sep-13,6.75,6.75,6.69,6.69,11340
5-Sep-13,6.72,6.80,6.70,6.80,3688
4-Sep-13,6.73,6.75,6.72,6.74,9792
30-Aug-13,6.87,6.88,6.87,6.88,8980
29-Aug-13,6.78,6.78,6.75,6.75,2800
