Date,Open,High,Low,Close,Volume
31-Dec-13,2.36,2.36,2.16,2.35,88761
30-Dec-13,2.26,2.36,2.26,2.35,8434
27-Dec-13,2.30,2.35,2.27,2.34,17309
26-Dec-13,2.28,2.39,2.15,2.28,48519
24-Dec-13,2.37,2.37,2.22,2.25,16642
23-Dec-13,2.18,2.37,2.15,2.36,37728
20-Dec-13,2.30,2.30,2.20,2.25,46918
19-Dec-13,2.25,2.26,2.18,2.26,4728
18-Dec-13,2.25,2.30,2.23,2.25,27904
17-Dec-13,2.21,2.39,2.21,2.33,61640
16-Dec-13,2.15,2.26,2.15,2.24,23534
13-Dec-13,2.21,2.24,2.14,2.15,39886
12-Dec-13,2.25,2.25,2.13,2.18,63902
11-Dec-13,2.18,2.32,2.18,2.20,15940
10-Dec-13,2.27,2.33,2.18,2.24,72487
9-Dec-13,2.33,2.33,2.30,2.30,15062
6-Dec-13,2.28,2.35,2.28,2.35,31588
5-Dec-13,2.28,2.40,2.28,2.30,32400
4-Dec-13,2.34,2.39,2.28,2.29,75022
3-Dec-13,2.40,2.40,2.33,2.37,24843
2-Dec-13,2.35,2.44,2.35,2.42,54750
29-Nov-13,2.31,2.38,2.29,2.37,33740
27-Nov-13,2.37,2.40,2.29,2.34,41255
26-Nov-13,2.39,2.42,2.29,2.36,36325
25-Nov-13,2.33,2.42,2.29,2.35,29405
22-Nov-13,2.28,2.40,2.28,2.32,50553
21-Nov-13,2.27,2.34,2.15,2.30,110469
20-Nov-13,2.27,2.48,2.27,2.31,291983
19-Nov-13,2.06,2.30,2.06,2.24,228005
18-Nov-13,2.06,2.11,2.04,2.07,40339
15-Nov-13,2.08,2.11,2.01,2.02,77554
14-Nov-13,2.11,2.14,2.02,2.06,68597
13-Nov-13,2.05,2.17,2.00,2.12,97974
12-Nov-13,2.03,2.15,2.01,2.10,145609
11-Nov-13,2.00,2.00,1.96,2.00,4690
8-Nov-13,2.05,2.05,2.01,2.05,5574
7-Nov-13,2.05,2.05,1.96,1.98,15577
6-Nov-13,2.00,2.05,2.00,2.03,42712
5-Nov-13,1.96,2.00,1.96,1.99,1450
4-Nov-13,2.00,2.00,1.97,1.97,13288
1-Nov-13,1.98,2.00,1.97,1.97,6000
31-Oct-13,2.00,2.02,1.95,1.95,26672
30-Oct-13,2.00,2.02,1.97,1.98,18321
28-Oct-13,2.03,2.03,2.00,2.02,10885
25-Oct-13,1.96,2.03,1.96,2.03,2775
24-Oct-13,1.99,2.07,1.98,2.01,2000
23-Oct-13,2.06,2.06,1.99,1.99,61654
22-Oct-13,2.10,2.10,2.06,2.07,24783
21-Oct-13,2.05,2.14,2.05,2.09,32080
18-Oct-13,2.03,2.10,2.03,2.06,21043
17-Oct-13,2.01,2.08,1.98,2.03,78028
16-Oct-13,2.00,2.02,1.99,1.99,10241
15-Oct-13,1.97,2.02,1.97,1.98,8118
14-Oct-13,2.02,2.02,1.98,1.99,16113
11-Oct-13,2.03,2.03,2.02,2.02,21925
10-Oct-13,2.02,2.02,2.02,2.02,1700
9-Oct-13,2.02,2.03,2.02,2.02,3100
8-Oct-13,2.04,2.04,2.02,2.02,8613
7-Oct-13,2.04,2.04,2.02,2.02,12800
4-Oct-13,2.04,2.04,2.02,2.02,1416
3-Oct-13,2.04,2.08,2.02,2.07,20709
2-Oct-13,1.99,2.10,1.94,2.06,47174
1-Oct-13,1.96,1.96,1.96,1.96,3200
30-Sep-13,1.91,1.97,1.91,1.94,10019
27-Sep-13,1.91,1.96,1.91,1.95,13200
26-Sep-13,1.91,1.97,1.91,1.95,1650
25-Sep-13,1.91,1.93,1.91,1.92,1948
24-Sep-13,1.94,1.95,1.92,1.92,8000
23-Sep-13,1.97,1.98,1.96,1.96,5248
20-Sep-13,1.96,1.98,1.94,1.97,8479
18-Sep-13,1.97,1.97,1.92,1.95,44643
17-Sep-13,1.93,1.94,1.90,1.93,17809
16-Sep-13,1.90,1.93,1.90,1.92,8973
13-Sep-13,1.90,1.93,1.89,1.90,27921
12-Sep-13,1.93,1.93,1.89,1.90,33867
11-Sep-13,1.90,1.90,1.90,1.90,10200
10-Sep-13,1.93,1.93,1.89,1.89,10300
9-Sep-13,1.88,1.93,1.88,1.93,26200
6-Sep-13,1.94,1.96,1.87,1.87,7015
5-Sep-13,1.91,1.93,1.90,1.93,13500
4-Sep-13,1.90,1.92,1.86,1.88,28717
3-Sep-13,1.90,2.00,1.90,1.90,61971
30-Aug-13,1.90,1.93,1.88,1.90,10600
29-Aug-13,1.91,1.94,1.91,1.93,11811
28-Aug-13,1.89,1.91,1.89,1.90,51776
27-Aug-13,1.90,1.90,1.86,1.88,12264
26-Aug-13,1.85,1.89,1.85,1.89,11350
23-Aug-13,1.89,1.90,1.88,1.88,35220
22-Aug-13,1.88,1.94,1.88,1.89,14100
21-Aug-13,1.90,1.90,1.86,1.87,10628
20-Aug-13,1.91,1.91,1.88,1.90,57932
19-Aug-13,1.93,1.93,1.90,1.90,17272
16-Aug-13,1.90,1.93,1.90,1.91,22416
15-Aug-13,1.87,1.92,1.85,1.88,35163
14-Aug-13,1.90,1.98,1.80,1.92,75792
13-Aug-13,1.82,1.89,1.78,1.87,111754
12-Aug-13,1.85,1.85,1.78,1.78,38482
9-Aug-13,1.90,1.90,1.76,1.84,43881
8-Aug-13,1.83,1.90,1.83,1.87,32840
7-Aug-13,1.85,1.88,1.82,1.86,67070
6-Aug-13,1.94,1.95,1.88,1.88,93882
5-Aug-13,1.87,1.96,1.87,1.92,85181
2-Aug-13,1.87,1.90,1.87,1.88,28432
1-Aug-13,1.89,1.90,1.87,1.87,37002
31-Jul-13,1.89,1.90,1.89,1.89,9687
30-Jul-13,1.90,1.90,1.90,1.90,6562
29-Jul-13,1.95,1.95,1.82,1.90,11459
26-Jul-13,1.88,1.94,1.87,1.92,9703
25-Jul-13,1.90,1.90,1.89,1.89,15465
24-Jul-13,1.85,1.95,1.85,1.93,22116
23-Jul-13,1.90,1.93,1.86,1.87,36934
22-Jul-13,1.94,1.94,1.90,1.93,24780
19-Jul-13,1.90,1.92,1.90,1.90,16868
18-Jul-13,1.97,1.97,1.90,1.92,38013
17-Jul-13,1.92,1.98,1.92,1.95,15008
16-Jul-13,1.98,1.99,1.93,1.93,34860
15-Jul-13,1.92,1.97,1.90,1.95,33440
12-Jul-13,2.01,2.01,1.89,1.89,76014
11-Jul-13,1.93,1.98,1.93,1.94,10425
10-Jul-13,2.00,2.00,1.91,1.91,21916
9-Jul-13,1.97,2.00,1.96,1.97,17514
8-Jul-13,2.03,2.03,1.96,1.99,30388
5-Jul-13,1.99,1.99,1.95,1.98,14284
3-Jul-13,2.00,2.00,1.99,1.99,4111
2-Jul-13,1.98,2.01,1.98,2.01,8185
1-Jul-13,2.00,2.01,1.98,1.98,14935
28-Jun-13,1.98,2.01,1.96,2.01,18800
27-Jun-13,1.96,2.01,1.95,1.97,11930
26-Jun-13,1.98,1.98,1.95,1.97,8645
25-Jun-13,2.00,2.02,1.98,1.98,7556
24-Jun-13,2.03,2.09,1.97,2.01,45020
21-Jun-13,2.02,2.08,1.95,2.00,17063
20-Jun-13,2.00,2.03,1.92,2.02,37047
19-Jun-13,2.09,2.09,2.02,2.04,31965
18-Jun-13,2.00,2.07,1.98,2.07,16900
17-Jun-13,1.98,1.99,1.96,1.99,17948
14-Jun-13,1.99,2.00,1.96,2.00,31100
13-Jun-13,1.91,1.98,1.91,1.98,20351
12-Jun-13,1.91,2.01,1.86,1.93,26700
11-Jun-13,2.04,2.04,1.94,1.96,22922
10-Jun-13,1.98,2.05,1.98,2.04,23000
7-Jun-13,2.01,2.03,1.91,1.99,28732
6-Jun-13,1.96,2.03,1.96,2.02,15166
5-Jun-13,2.03,2.05,1.94,1.95,60400
4-Jun-13,2.07,2.07,2.02,2.04,45058
3-Jun-13,2.17,2.17,2.00,2.06,65849
31-May-13,2.10,2.18,2.04,2.18,24876
30-May-13,2.04,2.15,2.03,2.14,38417
29-May-13,2.14,2.14,2.05,2.10,27495
28-May-13,2.18,2.18,2.12,2.12,33598
24-May-13,2.14,2.18,2.14,2.18,39467
23-May-13,2.04,2.18,2.04,2.11,146024
22-May-13,2.06,2.06,1.98,2.00,136996
21-May-13,2.09,2.10,1.96,2.02,137842
20-May-13,2.00,2.18,1.98,2.05,126428
17-May-13,1.93,2.04,1.92,2.00,117896
16-May-13,1.77,1.95,1.77,1.90,251671
15-May-13,1.90,1.99,1.60,1.75,374699
14-May-13,2.09,2.09,1.84,1.89,276264
13-May-13,2.03,2.13,2.03,2.08,43883
10-May-13,2.01,2.10,1.88,2.00,143286
9-May-13,2.21,2.21,2.13,2.19,35630
8-May-13,2.27,2.27,2.18,2.24,26349
7-May-13,2.25,2.32,2.25,2.27,3790
6-May-13,2.31,2.33,2.26,2.26,4795
3-May-13,2.38,2.38,2.25,2.32,10557
2-May-13,2.34,2.39,2.25,2.28,64448
1-May-13,2.24,2.25,2.23,2.24,9700
30-Apr-13,2.26,2.27,2.24,2.24,14704
29-Apr-13,2.30,2.30,2.21,2.25,13432
26-Apr-13,2.25,2.32,2.24,2.26,7376
25-Apr-13,2.29,2.39,2.26,2.28,11129
24-Apr-13,2.29,2.38,2.24,2.37,16017
23-Apr-13,2.26,2.30,2.26,2.28,1197
22-Apr-13,2.26,2.30,2.22,2.27,33795
19-Apr-13,2.32,2.38,2.25,2.31,15555
18-Apr-13,2.31,2.35,2.30,2.33,6150
17-Apr-13,2.40,2.43,2.35,2.39,24900
16-Apr-13,2.47,2.47,2.42,2.44,12784
15-Apr-13,2.48,2.49,2.44,2.46,118686
12-Apr-13,2.35,2.48,2.30,2.47,152810
11-Apr-13,2.35,2.36,2.31,2.35,10200
10-Apr-13,2.30,2.38,2.30,2.36,21294
9-Apr-13,2.27,2.38,2.26,2.30,18000
8-Apr-13,2.23,2.31,2.23,2.27,6200
5-Apr-13,2.28,2.28,2.21,2.22,3150
4-Apr-13,2.24,2.29,2.21,2.29,3920
3-Apr-13,2.30,2.32,2.27,2.28,20500
2-Apr-13,2.41,2.41,2.27,2.27,14919
1-Apr-13,2.39,2.39,2.24,2.35,11452
28-Mar-13,2.40,2.41,2.34,2.37,52956
27-Mar-13,2.34,2.39,2.27,2.38,25146
26-Mar-13,2.31,2.39,2.27,2.33,22755
25-Mar-13,2.24,2.35,2.24,2.30,16488
22-Mar-13,2.32,2.32,2.19,2.25,35920
21-Mar-13,2.33,2.33,2.24,2.33,23085
20-Mar-13,2.30,2.33,2.22,2.33,14650
19-Mar-13,2.12,2.25,2.11,2.25,34788
18-Mar-13,2.15,2.15,2.05,2.10,284264
15-Mar-13,2.37,2.48,1.97,2.10,383087
14-Mar-13,2.49,2.49,2.36,2.37,20705
13-Mar-13,2.47,2.50,2.35,2.50,31725
12-Mar-13,2.54,2.55,2.48,2.48,5815
11-Mar-13,2.50,2.66,2.46,2.47,15417
8-Mar-13,2.59,2.62,2.50,2.54,30514
7-Mar-13,2.67,2.71,2.54,2.60,27580
6-Mar-13,2.54,2.70,2.54,2.57,22719
5-Mar-13,2.70,2.70,2.54,2.57,39041
4-Mar-13,2.76,2.82,2.71,2.73,32503
1-Mar-13,2.61,2.75,2.58,2.75,41388
28-Feb-13,2.60,2.65,2.60,2.60,6500
27-Feb-13,2.62,2.64,2.60,2.60,5700
26-Feb-13,2.55,2.66,2.55,2.62,14426
25-Feb-13,2.67,2.67,2.63,2.63,500
22-Feb-13,2.56,2.70,2.56,2.61,19203
21-Feb-13,2.60,2.64,2.50,2.58,5050
20-Feb-13,2.65,2.65,2.55,2.64,3429
19-Feb-13,2.61,2.65,2.60,2.64,11950
15-Feb-13,2.49,2.60,2.49,2.60,16238
14-Feb-13,2.48,2.50,2.45,2.45,13862
13-Feb-13,2.46,2.47,2.43,2.45,13332
12-Feb-13,2.43,2.50,2.43,2.50,4190
11-Feb-13,2.45,2.45,2.44,2.45,4900
8-Feb-13,2.47,2.49,2.43,2.43,22380
7-Feb-13,2.48,2.49,2.43,2.49,11200
6-Feb-13,2.45,2.58,2.44,2.45,18178
5-Feb-13,2.56,2.58,2.43,2.49,27333
4-Feb-13,2.54,2.61,2.54,2.56,6187
1-Feb-13,2.65,2.65,2.50,2.61,17251
31-Jan-13,2.60,2.60,2.55,2.55,6707
30-Jan-13,2.44,2.60,2.44,2.60,44386
29-Jan-13,2.51,2.54,2.51,2.54,10971
28-Jan-13,2.44,2.52,2.44,2.51,8587
25-Jan-13,2.45,2.50,2.44,2.47,8200
24-Jan-13,2.43,2.48,2.43,2.45,7097
23-Jan-13,2.43,2.56,2.43,2.44,14566
22-Jan-13,2.43,2.48,2.43,2.46,5641
18-Jan-13,2.48,2.48,2.44,2.44,6112
17-Jan-13,2.47,2.59,2.47,2.47,6585
16-Jan-13,2.42,2.50,2.38,2.50,33116
15-Jan-13,2.44,2.44,2.31,2.43,2826
14-Jan-13,2.45,2.45,2.43,2.45,5450
11-Jan-13,2.47,2.47,2.42,2.45,5459
