Date,Open,High,Low,Close,Volume
31-Dec-13,41.01,41.12,40.40,40.83,59618
30-Dec-13,41.00,41.13,40.66,41.04,28957
27-Dec-13,41.50,41.50,40.86,41.06,46374
26-Dec-13,41.11,41.50,40.93,41.44,29526
24-Dec-13,40.89,41.32,40.71,41.04,25437
23-Dec-13,39.69,40.77,39.55,40.71,51693
20-Dec-13,39.54,39.85,39.14,39.43,198160
19-Dec-13,39.50,40.01,39.05,39.34,55141
18-Dec-13,38.94,39.69,38.73,39.60,57983
17-Dec-13,39.06,39.48,38.50,39.01,40628
16-Dec-13,39.04,39.50,38.88,39.19,59844
13-Dec-13,39.29,39.59,38.77,38.95,133149
12-Dec-13,38.85,39.47,38.34,39.10,67683
11-Dec-13,39.98,40.21,38.63,38.93,107614
10-Dec-13,40.53,40.96,39.38,39.88,82340
9-Dec-13,41.09,41.51,40.22,40.52,59848
6-Dec-13,41.41,41.66,40.72,41.11,45167
5-Dec-13,40.88,41.41,40.61,40.80,46655
4-Dec-13,41.20,42.11,40.43,40.95,47440
3-Dec-13,41.90,42.71,40.98,41.01,157499
2-Dec-13,42.83,43.00,41.92,42.09,46152
29-Nov-13,43.01,43.12,42.87,42.97,44981
27-Nov-13,42.42,43.49,42.29,43.27,59817
26-Nov-13,42.00,42.42,41.84,42.41,47028
25-Nov-13,41.82,42.05,41.70,41.93,41193
22-Nov-13,41.04,41.85,40.80,41.75,62540
21-Nov-13,40.34,41.05,40.34,40.99,74399
20-Nov-13,40.12,40.44,39.84,40.08,43966
19-Nov-13,40.01,40.49,39.78,40.06,54464
18-Nov-13,40.10,40.14,39.53,40.06,47910
15-Nov-13,39.93,40.14,39.63,40.07,48840
14-Nov-13,40.00,40.16,39.38,39.99,41503
13-Nov-13,39.28,40.00,39.11,39.97,45699
12-Nov-13,39.61,39.61,39.07,39.50,47587
11-Nov-13,39.20,39.80,39.02,39.62,89721
8-Nov-13,38.23,39.52,38.15,39.18,62556
7-Nov-13,40.50,40.50,38.06,38.22,85059
6-Nov-13,40.83,41.07,40.01,40.67,42925
5-Nov-13,38.93,40.54,38.50,40.51,77910
4-Nov-13,39.36,39.69,38.44,39.33,113147
1-Nov-13,39.54,39.68,38.59,39.04,93485
31-Oct-13,39.36,39.93,39.36,39.68,86220
30-Oct-13,40.67,41.00,39.39,39.46,73698
29-Oct-13,40.52,40.95,40.48,40.85,37178
28-Oct-13,40.22,40.50,40.03,40.49,34888
25-Oct-13,40.36,40.36,39.40,40.21,56508
24-Oct-13,39.50,40.23,39.36,40.14,32376
23-Oct-13,38.93,39.69,38.93,39.38,29273
22-Oct-13,38.39,39.59,38.10,39.34,60997
21-Oct-13,37.72,38.47,37.59,38.27,40204
18-Oct-13,37.08,37.77,36.70,37.75,175162
17-Oct-13,37.12,37.80,36.48,36.67,72067
16-Oct-13,37.82,38.12,37.18,37.26,33743
15-Oct-13,38.11,38.41,37.31,37.55,52977
14-Oct-13,37.40,38.32,37.40,38.15,33903
11-Oct-13,36.27,37.64,36.27,37.64,34778
10-Oct-13,35.99,36.66,35.94,36.50,43670
9-Oct-13,35.47,35.91,35.02,35.42,98656
8-Oct-13,35.00,35.51,34.90,35.40,61479
7-Oct-13,35.10,35.42,34.74,34.95,25007
4-Oct-13,35.49,35.91,35.33,35.66,25338
3-Oct-13,35.80,35.92,35.41,35.58,53270
2-Oct-13,36.16,36.52,35.55,35.99,45793
1-Oct-13,36.18,36.68,35.12,36.65,85630
30-Sep-13,35.33,36.44,34.77,36.27,48965
27-Sep-13,35.60,36.32,35.58,35.84,22079
26-Sep-13,35.89,36.25,35.71,35.97,40033
25-Sep-13,36.26,36.97,36.06,36.10,37178
24-Sep-13,35.90,36.77,35.63,36.30,51349
23-Sep-13,35.99,36.34,35.60,36.07,49151
20-Sep-13,35.47,36.34,35.22,35.80,105757
19-Sep-13,35.63,35.94,34.94,35.45,36397
18-Sep-13,34.92,35.99,34.75,35.41,80254
17-Sep-13,34.15,35.15,34.15,35.01,62847
16-Sep-13,34.44,34.47,34.05,34.36,60384
13-Sep-13,34.05,34.16,33.81,34.04,22274
12-Sep-13,34.13,34.39,33.72,33.84,23205
11-Sep-13,33.57,34.22,33.53,34.08,36170
10-Sep-13,33.41,33.86,32.85,33.69,74342
9-Sep-13,32.12,33.31,32.03,33.25,57890
6-Sep-13,32.16,32.20,31.42,32.06,20892
5-Sep-13,31.78,32.12,31.76,32.02,27156
4-Sep-13,31.50,31.84,31.37,31.83,37868
3-Sep-13,31.25,31.46,30.77,31.36,24812
30-Aug-13,31.63,31.63,30.49,30.64,33815
29-Aug-13,31.51,31.82,31.43,31.76,26488
28-Aug-13,31.49,31.91,31.24,31.51,30150
27-Aug-13,31.76,32.13,30.94,31.58,45285
26-Aug-13,32.45,32.59,32.19,32.36,28311
23-Aug-13,32.10,32.50,32.02,32.44,16080
22-Aug-13,31.97,32.15,31.87,32.11,18682
21-Aug-13,31.57,32.00,31.54,31.63,48397
20-Aug-13,31.05,31.85,31.05,31.81,46184
19-Aug-13,29.83,31.26,29.83,31.09,63929
