Date,Open,High,Low,Close,Volume
31-Dec-13,40.59,40.79,40.42,40.57,526642
30-Dec-13,40.10,40.62,40.10,40.60,632899
27-Dec-13,40.00,40.30,39.98,40.17,438051
26-Dec-13,40.08,40.25,39.88,39.98,406754
24-Dec-13,39.76,40.19,39.58,40.06,435138
23-Dec-13,39.66,40.20,39.65,40.00,1462860
20-Dec-13,39.19,39.69,39.19,39.63,1436243
19-Dec-13,39.26,39.39,39.12,39.14,869478
18-Dec-13,38.91,39.43,38.79,39.42,788207
17-Dec-13,38.50,38.90,38.33,38.81,933340
16-Dec-13,38.37,38.73,38.14,38.46,771847
13-Dec-13,38.06,38.72,38.06,38.14,906002
12-Dec-13,38.01,38.32,37.96,38.07,950675
11-Dec-13,38.25,38.35,37.85,37.96,1207947
10-Dec-13,37.72,38.28,37.50,38.11,1081352
9-Dec-13,38.09,38.20,37.57,37.75,1688725
6-Dec-13,37.72,38.11,37.43,37.94,910936
5-Dec-13,36.38,37.45,36.00,37.41,1961960
4-Dec-13,36.37,36.76,36.33,36.50,919430
3-Dec-13,36.25,36.77,36.25,36.67,516645
2-Dec-13,36.49,36.91,36.23,36.44,445862
29-Nov-13,36.85,36.85,36.56,36.63,196967
27-Nov-13,36.62,36.89,36.52,36.76,369361
26-Nov-13,36.67,36.87,36.58,36.59,847452
25-Nov-13,36.80,36.80,36.54,36.75,410798
22-Nov-13,36.27,36.66,36.07,36.59,458695
21-Nov-13,36.03,36.25,35.76,36.24,515444
20-Nov-13,35.86,36.01,35.53,35.90,543425
19-Nov-13,36.30,36.39,35.66,35.72,459703
18-Nov-13,36.64,36.88,36.27,36.35,341257
15-Nov-13,36.53,36.86,36.24,36.51,405526
14-Nov-13,36.47,36.71,36.34,36.47,373059
13-Nov-13,36.13,36.58,35.92,36.53,380827
12-Nov-13,36.19,36.60,35.94,36.24,750505
11-Nov-13,36.34,36.47,36.02,36.44,244125
8-Nov-13,36.17,36.94,35.94,36.31,190320
7-Nov-13,36.49,36.69,36.02,36.11,446058
6-Nov-13,36.07,36.50,35.83,36.42,378022
5-Nov-13,36.00,36.19,35.86,35.86,363923
4-Nov-13,36.91,36.91,35.86,36.19,402478
1-Nov-13,36.54,36.80,35.95,36.15,452606
31-Oct-13,36.42,36.63,36.32,36.42,872687
30-Oct-13,36.36,36.58,36.09,36.35,370323
29-Oct-13,36.61,36.81,36.13,36.38,498231
28-Oct-13,36.34,36.48,36.19,36.46,372740
25-Oct-13,35.99,36.34,35.88,36.25,761643
24-Oct-13,37.95,38.04,35.82,35.85,1619204
23-Oct-13,38.20,38.29,37.82,37.98,396109
22-Oct-13,38.05,38.40,38.05,38.40,493042
21-Oct-13,38.18,38.40,38.08,38.11,524139
18-Oct-13,38.00,38.20,37.84,38.19,352796
17-Oct-13,34.55,37.99,34.55,37.98,390785
16-Oct-13,37.54,37.84,37.45,37.83,299854
15-Oct-13,37.92,37.97,37.32,37.41,390047
14-Oct-13,37.37,37.98,37.32,37.96,279318
11-Oct-13,37.21,37.69,37.03,37.68,333671
10-Oct-13,36.76,37.19,36.52,37.18,265481
9-Oct-13,36.50,36.65,36.19,36.36,485583
8-Oct-13,36.91,37.04,36.37,36.45,491132
7-Oct-13,37.37,37.49,36.99,37.00,351956
4-Oct-13,37.28,37.79,37.14,37.59,348486
3-Oct-13,37.47,37.62,37.08,37.31,547503
2-Oct-13,37.58,37.69,37.26,37.64,290264
1-Oct-13,37.70,38.15,37.50,37.84,1142599
30-Sep-13,37.34,37.84,37.23,37.70,607787
27-Sep-13,37.54,37.74,37.52,37.61,413196
26-Sep-13,38.14,38.14,37.50,37.87,704214
25-Sep-13,37.42,37.75,37.34,37.50,268222
24-Sep-13,37.47,37.68,37.31,37.42,318401
23-Sep-13,37.67,37.97,37.42,37.50,397270
20-Sep-13,38.09,38.10,37.83,37.94,1396916
19-Sep-13,37.95,38.09,37.71,38.07,928261
18-Sep-13,37.64,37.98,37.36,37.96,980475
17-Sep-13,37.25,37.64,37.21,37.64,1420746
16-Sep-13,37.50,37.64,37.16,37.25,687265
13-Sep-13,37.14,37.44,37.14,37.41,344151
12-Sep-13,37.37,37.49,37.02,37.17,520617
11-Sep-13,37.11,37.48,37.11,37.46,416081
10-Sep-13,37.72,37.72,36.95,37.24,554312
9-Sep-13,36.46,37.00,36.42,36.87,435730
6-Sep-13,36.37,36.71,36.05,36.43,550688
5-Sep-13,36.02,36.50,36.02,36.34,453666
4-Sep-13,35.47,36.20,35.44,36.06,943569
3-Sep-13,36.07,36.70,35.27,35.52,1628576
30-Aug-13,36.63,36.81,36.13,36.26,766507
29-Aug-13,36.54,36.94,36.23,36.58,483476
