Date,Open,High,Low,Close,Volume
31-Dec-13,178.50,183.75,176.40,183.40,35634
30-Dec-13,173.25,178.15,169.05,177.45,29269
27-Dec-13,172.90,174.30,170.10,172.55,17898
26-Dec-13,171.50,176.40,170.80,171.50,22452
24-Dec-13,175.00,175.70,170.10,171.15,17988
23-Dec-13,172.90,176.75,167.65,174.65,46522
20-Dec-13,155.75,172.90,155.40,170.45,94900
19-Dec-13,151.90,161.00,151.20,155.75,39810
18-Dec-13,150.50,154.00,148.75,151.90,59833
17-Dec-13,156.80,157.50,147.70,150.50,61584
16-Dec-13,164.50,165.55,155.75,157.15,52416
13-Dec-13,167.65,170.10,162.75,163.98,37844
12-Dec-13,176.75,185.85,165.72,167.65,170527
11-Dec-13,168.00,170.45,160.65,162.75,48053
10-Dec-13,168.00,171.85,167.65,168.00,24367
9-Dec-13,175.00,178.15,164.50,167.65,39043
6-Dec-13,175.70,176.75,170.10,174.30,32553
5-Dec-13,178.85,179.90,173.60,174.30,41325
4-Dec-13,178.15,179.20,174.65,179.20,29240
3-Dec-13,175.00,179.20,175.00,178.85,36707
2-Dec-13,177.45,179.90,170.10,175.70,53165
29-Nov-13,182.00,184.45,176.40,177.45,26575
27-Nov-13,184.10,189.00,179.55,181.30,52516
26-Nov-13,180.25,184.80,175.00,183.05,50682
25-Nov-13,176.40,186.55,170.10,174.65,90857
22-Nov-13,179.90,180.25,168.70,168.70,63297
21-Nov-13,171.15,174.30,164.50,168.52,52790
20-Nov-13,185.15,194.95,164.85,170.45,106954
19-Nov-13,174.30,190.75,170.45,183.75,162638
18-Nov-13,155.75,182.00,155.61,170.48,173743
15-Nov-13,140.70,148.05,140.00,148.05,58380
14-Nov-13,135.10,140.18,133.35,138.95,65189
13-Nov-13,131.60,134.75,129.50,132.30,166013
12-Nov-13,142.10,149.10,142.10,149.10,18456
11-Nov-13,140.00,144.38,136.50,141.75,24812
8-Nov-13,140.00,142.80,138.25,140.00,29023
7-Nov-13,141.40,146.30,138.25,140.00,22494
6-Nov-13,150.85,150.85,139.65,141.05,29796
5-Nov-13,142.80,151.90,135.80,150.85,53587
4-Nov-13,153.30,154.00,135.80,143.85,92923
1-Nov-13,159.60,162.05,149.10,149.45,39036
31-Oct-13,154.70,166.25,152.60,158.90,41802
30-Oct-13,169.75,173.60,153.30,155.05,66741
29-Oct-13,177.80,184.80,161.00,170.45,80445
28-Oct-13,183.05,198.45,175.70,178.50,235311
25-Oct-13,240.10,243.25,222.60,224.00,53351
24-Oct-13,234.50,241.50,232.05,239.40,33944
23-Oct-13,236.25,244.65,230.65,233.10,26570
22-Oct-13,239.75,241.50,227.50,236.60,26595
21-Oct-13,238.00,248.50,236.95,238.70,42633
18-Oct-13,235.90,237.30,228.90,237.30,27648
17-Oct-13,230.65,235.90,224.00,234.15,21509
16-Oct-13,226.80,233.45,226.10,231.35,14875
