Date,Open,High,Low,Close,Volume
31-Dec-13,19.85,20.84,19.85,20.84,3202
30-Dec-13,20.14,20.14,19.96,19.96,2455
27-Dec-13,20.99,20.99,19.86,20.03,2321
26-Dec-13,19.83,20.49,19.67,19.86,7118
24-Dec-13,20.20,20.20,19.61,19.97,3188
23-Dec-13,19.88,20.33,19.88,20.18,2697
20-Dec-13,20.20,20.21,19.75,19.91,10211
19-Dec-13,20.80,20.80,20.20,20.25,7982
18-Dec-13,21.21,21.21,20.21,20.65,3130
17-Dec-13,21.38,21.38,21.38,21.38,630
16-Dec-13,21.29,21.29,20.70,21.00,10010
13-Dec-13,20.19,21.45,20.14,21.45,3614
12-Dec-13,21.30,21.89,21.19,21.57,4133
11-Dec-13,21.00,21.45,20.76,21.45,8301
10-Dec-13,20.90,20.90,20.58,20.58,2653
9-Dec-13,20.25,21.00,20.25,20.78,13025
6-Dec-13,20.02,20.30,20.00,20.30,3180
5-Dec-13,19.50,19.50,19.50,19.50,100
4-Dec-13,19.98,20.09,19.50,19.87,5261
3-Dec-13,20.20,20.20,19.58,20.17,1912
2-Dec-13,20.10,20.10,19.91,19.91,2626
29-Nov-13,19.77,19.91,19.15,19.72,5293
27-Nov-13,19.48,20.02,19.48,19.61,2561
26-Nov-13,19.33,19.99,19.30,19.63,3233
25-Nov-13,19.06,19.33,19.06,19.33,1183
22-Nov-13,19.23,19.28,18.85,19.15,1794
21-Nov-13,18.85,18.85,18.85,18.85,142
20-Nov-13,18.98,19.25,18.86,18.86,663
19-Nov-13,18.86,19.05,18.66,18.99,3933
18-Nov-13,19.05,19.29,18.80,19.05,1875
15-Nov-13,18.75,19.05,18.62,19.05,14647
14-Nov-13,18.68,18.88,18.68,18.78,4045
13-Nov-13,18.88,18.88,18.56,18.72,3249
12-Nov-13,18.57,18.58,18.56,18.58,1185
11-Nov-13,18.56,18.96,18.56,18.64,4472
8-Nov-13,18.68,18.68,18.53,18.68,3456
7-Nov-13,18.50,19.00,18.50,18.80,11798
6-Nov-13,19.04,19.20,18.82,18.85,1935
5-Nov-13,18.99,19.28,18.77,19.03,1170
4-Nov-13,18.70,19.25,18.70,19.01,3602
1-Nov-13,18.98,19.03,18.71,18.71,2370
31-Oct-13,18.70,18.85,18.70,18.85,700
30-Oct-13,18.78,19.00,18.78,18.81,3502
29-Oct-13,18.89,18.89,18.55,18.73,10702
28-Oct-13,19.00,19.00,18.80,18.80,8290
25-Oct-13,18.75,18.99,18.72,18.81,15620
24-Oct-13,18.67,18.84,18.65,18.76,7718
23-Oct-13,18.79,18.79,18.70,18.78,4509
22-Oct-13,18.74,18.79,18.66,18.66,1869
21-Oct-13,18.99,18.99,18.74,18.74,10248
18-Oct-13,18.89,18.89,18.62,18.80,9033
17-Oct-13,18.72,18.75,18.63,18.69,3681
16-Oct-13,18.71,18.78,18.60,18.75,10931
15-Oct-13,18.72,18.72,18.66,18.71,5763
14-Oct-13,18.68,18.75,18.65,18.72,5267
11-Oct-13,18.61,18.75,18.61,18.68,6375
10-Oct-13,18.76,19.00,18.60,18.70,4385
9-Oct-13,18.65,18.70,18.51,18.70,3235
8-Oct-13,18.69,18.69,18.45,18.69,1089
7-Oct-13,18.85,18.85,18.56,18.69,4713
4-Oct-13,19.00,19.00,18.78,18.84,7050
3-Oct-13,19.07,19.10,18.60,19.10,7250
2-Oct-13,20.38,20.38,18.12,18.60,23524
1-Oct-13,21.68,22.97,21.33,21.33,34123
30-Sep-13,21.54,22.10,21.50,21.51,3225
27-Sep-13,21.65,22.23,21.00,21.41,7509
26-Sep-13,21.41,21.89,21.02,21.25,4400
25-Sep-13,21.20,22.22,21.20,21.31,5517
24-Sep-13,21.29,21.48,21.26,21.27,1519
23-Sep-13,21.17,21.54,21.10,21.15,3110
20-Sep-13,21.15,21.50,20.86,20.86,8585
19-Sep-13,20.80,21.20,20.80,20.96,3931
18-Sep-13,21.32,21.35,21.05,21.34,1330
17-Sep-13,21.49,21.65,20.70,21.26,7485
16-Sep-13,21.49,21.60,21.02,21.39,4221
13-Sep-13,21.70,21.70,20.84,21.52,12196
12-Sep-13,21.87,22.40,21.02,21.70,10674
11-Sep-13,22.33,22.33,21.76,21.76,2002
10-Sep-13,21.42,22.10,21.42,21.82,7324
9-Sep-13,22.29,22.29,20.62,21.07,8599
6-Sep-13,21.74,23.05,21.74,22.49,17397
5-Sep-13,21.46,21.88,21.46,21.87,4147
4-Sep-13,20.99,21.88,20.50,21.27,12023
3-Sep-13,21.19,21.40,20.59,20.59,1723
30-Aug-13,20.44,21.28,20.44,21.08,902
29-Aug-13,21.30,21.30,20.31,20.38,4491
28-Aug-13,20.52,21.35,20.52,21.35,1488
27-Aug-13,21.06,21.38,20.50,20.99,4064
26-Aug-13,21.75,21.75,21.00,21.19,3471
23-Aug-13,21.41,21.84,21.14,21.26,6299
22-Aug-13,22.20,22.20,21.03,21.47,2234
21-Aug-13,21.29,21.80,21.00,21.41,4337
20-Aug-13,21.36,21.96,21.36,21.70,4867
19-Aug-13,21.66,22.46,21.00,21.42,7261
16-Aug-13,22.38,23.06,21.50,21.81,6007
15-Aug-13,23.62,23.62,21.54,22.60,3138
14-Aug-13,22.68,23.72,22.00,22.85,18338
13-Aug-13,21.41,22.74,21.40,22.68,10961
12-Aug-13,21.31,21.45,21.31,21.45,900
9-Aug-13,21.09,21.40,21.09,21.29,1900
8-Aug-13,21.35,21.45,21.35,21.39,1547
7-Aug-13,20.84,21.32,20.76,21.15,17434
6-Aug-13,20.80,21.44,20.77,20.77,4145
5-Aug-13,20.99,21.20,20.90,20.90,18821
2-Aug-13,20.83,20.93,20.53,20.90,5655
1-Aug-13,20.50,20.99,20.50,20.80,9800
31-Jul-13,20.88,21.34,20.88,20.99,1635
30-Jul-13,20.64,20.85,20.55,20.85,2020
29-Jul-13,20.50,20.79,20.30,20.74,4144
26-Jul-13,20.63,20.78,20.30,20.30,530
25-Jul-13,20.49,20.79,20.25,20.79,10829
24-Jul-13,20.18,20.52,20.15,20.49,6660
22-Jul-13,20.05,20.37,20.05,20.20,2299
18-Jul-13,20.42,20.45,20.42,20.45,477
17-Jul-13,20.24,20.76,20.00,20.41,1310
16-Jul-13,20.04,20.20,20.04,20.20,3397
15-Jul-13,20.20,20.20,20.09,20.09,1338
12-Jul-13,20.10,20.65,20.10,20.40,5158
11-Jul-13,20.16,20.19,20.16,20.19,1066
10-Jul-13,20.15,20.15,19.75,20.12,700
9-Jul-13,19.97,19.99,19.97,19.99,800
8-Jul-13,19.76,19.79,19.76,19.79,211
5-Jul-13,19.75,19.75,19.75,19.75,100
3-Jul-13,19.78,19.86,19.78,19.86,400
2-Jul-13,20.25,20.25,19.50,19.70,933
28-Jun-13,20.41,20.41,20.41,20.41,136
27-Jun-13,20.14,20.14,20.14,20.14,100
26-Jun-13,20.00,20.00,19.80,19.99,951
25-Jun-13,20.49,20.49,19.96,20.20,4485
24-Jun-13,20.10,20.47,19.91,20.00,1252
21-Jun-13,20.16,20.35,20.16,20.35,826
20-Jun-13,19.95,19.99,19.41,19.41,1830
19-Jun-13,19.96,19.96,19.94,19.95,600
18-Jun-13,20.09,20.09,20.09,20.09,100
17-Jun-13,19.01,19.40,19.00,19.40,899
12-Jun-13,19.16,19.80,19.16,19.80,707
11-Jun-13,19.67,20.00,19.67,19.78,1645
10-Jun-13,19.87,20.03,19.41,19.51,1331
7-Jun-13,20.00,20.04,19.38,19.38,5116
6-Jun-13,20.10,20.10,20.00,20.00,2374
5-Jun-13,19.60,20.04,19.60,20.04,1625
4-Jun-13,19.61,19.99,19.52,19.52,1600
3-Jun-13,19.56,19.85,19.03,19.50,825
31-May-13,19.32,20.00,19.32,19.38,8821
30-May-13,19.14,19.70,19.14,19.20,3309
29-May-13,19.14,19.14,19.14,19.14,200
28-May-13,18.50,19.74,18.50,19.26,1732
23-May-13,18.88,19.19,18.87,18.87,2202
21-May-13,18.69,19.08,18.69,18.72,1102
20-May-13,18.81,20.18,18.70,18.75,1605
16-May-13,18.70,18.88,18.69,18.70,1500
15-May-13,18.86,18.87,18.70,18.70,1000
14-May-13,18.84,18.84,18.70,18.70,513
13-May-13,18.40,18.50,18.40,18.40,3000
10-May-13,18.65,18.80,18.33,18.37,4029
9-May-13,18.88,18.88,18.88,18.88,100
8-May-13,18.36,18.61,18.36,18.61,500
7-May-13,18.24,18.58,18.24,18.33,1600
6-May-13,18.67,18.67,18.12,18.25,2199
3-May-13,18.88,18.88,18.68,18.68,2050
2-May-13,18.60,18.60,17.80,18.59,14000
1-May-13,19.06,19.21,19.06,19.10,1475
30-Apr-13,19.69,19.69,19.69,19.69,498
29-Apr-13,19.48,19.66,19.48,19.60,1057
26-Apr-13,19.06,19.76,19.06,19.50,929
25-Apr-13,19.43,19.43,19.20,19.20,1135
24-Apr-13,19.43,19.55,19.40,19.40,705
23-Apr-13,19.36,19.36,19.31,19.33,403
19-Apr-13,19.20,19.73,19.10,19.21,1135
18-Apr-13,19.75,19.75,19.06,19.06,570
17-Apr-13,19.10,19.50,19.10,19.25,2514
16-Apr-13,20.38,20.38,19.11,19.67,844
15-Apr-13,20.33,20.39,19.32,20.00,7685
11-Apr-13,20.35,20.84,20.23,20.73,1065
10-Apr-13,20.54,20.76,20.53,20.63,1901
9-Apr-13,20.45,20.81,20.45,20.58,885
8-Apr-13,20.11,20.83,20.11,20.42,1315
5-Apr-13,20.65,20.65,20.05,20.05,601
4-Apr-13,20.96,20.96,20.13,20.50,1427
3-Apr-13,20.59,20.93,20.20,20.45,1265
2-Apr-13,20.04,20.97,20.04,20.54,1650
1-Apr-13,20.62,20.97,20.10,20.55,3382
28-Mar-13,20.96,20.96,20.00,20.64,7189
27-Mar-13,20.33,20.92,20.22,20.49,4300
26-Mar-13,20.94,20.94,19.86,19.86,300
25-Mar-13,20.94,20.94,20.50,20.81,1200
22-Mar-13,20.34,20.92,20.31,20.92,598
21-Mar-13,19.84,20.00,19.84,20.00,1743
20-Mar-13,19.79,19.97,19.79,19.97,300
18-Mar-13,19.76,19.76,19.55,19.57,1000
15-Mar-13,19.65,19.65,19.65,19.65,4531
14-Mar-13,19.61,19.75,19.25,19.49,3309
13-Mar-13,19.62,19.62,19.49,19.50,400
12-Mar-13,19.43,19.61,18.74,19.25,1750
11-Mar-13,19.30,19.50,19.10,19.28,4105
8-Mar-13,18.96,19.63,18.96,19.61,4932
7-Mar-13,19.40,19.49,19.16,19.16,500
6-Mar-13,18.40,19.49,18.40,18.98,500
5-Mar-13,19.24,19.24,18.47,18.47,7041
4-Mar-13,18.85,19.54,18.83,18.87,5095
1-Mar-13,18.86,19.34,18.80,19.03,6044
28-Feb-13,19.05,19.22,19.05,19.21,2472
27-Feb-13,19.13,19.13,18.63,19.00,2672
26-Feb-13,19.00,19.00,19.00,19.00,164
25-Feb-13,19.33,19.33,18.70,18.77,500
22-Feb-13,19.20,19.20,19.20,19.20,174
20-Feb-13,18.57,19.21,18.57,19.21,2029
19-Feb-13,18.98,18.99,18.98,18.99,200
15-Feb-13,19.49,19.49,19.49,19.49,400
13-Feb-13,19.22,19.65,19.22,19.27,1400
12-Feb-13,19.63,19.63,19.42,19.42,200
11-Feb-13,18.50,18.80,18.50,18.75,3461
7-Feb-13,18.29,18.90,18.26,18.60,400
6-Feb-13,18.62,18.62,18.28,18.38,800
5-Feb-13,18.48,19.46,18.32,18.50,1574
4-Feb-13,17.72,18.50,17.72,18.50,3817
1-Feb-13,18.57,19.12,17.50,17.82,15198
