Date,Open,High,Low,Close,Volume
31-Dec-13,6.89,6.95,6.67,6.70,76875
30-Dec-13,6.85,6.99,6.82,6.86,58771
27-Dec-13,6.82,6.89,6.76,6.85,35337
26-Dec-13,6.79,6.95,6.72,6.77,58681
24-Dec-13,6.55,6.79,6.55,6.71,19271
23-Dec-13,6.67,6.81,6.50,6.61,86305
20-Dec-13,6.49,6.74,6.49,6.65,265966
19-Dec-13,6.63,6.68,6.45,6.45,47835
18-Dec-13,6.46,6.68,6.39,6.65,61600
17-Dec-13,6.60,6.73,6.41,6.43,74305
16-Dec-13,6.79,6.86,6.60,6.62,164186
13-Dec-13,6.75,6.83,6.72,6.78,34907
12-Dec-13,6.65,6.76,6.58,6.71,55355
11-Dec-13,6.62,6.75,6.53,6.65,146726
10-Dec-13,6.88,6.93,6.55,6.58,128623
9-Dec-13,6.99,7.05,6.86,6.91,41430
6-Dec-13,7.09,7.09,6.88,7.00,69371
5-Dec-13,6.93,7.01,6.81,6.99,70534
4-Dec-13,7.02,7.11,6.91,6.95,134613
3-Dec-13,7.04,7.18,7.00,7.03,69902
2-Dec-13,6.89,7.08,6.82,7.07,130344
29-Nov-13,6.77,6.98,6.75,6.91,55790
27-Nov-13,6.59,6.79,6.59,6.76,75356
26-Nov-13,6.68,6.70,6.43,6.54,103118
25-Nov-13,6.63,6.73,6.55,6.65,70573
22-Nov-13,6.51,6.61,6.43,6.60,54179
21-Nov-13,6.44,6.57,6.44,6.49,49378
20-Nov-13,6.42,6.57,6.35,6.38,35869
19-Nov-13,6.50,6.59,6.30,6.35,56717
18-Nov-13,6.36,6.62,6.36,6.48,61640
15-Nov-13,6.30,6.36,6.30,6.31,102453
14-Nov-13,6.46,6.49,6.30,6.31,44944
13-Nov-13,6.22,6.45,6.21,6.44,148441
12-Nov-13,6.17,6.27,6.16,6.27,112890
11-Nov-13,6.16,6.19,6.10,6.17,143473
8-Nov-13,5.97,6.14,5.94,6.14,100256
7-Nov-13,6.34,6.34,5.98,5.99,94932
6-Nov-13,6.66,6.66,6.32,6.33,53640
5-Nov-13,6.76,6.76,6.50,6.64,176854
4-Nov-13,6.75,6.85,6.71,6.81,284511
1-Nov-13,6.77,6.79,6.71,6.71,263455
31-Oct-13,6.73,6.96,6.69,6.78,286749
30-Oct-13,6.60,6.80,6.59,6.72,160521
29-Oct-13,6.11,6.88,6.10,6.66,84294
28-Oct-13,6.93,6.97,6.80,6.85,38137
25-Oct-13,7.02,7.02,6.79,6.93,90685
24-Oct-13,6.74,7.00,6.74,6.99,100585
23-Oct-13,6.61,6.80,6.61,6.74,130054
22-Oct-13,6.58,6.74,6.56,6.67,77248
21-Oct-13,6.55,6.64,6.48,6.53,60037
18-Oct-13,6.51,6.60,6.43,6.55,111293
17-Oct-13,6.40,6.50,6.40,6.47,100326
16-Oct-13,6.27,6.45,6.27,6.44,94253
15-Oct-13,6.29,6.30,6.21,6.24,52176
14-Oct-13,6.23,6.30,6.23,6.29,66361
11-Oct-13,6.10,6.30,6.10,6.26,50825
10-Oct-13,6.20,6.22,6.08,6.13,48725
9-Oct-13,6.09,6.20,6.04,6.10,158299
8-Oct-13,6.10,6.10,6.00,6.05,62530
7-Oct-13,6.08,6.10,6.05,6.09,61082
4-Oct-13,6.13,6.23,6.11,6.16,36101
3-Oct-13,6.13,6.19,6.08,6.16,53260
2-Oct-13,6.25,6.25,6.09,6.12,139778
1-Oct-13,6.05,6.28,6.03,6.28,114956
30-Sep-13,6.05,6.10,6.00,6.07,103545
27-Sep-13,6.20,6.20,6.08,6.10,30772
26-Sep-13,6.30,6.31,6.16,6.25,47812
25-Sep-13,6.28,6.34,6.11,6.27,66281
24-Sep-13,6.12,6.34,6.05,6.25,60411
23-Sep-13,6.13,6.16,6.01,6.10,78377
20-Sep-13,6.13,6.15,6.07,6.10,283371
19-Sep-13,6.25,6.26,6.10,6.13,27952
18-Sep-13,6.15,6.25,6.12,6.25,64391
17-Sep-13,6.09,6.19,6.01,6.19,51800
16-Sep-13,6.16,6.17,6.01,6.07,46002
13-Sep-13,6.07,6.20,6.00,6.12,27208
12-Sep-13,6.01,6.09,6.01,6.04,35175
11-Sep-13,6.20,6.20,6.03,6.05,52762
10-Sep-13,6.14,6.25,6.05,6.23,55067
9-Sep-13,5.99,6.15,5.98,6.12,62429
6-Sep-13,6.10,6.10,5.81,5.99,78983
5-Sep-13,6.00,6.10,6.00,6.09,43342
4-Sep-13,5.85,6.03,5.72,6.01,110663
3-Sep-13,5.79,5.86,5.69,5.84,107356
30-Aug-13,6.01,6.01,5.65,5.71,76552
29-Aug-13,5.97,6.05,5.97,6.03,33706
28-Aug-13,6.10,6.14,5.94,5.98,164492
27-Aug-13,6.00,6.13,6.00,6.09,216054
26-Aug-13,5.98,6.15,5.98,6.09,239319
23-Aug-13,5.93,6.02,5.93,5.98,34450
22-Aug-13,5.77,5.96,5.67,5.93,55113
21-Aug-13,5.71,5.85,5.68,5.77,148227
20-Aug-13,5.67,5.86,5.66,5.75,97947
19-Aug-13,5.53,5.72,5.32,5.67,65728
16-Aug-13,5.65,5.76,5.50,5.51,116606
15-Aug-13,5.81,5.81,5.67,5.68,72119
14-Aug-13,5.91,5.96,5.82,5.92,88574
13-Aug-13,5.89,5.98,5.87,5.89,34498
12-Aug-13,5.76,5.91,5.76,5.90,28474
9-Aug-13,5.96,5.97,5.75,5.80,51162
8-Aug-13,5.94,6.03,5.88,5.97,27844
7-Aug-13,5.99,5.99,5.88,5.92,26698
6-Aug-13,6.02,6.05,5.94,6.02,80523
5-Aug-13,5.87,6.05,5.70,6.04,141423
2-Aug-13,5.98,6.06,5.90,5.95,31979
1-Aug-13,6.05,6.22,5.98,6.02,253536
31-Jul-13,6.15,6.15,5.99,6.06,59116
30-Jul-13,6.13,6.29,6.08,6.11,40385
29-Jul-13,6.19,6.20,6.07,6.08,19698
26-Jul-13,6.24,6.26,6.16,6.22,36505
25-Jul-13,6.15,6.32,6.00,6.31,85768
24-Jul-13,6.27,6.29,6.15,6.18,35713
23-Jul-13,6.31,6.31,6.22,6.22,37762
22-Jul-13,6.26,6.33,6.17,6.32,38550
19-Jul-13,6.30,6.33,6.24,6.30,45953
18-Jul-13,6.31,6.38,6.23,6.31,64894
17-Jul-13,6.30,6.32,6.09,6.30,76103
16-Jul-13,6.29,6.31,6.18,6.24,65457
15-Jul-13,6.30,6.32,6.16,6.30,75971
12-Jul-13,6.24,6.30,6.09,6.29,57052
11-Jul-13,6.30,6.30,6.11,6.23,81592
10-Jul-13,6.25,6.28,6.22,6.27,166516
9-Jul-13,6.30,6.30,6.20,6.25,100351
8-Jul-13,6.30,6.32,6.24,6.30,57641
5-Jul-13,6.30,6.30,6.23,6.29,51477
3-Jul-13,6.14,6.30,6.14,6.22,49232
2-Jul-13,6.17,6.22,6.14,6.21,133549
1-Jul-13,6.17,6.30,6.16,6.19,190498
28-Jun-13,6.17,6.25,6.09,6.12,115325
27-Jun-13,6.04,6.24,6.00,6.18,70194
26-Jun-13,5.84,6.05,5.80,6.00,194195
25-Jun-13,5.77,5.84,5.72,5.77,69966
24-Jun-13,5.86,5.86,5.55,5.68,102488
21-Jun-13,5.78,5.95,5.76,5.93,170047
20-Jun-13,5.89,5.95,5.70,5.76,76404
19-Jun-13,6.09,6.10,5.85,6.00,50100
18-Jun-13,5.93,6.15,5.93,6.12,58991
17-Jun-13,6.02,6.02,5.85,5.90,27951
14-Jun-13,6.07,6.07,5.92,5.98,72224
13-Jun-13,5.91,6.08,5.90,6.07,67796
12-Jun-13,6.06,6.12,5.90,5.92,58996
11-Jun-13,6.09,6.15,5.94,5.99,116157
10-Jun-13,6.06,6.14,5.98,6.09,101929
7-Jun-13,5.97,6.04,5.89,5.99,91760
6-Jun-13,5.96,5.98,5.68,5.90,75023
5-Jun-13,6.00,6.04,5.96,5.98,80575
4-Jun-13,6.25,6.29,5.90,6.03,297796
3-Jun-13,6.09,6.25,6.01,6.23,237256
31-May-13,5.90,6.13,5.76,6.05,266556
30-May-13,6.00,6.10,5.94,5.97,101284
29-May-13,5.86,5.99,5.83,5.98,65869
28-May-13,5.85,5.94,5.47,5.93,137213
24-May-13,5.73,5.82,5.62,5.78,50153
23-May-13,5.44,5.78,5.44,5.77,62492
22-May-13,5.74,5.82,5.50,5.52,98719
21-May-13,5.82,5.90,5.65,5.75,82070
20-May-13,5.82,5.89,5.67,5.85,68765
17-May-13,5.71,5.90,5.71,5.83,153300
16-May-13,5.66,5.70,5.56,5.69,66839
15-May-13,5.58,5.73,5.54,5.69,64143
14-May-13,5.65,5.67,5.57,5.62,215304
13-May-13,5.58,5.71,5.56,5.64,111795
10-May-13,5.60,5.64,5.46,5.61,64013
9-May-13,5.57,5.76,5.51,5.64,325946
8-May-13,5.12,5.84,5.12,5.57,626936
7-May-13,5.37,5.44,5.36,5.43,82186
6-May-13,5.31,5.37,5.27,5.36,16118
3-May-13,5.29,5.36,5.23,5.32,84053
2-May-13,5.23,5.37,5.13,5.23,91396
1-May-13,5.27,5.33,5.16,5.19,148908
30-Apr-13,5.18,5.33,5.18,5.32,114952
29-Apr-13,5.18,5.21,5.16,5.21,131539
26-Apr-13,5.22,5.22,5.15,5.18,89344
25-Apr-13,5.40,5.49,5.23,5.24,62781
24-Apr-13,5.21,5.36,5.17,5.36,52449
23-Apr-13,5.21,5.26,5.11,5.26,114794
22-Apr-13,5.27,5.27,5.09,5.12,42560
19-Apr-13,5.09,5.29,5.09,5.28,50511
18-Apr-13,5.11,5.16,5.01,5.09,66030
17-Apr-13,5.18,5.34,5.05,5.08,97072
16-Apr-13,5.42,5.45,5.22,5.24,174295
15-Apr-13,5.35,5.38,5.33,5.35,208262
12-Apr-13,5.28,5.36,5.25,5.35,43646
11-Apr-13,5.32,5.35,5.29,5.34,20869
10-Apr-13,5.21,5.34,5.20,5.32,58142
9-Apr-13,5.23,5.27,5.21,5.22,60593
8-Apr-13,5.04,5.23,5.03,5.23,151007
5-Apr-13,4.95,5.10,4.90,5.05,80624
4-Apr-13,5.15,5.17,5.03,5.06,65584
3-Apr-13,5.18,5.23,5.12,5.15,92505
2-Apr-13,5.40,5.41,5.16,5.18,120202
1-Apr-13,5.30,5.37,5.29,5.34,88824
28-Mar-13,5.35,5.36,5.30,5.31,69607
27-Mar-13,5.17,5.38,5.17,5.32,71896
26-Mar-13,5.46,5.46,5.13,5.21,79727
25-Mar-13,5.41,5.44,5.30,5.40,51849
22-Mar-13,5.45,5.45,5.35,5.38,41111
21-Mar-13,5.37,5.46,5.34,5.39,37256
20-Mar-13,5.45,5.49,5.34,5.45,61364
19-Mar-13,5.45,5.50,5.41,5.44,84861
18-Mar-13,5.33,5.50,5.30,5.45,33275
15-Mar-13,5.45,5.52,5.42,5.44,146057
14-Mar-13,5.42,5.48,5.29,5.47,87157
13-Mar-13,5.32,5.44,5.32,5.41,34776
12-Mar-13,5.43,5.45,5.32,5.33,26110
11-Mar-13,5.47,5.48,5.36,5.43,41913
8-Mar-13,5.56,5.56,5.34,5.51,64044
7-Mar-13,5.38,5.52,5.24,5.50,69663
6-Mar-13,5.23,5.40,5.09,5.40,73349
5-Mar-13,5.30,5.40,5.16,5.19,177061
4-Mar-13,5.27,5.50,5.21,5.24,83821
1-Mar-13,5.23,5.33,5.15,5.27,71151
28-Feb-13,5.53,5.58,5.29,5.29,132424
27-Feb-13,5.42,5.64,5.42,5.55,68670
26-Feb-13,5.38,5.46,5.30,5.44,66182
25-Feb-13,5.75,5.75,5.32,5.33,53699
