Date,Open,High,Low,Close,Volume
31-Dec-13,7.71,7.82,7.64,7.71,119935
30-Dec-13,7.74,7.85,7.55,7.66,108673
27-Dec-13,7.78,7.87,7.69,7.70,109010
26-Dec-13,7.75,7.82,7.69,7.71,78659
24-Dec-13,7.75,7.75,7.66,7.68,46840
23-Dec-13,7.83,7.85,7.69,7.77,479327
20-Dec-13,7.54,7.72,7.53,7.65,381447
19-Dec-13,7.71,7.71,7.43,7.51,137532
18-Dec-13,7.72,7.73,7.64,7.69,221629
17-Dec-13,7.65,7.88,7.64,7.69,291236
16-Dec-13,7.34,7.47,7.34,7.46,171609
13-Dec-13,7.25,7.32,7.23,7.29,252139
12-Dec-13,7.14,7.38,6.97,7.25,429889
11-Dec-13,6.96,7.12,6.93,7.00,272218
10-Dec-13,7.04,7.07,6.86,6.98,203262
9-Dec-13,7.04,7.10,7.04,7.07,73056
6-Dec-13,7.15,7.18,7.07,7.10,276114
5-Dec-13,7.11,7.17,7.06,7.14,60746
4-Dec-13,7.01,7.16,7.01,7.14,115836
3-Dec-13,7.10,7.16,6.92,6.99,254076
2-Dec-13,7.12,7.21,7.01,7.03,223765
29-Nov-13,6.97,7.11,6.84,7.06,159098
27-Nov-13,6.90,6.99,6.86,6.94,124694
26-Nov-13,6.94,6.99,6.79,6.84,263778
25-Nov-13,6.95,6.96,6.78,6.78,288016
22-Nov-13,6.55,6.78,6.48,6.68,360151
21-Nov-13,7.00,7.05,6.47,6.51,436637
20-Nov-13,7.09,7.27,6.80,6.93,414490
19-Nov-13,6.72,7.11,6.64,7.09,905882
18-Nov-13,6.49,6.97,6.44,6.73,1107761
15-Nov-13,6.30,6.46,6.26,6.36,611537
14-Nov-13,6.82,6.82,6.25,6.28,1351454
13-Nov-13,6.89,6.89,6.64,6.65,86267
12-Nov-13,6.92,6.97,6.75,6.87,45967
11-Nov-13,6.80,6.93,6.78,6.86,32117
8-Nov-13,6.50,6.75,6.50,6.73,20411
7-Nov-13,6.54,6.71,6.40,6.51,37851
6-Nov-13,6.48,6.61,6.44,6.53,69583
5-Nov-13,6.43,6.45,6.38,6.43,13100
