Date,Open,High,Low,Close,Volume
31-Dec-13,11.52,11.61,11.19,11.37,151216
30-Dec-13,11.31,11.61,11.19,11.46,86427
27-Dec-13,11.40,11.49,11.13,11.28,59514
26-Dec-13,11.34,11.40,11.25,11.34,22325
24-Dec-13,11.43,11.49,11.28,11.34,40598
23-Dec-13,11.25,11.70,11.25,11.46,164513
20-Dec-13,11.10,11.40,10.95,11.13,197844
19-Dec-13,10.74,11.25,10.71,11.04,73029
18-Dec-13,10.14,10.95,10.11,10.80,199553
17-Dec-13,10.35,10.38,10.08,10.14,86949
16-Dec-13,10.26,10.41,10.14,10.41,106330
13-Dec-13,9.90,10.29,9.75,10.23,114557
12-Dec-13,10.35,10.35,9.81,10.11,215976
11-Dec-13,10.26,10.44,10.17,10.38,113308
10-Dec-13,10.23,10.48,10.11,10.26,99361
9-Dec-13,10.80,10.80,10.08,10.29,200732
6-Dec-13,10.38,11.04,10.20,10.83,315706
5-Dec-13,10.71,10.74,10.20,10.26,177998
4-Dec-13,11.01,11.19,10.59,10.80,161824
3-Dec-13,11.43,11.64,11.04,11.19,123606
2-Dec-13,12.00,12.00,11.46,11.49,91683
29-Nov-13,12.00,12.21,11.91,12.00,27213
27-Nov-13,11.97,12.18,11.61,11.91,91463
26-Nov-13,11.94,12.06,11.79,12.00,83139
25-Nov-13,11.97,12.09,11.82,11.88,32927
22-Nov-13,12.30,12.30,11.79,11.91,48901
21-Nov-13,11.97,12.44,11.88,12.27,61537
20-Nov-13,13.08,13.20,11.52,11.88,241384
19-Nov-13,12.96,13.26,12.84,12.99,59011
18-Nov-13,13.35,13.56,12.99,12.99,108497
15-Nov-13,13.29,13.47,12.99,13.32,71140
14-Nov-13,13.35,13.59,13.20,13.38,42600
13-Nov-13,13.32,13.54,13.17,13.41,99532
12-Nov-13,13.20,13.68,13.17,13.47,202563
11-Nov-13,13.26,13.59,13.17,13.23,145276
8-Nov-13,13.02,13.34,12.90,13.32,87738
7-Nov-13,13.50,13.65,12.87,13.05,114123
6-Nov-13,13.50,13.62,13.45,13.47,112614
5-Nov-13,13.50,13.92,13.41,13.44,259584
4-Nov-13,13.20,13.65,13.17,13.56,124660
1-Nov-13,13.11,13.65,12.75,13.23,259092
31-Oct-13,16.50,16.50,12.36,13.38,723580
30-Oct-13,16.80,16.98,16.47,16.71,164120
29-Oct-13,16.44,16.86,16.35,16.86,62852
28-Oct-13,16.47,16.47,15.99,16.32,45703
25-Oct-13,17.10,17.10,16.38,16.50,33614
24-Oct-13,16.89,17.10,16.83,17.04,50716
23-Oct-13,16.56,16.86,16.26,16.83,54399
22-Oct-13,16.86,16.98,16.50,16.68,47978
21-Oct-13,16.89,16.95,16.26,16.80,78831
18-Oct-13,16.65,16.98,16.47,16.80,133533
17-Oct-13,15.96,16.53,15.94,16.44,104488
16-Oct-13,16.20,16.37,15.69,16.05,58874
15-Oct-13,16.44,16.44,15.99,16.02,40603
14-Oct-13,16.47,16.59,16.20,16.47,27482
11-Oct-13,15.87,16.86,15.84,16.65,97547
10-Oct-13,15.84,16.20,15.75,15.96,119325
9-Oct-13,15.75,15.96,15.48,15.57,106511
8-Oct-13,15.90,16.06,15.54,15.69,168467
7-Oct-13,16.17,16.26,15.69,15.78,65657
4-Oct-13,16.08,16.71,16.08,16.35,94881
3-Oct-13,16.98,17.07,16.11,16.11,59394
2-Oct-13,16.74,17.04,16.53,17.01,80343
1-Oct-13,16.29,16.94,16.29,16.86,61063
30-Sep-13,16.95,17.04,16.17,16.35,116947
27-Sep-13,17.01,17.40,16.86,17.16,33985
26-Sep-13,17.43,17.49,17.04,17.19,55197
25-Sep-13,17.64,17.64,17.25,17.40,67069
24-Sep-13,17.22,17.76,17.01,17.67,101474
23-Sep-13,17.13,17.38,16.71,17.19,55694
20-Sep-13,16.71,17.25,16.62,17.13,154646
19-Sep-13,16.83,16.83,16.56,16.68,73376
18-Sep-13,16.86,16.95,16.29,16.86,30540
17-Sep-13,16.56,16.86,16.41,16.83,95681
16-Sep-13,17.10,17.10,16.35,16.56,121185
13-Sep-13,16.83,16.98,16.74,16.89,50177
12-Sep-13,16.95,17.10,16.74,16.83,110131
11-Sep-13,17.16,17.22,16.71,16.92,81014
10-Sep-13,17.28,17.40,17.04,17.22,100768
9-Sep-13,17.31,17.34,16.80,17.16,141751
6-Sep-13,16.65,17.31,16.22,17.22,291753
5-Sep-13,16.14,16.77,15.87,16.56,135246
4-Sep-13,16.53,16.56,15.90,16.05,140622
3-Sep-13,15.60,16.59,15.45,16.56,199428
30-Aug-13,15.45,15.54,15.03,15.42,97029
29-Aug-13,15.60,16.05,15.42,15.48,118228
28-Aug-13,15.60,15.93,15.24,15.57,170370
27-Aug-13,15.33,15.96,15.27,15.63,140045
26-Aug-13,15.96,16.14,15.39,15.57,139449
23-Aug-13,16.17,16.23,15.93,15.96,69232
22-Aug-13,15.99,16.44,15.72,16.17,80193
21-Aug-13,16.14,16.20,15.60,15.93,151520
20-Aug-13,15.90,16.20,15.81,16.17,178605
19-Aug-13,16.32,16.50,15.93,15.93,71890
16-Aug-13,16.47,17.10,15.75,16.41,669787
15-Aug-13,16.71,17.07,16.44,16.59,122139
14-Aug-13,18.06,18.15,16.71,17.04,284013
13-Aug-13,17.91,18.15,17.82,18.06,82716
12-Aug-13,18.12,18.12,17.73,17.97,54365
9-Aug-13,18.51,18.72,17.88,18.15,58365
8-Aug-13,18.27,18.84,18.18,18.51,179514
7-Aug-13,17.82,18.51,17.31,18.18,259030
6-Aug-13,17.43,18.00,17.13,17.82,136139
5-Aug-13,17.67,17.85,17.37,17.67,123194
2-Aug-13,17.76,18.09,17.40,17.88,149006
1-Aug-13,16.50,18.54,16.41,17.94,532221
31-Jul-13,14.76,15.39,14.55,15.15,81968
30-Jul-13,14.91,15.21,14.55,14.67,73588
29-Jul-13,15.78,15.78,14.61,14.79,128687
26-Jul-13,15.87,16.05,15.51,15.84,23638
25-Jul-13,15.75,16.05,15.60,16.05,69770
24-Jul-13,15.60,15.93,15.60,15.87,42207
23-Jul-13,15.90,15.96,15.57,15.57,52559
22-Jul-13,15.51,16.05,15.15,15.96,111595
19-Jul-13,15.81,15.81,15.39,15.57,106171
18-Jul-13,15.78,16.05,15.75,15.84,37676
17-Jul-13,15.90,16.14,15.51,15.72,79740
16-Jul-13,15.45,15.90,15.39,15.75,147120
15-Jul-13,14.97,15.75,14.94,15.51,215130
12-Jul-13,14.88,15.06,14.58,14.91,260899
11-Jul-13,14.82,15.00,14.46,14.82,172030
10-Jul-13,14.25,14.70,14.25,14.61,23400
9-Jul-13,14.64,14.73,14.19,14.25,108898
8-Jul-13,14.73,14.79,14.16,14.55,81804
5-Jul-13,14.67,14.73,14.27,14.70,41702
3-Jul-13,13.92,14.49,13.92,14.37,15108
2-Jul-13,14.31,14.58,13.62,13.95,56091
1-Jul-13,13.74,14.46,13.74,14.37,49293
