Date,Open,High,Low,Close,Volume
31-Dec-13,23.92,24.42,23.81,24.28,155341
30-Dec-13,23.82,23.85,23.35,23.81,83964
27-Dec-13,24.26,24.38,23.58,23.73,111951
26-Dec-13,24.41,24.66,24.04,24.12,81362
24-Dec-13,24.03,24.47,24.03,24.29,42932
23-Dec-13,23.83,24.09,23.81,24.08,293386
20-Dec-13,23.64,24.05,23.64,23.84,470310
19-Dec-13,23.73,23.82,23.48,23.61,107783
18-Dec-13,23.66,23.98,23.23,23.73,172783
17-Dec-13,23.59,23.99,22.91,23.56,191437
16-Dec-13,23.07,23.72,23.01,23.54,179815
13-Dec-13,22.90,23.12,22.50,22.90,134928
12-Dec-13,22.87,23.08,22.73,22.92,154436
11-Dec-13,22.97,22.97,22.63,22.87,123848
10-Dec-13,23.46,23.46,22.94,22.97,146070
9-Dec-13,23.48,23.65,23.39,23.57,180519
6-Dec-13,23.41,23.68,23.06,23.33,118698
5-Dec-13,22.77,23.21,22.47,23.16,137957
4-Dec-13,23.43,23.43,22.42,22.78,170055
3-Dec-13,23.43,23.63,22.94,23.60,635380
2-Dec-13,23.70,23.79,23.31,23.56,334447
29-Nov-13,23.05,23.23,22.70,23.20,200940
27-Nov-13,22.86,23.23,22.61,22.90,242689
26-Nov-13,22.58,22.97,22.05,22.78,290020
25-Nov-13,22.75,23.05,22.37,22.47,408972
22-Nov-13,22.80,22.95,22.48,22.85,251915
21-Nov-13,23.35,23.35,22.71,22.75,279908
20-Nov-13,23.66,23.72,23.29,23.40,170338
19-Nov-13,23.85,23.86,22.00,23.52,140780
18-Nov-13,23.50,23.77,23.42,23.55,97359
15-Nov-13,23.47,23.66,23.30,23.48,49883
14-Nov-13,23.53,23.54,23.20,23.51,45080
13-Nov-13,22.94,23.49,22.76,23.48,48633
12-Nov-13,23.00,23.20,22.77,23.04,79305
11-Nov-13,23.09,23.18,22.88,23.02,104204
8-Nov-13,22.98,23.28,22.65,23.07,82076
7-Nov-13,23.43,23.50,22.89,23.03,80280
6-Nov-13,23.70,23.72,23.17,23.36,62979
5-Nov-13,23.75,23.90,23.50,23.55,54063
4-Nov-13,23.88,23.97,23.67,23.80,99294
1-Nov-13,23.52,23.99,23.39,23.70,129401
31-Oct-13,23.94,23.94,22.94,23.53,151565
30-Oct-13,24.11,24.30,23.88,24.00,117499
29-Oct-13,24.33,24.49,23.92,24.12,88168
28-Oct-13,23.76,24.49,23.58,24.21,155627
25-Oct-13,23.30,23.81,23.06,23.69,119971
24-Oct-13,23.30,23.31,22.81,23.21,118607
23-Oct-13,23.01,23.29,22.86,22.97,72493
22-Oct-13,23.12,23.30,22.80,23.08,95915
21-Oct-13,23.10,23.44,22.95,23.08,65131
18-Oct-13,23.41,23.41,22.78,23.14,56810
17-Oct-13,23.13,23.36,22.93,23.17,88659
16-Oct-13,22.96,23.24,22.81,23.12,42911
15-Oct-13,22.64,22.93,22.54,22.85,67348
14-Oct-13,22.58,22.80,22.44,22.69,36694
11-Oct-13,22.24,22.73,22.16,22.67,65379
10-Oct-13,22.21,22.54,22.00,22.37,47343
9-Oct-13,21.77,22.27,21.73,21.88,72729
8-Oct-13,22.80,24.78,21.77,21.81,70974
7-Oct-13,21.88,22.48,21.88,22.15,101320
4-Oct-13,21.65,22.21,21.65,22.04,62772
3-Oct-13,21.77,22.05,21.25,21.71,62105
2-Oct-13,22.06,22.24,21.63,21.76,54084
1-Oct-13,22.12,22.21,21.90,22.20,91405
