Date,Open,High,Low,Close,Volume
31-Dec-13,24.50,24.66,24.24,24.39,50343
30-Dec-13,25.01,25.26,24.45,24.52,115017
27-Dec-13,24.86,25.40,24.55,25.11,76141
26-Dec-13,25.22,25.41,24.68,24.75,117398
24-Dec-13,25.14,25.18,24.99,25.14,16818
23-Dec-13,25.09,25.17,24.70,24.98,69850
20-Dec-13,24.23,25.25,24.04,25.10,207761
19-Dec-13,23.79,24.25,23.59,24.14,78738
18-Dec-13,23.50,24.15,23.45,23.93,63042
17-Dec-13,22.71,23.59,22.52,23.42,54985
16-Dec-13,23.37,23.48,22.72,22.75,43938
13-Dec-13,23.01,23.59,23.00,23.34,47131
12-Dec-13,23.37,23.71,22.89,23.00,33881
11-Dec-13,24.03,24.06,23.14,23.28,46421
10-Dec-13,23.80,24.17,23.79,24.05,74356
9-Dec-13,23.78,23.99,23.65,23.93,61043
6-Dec-13,23.88,24.04,23.44,23.84,101678
5-Dec-13,23.20,23.92,23.03,23.76,69067
4-Dec-13,23.22,23.48,22.51,23.26,74815
3-Dec-13,22.51,23.92,22.51,23.47,72540
2-Dec-13,24.05,24.23,22.57,22.62,52893
29-Nov-13,24.11,24.24,23.84,24.12,12191
27-Nov-13,23.74,24.15,23.49,23.99,83730
26-Nov-13,23.41,24.00,23.22,23.65,36153
25-Nov-13,23.23,23.98,23.23,23.45,27212
22-Nov-13,22.90,23.44,22.63,23.23,39305
21-Nov-13,22.14,22.89,22.09,22.85,41260
20-Nov-13,22.14,22.41,21.80,22.13,44674
19-Nov-13,22.49,22.60,21.90,22.09,45256
18-Nov-13,23.59,23.65,22.38,22.58,78251
15-Nov-13,22.84,23.76,22.82,23.58,56944
14-Nov-13,23.10,23.19,22.50,22.84,37177
13-Nov-13,22.57,23.28,22.57,23.19,28156
12-Nov-13,22.06,22.85,22.06,22.61,58617
11-Nov-13,21.93,22.36,21.81,22.28,66086
8-Nov-13,21.60,22.17,21.58,22.12,72138
7-Nov-13,22.59,22.59,21.27,21.61,59593
6-Nov-13,23.68,23.68,21.61,22.52,47785
5-Nov-13,23.09,23.49,23.03,23.21,21601
4-Nov-13,23.57,23.57,22.73,23.36,75406
1-Nov-13,23.53,23.81,22.95,23.62,47932
31-Oct-13,24.21,24.27,23.46,23.58,39086
30-Oct-13,24.42,24.48,24.17,24.27,26011
29-Oct-13,24.07,24.50,23.97,24.48,22317
28-Oct-13,23.98,24.28,23.65,24.06,27548
25-Oct-13,24.43,24.44,23.73,24.04,32889
24-Oct-13,24.38,24.50,24.01,24.48,18491
23-Oct-13,23.96,24.49,23.43,24.41,25570
22-Oct-13,24.23,24.23,23.38,24.05,33813
21-Oct-13,24.31,24.50,23.88,24.08,36033
