Date,Open,High,Low,Close,Volume
31-Dec-13,280.00,288.25,279.75,280.00,44458
30-Dec-13,279.00,280.50,275.00,280.00,154722
27-Dec-13,280.75,281.00,279.00,279.50,29463
24-Dec-13,280.00,280.00,274.75,280.00,39293
23-Dec-13,280.75,280.75,271.00,277.00,304547
20-Dec-13,282.25,285.75,278.00,280.00,4823341
19-Dec-13,277.00,284.75,276.25,280.00,278575
18-Dec-13,275.00,275.50,270.25,273.00,604317
17-Dec-13,274.00,274.00,268.00,271.00,406789
16-Dec-13,271.75,276.50,271.25,273.00,1044683
13-Dec-13,265.00,274.50,264.00,270.39,548084
12-Dec-13,258.00,263.50,255.25,260.00,705455
11-Dec-13,255.50,260.75,255.25,257.00,164205
10-Dec-13,262.00,262.00,252.25,258.07,375106
9-Dec-13,258.75,260.00,250.00,260.00,128192
6-Dec-13,259.25,264.50,257.75,259.00,470282
5-Dec-13,257.75,262.00,256.00,259.00,282677
4-Dec-13,266.50,266.50,256.75,256.75,99465
3-Dec-13,262.00,263.00,258.00,258.50,379619
2-Dec-13,250.00,260.00,250.00,258.50,907595
29-Nov-13,254.75,254.75,249.75,249.75,454296
28-Nov-13,243.00,252.00,243.00,247.75,224204
27-Nov-13,249.75,250.00,245.00,245.75,417570
26-Nov-13,245.00,253.50,245.00,249.50,57819
25-Nov-13,247.25,250.00,243.75,249.00,154060
22-Nov-13,245.50,247.25,240.25,242.75,306673
21-Nov-13,244.00,245.00,237.75,242.50,195024
20-Nov-13,235.00,246.25,234.00,239.75,494516
19-Nov-13,255.00,255.00,238.25,240.75,243730
18-Nov-13,253.00,253.00,237.00,246.00,684017
15-Nov-13,250.00,252.75,242.00,245.00,522061
14-Nov-13,245.25,254.50,245.25,251.50,589566
13-Nov-13,254.50,254.50,240.50,252.00,954600
12-Nov-13,260.00,260.00,248.50,250.50,687686
11-Nov-13,249.00,256.75,245.25,251.50,451950
8-Nov-13,245.00,255.00,243.00,251.25,1038545
7-Nov-13,248.00,250.00,244.00,248.75,693109
6-Nov-13,245.00,250.00,242.75,246.00,1670292
5-Nov-13,234.50,240.00,234.25,236.64,1248811
4-Nov-13,228.00,234.50,226.00,234.00,1084550
1-Nov-13,229.75,229.75,225.00,225.00,1660925
31-Oct-13,227.00,228.00,224.75,225.90,1354454
30-Oct-13,225.00,229.00,225.00,226.39,820222
29-Oct-13,228.00,230.00,224.50,225.69,1086257
28-Oct-13,230.00,230.00,222.00,226.00,1328734
25-Oct-13,232.00,233.00,227.25,230.00,1454915
24-Oct-13,228.50,230.00,225.00,227.92,986771
23-Oct-13,225.00,-,219.75,223.06,4271194
22-Oct-13,235.00,240.00,218.00,234.96,33946865
