Date,Open,High,Low,Close,Volume
31-Dec-13,9.90,10.08,9.76,10.01,324549
30-Dec-13,9.66,9.95,9.66,9.88,178148
27-Dec-13,9.44,9.64,9.36,9.62,175653
26-Dec-13,9.49,9.50,9.40,9.45,138382
24-Dec-13,9.35,9.50,9.25,9.45,117662
23-Dec-13,9.22,9.39,9.15,9.33,272242
20-Dec-13,8.82,9.32,8.82,9.26,398134
19-Dec-13,8.63,8.87,8.59,8.84,197580
18-Dec-13,8.64,8.77,8.59,8.68,352297
17-Dec-13,8.60,8.71,8.56,8.63,168439
16-Dec-13,8.66,8.69,8.51,8.59,191632
13-Dec-13,8.53,8.76,8.35,8.67,349785
12-Dec-13,8.33,8.60,8.27,8.43,290002
11-Dec-13,8.80,8.83,8.37,8.42,687142
10-Dec-13,9.11,9.11,8.81,8.82,175017
9-Dec-13,9.26,9.30,8.99,9.00,182749
6-Dec-13,9.26,9.39,9.16,9.29,163814
5-Dec-13,9.12,9.27,8.95,9.22,146299
4-Dec-13,9.01,9.16,8.93,9.16,315421
3-Dec-13,9.11,9.21,9.00,9.03,247720
2-Dec-13,9.17,9.36,9.09,9.10,223867
29-Nov-13,9.23,9.32,9.03,9.25,120515
27-Nov-13,9.12,9.27,9.02,9.22,245908
26-Nov-13,9.05,9.20,8.94,9.10,407503
25-Nov-13,9.10,9.24,9.00,9.09,395387
22-Nov-13,9.17,9.24,8.98,9.12,283616
21-Nov-13,9.39,9.41,9.18,9.19,207023
20-Nov-13,9.40,9.63,9.25,9.40,231565
19-Nov-13,9.45,9.63,9.38,9.41,419146
18-Nov-13,9.36,9.51,9.28,9.41,259848
15-Nov-13,9.42,9.48,9.26,9.39,179154
14-Nov-13,9.09,9.53,9.06,9.49,300985
13-Nov-13,8.97,9.18,8.97,9.13,229712
12-Nov-13,9.10,9.12,8.82,9.09,265428
11-Nov-13,9.24,9.36,8.84,9.03,400421
8-Nov-13,9.42,9.44,9.14,9.27,348500
7-Nov-13,8.95,9.66,8.85,9.49,1141520
6-Nov-13,10.27,10.67,8.88,8.89,1410368
5-Nov-13,10.80,10.80,10.47,10.70,245955
4-Nov-13,10.54,10.89,10.54,10.80,397718
1-Nov-13,10.77,10.77,10.30,10.54,557744
31-Oct-13,10.84,10.87,10.72,10.77,117681
30-Oct-13,10.14,11.12,10.14,10.85,179086
29-Oct-13,10.98,11.19,10.86,10.97,212679
28-Oct-13,10.78,11.00,10.76,10.98,210843
25-Oct-13,10.89,10.90,10.73,10.83,166052
24-Oct-13,10.81,10.91,10.77,10.84,209786
