Date,Open,High,Low,Close,Volume
31-Dec-13,41.20,42.60,40.83,42.10,130537
30-Dec-13,41.49,41.49,39.97,41.19,255988
27-Dec-13,42.01,42.23,41.36,41.44,130409
26-Dec-13,43.00,43.08,41.53,41.72,151747
24-Dec-13,43.00,43.18,42.73,42.93,77352
23-Dec-13,43.00,43.10,42.71,42.90,115683
20-Dec-13,42.66,43.41,42.14,43.13,363064
19-Dec-13,42.06,43.00,42.04,42.66,215418
18-Dec-13,42.13,42.48,41.50,42.17,220522
17-Dec-13,41.86,42.50,41.74,42.13,217931
16-Dec-13,41.76,42.46,41.60,42.03,171995
13-Dec-13,41.76,42.04,41.53,41.61,137793
12-Dec-13,41.54,42.58,41.42,41.56,140968
11-Dec-13,41.94,42.80,41.36,41.56,168205
10-Dec-13,42.44,42.94,42.00,42.06,233927
9-Dec-13,44.00,44.15,42.57,42.94,219996
6-Dec-13,44.75,45.18,43.31,44.01,110658
5-Dec-13,44.93,45.31,44.12,44.19,104350
4-Dec-13,44.06,45.47,43.62,44.98,181663
3-Dec-13,45.82,46.21,44.05,44.15,213246
2-Dec-13,46.07,46.75,45.22,46.02,156902
29-Nov-13,46.38,46.68,45.61,46.07,83308
27-Nov-13,48.01,48.01,45.54,46.03,125776
26-Nov-13,47.39,48.61,46.60,48.01,119675
25-Nov-13,47.65,47.95,46.57,47.46,88938
22-Nov-13,48.34,48.34,47.02,47.64,70351
21-Nov-13,45.99,48.57,45.99,48.30,118896
20-Nov-13,47.12,47.12,45.33,45.69,83968
19-Nov-13,47.83,48.20,46.73,47.03,136256
18-Nov-13,48.44,49.00,47.61,47.86,145294
15-Nov-13,47.69,48.57,47.69,48.29,56759
14-Nov-13,48.17,48.42,47.19,47.70,125656
13-Nov-13,46.88,48.34,46.88,48.30,69577
12-Nov-13,46.66,47.33,46.33,47.30,76368
11-Nov-13,46.71,47.18,45.85,46.87,51584
8-Nov-13,45.72,47.12,45.44,46.76,117274
7-Nov-13,46.39,46.92,45.69,45.72,93229
6-Nov-13,46.60,47.00,45.74,46.14,70359
5-Nov-13,45.31,46.50,44.81,46.40,55716
4-Nov-13,44.20,45.65,43.91,45.45,129637
1-Nov-13,45.61,45.63,43.94,44.03,208682
31-Oct-13,45.98,46.36,45.23,45.44,130203
30-Oct-13,47.20,47.38,45.69,45.96,108863
29-Oct-13,46.91,47.38,46.26,46.89,101221
28-Oct-13,47.44,48.66,45.62,46.64,237063
25-Oct-13,48.00,49.40,46.79,47.27,252827
24-Oct-13,46.55,48.13,44.00,47.83,429959
23-Oct-13,44.89,45.09,41.85,42.34,198616
22-Oct-13,46.34,46.51,44.84,45.13,100149
21-Oct-13,46.90,47.21,45.48,46.06,157438
