Date,Open,High,Low,Close,Volume
31-Dec-13,6.72,7.00,6.63,6.98,64923
30-Dec-13,6.57,6.73,6.45,6.72,24201
27-Dec-13,6.52,6.61,6.45,6.60,44748
26-Dec-13,6.90,6.90,6.48,6.58,59775
24-Dec-13,6.76,6.93,6.72,6.85,21067
23-Dec-13,6.88,6.90,6.71,6.79,26147
20-Dec-13,6.65,6.95,6.57,6.95,93824
19-Dec-13,6.73,6.73,6.60,6.61,11781
18-Dec-13,6.49,6.77,6.48,6.69,51333
17-Dec-13,6.55,6.67,6.48,6.54,56200
16-Dec-13,6.49,6.65,6.40,6.60,121750
13-Dec-13,6.46,6.53,6.38,6.52,139176
12-Dec-13,6.47,6.53,6.33,6.47,40700
11-Dec-13,6.16,6.54,6.01,6.44,92124
10-Dec-13,6.35,6.45,6.08,6.23,70453
9-Dec-13,6.59,6.59,6.21,6.41,61497
6-Dec-13,6.54,6.56,6.31,6.54,66379
5-Dec-13,6.60,6.68,6.43,6.48,85597
4-Dec-13,6.55,6.64,6.55,6.59,50102
3-Dec-13,6.69,6.69,6.48,6.62,142782
2-Dec-13,6.27,6.48,6.15,6.48,69061
29-Nov-13,6.07,6.30,6.07,6.13,44096
27-Nov-13,6.27,6.27,5.99,6.10,251538
26-Nov-13,6.42,6.45,6.10,6.20,382569
25-Nov-13,6.70,6.70,6.43,6.45,255893
22-Nov-13,7.25,7.25,6.60,6.75,1260017
21-Nov-13,6.64,7.03,6.64,6.99,147305
20-Nov-13,6.85,7.03,6.52,6.64,49579
19-Nov-13,6.96,7.25,6.71,6.83,49086
18-Nov-13,7.00,7.30,6.81,6.91,68035
15-Nov-13,7.56,7.94,7.30,7.60,79789
14-Nov-13,7.83,7.99,7.83,7.99,32908
13-Nov-13,7.93,7.98,7.83,7.91,13208
12-Nov-13,7.95,7.96,7.90,7.91,3054
11-Nov-13,7.88,7.99,7.86,7.91,10557
8-Nov-13,7.96,8.05,7.87,7.87,5631
7-Nov-13,8.04,8.10,7.91,8.03,13219
6-Nov-13,8.12,8.29,7.92,8.00,17785
5-Nov-13,8.01,8.10,7.92,8.05,51735
4-Nov-13,8.17,8.31,8.07,8.09,10749
1-Nov-13,8.40,8.50,7.93,8.10,43627
31-Oct-13,7.84,8.23,7.76,8.15,12998
30-Oct-13,7.97,8.08,7.84,7.86,10583
29-Oct-13,8.01,8.05,7.90,7.91,21737
28-Oct-13,7.90,8.18,7.89,7.90,13252
25-Oct-13,7.91,8.05,7.87,7.94,24984
24-Oct-13,7.98,8.09,7.90,8.00,53333
23-Oct-13,7.96,8.13,7.75,7.97,28693
22-Oct-13,8.15,8.15,7.95,7.98,17494
21-Oct-13,8.39,8.40,8.10,8.17,37594
18-Oct-13,8.01,8.36,7.96,8.35,31876
17-Oct-13,7.80,8.00,7.80,8.00,19478
16-Oct-13,7.87,7.95,7.76,7.83,32403
15-Oct-13,7.78,7.90,7.74,7.85,29941
14-Oct-13,7.83,7.83,7.72,7.79,13463
11-Oct-13,7.87,7.98,7.70,7.94,19378
10-Oct-13,8.22,8.32,7.95,7.98,27870
9-Oct-13,8.18,8.18,7.93,8.09,19855
8-Oct-13,8.04,8.20,7.99,8.12,23344
7-Oct-13,8.09,8.10,7.85,7.98,37156
4-Oct-13,8.13,8.19,7.85,8.06,33045
3-Oct-13,7.85,8.25,7.75,8.10,174463
2-Oct-13,7.85,7.88,7.75,7.85,28015
1-Oct-13,7.68,7.85,7.64,7.85,519127
30-Sep-13,7.85,7.85,7.51,7.60,168018
27-Sep-13,7.84,7.90,7.72,7.84,71274
26-Sep-13,7.95,7.98,7.85,7.89,55169
25-Sep-13,7.88,8.00,7.87,7.96,32076
24-Sep-13,7.62,8.00,7.62,7.90,131782
23-Sep-13,7.29,7.75,7.03,7.65,89099
20-Sep-13,7.62,7.62,7.24,7.24,59874
19-Sep-13,7.54,7.65,7.51,7.64,67081
18-Sep-13,7.51,7.65,7.51,7.56,81617
17-Sep-13,7.24,7.68,7.24,7.54,161135
16-Sep-13,7.69,7.69,7.16,7.26,32314
13-Sep-13,7.38,7.50,7.20,7.50,70508
12-Sep-13,7.14,7.40,7.10,7.40,56556
11-Sep-13,7.25,7.25,7.05,7.13,46417
10-Sep-13,7.15,7.37,7.08,7.15,57414
9-Sep-13,7.13,7.25,7.00,7.07,29259
6-Sep-13,6.93,7.10,6.90,7.10,25923
5-Sep-13,6.98,7.01,6.89,6.89,28920
4-Sep-13,6.72,7.01,6.72,7.00,51456
3-Sep-13,6.95,6.95,6.63,6.71,28784
30-Aug-13,6.79,6.92,6.65,6.92,82393
29-Aug-13,6.60,6.91,6.52,6.77,6524
28-Aug-13,6.83,6.98,6.59,6.63,32836
27-Aug-13,6.87,6.98,6.80,6.88,58043
26-Aug-13,7.08,7.14,6.96,6.99,80861
23-Aug-13,7.18,7.30,7.05,7.08,16721
22-Aug-13,7.44,7.45,7.14,7.21,68503
21-Aug-13,7.41,7.47,7.40,7.45,28485
20-Aug-13,7.36,7.54,7.36,7.45,20931
19-Aug-13,7.42,7.58,7.34,7.34,21312
16-Aug-13,7.41,7.49,7.41,7.46,20485
15-Aug-13,7.60,7.60,7.41,7.41,23537
14-Aug-13,7.49,7.59,7.42,7.57,31206
13-Aug-13,7.46,7.56,7.42,7.48,38750
12-Aug-13,7.49,7.52,7.42,7.46,154149
9-Aug-13,7.57,7.57,7.43,7.57,20941
8-Aug-13,7.51,7.56,7.51,7.54,42332
7-Aug-13,7.53,7.55,7.49,7.53,36253
6-Aug-13,7.49,7.60,7.27,7.56,38454
5-Aug-13,7.36,7.55,7.36,7.51,37846
2-Aug-13,7.69,7.69,7.25,7.35,86117
1-Aug-13,7.45,7.80,7.42,7.55,64230
31-Jul-13,7.31,7.45,7.31,7.45,23924
30-Jul-13,7.47,7.50,7.32,7.32,8788
29-Jul-13,7.40,7.57,7.35,7.49,23200
26-Jul-13,7.62,7.69,7.30,7.44,56994
25-Jul-13,7.34,7.71,7.34,7.60,102058
24-Jul-13,7.30,7.33,7.05,7.31,35970
23-Jul-13,7.37,7.37,7.11,7.27,40367
22-Jul-13,7.00,7.35,6.99,7.31,18638
19-Jul-13,7.07,7.16,6.97,7.05,36505
18-Jul-13,7.09,7.17,6.99,7.04,23441
