Date,Open,High,Low,Close,Volume
31-Dec-13,5.17,5.17,5.14,5.14,401
30-Dec-13,5.12,5.25,5.06,5.10,10429
27-Dec-13,5.19,5.19,5.08,5.10,12604
26-Dec-13,5.22,5.25,5.10,5.17,2302
24-Dec-13,5.09,5.25,5.09,5.25,13364
23-Dec-13,5.06,5.11,5.06,5.11,8908
20-Dec-13,5.15,5.17,4.99,4.99,141116
19-Dec-13,5.21,5.25,5.10,5.10,9893
18-Dec-13,5.05,5.30,4.75,5.21,22664
17-Dec-13,4.93,5.40,4.93,5.18,49509
13-Dec-13,4.90,5.15,4.90,5.00,15716
12-Dec-13,4.84,4.91,4.76,4.90,4500
11-Dec-13,4.85,4.85,4.75,4.84,4300
10-Dec-13,4.75,4.87,4.75,4.85,17568
9-Dec-13,4.60,4.88,4.59,4.75,27856
6-Dec-13,4.82,4.82,4.82,4.82,2300
2-Dec-13,4.65,4.91,4.65,4.75,7934
27-Nov-13,4.64,4.65,4.64,4.65,3200
26-Nov-13,4.58,4.65,4.58,4.64,3500
25-Nov-13,4.48,4.68,4.48,4.60,17314
22-Nov-13,4.45,4.48,4.45,4.48,303
21-Nov-13,4.38,4.62,4.27,4.58,26300
20-Nov-13,4.50,4.50,4.50,4.50,700
19-Nov-13,4.48,4.48,4.48,4.48,800
18-Nov-13,4.40,4.40,4.28,4.34,1574
15-Nov-13,4.44,4.76,4.25,4.43,3450
14-Nov-13,4.51,4.51,4.51,4.51,200
13-Nov-13,4.59,4.59,4.53,4.53,3388
12-Nov-13,4.73,4.73,4.35,4.51,9459
8-Nov-13,4.50,4.80,4.50,4.58,2250
7-Nov-13,4.63,4.63,4.55,4.56,1100
6-Nov-13,4.60,4.60,4.60,4.60,500
4-Nov-13,4.72,4.72,4.56,4.60,15950
1-Nov-13,4.64,4.71,4.64,4.71,350
31-Oct-13,4.61,4.65,4.61,4.61,1100
30-Oct-13,4.80,4.80,4.65,4.77,9766
29-Oct-13,4.82,4.86,4.60,4.75,4700
28-Oct-13,4.81,4.86,4.80,4.85,9100
25-Oct-13,4.84,4.84,4.81,4.84,4247
24-Oct-13,4.97,4.97,4.85,4.86,877
23-Oct-13,4.99,5.00,4.87,4.87,2300
22-Oct-13,4.85,5.01,4.85,4.86,3050
21-Oct-13,4.80,4.92,4.80,4.82,2220
18-Oct-13,4.80,4.80,4.80,4.80,500
17-Oct-13,5.00,5.00,5.00,5.00,500
16-Oct-13,5.00,5.00,4.85,4.95,5000
15-Oct-13,5.08,5.08,4.87,4.97,4519
14-Oct-13,5.13,5.13,5.00,5.12,700
11-Oct-13,5.12,5.20,5.00,5.20,600
10-Oct-13,5.10,5.10,5.00,5.00,200
9-Oct-13,5.09,5.14,4.90,5.10,600
8-Oct-13,4.92,4.92,4.92,4.92,100
7-Oct-13,4.90,4.95,4.90,4.95,5930
4-Oct-13,4.90,4.90,4.90,4.90,400
30-Sep-13,5.00,5.16,4.95,5.00,4891
27-Sep-13,4.94,5.00,4.94,5.00,3041
26-Sep-13,4.90,4.95,4.90,4.95,600
24-Sep-13,4.94,4.94,4.85,4.86,5200
23-Sep-13,4.96,4.96,4.91,4.91,300
20-Sep-13,4.91,4.99,4.91,4.99,1087
19-Sep-13,5.00,5.02,4.90,4.90,2200
17-Sep-13,5.01,5.01,5.00,5.00,1100
16-Sep-13,4.93,5.12,4.93,5.03,1250
13-Sep-13,5.13,5.13,4.94,4.94,1050
12-Sep-13,5.03,5.10,4.96,5.01,400
11-Sep-13,5.11,5.12,5.03,5.03,650
10-Sep-13,5.21,5.21,5.00,5.02,1858
9-Sep-13,5.00,5.20,5.00,5.18,3500
6-Sep-13,5.00,5.00,4.95,4.95,900
5-Sep-13,5.00,5.04,4.99,5.00,2000
3-Sep-13,4.93,4.93,4.93,4.93,300
29-Aug-13,4.99,4.99,4.85,4.85,6463
28-Aug-13,5.00,5.05,5.00,5.04,550
27-Aug-13,4.94,5.01,4.94,5.01,800
26-Aug-13,5.05,5.05,5.05,5.05,1000
23-Aug-13,4.95,4.95,4.89,4.93,6294
22-Aug-13,4.95,4.95,4.95,4.95,500
21-Aug-13,4.99,4.99,4.99,4.99,150
20-Aug-13,5.05,5.10,4.85,4.94,19400
19-Aug-13,5.34,5.34,5.02,5.07,4890
16-Aug-13,5.44,5.50,5.36,5.36,6578
15-Aug-13,5.48,5.63,5.40,5.43,12270
14-Aug-13,5.53,5.55,5.45,5.53,10950
