Date,Open,High,Low,Close,Volume
31-Dec-13,1.80,1.83,1.78,1.81,39577
30-Dec-13,1.76,1.82,1.71,1.82,120584
27-Dec-13,1.80,1.81,1.72,1.76,152510
26-Dec-13,1.97,1.97,1.76,1.80,200360
24-Dec-13,1.92,2.02,1.92,1.98,103815
23-Dec-13,1.98,1.98,1.92,1.94,152733
20-Dec-13,2.00,2.04,1.94,1.95,299209
19-Dec-13,2.01,2.08,2.00,2.00,41903
18-Dec-13,2.08,2.14,2.01,2.02,129397
17-Dec-13,2.07,2.12,2.05,2.07,60734
16-Dec-13,2.06,2.13,2.05,2.10,87594
13-Dec-13,2.10,2.10,2.04,2.06,47696
12-Dec-13,2.12,2.14,2.07,2.08,256967
11-Dec-13,2.11,2.15,2.10,2.10,40756
10-Dec-13,2.09,2.20,2.04,2.12,78354
9-Dec-13,2.13,2.15,2.06,2.11,63508
6-Dec-13,2.11,2.19,2.08,2.13,112333
5-Dec-13,2.13,2.17,2.08,2.12,116244
4-Dec-13,2.11,2.24,2.11,2.12,123997
3-Dec-13,2.13,2.17,2.07,2.10,60544
2-Dec-13,2.12,2.18,2.09,2.15,86923
29-Nov-13,2.16,2.19,2.10,2.14,32458
27-Nov-13,2.13,2.19,2.06,2.19,44295
26-Nov-13,2.08,2.11,2.05,2.10,33655
25-Nov-13,2.03,2.10,2.02,2.06,113927
22-Nov-13,2.09,2.14,2.01,2.05,74536
21-Nov-13,2.07,2.10,2.03,2.08,114236
20-Nov-13,2.10,2.10,2.02,2.05,181493
19-Nov-13,2.02,2.10,2.02,2.09,126341
18-Nov-13,2.05,2.20,1.99,2.02,298594
15-Nov-13,2.26,2.29,1.90,2.01,732809
14-Nov-13,2.87,2.93,2.61,2.62,153873
13-Nov-13,2.84,2.88,2.76,2.87,96848
12-Nov-13,2.86,2.95,2.72,2.83,147805
11-Nov-13,2.87,2.90,2.72,2.85,54808
8-Nov-13,2.75,2.86,2.75,2.84,40241
7-Nov-13,2.84,2.92,2.62,2.74,186807
6-Nov-13,2.90,2.93,2.68,2.81,151988
5-Nov-13,2.88,2.95,2.75,2.95,130984
4-Nov-13,2.96,2.96,2.81,2.86,109028
1-Nov-13,2.85,3.00,2.79,2.98,56720
31-Oct-13,2.81,2.99,2.78,2.84,35979
30-Oct-13,2.86,2.87,2.76,2.82,41499
29-Oct-13,2.82,2.90,2.66,2.82,84276
28-Oct-13,2.77,2.86,2.77,2.78,20685
25-Oct-13,2.71,2.82,2.65,2.74,101805
24-Oct-13,2.57,2.70,2.51,2.67,70345
23-Oct-13,2.70,2.70,2.46,2.54,199297
22-Oct-13,2.95,2.99,2.68,2.72,133424
21-Oct-13,3.00,3.04,2.93,2.93,23848
18-Oct-13,2.90,3.05,2.89,3.00,193233
17-Oct-13,2.84,2.95,2.83,2.87,64062
16-Oct-13,2.63,2.89,2.63,2.85,141332
15-Oct-13,2.58,2.66,2.52,2.61,79459
14-Oct-13,2.60,2.69,2.32,2.60,31552
