Date,Open,High,Low,Close,Volume
31-Dec-13,13.46,13.52,13.40,13.49,857084
30-Dec-13,13.18,13.52,13.15,13.46,1101790
27-Dec-13,13.30,13.31,13.15,13.21,758529
26-Dec-13,13.28,13.42,13.15,13.33,718365
24-Dec-13,13.37,13.44,13.15,13.26,490502
23-Dec-13,12.95,13.44,12.95,13.35,1866451
20-Dec-13,12.83,12.96,12.74,12.93,2087690
19-Dec-13,12.87,12.91,12.74,12.78,1364921
18-Dec-13,12.82,12.92,12.75,12.86,1617052
17-Dec-13,12.56,12.93,12.56,12.76,1896373
16-Dec-13,12.58,12.64,12.30,12.52,1813638
13-Dec-13,12.50,12.59,12.08,12.37,1633462
12-Dec-13,12.65,12.80,12.39,12.58,2306409
11-Dec-13,12.80,12.98,12.37,12.60,5060916
10-Dec-13,12.11,12.20,11.86,12.12,2877732
9-Dec-13,12.30,12.48,12.15,12.20,1853611
6-Dec-13,12.06,12.36,12.02,12.21,1466739
5-Dec-13,11.94,12.22,11.86,11.98,2055349
4-Dec-13,11.62,11.80,11.53,11.60,1547216
3-Dec-13,11.36,11.75,11.35,11.66,1736839
2-Dec-13,11.78,11.81,11.33,11.43,1586065
29-Nov-13,11.92,11.96,11.76,11.82,513931
27-Nov-13,11.81,11.96,11.75,11.93,871051
26-Nov-13,11.78,11.87,11.69,11.75,1102757
25-Nov-13,11.97,11.99,11.75,11.84,1495044
22-Nov-13,11.75,11.99,11.67,11.97,1669438
21-Nov-13,11.25,11.88,11.22,11.84,2586042
20-Nov-13,11.13,11.24,11.09,11.19,735677
19-Nov-13,11.23,11.35,11.03,11.12,1402124
18-Nov-13,11.17,11.31,11.16,11.24,1205458
15-Nov-13,11.17,11.18,11.08,11.15,1059491
14-Nov-13,11.25,11.29,11.04,11.15,1319257
13-Nov-13,11.30,11.39,11.22,11.27,1299227
12-Nov-13,11.42,11.45,11.22,11.42,757996
11-Nov-13,11.12,11.42,11.07,11.39,807460
8-Nov-13,11.14,11.22,11.02,11.17,1069241
7-Nov-13,11.40,11.42,11.09,11.16,977258
6-Nov-13,11.43,11.48,11.01,11.38,1145480
5-Nov-13,11.25,11.39,11.12,11.35,1160805
4-Nov-13,11.01,11.25,11.01,11.23,2046289
1-Nov-13,10.85,10.98,10.76,10.98,1011497
31-Oct-13,10.86,10.90,10.67,10.79,1456896
30-Oct-13,10.83,10.96,10.82,10.89,949385
29-Oct-13,10.60,10.83,10.56,10.83,987045
28-Oct-13,10.59,10.65,10.50,10.58,1131752
25-Oct-13,10.84,10.87,10.57,10.62,1396807
24-Oct-13,11.07,11.07,10.65,10.82,1829648
23-Oct-13,10.90,11.15,10.86,11.12,1227573
22-Oct-13,11.09,11.20,10.90,10.92,1354328
21-Oct-13,11.22,11.24,11.07,11.08,981190
18-Oct-13,11.38,11.42,11.15,11.22,1321386
17-Oct-13,11.08,11.46,11.05,11.30,1382917
16-Oct-13,11.12,11.25,11.00,11.06,1133700
15-Oct-13,11.16,11.17,11.01,11.12,963742
14-Oct-13,11.12,11.19,10.98,11.15,1114150
11-Oct-13,10.85,11.26,10.80,11.26,2625558
10-Oct-13,10.69,10.85,10.64,10.84,1607922
9-Oct-13,10.36,10.59,10.34,10.51,2281692
8-Oct-13,10.59,10.62,10.33,10.34,1282390
7-Oct-13,10.68,10.75,10.44,10.49,1551526
4-Oct-13,10.79,10.83,10.66,10.72,1650984
3-Oct-13,10.98,11.00,10.71,10.81,1989176
2-Oct-13,11.08,11.13,10.92,10.97,1203482
1-Oct-13,11.01,11.21,10.96,11.20,1296557
30-Sep-13,11.06,11.20,10.91,10.99,1494091
27-Sep-13,11.19,11.29,11.11,11.23,1242414
26-Sep-13,11.46,11.50,11.21,11.28,1403658
25-Sep-13,11.53,11.62,11.39,11.41,1415979
24-Sep-13,11.60,11.67,11.38,11.60,2196879
23-Sep-13,11.53,11.63,11.27,11.60,1890539
20-Sep-13,11.70,11.77,11.43,11.60,2303670
19-Sep-13,11.52,11.72,11.43,11.63,2599515
18-Sep-13,11.37,11.53,11.14,11.46,2422197
17-Sep-13,11.07,11.42,11.07,11.40,3087700
16-Sep-13,11.32,11.37,10.94,11.05,3408810
13-Sep-13,10.98,11.27,10.98,11.21,1973030
12-Sep-13,10.78,11.08,10.75,10.97,2330734
11-Sep-13,10.57,10.84,10.54,10.83,1913771
10-Sep-13,10.69,10.84,10.60,10.62,2884995
9-Sep-13,10.43,10.78,10.43,10.64,4313188
6-Sep-13,10.85,11.04,10.25,10.31,8826769
5-Sep-13,11.15,11.54,11.02,11.48,4015244
4-Sep-13,11.00,11.17,10.98,11.09,2425877
3-Sep-13,11.07,11.14,10.98,11.04,1918012
30-Aug-13,11.05,11.13,10.90,10.94,1546222
29-Aug-13,10.79,11.09,10.79,11.06,2015331
28-Aug-13,11.01,11.09,10.70,10.80,2551736
27-Aug-13,10.93,11.17,10.80,11.00,1820697
26-Aug-13,11.21,11.30,10.99,11.02,1899545
23-Aug-13,11.29,11.32,11.09,11.21,1068505
22-Aug-13,11.08,11.33,11.07,11.26,1155101
21-Aug-13,11.30,11.33,11.07,11.08,2137337
20-Aug-13,10.97,11.38,10.97,11.34,2986970
19-Aug-13,11.24,11.29,10.96,10.97,2924336
16-Aug-13,11.29,11.62,11.23,11.24,2508314
15-Aug-13,11.84,11.85,10.95,11.22,6458098
14-Aug-13,12.25,12.27,12.11,12.18,1450214
13-Aug-13,12.50,12.50,12.23,12.27,1386756
12-Aug-13,12.16,12.54,12.11,12.46,1682859
9-Aug-13,12.35,12.55,12.22,12.27,2324250
8-Aug-13,12.68,12.83,12.36,12.39,2583208
7-Aug-13,12.46,12.94,12.37,12.58,3313304
6-Aug-13,13.31,13.38,12.32,12.47,5044731
5-Aug-13,12.52,13.28,12.48,13.23,4597286
2-Aug-13,12.17,12.64,12.02,12.45,3006467
1-Aug-13,12.00,12.22,11.84,12.17,2359168
31-Jul-13,11.50,11.96,11.47,11.84,2684429
30-Jul-13,11.08,11.55,11.06,11.47,3371945
29-Jul-13,11.18,11.21,11.03,11.07,1238433
26-Jul-13,11.00,11.11,10.97,11.07,905848
25-Jul-13,11.07,11.11,10.99,11.09,887671
24-Jul-13,10.90,11.24,10.90,11.10,1678030
23-Jul-13,10.90,11.05,10.85,10.89,1490527
22-Jul-13,11.01,11.09,10.84,10.86,2248511
19-Jul-13,11.09,11.23,11.01,11.02,1372841
18-Jul-13,11.19,11.27,11.13,11.16,1278316
17-Jul-13,11.14,11.24,11.08,11.14,1200732
16-Jul-13,11.38,11.38,11.04,11.11,2211304
15-Jul-13,11.02,11.40,10.98,11.31,3125779
12-Jul-13,10.82,11.00,10.81,10.98,1485995
11-Jul-13,10.85,10.93,10.73,10.84,2407993
10-Jul-13,10.55,10.75,10.44,10.62,2712319
9-Jul-13,10.36,10.55,10.36,10.54,3105352
8-Jul-13,10.26,10.35,10.25,10.33,2094502
5-Jul-13,10.13,10.25,10.02,10.25,2049940
3-Jul-13,9.98,10.22,9.97,10.09,1263191
2-Jul-13,10.29,10.45,9.88,9.97,4021854
1-Jul-13,10.12,10.32,10.05,10.22,2659139
28-Jun-13,10.01,10.10,9.96,9.98,3084142
27-Jun-13,9.85,10.10,9.81,10.10,3657339
26-Jun-13,9.99,10.00,9.50,9.78,4644283
25-Jun-13,9.79,10.00,9.75,9.99,5152917
24-Jun-13,9.54,9.73,9.46,9.63,2152202
21-Jun-13,9.89,9.94,9.61,9.64,2339756
20-Jun-13,9.90,9.96,9.71,9.87,2094219
19-Jun-13,9.80,10.03,9.80,10.00,2264256
18-Jun-13,9.72,9.88,9.66,9.85,1710951
17-Jun-13,9.86,9.90,9.62,9.74,3262506
14-Jun-13,9.77,9.92,9.61,9.78,7174189
13-Jun-13,9.11,9.31,9.09,9.30,1567971
12-Jun-13,9.17,9.26,9.08,9.09,1117810
11-Jun-13,9.14,9.24,9.09,9.15,1137920
10-Jun-13,9.20,9.27,9.15,9.24,739714
7-Jun-13,9.23,9.25,9.10,9.21,849103
6-Jun-13,9.05,9.21,9.02,9.21,897584
5-Jun-13,9.18,9.20,9.02,9.07,1214804
4-Jun-13,9.20,9.37,9.06,9.22,1622897
3-Jun-13,9.13,9.24,9.00,9.22,1070790
31-May-13,9.08,9.24,9.05,9.11,922242
30-May-13,9.00,9.16,8.90,9.14,1080815
29-May-13,9.07,9.11,8.91,8.95,1106019
28-May-13,9.15,9.24,9.04,9.13,1277375
24-May-13,9.04,9.11,8.92,9.08,803250
23-May-13,8.81,9.14,8.72,9.09,1336780
22-May-13,9.21,9.25,8.82,8.97,2050990
21-May-13,9.17,9.27,9.14,9.21,1104384
20-May-13,9.18,9.23,9.10,9.19,1113947
17-May-13,9.13,9.27,9.10,9.18,1414824
16-May-13,9.10,9.18,9.01,9.13,959972
15-May-13,9.00,9.21,8.95,9.14,1290021
14-May-13,8.80,9.05,8.77,9.01,1431753
13-May-13,8.82,8.91,8.75,8.83,737370
10-May-13,8.75,8.87,8.71,8.86,1071835
9-May-13,8.79,8.90,8.75,8.77,700780
8-May-13,8.89,8.90,8.77,8.81,765365
7-May-13,8.86,8.93,8.75,8.87,1081007
6-May-13,8.73,8.94,8.71,8.85,1619086
3-May-13,8.78,8.78,8.67,8.74,1047433
2-May-13,8.59,8.73,8.58,8.69,1199904
1-May-13,8.78,8.80,8.53,8.58,1688171
30-Apr-13,9.00,9.04,8.73,8.78,1701580
29-Apr-13,8.71,8.90,8.71,8.84,1451362
26-Apr-13,8.86,8.90,8.67,8.71,1030531
25-Apr-13,8.63,8.90,8.63,8.85,1677522
24-Apr-13,8.52,8.63,8.49,8.60,852327
23-Apr-13,8.65,8.67,8.50,8.55,1334374
22-Apr-13,8.64,8.68,8.48,8.64,1013270
19-Apr-13,8.70,8.72,8.56,8.63,1385257
