Date,Open,High,Low,Close,Volume
31-Dec-13,21.29,21.50,21.21,21.28,36962
30-Dec-13,21.55,21.66,21.09,21.20,80606
27-Dec-13,21.67,21.67,21.39,21.65,20068
26-Dec-13,21.63,21.69,21.59,21.66,17092
24-Dec-13,21.67,21.71,21.67,21.67,39261
23-Dec-13,21.76,21.83,21.52,21.67,73874
20-Dec-13,21.61,21.67,21.29,21.60,225716
19-Dec-13,21.83,21.83,21.62,21.64,19431
18-Dec-13,21.56,22.28,21.37,22.05,36372
17-Dec-13,21.00,21.58,21.00,21.49,14958
16-Dec-13,20.85,21.77,20.81,21.50,43269
13-Dec-13,20.87,21.19,20.55,20.75,32942
12-Dec-13,20.73,21.08,20.69,20.80,21180
11-Dec-13,21.09,21.84,20.67,20.71,41079
10-Dec-13,21.06,21.35,20.94,20.98,38770
9-Dec-13,21.34,21.37,21.12,21.32,25262
6-Dec-13,21.52,21.99,21.28,21.39,53988
5-Dec-13,21.13,21.53,20.94,21.27,32830
4-Dec-13,21.38,21.60,21.11,21.37,46910
3-Dec-13,21.69,21.97,21.37,21.42,83955
2-Dec-13,22.24,22.45,21.74,21.78,91250
29-Nov-13,22.09,22.56,22.09,22.51,14780
27-Nov-13,21.49,22.00,21.37,21.90,26350
26-Nov-13,21.00,21.53,20.74,21.50,22966
25-Nov-13,20.85,21.14,20.83,20.91,18426
22-Nov-13,20.47,21.03,20.20,20.80,30150
21-Nov-13,20.22,20.53,20.13,20.52,37916
20-Nov-13,19.87,20.25,19.83,20.12,17452
19-Nov-13,20.17,20.50,19.93,20.05,22620
18-Nov-13,20.00,20.65,19.91,20.17,16622
15-Nov-13,20.11,20.17,19.83,20.11,21952
14-Nov-13,20.18,20.18,19.97,20.15,12372
13-Nov-13,20.18,20.24,19.86,20.21,19386
12-Nov-13,20.07,20.23,19.84,20.09,21876
11-Nov-13,20.33,20.33,19.89,20.19,14238
8-Nov-13,19.64,20.67,19.64,20.38,32496
7-Nov-13,19.73,20.11,19.49,19.65,18741
6-Nov-13,20.21,20.46,19.97,19.99,10998
