Date,Open,High,Low,Close,Volume
31-Dec-13,3.06,3.13,3.04,3.06,18564
30-Dec-13,3.05,3.14,3.01,3.08,11396
27-Dec-13,3.06,3.19,2.96,3.07,19220
26-Dec-13,3.17,3.18,3.02,3.04,18158
24-Dec-13,3.01,3.22,3.01,3.22,3936
23-Dec-13,3.12,3.29,3.10,3.16,21468
20-Dec-13,3.20,3.28,3.15,3.15,27705
19-Dec-13,3.12,3.28,3.12,3.20,8385
18-Dec-13,3.04,3.22,3.04,3.15,36201
17-Dec-13,3.00,3.18,3.00,3.05,23583
16-Dec-13,2.91,3.20,2.91,3.00,47421
13-Dec-13,2.82,3.06,2.82,2.91,22104
12-Dec-13,2.82,2.94,2.80,2.86,3220
11-Dec-13,2.90,2.90,2.81,2.84,18965
10-Dec-13,2.77,2.96,2.77,2.90,17367
9-Dec-13,2.76,2.90,2.76,2.80,13281
6-Dec-13,2.75,2.84,2.68,2.77,21955
5-Dec-13,2.77,2.77,2.65,2.75,38216
4-Dec-13,2.71,2.83,2.71,2.77,10291
3-Dec-13,2.77,2.84,2.70,2.80,22687
2-Dec-13,2.75,2.82,2.70,2.76,4605
29-Nov-13,2.69,2.80,2.66,2.80,12568
27-Nov-13,2.68,2.78,2.60,2.73,25030
26-Nov-13,2.57,2.72,2.53,2.72,17292
25-Nov-13,2.60,2.60,2.52,2.59,82983
22-Nov-13,2.56,2.63,2.55,2.63,12294
21-Nov-13,2.56,2.65,2.55,2.58,6413
20-Nov-13,2.58,2.65,2.56,2.57,43559
19-Nov-13,2.60,2.65,2.60,2.60,18268
18-Nov-13,2.65,2.69,2.61,2.62,22028
15-Nov-13,2.70,2.70,2.65,2.66,34320
14-Nov-13,2.71,2.79,2.70,2.71,6771
13-Nov-13,2.70,2.79,2.66,2.70,15273
12-Nov-13,2.73,2.80,2.70,2.71,23326
11-Nov-13,2.77,2.80,2.55,2.76,31361
8-Nov-13,2.77,2.83,2.76,2.82,15878
7-Nov-13,2.94,2.94,2.73,2.81,60977
6-Nov-13,3.10,3.17,2.86,2.90,102761
5-Nov-13,3.05,3.22,3.01,3.06,50358
4-Nov-13,3.13,3.20,3.06,3.07,33524
1-Nov-13,3.12,3.16,3.10,3.15,11338
31-Oct-13,3.13,3.25,3.12,3.19,22959
30-Oct-13,3.13,3.13,3.08,3.11,11949
29-Oct-13,3.12,3.14,3.10,3.10,1640
28-Oct-13,3.17,3.26,3.12,3.12,27543
25-Oct-13,3.15,3.21,3.15,3.20,1527
24-Oct-13,3.20,3.20,3.15,3.19,10222
23-Oct-13,3.21,3.21,3.12,3.18,23299
22-Oct-13,3.13,3.21,3.12,3.20,18076
21-Oct-13,3.25,3.26,3.10,3.15,14476
18-Oct-13,3.13,3.21,3.03,3.13,32969
17-Oct-13,3.11,3.20,3.10,3.14,3874
16-Oct-13,3.17,3.24,3.11,3.16,7560
15-Oct-13,3.10,3.19,3.10,3.18,2504
14-Oct-13,3.10,3.16,3.08,3.10,12922
11-Oct-13,3.10,3.22,3.10,3.21,5680
10-Oct-13,3.10,3.15,3.10,3.13,814
9-Oct-13,3.05,3.11,3.03,3.07,15618
8-Oct-13,3.06,3.11,3.05,3.07,4653
7-Oct-13,3.09,3.12,3.05,3.06,15390
4-Oct-13,3.18,3.18,3.10,3.13,4292
3-Oct-13,3.13,3.20,3.07,3.18,14545
2-Oct-13,3.15,3.20,3.08,3.17,13637
1-Oct-13,3.12,3.24,3.10,3.16,8956
30-Sep-13,3.10,3.13,3.10,3.12,11974
27-Sep-13,3.15,3.16,3.10,3.10,5123
26-Sep-13,3.15,3.18,3.15,3.15,7322
25-Sep-13,3.15,3.23,3.15,3.15,9119
24-Sep-13,3.17,3.19,3.15,3.15,4804
23-Sep-13,3.10,3.26,3.10,3.18,9572
20-Sep-13,3.07,3.14,3.07,3.14,19963
19-Sep-13,3.08,3.12,3.04,3.07,12448
18-Sep-13,3.05,3.11,3.03,3.03,7347
17-Sep-13,3.08,3.11,3.07,3.09,14924
16-Sep-13,3.07,3.11,3.07,3.08,29189
13-Sep-13,3.10,3.12,3.06,3.06,11348
