Date,Open,High,Low,Close,Volume
31-Dec-13,8.40,8.93,8.40,8.88,44503
30-Dec-13,8.31,8.56,8.31,8.40,32560
27-Dec-13,8.44,8.44,8.12,8.28,30972
26-Dec-13,8.58,8.61,8.18,8.40,46257
24-Dec-13,8.23,8.75,8.23,8.57,11932
23-Dec-13,8.75,8.75,8.11,8.41,59737
20-Dec-13,8.16,8.70,8.04,8.68,165007
19-Dec-13,8.59,8.59,8.04,8.12,37572
18-Dec-13,8.48,8.55,8.10,8.36,67893
17-Dec-13,8.75,8.75,8.39,8.52,18243
16-Dec-13,8.47,8.88,8.37,8.67,148191
13-Dec-13,9.00,9.00,8.58,8.60,64134
12-Dec-13,8.52,9.30,8.35,9.02,53780
11-Dec-13,8.59,8.72,8.35,8.52,72021
10-Dec-13,8.50,8.96,8.32,8.55,72904
9-Dec-13,8.46,8.49,8.08,8.27,118289
6-Dec-13,9.10,9.10,8.53,8.62,47684
5-Dec-13,9.02,9.10,8.60,9.00,33419
4-Dec-13,8.59,9.10,8.59,8.99,52985
3-Dec-13,9.10,9.25,8.30,8.59,163485
2-Dec-13,9.10,9.89,9.00,9.63,181354
29-Nov-13,9.10,9.10,8.89,8.96,39507
27-Nov-13,8.55,9.10,8.55,9.01,70375
26-Nov-13,8.29,8.84,8.05,8.74,108594
25-Nov-13,8.10,8.70,8.00,8.43,77261
22-Nov-13,8.90,8.94,8.05,8.31,61774
21-Nov-13,8.39,8.78,8.39,8.77,65900
20-Nov-13,8.31,8.54,8.04,8.16,34094
19-Nov-13,7.61,8.43,7.61,8.23,144596
18-Nov-13,9.89,10.00,7.16,7.57,518139
15-Nov-13,7.60,10.00,7.58,9.79,617217
14-Nov-13,7.05,7.50,7.00,7.17,40228
13-Nov-13,7.50,7.50,7.00,7.03,71463
12-Nov-13,7.01,7.34,7.00,7.17,8259
11-Nov-13,7.50,7.50,6.87,6.87,16544
8-Nov-13,7.20,7.43,7.20,7.43,63013
7-Nov-13,7.25,7.37,7.19,7.26,30480
6-Nov-13,7.40,7.40,7.14,7.20,24919
5-Nov-13,6.67,7.48,6.67,7.31,45854
4-Nov-13,6.83,6.83,6.51,6.67,34931
1-Nov-13,6.80,7.08,6.64,6.83,49774
31-Oct-13,7.00,7.00,6.81,6.83,30632
30-Oct-13,7.31,7.31,7.01,7.01,32638
29-Oct-13,7.50,7.50,7.22,7.42,26645
28-Oct-13,7.44,7.50,7.37,7.50,24874
25-Oct-13,7.42,7.50,7.33,7.45,24776
24-Oct-13,7.44,7.50,7.27,7.44,17918
23-Oct-13,7.49,7.56,7.22,7.45,29123
22-Oct-13,7.75,7.75,7.37,7.55,55072
21-Oct-13,7.73,7.98,7.69,7.75,30375
18-Oct-13,7.59,7.76,7.43,7.73,60376
17-Oct-13,7.19,7.66,7.19,7.48,34996
16-Oct-13,7.20,7.35,7.11,7.23,71590
15-Oct-13,7.30,7.30,7.01,7.20,46305
14-Oct-13,7.05,7.42,6.79,7.34,43427
11-Oct-13,5.97,7.25,5.97,7.10,70459
10-Oct-13,5.80,6.00,5.74,6.00,64134
9-Oct-13,5.70,5.78,5.65,5.76,20475
8-Oct-13,5.67,5.79,5.67,5.67,31956
7-Oct-13,5.30,5.75,5.30,5.65,27991
4-Oct-13,5.24,5.40,5.24,5.33,11717
3-Oct-13,5.36,5.36,5.23,5.26,71679
2-Oct-13,5.18,5.49,5.18,5.41,35855
1-Oct-13,5.31,5.40,5.22,5.38,18608
30-Sep-13,5.27,5.35,5.19,5.30,18660
27-Sep-13,5.22,5.35,5.22,5.32,8794
26-Sep-13,5.34,5.34,5.22,5.26,12881
25-Sep-13,5.29,5.30,5.18,5.19,7577
24-Sep-13,5.11,5.45,5.11,5.23,14126
23-Sep-13,5.12,5.37,5.01,5.10,145477
20-Sep-13,4.84,5.20,4.81,5.20,107537
19-Sep-13,4.93,4.93,4.80,4.84,29285
18-Sep-13,4.88,4.97,4.87,4.88,17738
17-Sep-13,4.88,4.90,4.86,4.90,17939
16-Sep-13,4.89,4.91,4.81,4.89,21418
13-Sep-13,4.90,4.93,4.80,4.83,13348
12-Sep-13,4.94,4.98,4.84,4.85,16996
11-Sep-13,4.86,4.97,4.82,4.91,11760
10-Sep-13,4.90,4.92,4.86,4.86,16191
9-Sep-13,4.87,4.94,4.84,4.91,21042
6-Sep-13,4.90,4.98,4.80,4.84,14671
5-Sep-13,5.05,5.05,4.82,4.87,14033
4-Sep-13,4.99,5.00,4.92,4.99,16731
3-Sep-13,4.86,5.07,4.86,4.97,6905
30-Aug-13,4.96,5.01,4.80,4.80,26918
29-Aug-13,4.90,4.99,4.90,4.98,12435
28-Aug-13,4.95,4.99,4.91,4.92,17751
27-Aug-13,4.95,5.02,4.89,4.90,16894
26-Aug-13,5.02,5.05,4.97,5.01,6710
23-Aug-13,5.04,5.14,5.00,5.06,2804
22-Aug-13,4.89,5.07,4.89,5.07,7514
21-Aug-13,4.94,4.94,4.83,4.87,17094
20-Aug-13,4.92,4.99,4.92,4.97,17153
19-Aug-13,4.92,5.04,4.90,4.90,46590
16-Aug-13,4.75,4.99,4.75,4.89,40881
15-Aug-13,4.74,4.94,4.74,4.75,22164
14-Aug-13,4.74,4.89,4.74,4.76,5785
13-Aug-13,4.90,4.96,4.72,4.74,27649
12-Aug-13,5.10,5.28,4.86,4.91,49665
9-Aug-13,5.30,5.36,5.05,5.15,61046
8-Aug-13,5.23,5.29,5.10,5.25,38502
7-Aug-13,5.10,5.29,5.10,5.23,15118
6-Aug-13,5.23,5.23,5.05,5.05,11601
5-Aug-13,5.06,5.28,5.06,5.25,47962
2-Aug-13,5.20,5.20,5.03,5.08,12616
1-Aug-13,4.94,5.28,4.94,5.23,11022
31-Jul-13,5.09,5.28,4.86,4.93,52364
30-Jul-13,5.22,5.22,5.02,5.10,21626
29-Jul-13,5.21,5.28,5.06,5.19,16625
26-Jul-13,5.24,5.28,5.21,5.23,8334
25-Jul-13,5.04,5.30,4.95,5.29,29616
24-Jul-13,5.03,5.10,4.91,5.08,12441
23-Jul-13,5.03,5.07,4.97,5.02,31034
22-Jul-13,5.00,5.10,4.93,5.01,14790
19-Jul-13,4.87,5.08,4.74,5.00,15718
18-Jul-13,5.00,5.00,4.82,4.89,11503
17-Jul-13,5.01,5.08,4.98,5.00,4796
16-Jul-13,4.73,5.04,4.57,4.97,32562
15-Jul-13,4.62,4.74,4.45,4.74,14556
12-Jul-13,4.63,4.71,4.47,4.60,10515
11-Jul-13,4.65,4.79,4.47,4.65,16342
10-Jul-13,4.49,4.68,4.41,4.57,53641
9-Jul-13,4.53,4.59,4.42,4.52,59213
8-Jul-13,4.70,4.74,4.42,4.48,41514
5-Jul-13,4.78,4.80,4.70,4.74,48960
3-Jul-13,4.90,4.90,4.64,4.65,40227
2-Jul-13,5.18,5.18,4.92,4.96,40978
1-Jul-13,5.07,5.23,4.89,5.20,25916
28-Jun-13,5.03,5.10,4.88,5.09,141942
27-Jun-13,5.07,5.19,4.92,5.03,24814
26-Jun-13,5.18,5.30,5.02,5.02,19566
25-Jun-13,5.17,5.29,5.05,5.11,26470
24-Jun-13,4.99,5.12,4.95,5.10,42155
