Date,Open,High,Low,Close,Volume
31-Dec-13,12.58,12.79,12.53,12.53,7196
30-Dec-13,12.76,12.80,12.50,12.57,6539
27-Dec-13,12.38,12.80,12.38,12.71,3500
26-Dec-13,12.60,12.84,12.46,12.68,2184
24-Dec-13,12.69,12.72,12.51,12.51,689
23-Dec-13,12.91,12.91,12.44,12.71,8960
20-Dec-13,12.65,12.88,12.06,12.88,54058
19-Dec-13,12.69,12.71,12.52,12.70,12886
18-Dec-13,12.18,12.66,12.16,12.54,14998
17-Dec-13,12.15,12.19,11.82,12.18,10480
16-Dec-13,11.83,12.07,11.76,12.05,15234
13-Dec-13,11.93,12.00,11.54,11.85,6587
12-Dec-13,11.81,11.99,11.66,11.88,74218
11-Dec-13,11.89,12.00,11.62,12.00,8877
10-Dec-13,12.01,12.15,11.66,11.95,62824
9-Dec-13,12.69,12.69,12.08,12.08,8292
6-Dec-13,12.53,12.65,12.05,12.64,18892
5-Dec-13,12.60,12.71,12.44,12.49,8411
4-Dec-13,12.72,12.73,12.60,12.64,4257
3-Dec-13,12.74,12.75,12.65,12.66,12935
2-Dec-13,12.67,12.83,12.67,12.71,7344
29-Nov-13,12.60,12.83,12.60,12.71,6644
27-Nov-13,12.62,12.83,12.55,12.67,16321
26-Nov-13,12.80,12.80,12.40,12.66,23763
25-Nov-13,12.53,13.15,12.51,12.75,34035
22-Nov-13,12.66,12.80,12.51,12.73,23539
21-Nov-13,12.88,12.88,12.53,12.62,15676
20-Nov-13,12.68,12.90,12.58,12.85,12458
19-Nov-13,13.02,13.20,12.51,12.83,7555
18-Nov-13,12.81,14.60,12.46,13.00,33262
15-Nov-13,12.72,13.10,12.53,12.96,40728
14-Nov-13,12.50,12.58,12.31,12.58,63979
13-Nov-13,12.60,12.73,11.88,12.52,95843
12-Nov-13,13.51,13.77,12.67,12.67,62514
11-Nov-13,14.63,14.83,13.47,13.47,69830
8-Nov-13,14.77,14.77,14.43,14.49,18055
7-Nov-13,14.49,15.23,14.21,14.78,41615
6-Nov-13,14.46,14.68,14.05,14.39,19426
5-Nov-13,13.96,14.42,13.94,14.34,24738
4-Nov-13,13.80,13.98,13.56,13.97,22184
1-Nov-13,13.76,13.85,13.73,13.74,7472
31-Oct-13,13.67,13.84,13.67,13.79,6845
30-Oct-13,13.70,13.85,13.70,13.70,6001
29-Oct-13,13.66,13.75,13.55,13.70,5471
28-Oct-13,13.70,13.75,13.50,13.70,13548
25-Oct-13,13.71,13.71,13.40,13.71,13230
24-Oct-13,13.75,13.75,13.38,13.71,20079
23-Oct-13,13.61,13.74,13.56,13.73,6864
22-Oct-13,13.52,13.85,13.46,13.61,24967
21-Oct-13,13.90,14.04,13.27,13.52,19392
18-Oct-13,13.98,14.14,13.75,13.94,32197
17-Oct-13,13.47,13.96,13.40,13.84,12467
16-Oct-13,13.46,13.50,13.24,13.46,14900
15-Oct-13,13.49,13.49,13.14,13.40,20536
14-Oct-13,13.53,13.53,13.16,13.43,15060
11-Oct-13,13.05,13.39,12.90,13.23,22203
10-Oct-13,12.79,13.23,12.34,13.02,16681
9-Oct-13,12.84,12.90,12.62,12.82,9441
