Date,Open,High,Low,Close,Volume
31-Dec-13,17.87,18.05,17.60,17.91,120487
30-Dec-13,17.99,18.13,17.76,17.85,83579
27-Dec-13,17.89,18.14,17.51,18.01,120014
26-Dec-13,17.95,18.09,17.75,17.81,82858
24-Dec-13,17.90,18.00,17.61,17.92,82597
23-Dec-13,17.72,17.91,17.52,17.86,99667
20-Dec-13,17.29,17.67,16.81,17.59,297886
19-Dec-13,17.19,17.48,16.95,17.21,81830
18-Dec-13,16.98,17.41,16.62,17.19,121760
17-Dec-13,16.85,16.97,16.64,16.91,120371
16-Dec-13,16.92,16.92,16.45,16.85,140886
13-Dec-13,16.87,16.96,16.47,16.81,136128
12-Dec-13,17.06,17.21,16.76,16.79,83245
11-Dec-13,17.58,17.65,17.00,17.10,95785
10-Dec-13,17.64,17.76,17.45,17.56,104868
9-Dec-13,17.29,17.82,17.25,17.72,109404
6-Dec-13,16.88,17.32,16.84,17.28,298938
5-Dec-13,16.84,16.87,16.45,16.70,218491
4-Dec-13,17.34,17.40,16.45,16.87,150408
3-Dec-13,17.50,17.80,17.30,17.43,72803
2-Dec-13,18.30,18.30,17.50,17.50,96805
29-Nov-13,18.29,18.48,18.22,18.30,41751
27-Nov-13,17.94,18.30,17.94,18.18,65503
26-Nov-13,17.46,18.09,17.46,17.95,99364
25-Nov-13,17.31,17.80,17.30,17.58,76882
22-Nov-13,17.29,17.41,17.03,17.31,97277
21-Nov-13,17.11,17.39,16.99,17.23,102004
20-Nov-13,17.62,17.62,16.96,17.03,184981
19-Nov-13,17.69,17.72,17.34,17.60,117999
18-Nov-13,17.85,18.10,17.67,17.72,129293
15-Nov-13,17.75,17.98,17.57,17.86,204312
14-Nov-13,17.35,17.76,17.23,17.68,174102
13-Nov-13,16.94,17.38,16.94,17.31,142233
12-Nov-13,17.15,17.34,16.87,17.05,212559
11-Nov-13,16.73,17.20,16.55,17.15,227716
8-Nov-13,16.12,16.76,16.12,16.72,253782
7-Nov-13,16.30,16.49,16.14,16.14,85966
6-Nov-13,16.45,16.45,16.20,16.23,124707
5-Nov-13,16.38,16.45,16.18,16.38,83021
4-Nov-13,16.14,16.50,16.00,16.41,247338
1-Nov-13,16.09,16.32,15.78,16.14,278201
31-Oct-13,16.60,16.66,16.15,16.17,242777
30-Oct-13,16.78,16.91,16.47,16.64,209651
29-Oct-13,16.95,17.06,16.77,16.82,319436
28-Oct-13,16.96,17.00,16.69,16.91,263454
