Date,Open,High,Low,Close,Volume
31-Dec-13,61.40,62.25,61.23,62.20,479554
30-Dec-13,61.25,61.62,60.88,61.19,448100
27-Dec-13,61.76,61.95,61.20,61.30,210777
26-Dec-13,61.76,61.79,61.11,61.47,361939
24-Dec-13,61.45,62.21,61.21,61.65,215892
23-Dec-13,61.27,61.61,60.88,61.50,524647
20-Dec-13,59.86,61.06,59.50,60.78,2347307
19-Dec-13,59.41,60.00,59.17,59.47,539077
18-Dec-13,58.55,59.88,58.25,59.62,727457
17-Dec-13,58.71,58.75,57.82,58.32,581563
16-Dec-13,57.40,58.88,57.36,58.51,562650
13-Dec-13,56.69,57.27,56.24,57.01,359317
12-Dec-13,55.55,56.84,55.46,56.49,430166
11-Dec-13,56.20,56.64,55.23,55.55,394166
10-Dec-13,56.48,56.95,55.67,56.16,336892
9-Dec-13,56.70,57.03,56.25,56.74,320853
6-Dec-13,56.43,57.19,56.23,56.48,383142
5-Dec-13,55.00,55.67,54.82,55.49,239834
4-Dec-13,55.12,55.73,54.68,55.15,275003
3-Dec-13,55.30,55.67,54.63,55.39,236749
2-Dec-13,55.99,56.19,55.18,55.37,254631
29-Nov-13,56.61,56.61,55.66,56.17,92573
27-Nov-13,56.00,56.67,55.61,56.31,258692
26-Nov-13,55.70,56.17,55.22,56.00,245966
25-Nov-13,54.94,55.74,54.69,55.50,353010
22-Nov-13,54.08,55.17,53.76,55.08,251872
21-Nov-13,53.36,54.28,52.94,54.23,295180
20-Nov-13,52.88,53.59,52.15,52.95,491810
19-Nov-13,52.68,53.14,52.27,52.59,393639
18-Nov-13,52.71,53.34,52.47,52.72,359527
15-Nov-13,52.55,53.06,52.20,52.68,539289
14-Nov-13,52.30,52.81,51.89,52.64,338679
13-Nov-13,51.59,52.37,51.59,52.30,401948
12-Nov-13,51.92,52.53,51.55,52.05,321992
11-Nov-13,52.72,53.16,51.88,52.26,180342
8-Nov-13,51.34,53.32,51.34,52.98,560075
7-Nov-13,52.26,52.34,51.38,51.45,167966
6-Nov-13,52.16,52.49,52.03,52.18,229953
5-Nov-13,51.97,52.42,51.74,51.96,185262
4-Nov-13,52.00,52.32,51.69,52.13,275136
1-Nov-13,52.00,52.57,51.71,51.99,435526
31-Oct-13,53.00,53.05,52.04,52.05,274340
30-Oct-13,52.65,53.59,52.52,53.05,460227
29-Oct-13,54.93,55.08,52.70,52.79,682118
28-Oct-13,53.76,55.46,53.44,54.95,521202
25-Oct-13,53.22,54.15,52.66,53.77,762110
24-Oct-13,50.60,54.71,50.50,53.75,1690497
23-Oct-13,48.21,48.42,47.59,47.80,449997
22-Oct-13,48.49,48.90,48.06,48.31,500818
21-Oct-13,48.82,49.43,48.33,48.49,280951
18-Oct-13,48.85,49.19,47.98,48.88,349322
17-Oct-13,47.54,48.55,47.13,48.50,243764
16-Oct-13,48.34,48.87,47.88,47.90,317033
15-Oct-13,48.12,48.41,47.41,47.95,306551
14-Oct-13,47.76,48.25,47.46,48.10,315653
11-Oct-13,45.97,47.65,45.84,47.60,201553
10-Oct-13,46.27,46.38,45.61,46.21,195270
9-Oct-13,45.24,45.90,44.99,45.75,339492
8-Oct-13,44.95,45.20,44.53,44.75,192926
7-Oct-13,45.42,45.60,44.92,44.95,167002
4-Oct-13,45.65,46.15,45.46,45.88,146890
3-Oct-13,45.24,46.26,44.92,45.75,274338
2-Oct-13,45.95,46.25,45.25,45.43,227886
1-Oct-13,46.03,46.28,45.68,46.18,215709
30-Sep-13,45.05,46.05,44.79,45.89,239522
27-Sep-13,45.51,46.25,45.23,45.59,147355
26-Sep-13,46.00,46.33,45.46,45.88,121270
25-Sep-13,45.79,46.33,45.35,45.95,110670
24-Sep-13,45.58,46.37,45.23,45.87,293139
23-Sep-13,46.03,46.03,44.90,45.59,287998
20-Sep-13,45.43,46.21,45.43,46.14,473978
19-Sep-13,45.41,45.69,44.49,45.39,357090
18-Sep-13,45.23,46.10,45.14,45.29,291906
17-Sep-13,45.34,45.56,44.58,45.24,387263
16-Sep-13,45.92,45.92,45.28,45.37,340522
13-Sep-13,45.46,46.05,45.46,45.71,285613
12-Sep-13,45.28,45.51,44.72,45.32,327868
11-Sep-13,45.73,46.10,45.00,45.26,230446
10-Sep-13,45.28,45.78,44.66,45.77,192415
9-Sep-13,45.37,45.48,44.60,45.17,245847
6-Sep-13,45.03,45.74,43.75,45.35,257168
5-Sep-13,43.70,45.47,43.54,44.90,239064
4-Sep-13,43.92,44.25,43.55,43.87,179652
3-Sep-13,44.56,45.27,43.43,43.90,194060
30-Aug-13,45.24,45.45,44.05,44.08,171712
29-Aug-13,44.81,45.57,44.44,45.30,120971
28-Aug-13,44.87,45.29,44.57,44.91,152440
27-Aug-13,45.29,45.81,44.67,44.86,369037
26-Aug-13,46.24,46.50,45.80,45.86,101228
23-Aug-13,45.84,46.26,45.64,46.24,148086
22-Aug-13,45.07,45.92,44.84,45.84,107153
21-Aug-13,45.26,45.46,44.83,45.08,148648
20-Aug-13,44.30,45.56,44.30,45.39,204647
19-Aug-13,44.90,44.95,44.31,44.31,128854
16-Aug-13,44.50,45.12,44.45,44.86,153315
15-Aug-13,44.61,45.43,44.46,44.65,231742
14-Aug-13,44.96,45.34,44.86,45.03,138499
13-Aug-13,45.03,45.28,44.45,44.99,138966
12-Aug-13,44.90,44.98,44.64,44.95,158627
9-Aug-13,45.15,45.35,44.91,45.00,254540
8-Aug-13,45.42,45.85,44.91,45.14,289431
7-Aug-13,45.46,45.63,44.92,45.02,192171
6-Aug-13,46.21,46.32,45.47,45.60,278515
5-Aug-13,46.00,46.39,45.80,46.36,251177
2-Aug-13,45.54,46.07,45.10,45.97,380047
1-Aug-13,45.74,46.10,44.95,45.72,544696
31-Jul-13,45.95,46.10,45.35,45.49,516176
30-Jul-13,46.76,47.03,45.78,45.96,498135
29-Jul-13,47.24,47.27,46.55,46.59,446683
26-Jul-13,47.48,47.68,47.15,47.46,492308
25-Jul-13,45.57,48.13,45.53,48.00,1375973
24-Jul-13,49.60,50.11,46.68,46.80,1591385
23-Jul-13,49.27,49.66,48.66,49.52,199733
22-Jul-13,49.10,50.04,48.53,49.22,277774
19-Jul-13,49.65,49.69,48.75,49.00,264756
18-Jul-13,47.82,50.15,47.73,49.66,381452
17-Jul-13,47.35,47.68,47.16,47.66,177489
16-Jul-13,47.61,48.20,46.80,47.44,245752
15-Jul-13,47.50,47.67,46.70,47.52,369757
12-Jul-13,47.28,47.54,46.96,47.33,262732
11-Jul-13,48.38,48.72,46.71,47.20,325110
10-Jul-13,48.81,48.81,47.59,47.65,396113
9-Jul-13,48.22,48.77,47.65,48.75,513634
8-Jul-13,47.40,47.86,47.19,47.79,401081
5-Jul-13,46.93,47.29,46.24,47.23,306622
3-Jul-13,44.68,46.22,44.68,46.20,197778
2-Jul-13,44.93,45.80,44.53,45.53,493099
1-Jul-13,44.52,45.25,44.13,44.96,316991
28-Jun-13,44.41,44.86,43.64,44.36,1387850
27-Jun-13,44.00,44.78,43.77,44.71,412929
26-Jun-13,43.65,43.90,43.31,43.70,252152
25-Jun-13,42.50,43.58,42.16,43.27,424617
24-Jun-13,41.52,42.00,41.15,41.93,689022
21-Jun-13,42.56,42.84,41.08,41.93,811971
20-Jun-13,43.04,43.40,42.22,42.38,410649
19-Jun-13,43.39,43.95,43.02,43.49,215635
18-Jun-13,43.02,43.33,42.32,43.32,230018
17-Jun-13,43.52,43.52,42.83,43.07,192216
14-Jun-13,44.51,44.51,42.92,43.20,147851
13-Jun-13,44.00,44.55,43.41,44.54,236679
12-Jun-13,44.50,44.72,43.70,43.90,285357
11-Jun-13,44.34,44.57,43.90,44.38,374220
10-Jun-13,44.43,44.85,44.25,44.77,307002
7-Jun-13,44.44,44.61,44.04,44.45,249945
6-Jun-13,43.13,44.03,42.89,44.00,319862
5-Jun-13,43.70,44.00,43.20,43.23,286316
4-Jun-13,44.02,44.49,43.19,43.72,357622
3-Jun-13,44.30,44.57,43.34,43.91,360197
