Date,Open,High,Low,Close,Volume
31-Dec-13,20.73,20.75,20.21,20.71,2556
30-Dec-13,20.50,22.18,20.08,22.18,3647
27-Dec-13,22.18,22.18,22.18,22.18,324
24-Dec-13,20.55,20.65,20.55,20.65,1250
23-Dec-13,20.75,20.75,20.30,20.30,1050
20-Dec-13,20.02,20.75,20.02,20.05,19032
19-Dec-13,20.00,20.10,20.00,20.10,2188
18-Dec-13,20.04,20.75,19.79,20.73,4940
17-Dec-13,21.19,21.19,20.00,20.00,4606
16-Dec-13,21.18,21.19,20.60,20.75,16579
13-Dec-13,20.92,20.92,20.65,20.65,350
12-Dec-13,20.00,21.45,20.00,21.36,10993
11-Dec-13,19.66,20.00,19.53,20.00,1809
10-Dec-13,19.87,20.26,19.70,20.00,4127
9-Dec-13,19.60,19.87,19.60,19.87,446
6-Dec-13,19.89,19.89,19.89,19.89,300
5-Dec-13,19.75,19.75,19.75,19.75,3000
4-Dec-13,19.65,19.65,19.65,19.65,500
3-Dec-13,19.80,19.80,19.80,19.80,950
2-Dec-13,19.74,19.74,19.74,19.74,1000
27-Nov-13,19.86,19.89,19.86,19.89,330
22-Nov-13,19.61,19.61,19.07,19.55,3631
21-Nov-13,19.58,19.75,19.58,19.60,2650
20-Nov-13,19.20,19.94,19.20,19.60,3000
19-Nov-13,19.93,19.93,19.93,19.93,992
18-Nov-13,19.85,19.85,19.85,19.85,2070
15-Nov-13,19.60,19.60,19.60,19.60,1397
14-Nov-13,19.60,19.60,19.60,19.60,500
13-Nov-13,19.07,19.61,19.07,19.60,3745
12-Nov-13,20.05,20.05,19.60,19.60,7800
11-Nov-13,19.66,19.68,19.60,19.60,1600
8-Nov-13,19.55,20.00,19.06,19.70,34302
6-Nov-13,19.50,19.60,19.50,19.60,1300
4-Nov-13,19.50,19.50,19.50,19.50,730
1-Nov-13,19.50,19.50,19.50,19.50,500
31-Oct-13,19.52,19.52,19.19,19.19,500
30-Oct-13,19.50,19.55,19.50,19.51,1809
29-Oct-13,19.77,19.99,19.75,19.75,2200
28-Oct-13,20.13,20.37,20.13,20.37,929
25-Oct-13,20.65,20.65,20.65,20.65,499
24-Oct-13,21.99,21.99,21.99,21.99,516
23-Oct-13,19.75,21.00,19.75,21.00,3000
22-Oct-13,20.00,20.00,20.00,20.00,5300
21-Oct-13,19.53,20.25,19.53,20.25,1160
18-Oct-13,20.25,20.25,20.25,20.25,900
26-Sep-13,18.65,18.70,18.60,18.70,2600
25-Sep-13,18.55,18.55,18.20,18.45,1794
24-Sep-13,18.80,18.80,18.80,18.80,100
20-Sep-13,19.20,19.20,19.00,19.00,425
17-Sep-13,19.20,19.20,19.20,19.20,1200
16-Sep-13,19.06,19.10,19.06,19.10,1200
9-Sep-13,19.00,19.19,19.00,19.19,1300
21-Aug-13,19.00,19.00,19.00,19.00,300
8-Aug-13,19.00,19.00,19.00,19.00,1000
7-Aug-13,19.12,19.13,19.12,19.13,200
2-Aug-13,19.13,19.13,19.00,19.12,5000
1-Aug-13,19.00,19.02,18.99,19.02,900
29-Jul-13,18.93,18.95,18.93,18.95,1000
25-Jul-13,18.94,18.99,18.94,18.99,400
23-Jul-13,18.85,18.85,18.85,18.85,900
22-Jul-13,18.86,18.86,18.86,18.86,100
18-Jul-13,18.80,18.94,18.80,18.94,1000
17-Jul-13,18.62,18.62,18.62,18.62,500
12-Jul-13,18.67,18.67,18.67,18.67,900
11-Jul-13,18.99,18.99,18.99,18.99,125
10-Jul-13,18.99,18.99,18.99,18.99,975
9-Jul-13,18.59,18.59,18.59,18.59,150
8-Jul-13,18.56,18.58,18.56,18.58,1850
26-Jun-13,18.50,18.50,18.35,18.35,800
12-Jun-13,18.40,18.68,18.40,18.68,3200
11-Jun-13,18.35,18.35,18.35,18.35,1000
10-Jun-13,18.00,18.00,18.00,18.00,200
7-Jun-13,18.45,18.60,18.01,18.60,1000
6-Jun-13,18.23,18.45,17.76,18.45,1100
4-Jun-13,18.45,18.45,18.45,18.45,100
3-Jun-13,18.60,18.60,18.23,18.55,1871
31-May-13,18.50,18.50,18.50,18.50,300
30-May-13,18.45,18.49,18.45,18.49,500
29-May-13,18.44,18.44,18.44,18.44,250
28-May-13,18.30,18.43,18.30,18.43,1075
22-May-13,18.26,18.26,18.26,18.26,349
21-May-13,18.25,18.25,18.25,18.25,275
7-May-13,18.30,18.30,18.30,18.30,1228
6-May-13,18.27,18.30,18.26,18.26,2721
3-May-13,18.40,18.40,18.26,18.26,581
2-May-13,18.25,18.25,18.25,18.25,352
29-Apr-13,18.01,18.01,18.01,18.01,975
24-Apr-13,18.25,18.25,18.25,18.25,1333
19-Apr-13,18.01,18.25,18.01,18.25,200
18-Apr-13,18.00,18.00,18.00,18.00,100
17-Apr-13,17.50,17.50,17.50,17.50,200
16-Apr-13,17.05,17.05,17.05,17.05,100
12-Apr-13,17.05,17.12,17.05,17.12,1216
1-Apr-13,16.71,16.71,16.71,16.71,598
28-Mar-13,17.15,17.15,16.50,16.50,1398
27-Mar-13,17.43,17.43,17.15,17.42,1000
26-Mar-13,17.55,17.55,17.50,17.50,2004
22-Mar-13,17.95,17.95,17.95,17.95,900
