Date,Open,High,Low,Close,Volume
31-Dec-13,92.60,97.50,91.90,93.40,43606
30-Dec-13,93.80,95.20,92.20,93.00,29065
27-Dec-13,93.70,94.30,91.50,93.60,15724
26-Dec-13,92.00,95.00,91.80,93.40,15902
24-Dec-13,93.70,94.50,91.30,91.90,13256
23-Dec-13,87.20,94.40,87.20,93.50,37376
20-Dec-13,85.10,89.20,84.70,87.00,47254
19-Dec-13,86.60,88.10,83.10,84.70,37036
18-Dec-13,87.40,88.50,86.90,87.00,26002
17-Dec-13,89.00,89.00,87.00,87.30,27646
16-Dec-13,89.80,90.80,87.30,87.70,29136
13-Dec-13,89.60,91.20,88.10,89.10,13701
12-Dec-13,86.10,91.00,85.00,89.40,30583
11-Dec-13,87.00,87.70,85.20,86.00,20631
10-Dec-13,87.60,88.40,86.00,86.60,32762
9-Dec-13,90.00,90.20,87.70,88.50,23537
6-Dec-13,89.80,91.60,88.90,89.50,16690
5-Dec-13,92.50,92.80,88.40,88.90,18927
4-Dec-13,91.20,92.95,89.10,92.80,53029
3-Dec-13,92.60,94.30,91.20,91.70,34176
2-Dec-13,93.60,94.00,91.10,93.10,65019
29-Nov-13,94.70,95.90,92.20,93.70,17413
27-Nov-13,94.00,95.22,92.78,94.00,31997
26-Nov-13,89.40,94.40,88.50,93.70,72765
25-Nov-13,86.10,89.30,85.70,88.90,64664
22-Nov-13,86.90,88.70,84.80,85.90,61900
21-Nov-13,87.20,89.60,86.50,87.00,51118
20-Nov-13,91.70,92.10,86.60,87.10,113058
19-Nov-13,98.80,99.30,91.50,91.70,57558
18-Nov-13,98.80,100.90,97.50,99.10,98902
15-Nov-13,89.50,98.20,89.50,98.20,93436
14-Nov-13,95.30,99.40,89.40,89.80,117784
13-Nov-13,103.00,105.00,95.00,95.40,306848
12-Nov-13,106.90,108.70,105.20,107.20,66649
11-Nov-13,114.10,116.40,106.80,107.50,70174
8-Nov-13,105.90,115.00,102.20,114.80,126336
7-Nov-13,105.60,108.20,104.01,105.80,66747
6-Nov-13,104.80,108.50,104.40,104.90,46415
5-Nov-13,102.30,104.70,101.70,104.30,27174
4-Nov-13,105.00,106.83,100.00,102.40,49347
1-Nov-13,104.80,107.80,103.21,104.40,30465
31-Oct-13,103.60,104.90,99.90,104.30,51321
30-Oct-13,109.10,110.30,103.30,103.80,36260
29-Oct-13,109.00,110.50,107.30,109.30,37917
28-Oct-13,109.90,110.50,108.00,109.60,35819
25-Oct-13,114.30,114.98,110.00,110.20,39127
24-Oct-13,114.00,114.90,112.20,114.40,19084
23-Oct-13,109.80,114.40,108.40,114.20,52987
22-Oct-13,113.00,115.60,109.00,110.00,36944
21-Oct-13,107.90,113.50,106.50,113.30,48145
18-Oct-13,107.70,108.80,105.90,108.50,36112
17-Oct-13,107.30,110.85,106.60,106.70,32614
16-Oct-13,106.50,109.10,104.20,107.40,60824
15-Oct-13,109.40,110.00,105.00,106.40,43436
14-Oct-13,108.80,110.90,107.00,110.00,34180
11-Oct-13,108.70,110.30,104.80,109.30,45104
10-Oct-13,102.80,109.80,101.70,109.50,65927
9-Oct-13,103.00,103.50,92.60,100.10,82346
8-Oct-13,114.70,114.70,101.40,102.20,164226
7-Oct-13,115.00,117.60,112.50,114.60,26910
4-Oct-13,112.00,119.10,110.90,115.90,61236
3-Oct-13,119.50,119.50,109.90,112.30,72711
2-Oct-13,122.40,123.70,117.30,119.70,54734
1-Oct-13,111.10,123.90,110.00,123.30,103424
30-Sep-13,107.10,110.90,105.60,110.60,66276
27-Sep-13,111.50,111.50,106.90,107.70,51745
26-Sep-13,111.30,112.10,109.00,111.80,56206
25-Sep-13,108.80,114.80,108.50,111.50,33602
24-Sep-13,111.90,112.30,108.55,109.00,41954
23-Sep-13,119.50,119.50,106.30,112.30,114218
20-Sep-13,124.40,124.50,119.50,119.60,60303
