Date,Open,High,Low,Close,Volume
31-Dec-13,3.84,4.04,3.71,3.90,199630
30-Dec-13,3.80,3.84,3.69,3.83,159811
27-Dec-13,3.86,3.90,3.68,3.80,191434
26-Dec-13,3.86,3.88,3.78,3.84,114089
24-Dec-13,3.74,3.93,3.67,3.87,107479
23-Dec-13,3.75,3.80,3.60,3.74,135460
20-Dec-13,3.61,3.91,3.61,3.75,281462
19-Dec-13,3.63,3.70,3.53,3.59,47376
18-Dec-13,3.61,3.69,3.53,3.63,56846
17-Dec-13,3.73,3.73,3.56,3.58,72819
16-Dec-13,3.57,3.79,3.52,3.76,137010
13-Dec-13,3.80,3.81,3.51,3.57,131674
12-Dec-13,3.51,3.84,3.50,3.69,251246
11-Dec-13,3.48,3.51,3.34,3.46,173724
10-Dec-13,4.21,4.21,3.40,3.49,405994
9-Dec-13,4.18,4.38,3.85,3.90,202438
6-Dec-13,4.53,4.63,4.09,4.16,110230
5-Dec-13,4.07,4.34,3.90,4.31,93119
4-Dec-13,4.32,4.40,4.02,4.07,168762
3-Dec-13,4.49,4.49,4.06,4.30,222322
2-Dec-13,4.40,4.73,4.30,4.47,192409
29-Nov-13,4.53,4.60,4.35,4.41,101903
27-Nov-13,4.28,4.75,4.24,4.52,298086
26-Nov-13,4.00,4.35,3.99,4.28,302578
25-Nov-13,3.70,4.20,3.60,3.99,385726
22-Nov-13,3.50,3.70,3.44,3.67,138179
21-Nov-13,3.49,3.58,3.32,3.41,144614
20-Nov-13,3.31,3.58,3.31,3.46,98765
19-Nov-13,3.18,3.40,3.11,3.29,140891
18-Nov-13,3.37,3.50,3.05,3.17,213204
15-Nov-13,3.40,3.51,3.25,3.35,218449
14-Nov-13,3.60,3.74,3.42,3.45,143703
13-Nov-13,3.57,3.79,3.32,3.59,213401
12-Nov-13,3.88,3.88,3.57,3.61,209672
11-Nov-13,4.12,4.12,3.81,3.85,144141
8-Nov-13,4.12,4.18,4.03,4.14,477207
7-Nov-13,4.12,4.20,3.97,4.13,283517
6-Nov-13,4.36,4.54,4.10,4.20,197619
5-Nov-13,4.18,4.18,3.88,4.00,93865
4-Nov-13,4.10,4.20,3.90,3.97,163941
1-Nov-13,3.59,4.16,3.59,4.10,374324
31-Oct-13,3.61,3.73,3.51,3.61,112065
30-Oct-13,3.54,3.69,3.50,3.62,196773
29-Oct-13,3.75,3.75,3.40,3.69,298152
28-Oct-13,3.87,3.96,2.97,3.65,1382845
25-Oct-13,4.43,4.47,3.90,3.99,430957
24-Oct-13,4.45,4.52,4.35,4.40,349005
23-Oct-13,4.48,4.53,4.36,4.45,131202
22-Oct-13,4.56,4.56,4.46,4.50,382564
21-Oct-13,4.74,4.74,4.48,4.55,210381
18-Oct-13,4.70,4.82,4.63,4.76,141543
17-Oct-13,4.59,4.75,4.55,4.65,122381
16-Oct-13,4.60,4.75,4.56,4.62,91309
15-Oct-13,4.68,4.70,4.46,4.59,217277
14-Oct-13,4.55,4.66,4.26,4.61,335971
11-Oct-13,4.40,4.76,4.26,4.60,208134
10-Oct-13,4.13,4.40,4.10,4.32,163792
9-Oct-13,4.36,4.38,4.07,4.09,98417
8-Oct-13,4.47,4.57,4.10,4.36,279144
7-Oct-13,4.72,4.87,4.41,4.46,222436
4-Oct-13,4.74,4.85,4.69,4.73,142184
3-Oct-13,5.00,5.06,4.55,4.77,389986
2-Oct-13,5.13,5.24,4.95,5.03,478395
1-Oct-13,5.11,5.23,5.01,5.16,234315
30-Sep-13,5.60,5.60,5.01,5.04,517872
27-Sep-13,6.10,6.13,5.56,5.61,251529
26-Sep-13,6.11,6.27,5.91,6.07,250239
25-Sep-13,6.19,6.36,6.06,6.12,81199
24-Sep-13,6.34,6.34,6.15,6.20,258770
23-Sep-13,6.30,6.39,5.70,6.31,166150
20-Sep-13,6.38,6.45,6.25,6.28,467354
19-Sep-13,6.30,6.39,6.20,6.37,227791
18-Sep-13,6.33,6.33,6.19,6.29,154492
17-Sep-13,6.17,6.37,6.10,6.34,107968
16-Sep-13,6.36,6.36,6.10,6.19,96194
13-Sep-13,6.32,6.32,5.50,6.30,169258
12-Sep-13,6.33,6.35,6.17,6.30,76016
11-Sep-13,6.23,6.39,6.18,6.32,84531
10-Sep-13,6.32,6.48,6.21,6.23,144788
9-Sep-13,6.31,6.40,6.15,6.32,264419
6-Sep-13,6.07,6.39,5.97,6.25,422035
5-Sep-13,5.90,6.04,5.82,6.04,165429
4-Sep-13,5.90,5.97,5.78,5.88,98027
3-Sep-13,6.05,6.05,5.83,5.88,100797
30-Aug-13,5.95,6.02,5.61,6.02,109492
29-Aug-13,5.82,6.00,5.73,5.96,120698
28-Aug-13,5.75,6.01,5.55,5.80,79128
27-Aug-13,5.81,5.87,5.64,5.71,93191
26-Aug-13,5.95,6.02,5.81,5.83,135110
23-Aug-13,5.67,5.98,5.57,5.92,33378
22-Aug-13,5.48,5.68,5.48,5.66,35133
21-Aug-13,5.63,5.71,5.48,5.50,45348
20-Aug-13,5.78,5.78,5.40,5.63,46268
19-Aug-13,5.89,5.92,5.72,5.76,78051
16-Aug-13,5.71,5.99,5.49,5.79,70847
15-Aug-13,5.46,5.90,5.46,5.71,132056
14-Aug-13,5.42,5.62,5.39,5.56,61078
13-Aug-13,5.69,5.75,5.30,5.44,132961
12-Aug-13,5.86,5.86,5.62,5.71,172467
9-Aug-13,5.89,5.94,5.80,5.85,50114
8-Aug-13,6.07,6.18,5.88,5.91,149586
7-Aug-13,6.05,6.13,5.87,6.07,83860
6-Aug-13,6.00,6.15,5.89,6.05,88667
5-Aug-13,6.10,6.11,5.90,6.02,231097
2-Aug-13,6.24,6.30,6.03,6.07,125542
1-Aug-13,6.13,6.30,6.02,6.23,123052
31-Jul-13,6.16,6.31,6.03,6.11,319771
30-Jul-13,6.16,6.29,6.16,6.23,52169
29-Jul-13,6.20,6.25,6.16,6.18,94640
