Date,Open,High,Low,Close,Volume
31-Dec-13,4.63,4.73,4.59,4.67,349981
30-Dec-13,4.81,4.81,4.59,4.62,396914
27-Dec-13,4.62,4.73,4.53,4.69,364065
26-Dec-13,4.64,4.79,4.59,4.59,169021
24-Dec-13,4.67,4.75,4.60,4.64,88039
23-Dec-13,4.62,4.75,4.55,4.68,340794
20-Dec-13,4.71,4.75,4.58,4.61,731838
19-Dec-13,4.47,4.78,4.45,4.68,384241
18-Dec-13,4.50,4.55,4.41,4.47,263331
17-Dec-13,4.54,4.62,4.45,4.51,246690
16-Dec-13,4.53,4.98,4.40,4.53,530815
13-Dec-13,4.53,4.57,4.45,4.53,409128
12-Dec-13,4.56,4.62,4.48,4.52,341014
11-Dec-13,4.62,4.67,4.45,4.56,825178
10-Dec-13,4.78,4.81,4.62,4.63,242960
9-Dec-13,4.99,4.99,4.68,4.78,351816
6-Dec-13,4.79,4.90,4.69,4.83,267240
5-Dec-13,4.84,4.86,4.73,4.74,152036
4-Dec-13,4.64,4.85,4.56,4.82,357610
3-Dec-13,4.95,5.00,4.64,4.66,512052
2-Dec-13,4.96,5.00,4.86,4.95,426111
29-Nov-13,4.88,4.99,4.76,4.93,285698
27-Nov-13,4.67,4.98,4.61,4.83,830484
26-Nov-13,4.54,4.71,4.52,4.65,627043
25-Nov-13,4.38,4.64,4.38,4.54,1013619
22-Nov-13,4.50,4.50,4.37,4.45,664404
21-Nov-13,4.34,4.42,4.30,4.37,420307
20-Nov-13,4.23,4.34,4.22,4.30,296617
19-Nov-13,4.32,4.36,4.23,4.23,292580
18-Nov-13,4.48,4.50,4.30,4.31,357312
15-Nov-13,4.47,4.52,4.39,4.45,920554
14-Nov-13,4.55,4.60,4.46,4.49,314198
13-Nov-13,4.42,4.60,4.32,4.54,405810
12-Nov-13,4.45,4.50,4.27,4.46,339752
11-Nov-13,4.28,4.47,4.23,4.45,294642
8-Nov-13,4.14,4.33,4.14,4.25,534014
7-Nov-13,4.20,4.29,4.10,4.14,325274
6-Nov-13,4.36,4.41,4.18,4.18,290235
5-Nov-13,4.09,4.38,4.05,4.33,364958
4-Nov-13,4.10,4.23,4.02,4.09,510195
1-Nov-13,4.33,4.33,4.12,4.17,526301
31-Oct-13,4.33,4.42,4.22,4.34,427078
30-Oct-13,4.44,4.44,4.25,4.32,425083
29-Oct-13,4.40,4.47,4.36,4.44,362688
28-Oct-13,4.52,4.52,4.36,4.40,479804
25-Oct-13,4.55,4.62,4.47,4.53,414429
24-Oct-13,4.58,4.62,4.45,4.53,486983
23-Oct-13,4.52,4.58,4.49,4.56,248165
22-Oct-13,4.50,4.64,4.48,4.55,416659
21-Oct-13,4.95,4.99,4.53,4.64,597155
18-Oct-13,4.71,4.75,4.52,4.63,527201
17-Oct-13,4.70,4.79,4.58,4.65,677954
16-Oct-13,4.77,4.77,4.58,4.69,646248
15-Oct-13,4.71,4.83,4.66,4.73,510548
14-Oct-13,4.67,4.76,4.60,4.72,337919
11-Oct-13,4.61,4.76,4.53,4.72,427181
10-Oct-13,4.38,4.67,4.38,4.65,391651
9-Oct-13,4.51,4.58,4.26,4.33,882863
8-Oct-13,4.91,4.95,4.52,4.52,905147
7-Oct-13,4.97,4.97,4.82,4.82,419639
4-Oct-13,4.95,5.10,4.95,5.00,282797
3-Oct-13,5.05,5.10,4.81,4.96,385211
2-Oct-13,4.86,5.23,4.84,5.03,775869
1-Oct-13,4.65,4.88,4.62,4.86,314756
30-Sep-13,4.71,4.72,4.60,4.65,280685
27-Sep-13,4.75,4.90,4.73,4.75,195233
26-Sep-13,4.68,4.79,4.63,4.77,162127
25-Sep-13,4.65,4.75,4.55,4.68,277114
24-Sep-13,4.73,4.76,4.60,4.65,225217
23-Sep-13,4.60,4.73,4.53,4.71,444295
20-Sep-13,4.77,4.79,4.58,4.60,686515
19-Sep-13,4.82,4.87,4.70,4.77,206039
18-Sep-13,4.68,4.81,4.65,4.80,320243
17-Sep-13,4.59,4.76,4.56,4.68,288914
16-Sep-13,4.52,4.61,4.48,4.61,225655
13-Sep-13,4.55,4.61,4.46,4.50,213591
12-Sep-13,4.62,4.63,4.50,4.53,207839
11-Sep-13,4.49,4.58,4.42,4.54,182790
10-Sep-13,4.61,4.61,4.41,4.48,428705
9-Sep-13,4.58,4.66,4.50,4.58,274535
6-Sep-13,4.45,4.60,4.30,4.55,377189
5-Sep-13,4.45,4.50,4.40,4.42,240254
4-Sep-13,4.36,4.50,4.35,4.46,286600
3-Sep-13,4.38,4.50,4.34,4.38,247473
30-Aug-13,4.41,4.44,4.30,4.35,429676
29-Aug-13,4.50,4.60,4.38,4.40,377404
28-Aug-13,4.47,4.56,4.42,4.52,449275
27-Aug-13,4.63,4.63,4.42,4.46,278788
26-Aug-13,4.68,4.80,4.66,4.68,206531
23-Aug-13,4.65,4.74,4.56,4.68,226414
22-Aug-13,4.63,4.75,4.62,4.67,233782
21-Aug-13,4.55,4.66,4.46,4.61,323846
20-Aug-13,4.37,4.59,4.30,4.55,341628
19-Aug-13,4.58,4.58,4.40,4.40,429555
16-Aug-13,4.76,4.79,4.56,4.61,580966
15-Aug-13,4.87,4.89,4.76,4.80,300343
14-Aug-13,4.83,5.05,4.83,4.87,388461
13-Aug-13,4.91,5.01,4.76,4.85,633838
12-Aug-13,4.83,4.92,4.79,4.90,249853
9-Aug-13,4.98,5.03,4.85,4.87,596279
8-Aug-13,5.14,5.18,4.99,5.01,811640
7-Aug-13,5.28,5.29,5.10,5.13,472849
6-Aug-13,5.06,5.36,5.01,5.31,619163
5-Aug-13,5.15,5.18,5.00,5.08,851875
2-Aug-13,5.27,5.29,5.10,5.12,561516
1-Aug-13,5.48,5.48,5.26,5.30,574522
31-Jul-13,5.43,5.55,5.38,5.42,439514
30-Jul-13,5.51,5.55,5.36,5.42,310395
29-Jul-13,5.65,5.75,5.45,5.47,272972
26-Jul-13,5.63,5.69,5.52,5.63,294625
25-Jul-13,5.52,5.78,5.50,5.67,440697
24-Jul-13,5.58,5.62,5.49,5.51,250102
23-Jul-13,5.45,5.63,5.43,5.54,620553
22-Jul-13,5.31,5.48,5.30,5.42,711108
19-Jul-13,5.49,5.51,5.33,5.34,722559
18-Jul-13,5.70,5.76,5.50,5.50,889758
17-Jul-13,5.84,6.05,5.69,5.71,692393
16-Jul-13,5.57,5.85,5.53,5.84,514273
15-Jul-13,5.48,5.62,5.44,5.58,462741
12-Jul-13,5.46,5.64,5.40,5.44,817919
11-Jul-13,5.52,5.69,5.44,5.48,661214
10-Jul-13,5.40,5.55,5.36,5.49,477562
9-Jul-13,5.59,5.59,5.39,5.41,322335
8-Jul-13,5.44,5.61,5.30,5.57,358620
5-Jul-13,5.62,5.62,5.38,5.43,471969
3-Jul-13,5.57,5.64,5.51,5.56,311894
2-Jul-13,5.43,5.58,5.38,5.58,573976
1-Jul-13,5.32,5.60,5.30,5.42,724838
28-Jun-13,5.12,5.36,4.96,5.26,1608468
27-Jun-13,5.08,5.18,4.99,5.13,252571
26-Jun-13,5.01,5.20,5.00,5.06,323456
25-Jun-13,5.17,5.18,4.92,5.01,301765
24-Jun-13,5.20,5.25,5.05,5.11,605632
21-Jun-13,5.16,5.32,5.03,5.27,462698
20-Jun-13,5.41,5.41,5.10,5.19,569694
19-Jun-13,5.52,5.58,5.35,5.46,307628
18-Jun-13,5.47,5.58,5.46,5.50,304515
17-Jun-13,5.48,5.63,5.47,5.50,375807
14-Jun-13,5.42,5.49,5.36,5.40,204883
13-Jun-13,5.43,5.52,5.29,5.44,343508
12-Jun-13,5.70,5.70,5.30,5.42,394757
11-Jun-13,5.40,5.71,5.34,5.65,323291
10-Jun-13,5.49,5.58,5.40,5.45,459918
7-Jun-13,5.67,5.67,5.33,5.48,728940
6-Jun-13,5.67,5.75,5.47,5.67,333758
5-Jun-13,5.57,5.77,5.50,5.65,550923
4-Jun-13,5.82,5.82,5.57,5.62,418114
3-Jun-13,5.72,5.83,5.55,5.79,709217
31-May-13,5.83,5.87,5.57,5.72,597445
30-May-13,5.81,5.95,5.70,5.85,438279
29-May-13,5.80,6.11,5.71,5.78,929256
28-May-13,5.55,5.84,5.55,5.82,1176434
24-May-13,5.63,5.77,5.42,5.54,452808
23-May-13,5.39,5.64,5.30,5.63,426085
22-May-13,5.57,5.74,5.25,5.44,635302
21-May-13,5.48,5.60,5.45,5.58,249101
20-May-13,5.53,5.75,5.44,5.48,492018
17-May-13,5.34,5.58,5.32,5.57,481033
16-May-13,5.72,5.73,5.24,5.30,1174529
15-May-13,5.81,5.83,5.56,5.71,711061
14-May-13,5.53,5.82,5.53,5.79,1445839
13-May-13,5.20,5.55,5.09,5.50,774013
10-May-13,5.11,5.24,5.06,5.21,404391
9-May-13,5.02,5.19,5.00,5.08,515012
8-May-13,4.99,5.22,4.91,4.98,685543
7-May-13,4.89,5.05,4.89,4.96,523288
6-May-13,4.60,4.89,4.56,4.89,430543
3-May-13,4.60,4.79,4.53,4.60,353924
2-May-13,4.75,4.77,4.45,4.55,511625
1-May-13,4.93,4.93,4.64,4.73,514811
30-Apr-13,4.83,4.83,4.70,4.82,276911
29-Apr-13,4.94,5.00,4.80,4.82,295939
26-Apr-13,4.96,4.97,4.76,4.96,319363
25-Apr-13,4.89,5.06,4.89,4.95,533085
24-Apr-13,4.84,4.88,4.65,4.88,394341
23-Apr-13,4.70,4.86,4.69,4.86,546773
22-Apr-13,4.59,4.69,4.41,4.68,443290
19-Apr-13,4.43,4.61,4.35,4.61,377492
18-Apr-13,4.57,4.61,4.36,4.44,350014
17-Apr-13,4.57,4.63,4.39,4.57,372006
16-Apr-13,4.66,4.68,4.48,4.57,443866
15-Apr-13,4.60,4.70,4.45,4.63,1133675
12-Apr-13,4.62,4.68,4.60,4.64,352732
11-Apr-13,4.69,4.70,4.60,4.62,281841
10-Apr-13,4.55,4.71,4.55,4.70,465895
