Date,Open,High,Low,Close,Volume
31-Dec-13,10.33,10.43,10.29,10.34,460473
30-Dec-13,10.40,10.44,10.15,10.28,668355
27-Dec-13,10.48,10.49,10.36,10.42,184788
26-Dec-13,10.57,10.57,10.42,10.43,327167
24-Dec-13,10.49,10.53,10.47,10.53,174617
23-Dec-13,10.44,10.56,10.41,10.45,366121
20-Dec-13,10.30,10.47,10.30,10.43,551470
19-Dec-13,10.35,10.35,10.28,10.28,348002
18-Dec-13,10.35,10.40,10.24,10.40,347215
17-Dec-13,10.28,10.34,10.20,10.30,312830
16-Dec-13,10.25,10.35,10.20,10.25,332332
13-Dec-13,10.28,10.29,10.11,10.24,549103
12-Dec-13,10.69,10.72,10.52,10.53,551254
11-Dec-13,10.68,10.74,10.62,10.65,489414
10-Dec-13,10.66,10.70,10.58,10.64,415140
9-Dec-13,10.65,10.71,10.60,10.65,471564
6-Dec-13,10.69,10.80,10.56,10.68,411138
5-Dec-13,10.61,10.65,10.54,10.57,246104
4-Dec-13,10.55,10.68,10.45,10.61,404952
3-Dec-13,10.65,10.70,10.53,10.57,398718
2-Dec-13,10.84,10.85,10.68,10.68,714124
29-Nov-13,10.75,10.85,10.75,10.81,365703
27-Nov-13,10.69,10.74,10.64,10.71,286496
26-Nov-13,10.67,10.70,10.59,10.63,335940
25-Nov-13,10.55,10.73,10.54,10.62,476266
22-Nov-13,10.51,10.56,10.45,10.56,347053
21-Nov-13,10.46,10.52,10.43,10.49,446661
20-Nov-13,10.41,10.42,10.34,10.40,288227
19-Nov-13,10.37,10.42,10.32,10.37,402653
18-Nov-13,10.39,10.40,10.32,10.34,417679
15-Nov-13,10.37,10.42,10.34,10.37,389744
14-Nov-13,10.26,10.42,10.20,10.40,379064
13-Nov-13,10.35,10.41,10.24,10.26,493397
12-Nov-13,10.32,10.39,10.28,10.38,325974
11-Nov-13,10.33,10.39,10.28,10.33,239391
8-Nov-13,10.17,10.32,10.16,10.31,384432
7-Nov-13,10.25,10.26,10.04,10.14,493182
6-Nov-13,10.20,10.24,10.14,10.16,466341
5-Nov-13,10.14,10.20,10.10,10.13,304973
4-Nov-13,10.07,10.17,10.06,10.16,405152
1-Nov-13,10.01,10.06,9.94,9.99,521161
31-Oct-13,10.13,10.18,10.00,10.00,313115
30-Oct-13,10.16,10.19,10.11,10.11,299635
29-Oct-13,10.17,10.22,10.14,10.18,346889
28-Oct-13,10.12,10.18,10.12,10.16,270720
25-Oct-13,10.12,10.15,10.07,10.14,298128
24-Oct-13,10.10,10.11,10.03,10.09,258345
23-Oct-13,10.01,10.11,10.01,10.07,315648
22-Oct-13,10.08,10.08,10.01,10.03,295717
21-Oct-13,10.00,10.08,9.96,10.05,493696
18-Oct-13,9.94,9.99,9.88,9.97,414027
17-Oct-13,9.73,9.92,9.73,9.89,318752
16-Oct-13,9.78,9.84,9.69,9.74,319168
15-Oct-13,9.82,9.88,9.71,9.75,259291
14-Oct-13,9.85,9.89,9.80,9.87,278228
11-Oct-13,9.76,9.93,9.76,9.93,363275
10-Oct-13,9.74,9.81,9.70,9.79,333118
9-Oct-13,9.60,9.66,9.55,9.60,323989
8-Oct-13,9.66,9.70,9.57,9.58,297863
7-Oct-13,9.63,9.69,9.53,9.67,397278
4-Oct-13,9.55,9.67,9.55,9.66,252745
3-Oct-13,9.71,9.71,9.55,9.57,348309
2-Oct-13,9.73,9.77,9.65,9.68,288363
1-Oct-13,9.76,9.81,9.73,9.77,290918
30-Sep-13,9.78,9.81,9.70,9.74,473808
27-Sep-13,9.78,9.80,9.71,9.78,223221
26-Sep-13,9.82,9.88,9.78,9.80,231705
25-Sep-13,9.83,9.90,9.80,9.82,277651
24-Sep-13,9.83,9.86,9.75,9.78,259365
23-Sep-13,9.74,9.84,9.74,9.81,314754
20-Sep-13,9.78,9.85,9.72,9.78,518206
19-Sep-13,9.88,9.90,9.76,9.79,265269
18-Sep-13,9.75,9.90,9.72,9.86,380618
17-Sep-13,9.72,9.78,9.72,9.77,378494
16-Sep-13,9.80,9.83,9.73,9.75,320051
13-Sep-13,9.76,9.79,9.73,9.74,268075
12-Sep-13,9.77,9.87,9.72,9.77,404987
11-Sep-13,10.06,10.07,9.98,10.01,733474
10-Sep-13,10.02,10.07,9.96,10.05,753944
9-Sep-13,10.00,10.03,9.93,9.98,478191
6-Sep-13,10.03,10.04,9.81,9.95,449866
5-Sep-13,10.00,10.00,9.92,9.95,461440
4-Sep-13,9.94,9.99,9.85,9.98,600700
3-Sep-13,9.80,9.89,9.77,9.88,644294
30-Aug-13,9.75,9.79,9.63,9.64,353620
29-Aug-13,9.66,9.78,9.62,9.75,240377
28-Aug-13,9.64,9.70,9.60,9.61,262926
27-Aug-13,9.70,9.74,9.61,9.62,335696
26-Aug-13,9.78,9.79,9.74,9.74,211418
23-Aug-13,9.73,9.80,9.70,9.77,253862
22-Aug-13,9.68,9.76,9.68,9.74,176193
21-Aug-13,9.64,9.74,9.59,9.68,290586
20-Aug-13,9.52,9.68,9.52,9.65,355602
19-Aug-13,9.58,9.64,9.52,9.52,343286
16-Aug-13,9.59,9.67,9.56,9.59,325387
15-Aug-13,9.60,9.70,9.55,9.61,430551
14-Aug-13,9.61,9.70,9.59,9.63,200841
13-Aug-13,9.75,9.75,9.52,9.60,466059
12-Aug-13,9.56,9.75,9.56,9.73,357019
9-Aug-13,9.66,9.71,9.56,9.56,307970
8-Aug-13,9.67,9.72,9.59,9.65,350771
7-Aug-13,9.70,9.72,9.56,9.59,493302
6-Aug-13,10.02,10.02,9.70,9.70,588931
5-Aug-13,10.09,10.09,9.98,10.02,289817
2-Aug-13,10.08,10.10,9.99,10.06,406468
1-Aug-13,10.11,10.12,10.00,10.08,303686
31-Jul-13,10.08,10.10,9.94,10.04,501604
30-Jul-13,10.09,10.10,10.00,10.05,206757
29-Jul-13,10.00,10.11,10.00,10.02,345623
26-Jul-13,10.14,10.14,10.01,10.08,362960
25-Jul-13,10.02,10.13,9.90,10.13,387459
24-Jul-13,10.10,10.16,9.99,10.01,440617
23-Jul-13,10.14,10.19,10.09,10.10,464056
22-Jul-13,10.04,10.14,9.95,10.12,392809
19-Jul-13,10.01,10.05,9.95,10.04,272125
18-Jul-13,10.00,10.08,9.94,10.01,391382
17-Jul-13,9.95,10.02,9.90,9.98,405659
16-Jul-13,9.98,9.99,9.90,9.93,415227
15-Jul-13,9.89,9.97,9.84,9.96,412245
12-Jul-13,9.86,9.86,9.75,9.84,272340
11-Jul-13,9.83,9.86,9.76,9.83,450218
10-Jul-13,9.75,9.79,9.71,9.76,243096
9-Jul-13,9.70,9.76,9.62,9.75,316493
8-Jul-13,9.48,9.62,9.45,9.62,278416
5-Jul-13,9.78,9.78,9.45,9.50,403043
3-Jul-13,9.65,9.72,9.60,9.65,197368
2-Jul-13,9.79,9.82,9.56,9.67,732781
1-Jul-13,9.69,9.78,9.64,9.74,432981
28-Jun-13,9.62,9.68,9.56,9.62,512306
27-Jun-13,9.48,9.60,9.42,9.59,425561
26-Jun-13,9.46,9.50,9.41,9.41,308496
25-Jun-13,9.27,9.40,9.21,9.37,446172
24-Jun-13,9.27,9.34,8.96,9.15,1085539
21-Jun-13,9.43,9.52,9.30,9.36,663356
20-Jun-13,9.48,9.48,9.34,9.41,671878
19-Jun-13,9.69,9.70,9.54,9.58,462891
18-Jun-13,9.58,9.66,9.51,9.66,433732
17-Jun-13,9.60,9.75,9.55,9.59,481088
14-Jun-13,9.67,9.67,9.51,9.56,560344
13-Jun-13,9.33,9.58,9.26,9.48,746789
12-Jun-13,9.56,9.62,9.33,9.33,733856
11-Jun-13,9.75,9.85,9.66,9.76,702642
10-Jun-13,9.79,9.84,9.69,9.81,460334
7-Jun-13,9.90,9.90,9.70,9.70,661838
6-Jun-13,9.67,9.83,9.66,9.81,466740
5-Jun-13,9.77,9.82,9.63,9.74,607652
4-Jun-13,9.91,9.98,9.75,9.75,678556
3-Jun-13,9.92,9.97,9.71,9.87,792470
31-May-13,9.95,10.06,9.78,9.81,586833
30-May-13,9.96,10.04,9.91,10.01,487138
29-May-13,9.93,9.96,9.77,9.89,455477
28-May-13,10.10,10.16,9.89,9.96,527603
24-May-13,9.86,9.96,9.86,9.93,284148
23-May-13,9.80,9.93,9.76,9.89,522746
22-May-13,10.07,10.12,9.90,9.92,605393
21-May-13,10.05,10.10,10.04,10.08,306200
20-May-13,9.95,10.09,9.95,10.07,470842
17-May-13,10.05,10.07,9.95,9.99,379914
16-May-13,9.91,10.08,9.90,9.99,381736
15-May-13,9.98,10.03,9.90,9.97,554063
14-May-13,9.93,10.09,9.91,10.03,602927
13-May-13,9.90,9.97,9.85,9.90,451427
10-May-13,9.94,9.98,9.88,9.90,463507
9-May-13,10.02,10.05,9.91,9.94,371186
8-May-13,9.86,10.05,9.82,10.05,591364
7-May-13,10.00,10.03,9.81,9.88,855689
6-May-13,10.04,10.12,9.95,10.04,437964
3-May-13,10.11,10.19,10.02,10.04,616655
2-May-13,9.86,10.07,9.84,10.01,435275
1-May-13,10.18,10.18,9.83,9.84,640341
30-Apr-13,10.11,10.17,10.02,10.17,622710
29-Apr-13,9.99,10.13,9.95,10.10,641666
26-Apr-13,9.82,9.97,9.76,9.92,518022
25-Apr-13,9.90,9.92,9.80,9.87,493954
24-Apr-13,9.86,9.91,9.74,9.87,632038
23-Apr-13,9.70,9.89,9.63,9.84,721140
22-Apr-13,9.52,9.68,9.38,9.63,499512
19-Apr-13,9.35,9.53,9.28,9.46,524638
18-Apr-13,9.33,9.39,9.25,9.34,618599
17-Apr-13,9.34,9.39,9.14,9.28,886665
16-Apr-13,9.35,9.39,9.28,9.37,672586
15-Apr-13,9.50,9.53,9.20,9.22,1010379
12-Apr-13,9.56,9.62,9.50,9.53,510144
11-Apr-13,9.73,9.73,9.62,9.62,475464
10-Apr-13,9.68,9.84,9.64,9.75,556820
9-Apr-13,9.73,9.80,9.64,9.68,593206
8-Apr-13,9.56,9.71,9.45,9.70,656139
5-Apr-13,9.41,9.52,9.40,9.51,611113
4-Apr-13,9.48,9.57,9.41,9.51,580033
3-Apr-13,9.81,9.84,9.39,9.44,1673692
2-Apr-13,9.86,9.94,9.79,9.82,645421
1-Apr-13,9.95,9.95,9.75,9.81,883320
28-Mar-13,9.77,9.96,9.75,9.94,1473217
27-Mar-13,9.79,9.81,9.74,9.77,1066008
26-Mar-13,9.91,9.99,9.80,9.83,1946764
25-Mar-13,10.14,10.16,10.01,10.08,608526
22-Mar-13,10.05,10.16,10.03,10.12,694239
21-Mar-13,10.09,10.14,10.00,10.00,616851
20-Mar-13,10.01,10.13,9.93,10.10,1257490
19-Mar-13,10.17,10.27,10.14,10.21,6011394
18-Mar-13,10.40,10.58,10.40,10.47,566401
15-Mar-13,10.56,10.58,10.40,10.46,800474
14-Mar-13,10.43,10.59,10.40,10.57,608450
13-Mar-13,10.58,10.74,10.40,10.42,829029
12-Mar-13,10.75,10.75,10.55,10.58,664525
11-Mar-13,10.60,10.75,10.56,10.71,482221
8-Mar-13,10.55,10.62,10.51,10.58,553954
7-Mar-13,10.60,10.60,10.48,10.52,694257
6-Mar-13,10.56,10.59,10.43,10.57,524903
5-Mar-13,10.58,10.58,10.46,10.50,576478
4-Mar-13,10.44,10.54,10.35,10.51,567166
1-Mar-13,10.31,10.43,10.26,10.40,461063
28-Feb-13,10.39,10.44,10.31,10.33,1372056
27-Feb-13,10.26,10.45,10.26,10.39,582381
26-Feb-13,10.25,10.36,10.21,10.31,437800
25-Feb-13,10.52,10.53,10.19,10.19,578938
22-Feb-13,10.37,10.48,10.33,10.45,518527
21-Feb-13,10.41,10.51,10.18,10.30,541988
20-Feb-13,10.61,10.64,10.45,10.45,470713
19-Feb-13,10.55,10.65,10.54,10.57,795719
15-Feb-13,10.69,10.69,10.50,10.55,538601
14-Feb-13,10.49,10.66,10.44,10.63,636924
