Date,Open,High,Low,Close,Volume
31-Dec-13,7.47,7.75,7.34,7.34,5203
30-Dec-13,7.50,7.64,7.30,7.30,6065
26-Dec-13,7.40,7.40,7.40,7.40,100
23-Dec-13,7.65,7.65,7.32,7.55,797
20-Dec-13,7.40,7.94,7.07,7.93,8617
19-Dec-13,7.69,7.69,7.65,7.65,1014
18-Dec-13,7.70,8.00,7.70,7.90,3800
17-Dec-13,7.45,7.60,7.44,7.60,9700
16-Dec-13,7.45,7.46,7.45,7.45,1000
12-Dec-13,7.70,7.70,7.70,7.70,250
10-Dec-13,7.70,8.00,7.40,7.42,20551
6-Dec-13,7.75,7.76,7.42,7.70,5927
5-Dec-13,7.78,7.90,7.75,7.90,2400
4-Dec-13,7.88,8.00,7.75,7.75,12000
3-Dec-13,7.75,7.80,7.75,7.80,3337
2-Dec-13,7.75,7.77,7.75,7.77,6000
27-Nov-13,7.87,7.87,7.87,7.87,275
25-Nov-13,7.41,7.85,7.41,7.85,200
21-Nov-13,7.75,7.85,7.75,7.85,7996
19-Nov-13,7.40,7.83,7.40,7.83,560
14-Nov-13,7.40,7.88,7.40,7.75,7520
13-Nov-13,7.42,7.42,7.42,7.42,1000
8-Nov-13,7.85,7.85,7.85,7.85,100
6-Nov-13,7.70,7.70,7.70,7.70,2000
1-Nov-13,7.90,7.90,7.44,7.44,200
31-Oct-13,7.67,7.70,7.48,7.48,16081
29-Oct-13,7.56,7.56,7.50,7.51,6147
28-Oct-13,7.50,7.60,7.50,7.60,545
25-Oct-13,7.69,7.69,7.69,7.69,490
24-Oct-13,7.74,7.74,7.74,7.74,100
23-Oct-13,7.55,7.74,6.85,6.85,2030
21-Oct-13,7.44,7.44,7.44,7.44,100
18-Oct-13,7.60,7.60,7.47,7.47,1420
17-Oct-13,7.60,7.60,7.30,7.48,5560
15-Oct-13,7.40,7.45,7.40,7.45,2100
11-Oct-13,7.25,7.25,7.23,7.25,2560
10-Oct-13,7.13,7.25,6.82,7.20,3778
9-Oct-13,7.28,7.40,6.75,7.10,1712
8-Oct-13,7.45,7.45,7.44,7.44,1100
7-Oct-13,7.30,7.30,6.71,7.24,1576
3-Oct-13,6.85,7.49,6.85,7.49,200
1-Oct-13,7.55,7.55,7.55,7.55,1000
30-Sep-13,7.45,7.45,7.45,7.45,200
27-Sep-13,7.75,7.75,7.48,7.48,1628
26-Sep-13,7.62,7.89,7.00,7.89,10107
25-Sep-13,7.75,7.75,7.61,7.61,1816
24-Sep-13,7.50,7.88,7.50,7.84,2700
23-Sep-13,7.50,7.55,7.50,7.55,1200
20-Sep-13,7.52,7.62,7.50,7.60,6018
19-Sep-13,7.95,7.95,7.95,7.95,100
17-Sep-13,7.86,7.89,7.86,7.88,2575
16-Sep-13,7.95,7.95,7.45,7.90,2550
12-Sep-13,7.32,7.51,7.32,7.50,3767
11-Sep-13,5.00,7.95,5.00,7.50,10481
10-Sep-13,7.97,7.97,7.30,7.76,7700
9-Sep-13,7.47,7.75,6.77,7.25,12055
6-Sep-13,7.70,7.75,7.55,7.75,6519
5-Sep-13,7.75,7.75,7.75,7.75,1600
4-Sep-13,8.00,8.00,7.60,7.75,13300
3-Sep-13,7.81,7.81,7.81,7.81,1500
30-Aug-13,7.87,7.87,7.81,7.81,2000
29-Aug-13,7.86,7.87,7.86,7.87,2100
28-Aug-13,7.90,7.90,7.77,7.77,2100
27-Aug-13,7.85,7.86,7.55,7.80,4400
26-Aug-13,7.75,7.75,7.57,7.57,615
23-Aug-13,7.75,7.75,7.55,7.55,2100
22-Aug-13,7.75,7.75,7.75,7.75,4000
21-Aug-13,7.75,7.75,7.75,7.75,2975
20-Aug-13,7.45,7.47,7.45,7.47,200
19-Aug-13,7.72,7.77,7.72,7.75,6599
16-Aug-13,7.94,7.94,7.50,7.50,1200
15-Aug-13,7.50,8.00,7.50,7.94,6831
14-Aug-13,7.00,10.00,6.52,7.50,19907
12-Aug-13,7.10,7.24,7.10,7.24,600
9-Aug-13,7.00,7.00,7.00,7.00,1909
8-Aug-13,6.95,6.95,6.95,6.95,1000
7-Aug-13,7.00,7.00,7.00,7.00,500
2-Aug-13,7.10,7.10,7.10,7.10,530
25-Jul-13,6.75,7.15,6.75,7.00,650
24-Jul-13,7.00,7.00,7.00,7.00,3284
23-Jul-13,7.10,7.10,7.10,7.10,3000
5-Jul-13,7.24,7.24,7.24,7.24,2100
2-Jul-13,7.25,7.25,7.25,7.25,100
1-Jul-13,7.00,7.25,7.00,7.10,9600
28-Jun-13,7.00,7.00,7.00,7.00,100
27-Jun-13,6.80,6.80,6.40,6.71,2300
26-Jun-13,6.40,6.71,6.40,6.71,1200
25-Jun-13,6.70,7.00,6.36,7.00,6215
24-Jun-13,6.85,6.85,6.27,6.70,11362
21-Jun-13,7.00,7.00,7.00,7.00,215
20-Jun-13,6.75,7.09,6.75,7.00,10588
19-Jun-13,6.75,6.75,6.75,6.75,2300
18-Jun-13,7.00,7.10,7.00,7.10,3850
17-Jun-13,6.95,6.95,6.95,6.95,300
14-Jun-13,7.09,7.09,6.85,6.85,300
11-Jun-13,7.00,7.00,7.00,7.00,9400
7-Jun-13,6.85,6.85,6.85,6.85,306
6-Jun-13,7.20,7.20,7.05,7.05,750
5-Jun-13,7.19,7.19,7.19,7.19,100
4-Jun-13,7.02,7.02,6.85,6.85,401
3-Jun-13,7.00,7.05,7.00,7.05,2100
31-May-13,6.50,7.20,6.50,7.20,64245
29-May-13,6.77,6.80,6.25,6.25,1678
28-May-13,6.50,6.50,6.50,6.50,3700
23-May-13,6.25,6.40,6.25,6.40,5502
22-May-13,6.40,6.50,6.18,6.50,700
21-May-13,6.40,6.50,6.40,6.50,900
20-May-13,6.05,6.85,6.05,6.20,1950
17-May-13,6.23,6.23,6.20,6.20,244
16-May-13,6.75,6.75,6.75,6.75,1000
15-May-13,7.12,7.12,6.90,6.90,3800
14-May-13,7.04,7.15,6.65,6.90,8454
13-May-13,6.50,6.50,6.50,6.50,144
7-May-13,6.94,6.94,6.94,6.94,100
3-May-13,6.69,6.69,6.69,6.69,100
1-May-13,6.69,6.69,6.30,6.30,5600
30-Apr-13,6.88,6.90,6.51,6.52,4450
29-Apr-13,6.20,6.89,5.90,6.88,7800
26-Apr-13,6.75,6.75,6.75,6.75,300
25-Apr-13,6.75,6.89,6.75,6.89,1500
24-Apr-13,6.35,6.35,6.35,6.35,1000
22-Apr-13,6.75,6.75,6.06,6.06,752
18-Apr-13,6.71,6.71,6.30,6.30,3000
17-Apr-13,6.71,6.71,6.35,6.35,1044
16-Apr-13,6.75,6.75,6.75,6.75,734
15-Apr-13,6.89,6.89,6.30,6.75,1950
12-Apr-13,6.90,6.90,6.90,6.90,975
11-Apr-13,6.90,6.90,6.90,6.90,200
10-Apr-13,6.63,6.63,6.31,6.31,1543
9-Apr-13,6.90,6.90,6.90,6.90,100
8-Apr-13,6.75,6.90,6.20,6.90,1200
4-Apr-13,7.00,7.00,7.00,7.00,100
3-Apr-13,6.60,6.60,6.55,6.55,2600
1-Apr-13,6.75,7.25,6.75,7.00,13816
28-Mar-13,6.79,7.00,6.30,6.75,5850
27-Mar-13,6.79,6.79,6.79,6.79,200
22-Mar-13,7.00,7.00,6.85,6.85,1350
20-Mar-13,6.85,6.85,6.85,6.85,1000
19-Mar-13,6.85,6.85,6.85,6.85,1000
18-Mar-13,6.85,6.85,6.50,6.85,1600
12-Mar-13,5.80,7.00,5.80,6.90,6100
11-Mar-13,7.00,7.00,6.90,6.90,1400
8-Mar-13,6.97,7.25,6.70,7.25,2200
7-Mar-13,7.15,7.15,6.96,6.97,6000
6-Mar-13,7.25,7.25,6.96,7.25,2104
5-Mar-13,6.97,6.97,6.97,6.97,600
1-Mar-13,7.25,7.25,7.25,7.25,300
28-Feb-13,7.25,7.25,7.25,7.25,3700
22-Feb-13,6.97,6.97,6.96,6.96,600
19-Feb-13,7.25,7.25,7.25,7.25,100
13-Feb-13,7.11,7.11,7.11,7.11,600
12-Feb-13,7.11,7.40,6.95,7.40,1100
11-Feb-13,7.25,7.25,7.10,7.10,2041
8-Feb-13,7.30,7.30,7.30,7.30,150
5-Feb-13,7.40,7.40,7.40,7.40,178
4-Feb-13,7.40,7.40,7.40,7.40,1205
1-Feb-13,7.41,7.41,7.40,7.40,200
29-Jan-13,7.50,7.50,7.50,7.50,1950
28-Jan-13,7.30,7.50,7.30,7.50,6398
25-Jan-13,7.00,7.00,7.00,7.00,502
23-Jan-13,6.85,7.30,6.85,7.30,7782
22-Jan-13,7.20,7.20,7.20,7.20,1696
18-Jan-13,7.20,7.20,7.20,7.20,500
17-Jan-13,7.20,7.20,7.20,7.20,100
16-Jan-13,7.10,7.15,7.10,7.15,1600
14-Jan-13,6.90,6.90,6.90,6.90,7300
11-Jan-13,6.85,6.95,6.85,6.95,1600
10-Jan-13,6.80,6.80,6.80,6.80,600
9-Jan-13,6.95,6.95,6.95,6.95,200
8-Jan-13,7.00,7.00,7.00,7.00,1700
7-Jan-13,7.60,7.60,7.20,7.20,750
31-Dec-12,7.25,7.50,7.25,7.50,12417
26-Dec-12,7.20,7.20,7.20,7.20,100
24-Dec-12,7.09,7.09,7.09,7.09,200
20-Dec-12,6.76,6.76,6.76,6.76,210
19-Dec-12,7.00,7.00,6.96,6.96,1941
13-Dec-12,7.24,7.38,7.24,7.38,1125
12-Dec-12,7.20,7.39,6.99,7.10,4548
11-Dec-12,6.79,7.15,6.79,7.15,1942
6-Dec-12,6.60,6.60,6.60,6.60,500
4-Dec-12,6.80,6.80,6.80,6.80,1900
3-Dec-12,6.76,6.76,6.76,6.76,1000
30-Nov-12,6.80,6.99,6.80,6.99,600
29-Nov-12,6.85,6.85,6.85,6.85,100
27-Nov-12,6.85,6.85,6.85,6.85,1000
19-Nov-12,6.80,6.80,6.70,6.75,2039
15-Nov-12,6.70,7.00,6.70,7.00,700
13-Nov-12,6.83,6.83,6.70,6.70,850
2-Nov-12,7.18,7.49,7.18,7.48,7293
26-Oct-12,7.18,7.18,7.18,7.18,150
24-Oct-12,7.18,7.18,7.17,7.17,3330
23-Oct-12,7.19,7.19,7.19,7.19,250
16-Oct-12,6.82,6.82,6.82,6.82,875
11-Oct-12,7.19,7.19,6.82,6.82,1700
4-Oct-12,7.00,7.00,7.00,7.00,421
2-Oct-12,6.75,6.75,6.75,6.75,500
1-Oct-12,6.75,7.05,6.75,7.00,6100
28-Sep-12,7.10,7.10,7.10,7.10,175
27-Sep-12,7.00,7.10,7.00,7.00,2325
25-Sep-12,7.00,7.00,7.00,7.00,3000
21-Sep-12,7.25,7.25,7.25,7.25,700
20-Sep-12,7.49,7.49,7.49,7.49,165
19-Sep-12,7.05,7.05,7.05,7.05,500
17-Sep-12,6.75,7.20,6.75,7.20,1001
14-Sep-12,7.00,7.49,6.70,7.48,8850
13-Sep-12,7.00,7.01,7.00,7.01,3600
11-Sep-12,6.70,6.70,6.70,6.70,4160
10-Sep-12,6.75,6.75,6.70,6.75,3536
7-Sep-12,6.71,6.71,6.50,6.68,5692
6-Sep-12,7.00,7.00,6.70,6.70,1690
5-Sep-12,7.05,7.05,7.05,7.05,1000
31-Aug-12,7.10,7.10,7.10,7.10,100
24-Aug-12,6.75,6.75,6.75,6.75,600
23-Aug-12,7.10,7.10,7.10,7.10,1000
17-Aug-12,6.80,6.80,6.80,6.80,1000
16-Aug-12,7.20,7.20,6.65,6.65,3000
13-Aug-12,6.90,6.90,6.90,6.90,1000
9-Aug-12,6.80,6.80,6.80,6.80,202
6-Aug-12,6.80,6.80,6.80,6.80,1000
16-Jul-12,6.70,6.70,6.70,6.70,5400
12-Jul-12,6.75,6.75,6.70,6.70,1000
11-Jul-12,7.00,7.00,5.38,5.38,1400
10-Jul-12,6.70,6.98,6.70,6.98,2525
5-Jul-12,6.90,6.90,6.70,6.70,1500
3-Jul-12,6.90,6.90,6.80,6.80,1458
29-Jun-12,6.99,6.99,6.99,6.99,300
25-Jun-12,6.80,6.80,6.80,6.80,400
20-Jun-12,7.15,7.15,7.15,7.15,1000
19-Jun-12,7.15,7.15,7.15,7.15,700
15-Jun-12,7.20,7.20,7.20,7.20,500
14-Jun-12,7.20,7.20,7.20,7.20,1000
6-Jun-12,7.00,7.00,7.00,7.00,500
5-Jun-12,7.00,7.00,7.00,7.00,500
30-May-12,6.60,6.75,6.60,6.75,750
29-May-12,6.97,6.97,6.97,6.97,500
22-May-12,7.00,7.00,7.00,7.00,100
18-May-12,6.85,6.90,6.85,6.90,1750
17-May-12,7.25,7.25,7.10,7.10,2200
16-May-12,7.25,7.25,7.25,7.25,263
14-May-12,6.85,6.85,6.85,6.85,500
11-May-12,7.10,7.50,6.85,6.85,1400
3-May-12,6.95,7.25,6.95,7.00,2200
2-May-12,6.85,7.00,6.85,7.00,692
1-May-12,7.00,7.00,6.95,6.95,2283
27-Apr-12,7.05,7.25,6.95,6.95,2900
25-Apr-12,6.80,6.80,6.80,6.80,700
19-Apr-12,6.95,6.95,6.80,6.80,975
18-Apr-12,6.85,7.19,6.70,6.70,2000
17-Apr-12,7.05,7.05,7.05,7.05,900
13-Apr-12,6.70,6.70,6.70,6.70,160
12-Apr-12,7.05,7.05,7.00,7.05,2280
11-Apr-12,6.70,6.95,6.70,6.95,6835
10-Apr-12,6.95,6.95,6.70,6.75,8000
5-Apr-12,6.80,6.80,6.80,6.80,300
3-Apr-12,6.60,6.60,6.60,6.60,1000
29-Mar-12,7.05,7.05,7.05,7.05,2000
28-Mar-12,6.80,6.80,6.80,6.80,615
27-Mar-12,6.80,6.80,6.70,6.70,700
23-Mar-12,6.75,7.00,6.53,7.00,1063
22-Mar-12,6.90,6.90,6.90,6.90,185
21-Mar-12,6.95,6.95,6.95,6.95,500
19-Mar-12,6.95,7.10,6.95,7.10,2750
16-Mar-12,6.93,6.93,6.93,6.93,250
15-Mar-12,6.95,6.95,6.95,6.95,8737
14-Mar-12,6.75,7.00,6.75,6.95,7856
12-Mar-12,6.55,6.55,6.55,6.55,750
9-Mar-12,6.75,6.75,6.75,6.75,100
8-Mar-12,6.65,6.66,6.65,6.66,2400
7-Mar-12,6.30,6.50,6.30,6.50,2050
27-Feb-12,6.65,6.95,6.65,6.95,2339
24-Feb-12,6.66,6.66,6.66,6.66,437
22-Feb-12,6.50,6.70,6.50,6.70,12783
21-Feb-12,6.95,6.95,6.95,6.95,715
17-Feb-12,6.45,6.95,6.30,6.95,2300
16-Feb-12,6.50,6.50,6.50,6.50,500
14-Feb-12,6.60,6.60,6.50,6.50,5855
13-Feb-12,6.60,6.60,6.60,6.60,3332
10-Feb-12,6.60,6.65,6.60,6.60,13950
9-Feb-12,6.60,6.65,6.60,6.65,1512
8-Feb-12,6.70,6.76,6.60,6.65,11556
7-Feb-12,6.85,6.91,6.70,6.70,3055
6-Feb-12,6.91,6.91,6.91,6.91,500
3-Feb-12,6.95,6.95,6.95,6.95,1100
2-Feb-12,6.90,6.90,6.90,6.90,500
1-Feb-12,6.70,6.70,6.70,6.70,7000
30-Jan-12,6.70,6.70,6.69,6.69,14578
25-Jan-12,6.50,6.50,6.50,6.50,1020
23-Jan-12,6.60,6.60,6.50,6.50,1201
19-Jan-12,6.90,6.90,6.50,6.50,1741
18-Jan-12,6.50,6.50,6.50,6.50,889
