Date,Open,High,Low,Close,Volume
31-Dec-13,7.66,7.98,7.66,7.97,52822
30-Dec-13,7.80,7.80,7.46,7.74,101580
27-Dec-13,8.43,8.43,7.74,7.78,162576
26-Dec-13,8.36,8.58,8.25,8.35,83075
24-Dec-13,8.35,8.35,8.10,8.28,26294
23-Dec-13,7.75,8.38,7.75,8.35,171879
20-Dec-13,7.74,7.80,7.56,7.75,45800
19-Dec-13,7.60,7.68,7.53,7.67,76209
18-Dec-13,7.53,7.64,7.50,7.59,96582
17-Dec-13,7.58,7.59,7.48,7.52,38789
16-Dec-13,7.26,7.59,7.26,7.54,144958
13-Dec-13,7.33,7.40,7.27,7.31,65320
12-Dec-13,7.34,7.49,7.20,7.40,90559
11-Dec-13,7.58,7.58,7.17,7.22,153000
10-Dec-13,7.70,7.70,7.30,7.60,104598
9-Dec-13,8.03,8.03,7.66,7.75,87155
6-Dec-13,8.12,8.14,7.80,8.05,52225
5-Dec-13,8.15,8.20,8.00,8.07,69771
4-Dec-13,8.32,8.40,8.02,8.18,119823
3-Dec-13,8.44,8.69,8.30,8.39,30536
2-Dec-13,8.15,8.64,8.15,8.61,176982
29-Nov-13,8.02,8.40,8.01,8.15,141144
27-Nov-13,8.04,8.09,7.88,7.99,64525
26-Nov-13,7.82,8.09,7.80,8.09,94610
25-Nov-13,7.88,7.96,7.81,7.81,126221
22-Nov-13,7.92,8.01,7.75,7.96,104757
21-Nov-13,7.89,8.03,7.70,7.82,148079
20-Nov-13,7.81,7.91,7.75,7.83,67379
19-Nov-13,7.84,7.95,7.67,7.72,88055
18-Nov-13,8.00,8.14,7.80,7.86,125545
15-Nov-13,8.17,8.20,7.94,7.97,85316
14-Nov-13,7.75,8.27,7.63,8.08,143688
13-Nov-13,7.93,7.94,7.44,7.67,156126
12-Nov-13,8.06,8.26,7.70,7.84,117791
11-Nov-13,7.88,8.34,7.88,8.21,234850
8-Nov-13,7.46,7.83,7.19,7.76,150030
7-Nov-13,8.44,8.48,7.65,7.73,304612
6-Nov-13,8.81,8.88,8.20,8.25,289708
5-Nov-13,8.94,9.03,8.60,8.79,51113
4-Nov-13,8.92,9.06,8.76,8.97,162826
1-Nov-13,8.86,9.07,8.86,9.04,103358
31-Oct-13,8.87,9.17,8.45,8.95,249424
30-Oct-13,9.15,9.15,8.81,8.94,101697
29-Oct-13,9.00,9.10,8.95,9.02,129373
28-Oct-13,9.64,9.64,8.67,8.96,368896
25-Oct-13,9.27,9.76,9.22,9.54,305651
24-Oct-13,8.72,9.32,8.68,9.14,508216
23-Oct-13,8.73,8.75,8.48,8.64,152867
22-Oct-13,8.74,8.93,8.30,8.73,250365
21-Oct-13,9.23,9.38,8.70,8.75,325552
18-Oct-13,8.64,9.24,8.50,9.01,607659
17-Oct-13,8.38,8.77,8.12,8.53,1501219
16-Oct-13,9.20,9.49,8.81,8.82,260128
15-Oct-13,9.88,9.88,9.11,9.20,241984
14-Oct-13,9.65,9.89,9.37,9.89,104885
11-Oct-13,10.25,10.25,9.46,9.66,148332
10-Oct-13,9.49,10.00,9.01,9.62,288102
9-Oct-13,9.91,10.00,8.42,8.77,584843
8-Oct-13,11.42,11.42,9.50,10.08,1069587
7-Oct-13,9.85,10.66,9.58,10.54,1378900
4-Oct-13,8.98,9.65,8.68,8.92,961398
3-Oct-13,7.36,8.29,7.12,8.23,317598
2-Oct-13,7.24,7.47,7.14,7.26,110570
1-Oct-13,6.93,7.29,6.93,7.25,114590
30-Sep-13,7.35,7.35,6.93,6.95,147782
27-Sep-13,7.72,7.72,7.26,7.36,193695
26-Sep-13,7.23,7.69,7.05,7.64,242352
25-Sep-13,7.20,7.66,6.76,7.16,415907
24-Sep-13,6.25,7.14,6.15,6.88,377251
23-Sep-13,6.30,6.30,5.93,6.09,97785
20-Sep-13,6.35,6.35,6.21,6.26,40645
19-Sep-13,6.47,6.47,6.18,6.35,86763
18-Sep-13,6.17,6.48,6.09,6.38,138937
17-Sep-13,6.00,6.18,5.92,6.13,195039
16-Sep-13,5.57,5.96,5.49,5.96,200261
13-Sep-13,5.48,5.54,5.45,5.51,31197
12-Sep-13,5.52,5.63,5.43,5.43,49284
11-Sep-13,5.52,5.54,5.47,5.51,9800
10-Sep-13,5.68,5.68,5.47,5.47,35295
9-Sep-13,5.55,5.66,5.55,5.65,31233
6-Sep-13,5.62,5.64,5.53,5.53,18340
5-Sep-13,5.61,5.63,5.54,5.60,36251
4-Sep-13,5.59,5.64,5.40,5.53,49450
3-Sep-13,5.48,5.51,5.33,5.39,30483
30-Aug-13,5.29,5.44,5.15,5.43,147480
29-Aug-13,5.14,5.26,5.08,5.19,100114
28-Aug-13,5.17,5.19,5.10,5.11,16635
27-Aug-13,5.16,5.20,5.10,5.10,44964
26-Aug-13,5.30,5.30,5.21,5.25,12153
23-Aug-13,5.24,5.24,5.15,5.20,22698
22-Aug-13,5.20,5.24,5.20,5.24,3700
21-Aug-13,5.24,5.24,5.17,5.22,22903
20-Aug-13,5.19,5.27,5.18,5.25,29666
19-Aug-13,5.30,5.32,5.18,5.18,14772
16-Aug-13,5.19,5.34,5.19,5.19,16616
15-Aug-13,5.23,5.33,5.19,5.19,109760
14-Aug-13,5.40,5.40,5.24,5.27,68801
13-Aug-13,5.47,5.49,5.20,5.40,84312
12-Aug-13,5.50,5.63,5.47,5.63,51513
9-Aug-13,5.59,5.66,5.48,5.57,24810
8-Aug-13,5.43,5.61,5.43,5.59,76222
7-Aug-13,5.70,5.76,5.41,5.42,92627
6-Aug-13,6.09,6.09,5.65,5.71,71256
