Date,Open,High,Low,Close,Volume
31-Dec-13,9.81,9.95,9.81,9.94,3536
30-Dec-13,9.83,9.95,9.78,9.87,5745
27-Dec-13,9.80,9.93,9.80,9.93,510
26-Dec-13,9.87,10.00,9.78,9.78,2002
24-Dec-13,10.00,10.00,9.75,9.85,4644
23-Dec-13,9.76,10.00,9.76,9.88,2369
20-Dec-13,9.77,10.21,9.77,9.86,3327
19-Dec-13,10.20,10.24,10.03,10.10,2103
18-Dec-13,10.35,10.37,10.00,10.20,3191
17-Dec-13,9.80,10.58,9.80,10.33,7461
16-Dec-13,10.26,10.69,10.08,10.22,25447
13-Dec-13,10.50,10.68,10.09,10.44,14709
12-Dec-13,10.39,10.39,10.39,10.39,301
11-Dec-13,9.96,10.50,9.96,10.31,8429
10-Dec-13,10.50,10.69,9.90,10.22,7022
9-Dec-13,10.75,10.75,10.05,10.51,10720
5-Dec-13,10.71,10.78,10.42,10.78,350
4-Dec-13,10.79,10.79,10.57,10.57,900
3-Dec-13,10.53,10.95,10.53,10.93,7126
2-Dec-13,10.74,10.75,10.55,10.60,3525
29-Nov-13,10.59,11.00,10.59,10.75,3490
27-Nov-13,10.60,10.60,10.39,10.60,2676
26-Nov-13,10.41,10.60,10.41,10.46,1117
25-Nov-13,10.50,10.51,10.49,10.50,2290
22-Nov-13,10.51,10.51,10.20,10.50,741
21-Nov-13,10.51,10.51,10.51,10.51,100
20-Nov-13,10.60,10.60,10.60,10.60,282
19-Nov-13,10.45,10.58,10.45,10.50,2300
18-Nov-13,10.42,10.60,10.41,10.57,8173
15-Nov-13,10.50,10.50,10.22,10.44,3777
14-Nov-13,10.35,10.49,10.26,10.26,2178
13-Nov-13,10.20,10.50,10.20,10.50,3192
12-Nov-13,10.47,10.60,10.20,10.20,10340
11-Nov-13,10.20,10.47,10.20,10.47,10030
8-Nov-13,10.90,10.90,9.97,10.15,5040
7-Nov-13,10.78,10.78,10.00,10.43,1165
6-Nov-13,10.82,10.82,10.50,10.52,7149
5-Nov-13,11.30,11.35,10.95,10.95,11233
4-Nov-13,11.70,11.70,11.15,11.36,1458
1-Nov-13,11.15,11.87,11.15,11.87,200
31-Oct-13,11.34,11.48,11.05,11.05,800
30-Oct-13,11.25,11.50,11.20,11.21,6816
29-Oct-13,11.55,11.55,11.28,11.28,200
28-Oct-13,11.64,11.71,11.40,11.40,2300
25-Oct-13,11.62,11.90,11.57,11.90,400
24-Oct-13,12.00,12.00,11.50,11.50,750
23-Oct-13,12.00,12.00,11.30,11.70,1500
22-Oct-13,11.56,12.23,11.56,12.00,702
21-Oct-13,12.00,12.00,11.11,11.95,1150
18-Oct-13,12.00,12.00,12.00,12.00,100
16-Oct-13,11.66,11.74,11.26,11.40,1500
15-Oct-13,11.57,11.82,11.57,11.60,1200
14-Oct-13,11.75,11.75,11.43,11.43,200
11-Oct-13,11.89,11.89,11.46,11.50,2890
10-Oct-13,11.70,12.27,11.43,11.95,3756
9-Oct-13,11.70,12.12,11.43,11.43,2940
8-Oct-13,12.35,12.37,11.58,11.64,2345
7-Oct-13,12.49,12.53,12.05,12.12,2100
4-Oct-13,11.75,12.06,11.75,12.06,1400
3-Oct-13,11.81,12.18,11.77,11.95,4818
1-Oct-13,11.65,11.80,11.48,11.80,3915
30-Sep-13,11.65,11.65,11.65,11.65,200
27-Sep-13,11.77,11.77,10.85,11.77,1600
26-Sep-13,11.10,11.87,10.98,11.80,9303
25-Sep-13,10.86,11.10,10.86,11.10,424
24-Sep-13,11.14,11.17,10.81,11.17,2700
23-Sep-13,10.88,10.88,10.88,10.88,300
20-Sep-13,11.03,11.03,10.75,10.75,4572
19-Sep-13,11.00,11.00,11.00,11.00,500
18-Sep-13,10.87,10.93,10.85,10.90,1520
16-Sep-13,11.07,11.15,10.90,11.00,3066
13-Sep-13,10.86,11.11,10.86,11.08,6819
12-Sep-13,11.00,11.00,10.79,10.80,3777
10-Sep-13,11.06,11.08,11.06,11.08,400
9-Sep-13,11.26,11.26,10.99,11.17,1696
6-Sep-13,11.10,11.24,11.02,11.24,1700
5-Sep-13,11.24,11.24,11.03,11.04,500
4-Sep-13,10.99,10.99,10.99,10.99,100
3-Sep-13,10.94,11.14,10.94,11.04,800
30-Aug-13,10.84,10.84,10.84,10.84,100
29-Aug-13,11.00,11.00,10.81,10.81,1260
28-Aug-13,10.91,11.01,10.75,11.00,5237
27-Aug-13,11.05,11.05,10.98,10.98,11100
26-Aug-13,11.27,11.35,11.10,11.10,3022
23-Aug-13,11.20,11.20,11.20,11.20,162
20-Aug-13,11.20,11.20,11.20,11.20,100
19-Aug-13,11.00,11.06,11.00,11.06,3729
16-Aug-13,10.96,11.05,10.92,10.92,500
15-Aug-13,10.93,11.93,10.92,10.96,900
13-Aug-13,11.00,11.27,11.00,11.00,13340
9-Aug-13,11.00,11.05,11.00,11.05,1464
8-Aug-13,10.99,10.99,10.99,10.99,250
7-Aug-13,10.95,11.00,10.95,11.00,2000
6-Aug-13,11.10,11.24,11.10,11.15,3500
5-Aug-13,11.08,11.25,11.07,11.15,2201
2-Aug-13,11.07,11.25,11.07,11.24,3430
1-Aug-13,11.10,11.10,11.00,11.00,2500
31-Jul-13,11.05,11.10,11.00,11.10,3350
30-Jul-13,11.16,11.16,11.00,11.01,900
29-Jul-13,11.07,11.30,11.07,11.30,250
26-Jul-13,11.07,11.07,11.00,11.07,25775
25-Jul-13,11.00,11.03,10.97,10.97,46351
24-Jul-13,11.00,11.05,10.98,10.99,14994
23-Jul-13,10.83,11.49,10.75,10.95,3754
22-Jul-13,11.25,11.25,11.00,11.00,1679
19-Jul-13,11.40,11.40,11.40,11.40,130
18-Jul-13,11.43,11.43,11.43,11.43,100
17-Jul-13,11.00,11.27,10.85,11.00,2235
16-Jul-13,10.95,10.95,10.95,10.95,100
15-Jul-13,10.84,10.90,10.84,10.90,210
12-Jul-13,10.94,10.94,10.81,10.81,631
11-Jul-13,11.02,11.02,11.02,11.02,194
9-Jul-13,11.01,11.01,11.01,11.01,200
8-Jul-13,11.30,11.39,11.14,11.39,838
5-Jul-13,11.27,11.27,11.27,11.27,100
1-Jul-13,11.04,11.38,11.01,11.38,500
28-Jun-13,11.04,11.04,11.00,11.00,700
26-Jun-13,10.80,11.16,10.80,11.02,1740
25-Jun-13,11.08,11.23,10.77,11.23,3916
24-Jun-13,11.13,11.20,11.00,11.20,7145
21-Jun-13,11.72,11.72,11.72,11.72,279
20-Jun-13,11.66,11.70,11.10,11.50,1333
19-Jun-13,11.55,11.73,11.52,11.52,1300
18-Jun-13,11.61,11.62,11.55,11.55,700
17-Jun-13,11.80,11.93,11.74,11.74,600
14-Jun-13,11.83,11.90,11.83,11.90,200
13-Jun-13,11.95,11.95,11.71,11.72,1500
12-Jun-13,11.80,11.93,11.79,11.93,1300
11-Jun-13,11.95,11.95,11.79,11.79,4860
10-Jun-13,11.55,11.98,11.55,11.98,784
7-Jun-13,11.52,11.55,11.50,11.55,2500
6-Jun-13,11.55,11.58,11.50,11.52,3022
5-Jun-13,11.55,11.58,11.55,11.58,400
4-Jun-13,11.61,11.61,11.56,11.56,630
3-Jun-13,11.56,11.60,11.56,11.60,1100
31-May-13,11.55,11.70,11.55,11.55,1478
30-May-13,11.45,11.50,11.45,11.50,250
29-May-13,11.58,11.58,11.25,11.40,3099
28-May-13,11.25,11.91,11.25,11.50,5727
24-May-13,11.23,11.23,11.09,11.09,1200
23-May-13,11.17,11.44,11.17,11.19,1400
22-May-13,11.29,11.29,11.01,11.27,960
21-May-13,11.20,11.20,11.20,11.20,245
17-May-13,11.50,11.50,11.00,11.25,600
16-May-13,11.26,11.28,11.15,11.25,2160
15-May-13,11.28,11.28,11.15,11.15,1300
14-May-13,11.37,11.39,11.30,11.33,2592
13-May-13,11.26,11.30,11.25,11.27,1666
10-May-13,11.23,11.39,11.14,11.39,8650
9-May-13,11.69,11.69,11.22,11.29,1995
8-May-13,11.46,11.67,11.39,11.65,4499
6-May-13,11.47,11.50,11.47,11.50,400
3-May-13,11.76,11.98,11.33,11.33,1296
2-May-13,11.72,11.72,11.51,11.51,1817
1-May-13,11.31,11.70,11.25,11.70,1535
30-Apr-13,12.00,12.00,11.23,11.47,1670
29-Apr-13,12.14,12.14,11.50,11.96,600
25-Apr-13,11.96,12.00,11.96,11.98,900
24-Apr-13,11.58,12.00,11.58,12.00,550
23-Apr-13,11.56,11.61,11.50,11.61,1317
22-Apr-13,11.75,11.90,11.75,11.90,1500
19-Apr-13,12.00,12.00,11.82,11.85,900
18-Apr-13,11.63,12.10,11.50,11.75,2403
17-Apr-13,11.29,11.98,11.29,11.98,1250
16-Apr-13,11.21,11.21,11.21,11.21,200
15-Apr-13,11.96,12.32,11.84,11.89,1700
12-Apr-13,12.02,12.02,12.01,12.01,800
11-Apr-13,12.00,12.15,12.00,12.09,3360
10-Apr-13,12.45,12.45,11.99,11.99,5465
9-Apr-13,12.39,12.39,11.86,12.21,2379
8-Apr-13,12.36,12.36,12.00,12.00,7043
5-Apr-13,12.41,12.50,11.31,11.94,3320
4-Apr-13,11.98,11.98,11.21,11.78,850
3-Apr-13,12.02,12.02,12.02,12.02,1000
2-Apr-13,11.76,11.79,11.75,11.75,2000
1-Apr-13,11.86,11.90,11.68,11.77,3460
28-Mar-13,11.59,11.62,11.28,11.29,3600
27-Mar-13,11.60,11.60,11.43,11.43,570
26-Mar-13,11.55,11.59,11.46,11.47,1350
22-Mar-13,11.20,11.21,11.20,11.20,1001
21-Mar-13,11.31,11.31,11.31,11.31,170
20-Mar-13,11.22,11.28,11.22,11.23,1001
19-Mar-13,11.28,11.28,11.10,11.10,4000
18-Mar-13,11.09,11.28,11.09,11.25,1071
15-Mar-13,11.05,11.11,11.05,11.11,4881
14-Mar-13,10.88,11.05,10.88,11.05,1541
13-Mar-13,11.25,11.25,10.81,10.81,1797
12-Mar-13,11.25,11.25,11.06,11.16,1782
11-Mar-13,11.07,11.07,11.07,11.07,250
8-Mar-13,10.99,10.99,10.99,10.99,200
7-Mar-13,10.84,11.20,10.84,11.03,2100
6-Mar-13,11.18,11.20,10.77,11.16,2020
5-Mar-13,10.88,11.22,10.88,10.92,2488
4-Mar-13,10.82,11.05,10.51,10.98,3950
1-Mar-13,10.92,11.40,10.88,11.25,6359
28-Feb-13,10.76,11.11,10.76,10.99,3599
27-Feb-13,10.72,10.90,10.38,10.90,18572
26-Feb-13,11.32,11.32,10.56,10.57,688
25-Feb-13,11.45,11.45,10.86,11.21,7374
22-Feb-13,10.72,11.45,10.72,11.27,9964
21-Feb-13,11.82,11.82,10.22,10.65,51101
20-Feb-13,12.98,12.98,12.40,12.40,14759
19-Feb-13,12.70,12.90,12.40,12.54,5295
15-Feb-13,12.73,13.10,12.73,12.73,3103
14-Feb-13,12.58,12.71,12.55,12.71,800
13-Feb-13,12.54,12.54,12.54,12.54,100
12-Feb-13,12.69,12.80,12.40,12.51,5130
11-Feb-13,12.89,12.89,12.75,12.80,1500
8-Feb-13,13.00,13.00,13.00,13.00,100
7-Feb-13,12.68,12.70,12.68,12.70,631
6-Feb-13,13.50,13.50,13.50,13.50,100
5-Feb-13,13.50,13.50,13.50,13.50,230
4-Feb-13,13.05,13.42,12.90,12.90,1408
1-Feb-13,12.80,13.11,12.57,13.11,1800
31-Jan-13,12.48,12.48,12.48,12.48,400
30-Jan-13,12.53,13.00,12.53,12.66,1480
28-Jan-13,12.75,12.75,12.31,12.31,27323
25-Jan-13,13.05,13.05,12.61,12.75,1150
24-Jan-13,13.75,13.76,12.58,12.93,2900
23-Jan-13,13.06,13.49,13.02,13.21,3447
22-Jan-13,13.00,13.44,13.00,13.24,3121
18-Jan-13,12.99,12.99,12.99,12.99,100
17-Jan-13,12.09,12.57,12.07,12.55,8781
16-Jan-13,12.16,12.16,12.16,12.16,200
15-Jan-13,12.05,12.11,12.00,12.00,6042
14-Jan-13,12.24,12.24,12.03,12.03,400
11-Jan-13,12.12,12.12,11.82,12.05,2132
10-Jan-13,11.99,12.32,11.96,12.32,1892
9-Jan-13,12.00,12.00,11.95,11.99,841
8-Jan-13,11.98,12.00,11.98,12.00,400
7-Jan-13,11.97,11.97,11.86,11.96,2885
4-Jan-13,11.84,11.87,11.84,11.87,400
3-Jan-13,11.81,12.00,11.64,11.85,1100
2-Jan-13,10.95,11.99,10.95,11.56,7864
31-Dec-12,10.98,11.00,10.74,10.82,7530
28-Dec-12,11.00,11.00,10.75,11.00,1884
27-Dec-12,10.95,11.01,10.73,10.97,3750
26-Dec-12,10.65,10.95,10.62,10.67,1652
24-Dec-12,10.91,10.98,10.47,10.95,5573
21-Dec-12,11.07,11.07,11.00,11.03,2937
20-Dec-12,11.29,11.29,11.11,11.11,1300
19-Dec-12,11.09,11.20,11.09,11.10,1804
18-Dec-12,11.10,11.11,11.08,11.08,1790
17-Dec-12,11.02,11.29,10.82,11.25,2489
