Date,Open,High,Low,Close,Volume
31-Dec-13,81.84,82.89,81.38,82.83,814114
30-Dec-13,81.46,81.98,80.76,81.67,801215
27-Dec-13,83.82,83.89,81.45,81.64,892629
26-Dec-13,82.95,84.12,82.85,83.47,1369273
24-Dec-13,83.58,83.65,82.10,82.82,583818
23-Dec-13,83.78,83.80,82.55,83.40,936946
20-Dec-13,82.44,83.70,81.63,83.13,6376012
19-Dec-13,81.40,82.88,81.27,82.02,1413040
18-Dec-13,80.92,81.60,78.67,81.41,3046078
17-Dec-13,80.61,81.63,79.73,80.90,2357132
16-Dec-13,82.05,83.20,81.54,81.89,1859621
13-Dec-13,83.32,83.32,81.27,81.38,1596812
12-Dec-13,82.84,83.91,82.13,82.60,2181206
11-Dec-13,84.86,85.26,82.32,82.79,1764087
10-Dec-13,84.79,85.90,84.52,84.98,1746751
9-Dec-13,85.70,87.00,84.13,84.77,2298384
6-Dec-13,86.76,87.97,84.67,85.61,1631794
5-Dec-13,85.11,87.63,84.72,85.54,1472968
4-Dec-13,85.32,86.84,84.52,85.13,1933095
3-Dec-13,87.17,87.62,85.29,85.92,1430436
2-Dec-13,88.25,89.57,86.90,87.54,1186099
29-Nov-13,88.69,89.46,88.23,88.32,430970
27-Nov-13,87.38,88.94,87.29,88.31,740103
26-Nov-13,86.48,88.20,85.23,87.38,1703142
25-Nov-13,87.88,88.47,86.07,86.61,1170851
22-Nov-13,87.50,88.39,87.01,87.40,1082578
21-Nov-13,87.27,88.37,87.02,87.27,1261723
20-Nov-13,87.92,88.55,86.74,87.13,914998
19-Nov-13,87.21,88.98,86.60,87.51,1376019
18-Nov-13,87.64,89.21,86.52,87.42,1852404
15-Nov-13,89.76,90.43,87.26,87.77,2300834
14-Nov-13,87.62,89.18,87.16,89.18,2417450
13-Nov-13,84.85,87.60,83.58,87.49,2466895
12-Nov-13,84.94,85.22,83.64,84.90,1881038
11-Nov-13,84.40,85.96,83.77,85.02,1754360
8-Nov-13,84.09,85.90,83.17,84.48,1939813
7-Nov-13,86.53,87.00,80.69,83.88,3475743
6-Nov-13,88.01,88.68,86.10,86.61,1920266
5-Nov-13,88.06,89.47,86.35,88.07,2781098
4-Nov-13,84.00,88.41,83.42,88.22,3270850
1-Nov-13,83.08,84.10,82.21,83.38,1793052
31-Oct-13,81.50,84.64,81.20,82.72,3513290
30-Oct-13,82.48,83.00,79.63,80.22,3153854
29-Oct-13,77.85,82.35,77.51,82.26,3277451
28-Oct-13,76.89,78.22,75.88,77.79,2266260
25-Oct-13,75.30,77.57,74.96,76.98,3246385
24-Oct-13,72.00,75.15,69.33,74.85,10535250
23-Oct-13,75.05,75.98,73.15,75.21,4724570
22-Oct-13,75.60,77.30,73.14,75.50,3556851
21-Oct-13,72.10,74.15,72.05,74.11,2517613
18-Oct-13,73.13,73.50,71.60,71.87,2557383
17-Oct-13,74.84,74.84,72.08,72.74,2518660
16-Oct-13,74.41,75.35,73.75,75.00,2524732
15-Oct-13,75.23,75.43,73.50,73.87,3511152
14-Oct-13,73.40,75.07,72.54,75.01,3288414
11-Oct-13,72.35,74.38,72.12,74.01,2875446
10-Oct-13,71.88,72.82,70.15,72.27,2368068
9-Oct-13,71.22,72.07,68.12,70.67,2673624
8-Oct-13,75.74,75.83,70.87,71.70,2973410
7-Oct-13,77.89,78.00,75.66,75.85,1751960
4-Oct-13,78.35,79.46,78.00,78.41,1706585
3-Oct-13,79.51,79.89,77.30,78.66,1705798
2-Oct-13,78.15,79.79,77.61,79.66,1779485
1-Oct-13,75.74,78.60,75.30,78.50,1756503
30-Sep-13,74.72,76.61,74.16,75.84,1339694
27-Sep-13,75.00,76.09,74.10,75.85,1048786
26-Sep-13,74.99,75.89,74.58,75.30,883941
25-Sep-13,75.29,75.92,74.06,74.78,1245522
24-Sep-13,74.15,75.74,73.12,75.30,1220411
23-Sep-13,77.00,78.17,73.54,74.30,2376619
20-Sep-13,74.27,79.08,74.25,75.12,4446441
19-Sep-13,74.32,75.00,73.14,74.27,1196284
18-Sep-13,73.14,74.61,72.50,73.92,1645461
17-Sep-13,73.40,73.46,72.11,72.93,853614
16-Sep-13,73.83,74.16,72.56,72.60,748158
13-Sep-13,74.37,74.37,72.42,72.82,1291144
12-Sep-13,73.93,75.90,73.85,74.49,1257956
11-Sep-13,72.53,74.40,72.42,73.79,1645576
10-Sep-13,74.25,74.64,72.25,72.62,2320536
9-Sep-13,74.53,75.20,74.29,74.50,1198729
6-Sep-13,74.96,75.47,73.05,74.11,1012030
5-Sep-13,74.61,75.73,74.17,74.67,1000827
4-Sep-13,74.02,74.96,73.32,74.74,602677
3-Sep-13,74.90,75.31,72.76,73.82,1132502
30-Aug-13,74.64,74.67,72.60,73.97,1053990
29-Aug-13,72.32,74.61,71.28,74.18,1009123
28-Aug-13,71.51,73.16,71.16,72.52,1119510
27-Aug-13,71.21,71.78,70.60,71.08,1410236
26-Aug-13,71.72,72.64,71.50,72.25,1137127
23-Aug-13,71.65,72.62,70.91,71.87,1226805
22-Aug-13,70.39,71.43,70.00,71.21,870291
21-Aug-13,69.49,71.25,69.42,70.20,1022098
20-Aug-13,69.36,70.20,68.84,69.81,1230094
19-Aug-13,71.15,72.29,69.22,69.26,1409511
