Date,Open,High,Low,Close,Volume
31-Dec-13,8.00,8.00,7.96,7.99,19637
30-Dec-13,7.90,8.00,7.90,8.00,1554
27-Dec-13,7.98,8.00,7.83,7.89,12043
26-Dec-13,7.94,8.00,7.85,8.00,3589
24-Dec-13,7.99,8.00,7.85,8.00,1567
23-Dec-13,7.87,7.94,7.87,7.94,790
20-Dec-13,8.00,8.10,7.76,8.00,20578
19-Dec-13,7.79,8.01,7.79,8.01,18560
18-Dec-13,7.94,8.11,7.82,8.04,17135
17-Dec-13,7.73,7.91,7.73,7.78,7963
16-Dec-13,7.72,7.90,7.72,7.77,4575
13-Dec-13,7.75,7.80,7.70,7.70,2637
12-Dec-13,7.75,7.95,7.71,7.71,16014
11-Dec-13,7.74,8.00,7.73,7.82,3324
10-Dec-13,7.80,8.10,7.60,7.72,25536
9-Dec-13,7.71,8.00,7.71,7.89,2101
6-Dec-13,8.00,8.00,7.70,7.73,17606
5-Dec-13,7.85,7.98,7.75,7.78,6236
4-Dec-13,7.76,7.91,7.64,7.77,17461
3-Dec-13,7.63,8.21,7.58,8.05,22200
2-Dec-13,7.95,8.00,7.45,7.96,20747
29-Nov-13,7.56,8.00,7.28,7.96,48075
27-Nov-13,7.67,7.85,7.55,7.63,26793
26-Nov-13,7.71,7.97,7.71,7.87,1022
25-Nov-13,7.70,7.90,7.57,7.64,34879
22-Nov-13,7.77,7.87,7.73,7.73,4050
21-Nov-13,7.63,7.89,7.63,7.84,4090
20-Nov-13,7.78,7.80,7.56,7.69,2884
19-Nov-13,7.88,7.92,7.78,7.84,2265
18-Nov-13,7.97,8.00,7.78,7.87,1334
15-Nov-13,8.05,8.05,7.96,8.00,3047
14-Nov-13,7.92,8.05,7.70,8.05,4536
13-Nov-13,7.73,8.12,7.60,7.94,24025
12-Nov-13,7.41,7.81,7.41,7.66,36566
11-Nov-13,7.67,7.85,7.24,7.48,61172
8-Nov-13,7.78,7.89,7.69,7.81,15980
7-Nov-13,7.64,7.84,7.64,7.68,9125
6-Nov-13,7.76,8.45,7.76,7.77,6209
5-Nov-13,8.01,8.14,7.84,7.84,5864
4-Nov-13,8.00,8.30,8.00,8.08,3801
1-Nov-13,8.32,8.32,8.05,8.07,10180
