Date,Open,High,Low,Close,Volume
31-Dec-13,9.85,9.85,9.62,9.62,2650
30-Dec-13,9.52,9.95,9.52,9.76,10436
27-Dec-13,9.78,9.85,9.52,9.54,12345
26-Dec-13,9.77,9.94,9.63,9.63,1150
24-Dec-13,9.60,9.92,9.60,9.66,9359
23-Dec-13,9.50,9.79,9.50,9.58,7278
20-Dec-13,9.24,9.49,9.20,9.49,43310
19-Dec-13,9.01,9.54,9.01,9.49,7016
18-Dec-13,9.33,9.70,9.24,9.41,6133
17-Dec-13,9.54,9.75,9.08,9.46,10230
16-Dec-13,9.29,9.95,9.23,9.30,22816
13-Dec-13,9.41,9.74,9.05,9.34,2606
12-Dec-13,9.38,10.00,9.20,9.23,18772
11-Dec-13,9.21,9.49,9.21,9.49,3209
10-Dec-13,9.27,9.30,9.23,9.24,3066
9-Dec-13,9.47,9.47,8.88,9.23,16056
6-Dec-13,9.25,9.38,9.25,9.34,2464
5-Dec-13,9.41,9.73,9.02,9.02,23112
4-Dec-13,8.78,9.58,8.65,9.48,163658
3-Dec-13,9.00,9.00,9.00,9.00,250
2-Dec-13,8.94,8.99,8.80,8.95,1000
29-Nov-13,8.86,8.86,8.86,8.86,200
27-Nov-13,8.82,8.94,8.79,8.93,2275
26-Nov-13,8.77,8.93,8.68,8.68,9825
25-Nov-13,8.65,8.94,8.64,8.88,525
22-Nov-13,8.68,8.70,8.65,8.65,2722
21-Nov-13,8.82,8.82,8.65,8.79,2503
20-Nov-13,8.93,8.93,8.80,8.80,704
19-Nov-13,8.64,8.70,8.60,8.64,5157
18-Nov-13,8.64,8.67,8.64,8.67,490
14-Nov-13,8.70,8.85,8.66,8.66,1161
13-Nov-13,8.90,8.90,8.90,8.90,2272
12-Nov-13,8.81,8.90,8.69,8.69,3160
11-Nov-13,8.61,8.75,8.61,8.67,1000
8-Nov-13,8.40,8.75,8.40,8.68,5900
7-Nov-13,8.37,8.38,8.20,8.28,20113
6-Nov-13,8.50,8.50,8.40,8.50,8183
5-Nov-13,8.74,8.79,8.28,8.50,2266
4-Nov-13,8.78,9.00,8.61,8.85,4688
1-Nov-13,8.88,8.88,8.85,8.87,2761
31-Oct-13,8.85,9.00,8.85,8.87,3086
30-Oct-13,8.93,9.00,8.85,8.86,3382
29-Oct-13,9.00,9.01,8.95,9.00,4750
28-Oct-13,9.15,9.15,9.00,9.01,1200
25-Oct-13,9.01,9.10,9.00,9.00,1400
24-Oct-13,9.07,9.10,9.02,9.05,2220
23-Oct-13,9.00,9.00,8.97,9.00,5600
22-Oct-13,9.00,9.00,8.95,9.00,5200
16-Oct-13,9.13,9.15,8.95,9.14,2250
14-Oct-13,8.95,9.16,8.95,9.05,820
11-Oct-13,8.95,8.95,8.95,8.95,2000
10-Oct-13,9.05,9.05,8.92,8.98,4000
9-Oct-13,8.95,8.97,8.95,8.97,1600
8-Oct-13,8.95,9.01,8.95,9.00,3044
4-Oct-13,9.05,9.05,9.00,9.00,1097
3-Oct-13,9.09,9.09,8.95,8.95,2648
1-Oct-13,9.03,9.15,9.01,9.15,3588
30-Sep-13,8.93,9.00,8.92,9.00,7200
27-Sep-13,9.04,9.04,9.04,9.04,100
25-Sep-13,8.90,8.95,8.90,8.95,1400
24-Sep-13,8.88,9.05,8.82,8.94,3395
23-Sep-13,8.80,8.99,8.79,8.81,2401
20-Sep-13,8.79,9.05,8.57,9.05,3127
19-Sep-13,9.01,9.01,8.75,8.88,6560
18-Sep-13,8.99,9.00,8.59,9.00,1798
17-Sep-13,8.76,9.05,8.76,9.00,1042
16-Sep-13,8.64,9.29,8.35,9.24,4152
13-Sep-13,8.67,8.95,8.67,8.67,2572
12-Sep-13,9.07,9.07,8.63,8.63,2519
11-Sep-13,9.10,9.10,9.10,9.10,600
10-Sep-13,9.15,9.21,9.00,9.14,2436
9-Sep-13,9.11,9.28,8.62,9.24,12316
6-Sep-13,9.09,9.15,8.74,9.14,4927
5-Sep-13,8.84,9.15,8.75,9.07,19462
4-Sep-13,8.86,8.94,8.86,8.90,1602
3-Sep-13,8.97,8.97,8.77,8.77,310
30-Aug-13,8.87,8.98,8.80,8.97,1906
29-Aug-13,8.96,8.96,8.96,8.96,104
28-Aug-13,8.81,8.81,8.79,8.79,40900
27-Aug-13,8.92,8.94,8.75,8.93,5640
26-Aug-13,8.99,8.99,8.97,8.99,1960
23-Aug-13,8.94,8.99,8.90,8.90,2261
22-Aug-13,8.98,8.98,8.89,8.90,750
21-Aug-13,8.67,8.84,8.67,8.79,3170
20-Aug-13,8.62,8.62,8.62,8.62,104
19-Aug-13,8.69,8.69,8.29,8.57,1577
16-Aug-13,8.71,8.99,8.67,8.69,2147
15-Aug-13,8.87,8.90,8.70,8.74,3618
14-Aug-13,8.81,8.90,8.74,8.90,1128
13-Aug-13,8.62,8.99,8.62,8.87,5948
12-Aug-13,8.89,8.97,8.56,8.68,2454
9-Aug-13,8.79,8.80,8.56,8.64,2424
8-Aug-13,8.76,8.80,8.73,8.78,674
7-Aug-13,8.73,8.73,8.51,8.69,3576
6-Aug-13,8.61,8.75,8.38,8.74,1323
5-Aug-13,8.51,8.74,8.50,8.74,5122
2-Aug-13,8.90,8.92,8.64,8.76,17125
1-Aug-13,8.74,8.90,8.74,8.82,2403
31-Jul-13,8.80,8.80,8.50,8.75,7555
30-Jul-13,8.72,8.90,8.65,8.70,2594
29-Jul-13,8.81,8.86,8.75,8.75,2900
26-Jul-13,8.86,8.86,8.61,8.83,1463
25-Jul-13,8.70,8.90,8.68,8.86,4220
24-Jul-13,8.31,8.99,8.31,8.61,8007
23-Jul-13,8.78,8.98,8.50,8.50,27608
22-Jul-13,8.90,8.90,8.57,8.65,1884
19-Jul-13,8.82,8.90,8.71,8.90,3500
18-Jul-13,8.49,8.95,8.44,8.95,15929
17-Jul-13,8.50,8.55,8.42,8.55,10898
16-Jul-13,8.48,8.48,8.20,8.46,2205
15-Jul-13,8.55,8.55,8.32,8.47,2300
12-Jul-13,8.49,8.49,8.43,8.49,2388
11-Jul-13,8.49,8.49,8.41,8.48,1100
10-Jul-13,8.38,8.49,8.38,8.46,2800
9-Jul-13,8.55,8.55,8.26,8.48,1356
8-Jul-13,8.55,8.55,8.37,8.54,3789
5-Jul-13,8.11,8.53,8.11,8.53,300
3-Jul-13,8.54,8.54,8.31,8.31,200
2-Jul-13,8.27,8.55,8.27,8.55,3440
1-Jul-13,8.46,8.46,8.25,8.25,400
28-Jun-13,8.45,8.45,8.41,8.42,689
27-Jun-13,8.52,8.55,8.38,8.46,9477
26-Jun-13,8.21,8.55,8.21,8.43,19942
25-Jun-13,8.21,8.22,8.16,8.19,800
24-Jun-13,8.07,8.23,8.05,8.13,6260
21-Jun-13,8.15,8.20,8.08,8.20,4748
20-Jun-13,8.20,8.20,8.06,8.06,1755
19-Jun-13,8.20,8.20,8.06,8.20,3373
18-Jun-13,8.13,8.20,8.12,8.18,3736
17-Jun-13,8.10,8.21,8.06,8.13,7368
14-Jun-13,8.21,8.21,8.21,8.21,335
13-Jun-13,8.06,8.25,8.06,8.23,29816
12-Jun-13,8.06,8.19,8.06,8.14,2358
11-Jun-13,8.08,8.18,8.07,8.08,2675
10-Jun-13,8.15,8.19,8.08,8.08,1186
7-Jun-13,8.15,8.17,8.07,8.11,1481
6-Jun-13,8.23,8.23,8.03,8.05,2512
5-Jun-13,8.00,8.23,8.00,8.21,4465
4-Jun-13,8.20,8.23,8.08,8.08,2552
3-Jun-13,8.17,8.20,8.00,8.20,2752
31-May-13,8.16,8.19,8.02,8.19,27484
30-May-13,8.22,8.22,8.18,8.18,1102
29-May-13,8.05,8.22,8.05,8.22,1300
28-May-13,8.11,8.23,8.10,8.22,20071
24-May-13,7.58,8.20,7.58,8.01,8947
23-May-13,8.20,8.20,7.81,8.08,13013
22-May-13,8.25,8.25,8.17,8.17,5780
21-May-13,8.25,8.25,8.20,8.23,19650
20-May-13,8.20,8.28,8.16,8.16,15470
17-May-13,8.21,8.23,8.01,8.08,2718
16-May-13,8.21,8.23,8.06,8.06,1386
15-May-13,8.16,8.23,8.07,8.07,3856
14-May-13,8.16,8.23,8.12,8.13,4774
13-May-13,8.26,8.26,8.02,8.23,4749
10-May-13,8.15,8.23,8.12,8.16,11007
9-May-13,8.20,8.23,8.04,8.04,2658
8-May-13,8.14,8.23,8.02,8.23,2266
7-May-13,8.26,8.26,8.23,8.23,1123
6-May-13,8.17,8.26,8.10,8.26,10817
3-May-13,8.08,8.22,7.36,8.21,5894
2-May-13,8.19,8.24,7.85,8.08,32925
1-May-13,8.19,8.24,7.93,8.10,2218
30-Apr-13,7.90,8.31,7.90,8.25,3983
29-Apr-13,8.06,8.28,8.06,8.24,3626
26-Apr-13,8.21,8.28,7.94,8.19,5504
25-Apr-13,7.99,8.29,7.85,8.25,20846
24-Apr-13,8.02,8.16,7.97,8.03,5807
23-Apr-13,7.92,8.17,7.92,8.10,3528
22-Apr-13,8.16,8.16,7.98,7.98,750
19-Apr-13,8.15,8.17,8.01,8.12,66010
18-Apr-13,8.08,8.22,7.86,8.11,1050
17-Apr-13,8.06,8.38,8.04,8.25,900
16-Apr-13,8.03,8.14,8.03,8.08,3298
15-Apr-13,8.08,8.15,8.03,8.04,4000
12-Apr-13,8.05,8.25,8.03,8.25,4095
11-Apr-13,8.15,8.30,8.12,8.14,4113
10-Apr-13,8.15,8.30,8.13,8.30,879
9-Apr-13,8.25,8.31,8.10,8.29,4422
8-Apr-13,8.18,8.35,8.03,8.29,1305
5-Apr-13,8.20,8.20,8.05,8.17,8306
4-Apr-13,8.16,8.21,8.15,8.17,5200
3-Apr-13,8.07,8.22,8.07,8.22,1796
2-Apr-13,8.33,8.33,8.04,8.14,10020
1-Apr-13,8.20,8.40,8.04,8.29,2700
28-Mar-13,8.30,8.30,8.21,8.21,3200
27-Mar-13,8.22,8.30,8.22,8.25,600
26-Mar-13,8.28,8.28,8.23,8.24,1924
25-Mar-13,8.24,8.28,8.21,8.21,2178
22-Mar-13,8.31,8.40,8.24,8.24,2268
21-Mar-13,8.25,8.35,8.24,8.24,2215
20-Mar-13,8.33,8.40,8.24,8.24,1149
19-Mar-13,8.18,8.68,8.12,8.25,4265
18-Mar-13,8.24,8.65,8.24,8.34,9771
15-Mar-13,8.27,8.30,8.19,8.19,24529
14-Mar-13,8.53,8.53,8.24,8.39,6393
13-Mar-13,8.50,8.85,8.30,8.48,31390
12-Mar-13,8.28,8.60,8.28,8.47,55169
11-Mar-13,8.15,8.41,8.14,8.22,13974
8-Mar-13,8.35,8.35,8.22,8.25,17953
7-Mar-13,8.33,8.33,8.25,8.25,4001
6-Mar-13,8.36,8.39,8.23,8.35,9440
5-Mar-13,8.31,8.48,8.27,8.38,14863
4-Mar-13,8.03,8.35,8.03,8.33,9421
1-Mar-13,8.13,8.59,8.13,8.15,3594
28-Feb-13,8.30,8.43,8.03,8.26,7274
27-Feb-13,8.11,8.39,8.03,8.39,7180
26-Feb-13,8.38,8.41,8.03,8.23,3253
25-Feb-13,8.32,8.45,8.04,8.37,5438
22-Feb-13,8.30,8.48,8.30,8.40,22496
21-Feb-13,8.30,8.37,8.20,8.21,2952
20-Feb-13,8.30,8.39,8.30,8.31,3290
19-Feb-13,8.48,8.61,8.35,8.44,7143
15-Feb-13,8.10,8.40,8.09,8.38,3395
14-Feb-13,8.38,8.47,8.38,8.42,6904
13-Feb-13,8.41,8.55,8.35,8.49,11455
12-Feb-13,8.70,8.70,8.25,8.36,11780
11-Feb-13,8.94,8.99,8.26,8.50,35253
8-Feb-13,7.99,8.99,7.54,8.39,48620
7-Feb-13,8.79,9.00,8.24,8.30,12750
6-Feb-13,8.30,9.00,8.30,8.90,22034
5-Feb-13,8.40,8.77,8.40,8.49,17703
4-Feb-13,8.40,8.40,8.25,8.28,25879
1-Feb-13,8.07,8.39,8.02,8.39,4796
31-Jan-13,7.86,8.36,7.69,8.22,28030
30-Jan-13,7.54,7.95,7.54,7.80,31251
29-Jan-13,7.93,8.20,7.93,7.99,8896
28-Jan-13,7.77,8.40,7.61,7.93,48980
25-Jan-13,7.71,7.80,7.45,7.80,71175
24-Jan-13,7.38,7.80,7.38,7.73,29298
23-Jan-13,7.39,7.54,7.01,7.32,31977
22-Jan-13,7.25,7.61,7.25,7.43,39674
18-Jan-13,7.05,7.23,7.05,7.23,2699
17-Jan-13,7.20,7.20,7.10,7.10,3755
16-Jan-13,7.20,7.23,7.09,7.14,7566
15-Jan-13,7.10,7.17,7.10,7.17,5600
14-Jan-13,7.15,7.25,7.12,7.12,23169
11-Jan-13,7.11,7.25,7.11,7.25,6856
10-Jan-13,7.15,7.19,7.10,7.10,10513
9-Jan-13,7.18,7.18,7.09,7.11,3775
8-Jan-13,7.24,7.24,6.80,7.23,9810
7-Jan-13,7.05,7.25,7.05,7.24,5523
4-Jan-13,6.91,7.25,6.91,7.09,14541
3-Jan-13,6.92,6.92,6.86,6.86,2000
2-Jan-13,6.94,7.30,6.70,6.93,10090
31-Dec-12,6.78,6.94,6.78,6.94,1606
28-Dec-12,6.92,6.94,6.60,6.66,1232
27-Dec-12,6.82,6.94,6.64,6.94,1839
26-Dec-12,6.67,6.94,6.53,6.94,10380
24-Dec-12,6.68,6.75,6.49,6.73,3076
21-Dec-12,6.62,6.68,6.62,6.68,8482
20-Dec-12,6.49,6.73,6.49,6.73,22616
19-Dec-12,6.32,6.64,6.32,6.41,1948
18-Dec-12,6.41,6.75,6.41,6.56,6693
17-Dec-12,6.14,6.40,6.14,6.40,18698
14-Dec-12,6.25,6.25,6.04,6.25,8934
13-Dec-12,6.10,6.11,6.04,6.06,7200
12-Dec-12,5.90,6.17,5.90,6.17,9390
11-Dec-12,5.97,5.97,5.95,5.95,954
10-Dec-12,5.85,5.96,5.80,5.88,8641
6-Dec-12,5.92,6.10,5.85,5.85,10089
5-Dec-12,6.00,6.10,5.95,5.95,6670
4-Dec-12,6.15,6.15,5.79,6.08,15713
3-Dec-12,6.24,6.24,5.90,6.14,3522
30-Nov-12,5.94,6.30,5.94,6.28,12300
