Date,Open,High,Low,Close,Volume
31-Dec-13,5.72,5.84,5.69,5.84,305721
30-Dec-13,5.76,5.84,5.71,5.72,137446
27-Dec-13,5.97,6.01,5.75,5.82,329677
26-Dec-13,5.67,6.07,5.66,5.95,347210
24-Dec-13,5.75,5.84,5.69,5.76,246310
23-Dec-13,6.00,6.05,5.76,5.99,742580
20-Dec-13,6.00,7.53,6.00,6.50,4089590
19-Dec-13,4.56,4.61,4.39,4.49,227281
18-Dec-13,4.05,4.25,3.98,4.25,211019
17-Dec-13,3.86,3.93,3.85,3.91,52044
16-Dec-13,3.91,3.92,3.85,3.89,72027
13-Dec-13,3.90,3.99,3.90,3.95,33651
12-Dec-13,3.92,3.94,3.85,3.86,52559
11-Dec-13,4.01,4.02,3.95,3.95,68292
10-Dec-13,4.01,4.08,4.00,4.04,69177
9-Dec-13,4.03,4.03,3.97,3.97,43634
6-Dec-13,3.98,4.06,3.95,4.04,59078
5-Dec-13,3.96,3.98,3.94,3.97,33416
4-Dec-13,3.92,4.02,3.91,3.96,117462
3-Dec-13,4.01,4.05,4.00,4.04,92746
2-Dec-13,4.10,4.13,4.01,4.05,108488
29-Nov-13,4.20,4.35,4.20,4.20,43259
27-Nov-13,4.25,4.25,4.16,4.21,47857
26-Nov-13,4.28,4.32,4.27,4.31,35652
25-Nov-13,4.28,4.34,4.25,4.34,47789
22-Nov-13,4.35,4.39,4.33,4.34,21718
21-Nov-13,4.38,4.39,4.33,4.36,17713
20-Nov-13,4.47,4.47,4.37,4.39,34482
19-Nov-13,4.50,4.50,4.40,4.41,19435
18-Nov-13,4.62,4.62,4.46,4.47,64497
15-Nov-13,4.62,4.69,4.60,4.61,32356
14-Nov-13,4.64,4.69,4.62,4.63,14257
13-Nov-13,4.67,4.71,4.62,4.71,20478
12-Nov-13,4.64,4.71,4.61,4.71,16543
11-Nov-13,4.65,4.69,4.61,4.66,55924
8-Nov-13,4.61,4.65,4.57,4.65,17064
7-Nov-13,4.60,4.64,4.55,4.62,63692
6-Nov-13,4.76,4.77,4.61,4.63,80685
5-Nov-13,4.82,4.91,4.80,4.90,14630
4-Nov-13,4.81,4.88,4.79,4.80,39366
1-Nov-13,4.90,4.90,4.77,4.82,8340
31-Oct-13,4.81,4.86,4.79,4.82,31589
30-Oct-13,4.88,4.94,4.86,4.92,17201
29-Oct-13,4.96,4.98,4.94,4.95,9104
28-Oct-13,5.02,5.02,4.88,4.93,23259
25-Oct-13,5.00,5.00,4.94,5.00,6738
24-Oct-13,5.02,5.07,5.01,5.01,32273
23-Oct-13,5.02,5.07,5.02,5.03,8020
22-Oct-13,5.05,5.14,5.04,5.04,55080
21-Oct-13,5.03,5.10,5.00,5.03,6521
18-Oct-13,5.08,5.08,5.01,5.06,21222
17-Oct-13,5.09,5.09,4.98,5.02,44492
16-Oct-13,5.11,5.11,5.05,5.09,34236
15-Oct-13,5.08,5.19,5.03,5.16,49226
14-Oct-13,5.01,5.16,4.99,5.15,106384
11-Oct-13,4.88,4.97,4.88,4.94,20403
10-Oct-13,4.90,4.93,4.89,4.93,11910
9-Oct-13,4.83,4.86,4.78,4.82,61886
8-Oct-13,4.91,4.91,4.74,4.75,29670
7-Oct-13,5.00,5.00,4.90,4.91,25724
4-Oct-13,4.90,4.95,4.85,4.95,42768
3-Oct-13,5.00,5.03,4.90,4.90,20854
2-Oct-13,4.93,5.00,4.93,4.94,26904
1-Oct-13,4.97,4.98,4.92,4.95,21749
30-Sep-13,4.93,4.97,4.85,4.87,35598
27-Sep-13,5.05,5.05,4.95,4.97,27026
26-Sep-13,4.97,5.03,4.95,5.02,16704
25-Sep-13,5.02,5.05,4.90,4.98,8276
