Date,Open,High,Low,Close,Volume
31-Dec-13,2.25,2.30,2.23,2.26,103818
30-Dec-13,2.29,2.31,2.20,2.27,92137
27-Dec-13,2.22,2.34,2.20,2.34,33578
26-Dec-13,2.20,2.25,2.20,2.23,26283
24-Dec-13,2.21,2.25,2.20,2.20,24162
23-Dec-13,2.24,2.25,2.20,2.25,46192
20-Dec-13,2.25,2.31,2.17,2.23,75748
19-Dec-13,2.17,2.23,2.14,2.23,35288
18-Dec-13,2.24,2.24,2.11,2.22,50656
17-Dec-13,2.13,2.25,2.08,2.22,66621
16-Dec-13,2.12,2.18,2.07,2.17,15015
13-Dec-13,2.14,2.15,2.12,2.15,22455
12-Dec-13,2.06,2.14,2.06,2.14,12793
11-Dec-13,2.11,2.12,2.06,2.08,28119
10-Dec-13,2.12,2.14,2.08,2.12,14597
9-Dec-13,2.12,2.19,2.11,2.12,42173
6-Dec-13,2.13,2.15,2.10,2.14,59549
5-Dec-13,2.12,2.15,2.12,2.12,18845
4-Dec-13,2.15,2.17,2.12,2.15,23737
3-Dec-13,2.18,2.19,2.15,2.16,17768
2-Dec-13,2.19,2.20,2.18,2.19,12597
29-Nov-13,2.18,2.23,2.18,2.20,3118
27-Nov-13,2.18,2.23,2.18,2.19,7018
26-Nov-13,2.18,2.25,2.16,2.23,40233
25-Nov-13,2.23,2.30,2.18,2.18,21000
22-Nov-13,2.21,2.27,2.20,2.27,78504
21-Nov-13,2.18,2.22,2.17,2.19,13484
20-Nov-13,2.21,2.21,2.15,2.20,9658
19-Nov-13,2.24,2.24,2.12,2.19,56931
18-Nov-13,2.33,2.34,2.23,2.24,42753
15-Nov-13,2.23,2.28,2.22,2.26,199680
14-Nov-13,2.28,2.28,2.23,2.25,48551
13-Nov-13,2.26,2.35,2.22,2.26,31908
12-Nov-13,2.35,2.35,2.28,2.28,31227
11-Nov-13,2.35,2.35,2.31,2.33,20740
8-Nov-13,2.31,2.37,2.30,2.35,95326
7-Nov-13,2.40,2.40,2.30,2.34,60834
6-Nov-13,2.39,2.40,2.32,2.37,110629
5-Nov-13,2.35,2.38,2.28,2.35,63730
4-Nov-13,2.38,2.38,2.26,2.35,44821
1-Nov-13,2.31,2.34,2.25,2.32,68658
31-Oct-13,2.30,2.39,2.30,2.35,42317
30-Oct-13,2.33,2.34,2.18,2.34,89983
29-Oct-13,2.32,2.35,2.21,2.30,215757
28-Oct-13,2.40,2.44,2.29,2.33,91173
25-Oct-13,2.40,2.48,2.30,2.37,220504
24-Oct-13,2.47,2.56,2.40,2.42,102210
23-Oct-13,2.43,2.48,2.42,2.44,61069
22-Oct-13,2.35,2.46,2.35,2.40,55584
21-Oct-13,2.43,2.49,2.41,2.42,55459
18-Oct-13,2.38,2.41,2.31,2.40,95115
17-Oct-13,2.37,2.37,2.28,2.33,70477
16-Oct-13,2.35,2.40,2.27,2.28,33950
15-Oct-13,2.28,2.40,2.28,2.33,64701
14-Oct-13,2.19,2.37,2.19,2.31,43249
11-Oct-13,2.20,2.25,2.20,2.25,37221
10-Oct-13,2.17,2.27,2.15,2.22,151056
9-Oct-13,2.15,2.16,2.12,2.13,62238
8-Oct-13,2.10,2.17,2.10,2.13,17567
7-Oct-13,2.11,2.15,2.10,2.10,34417
4-Oct-13,2.14,2.17,2.11,2.14,51776
3-Oct-13,2.19,2.19,2.12,2.13,50804
2-Oct-13,2.10,2.19,2.09,2.15,110316
1-Oct-13,2.09,2.13,2.08,2.11,127561
30-Sep-13,2.08,2.09,2.05,2.09,80090
27-Sep-13,2.18,2.18,2.09,2.09,40615
26-Sep-13,2.12,2.14,2.09,2.10,59124
25-Sep-13,2.12,2.14,2.07,2.11,83186
24-Sep-13,2.10,2.14,2.08,2.08,75192
23-Sep-13,2.15,2.17,2.04,2.08,148979
20-Sep-13,2.10,2.24,2.00,2.00,146539
19-Sep-13,2.07,2.12,2.07,2.10,27744
18-Sep-13,2.13,2.15,2.05,2.11,64847
17-Sep-13,2.15,2.19,2.13,2.14,45880
16-Sep-13,2.16,2.19,2.15,2.15,25730
13-Sep-13,2.15,2.20,2.15,2.15,12470
12-Sep-13,2.15,2.19,2.14,2.18,47249
11-Sep-13,2.18,2.20,2.16,2.17,15021
10-Sep-13,2.22,2.22,2.18,2.18,20902
9-Sep-13,2.23,2.24,2.18,2.18,15698
6-Sep-13,2.17,2.21,2.12,2.20,54186
5-Sep-13,2.25,2.25,2.15,2.16,23118
4-Sep-13,2.20,2.21,2.15,2.19,42097
3-Sep-13,2.20,2.23,2.18,2.20,20707
30-Aug-13,2.19,2.20,2.15,2.20,14606
29-Aug-13,2.19,2.19,2.17,2.18,9770
28-Aug-13,2.20,2.20,2.12,2.17,64730
27-Aug-13,2.25,2.25,2.17,2.20,74124
26-Aug-13,2.25,2.29,2.18,2.27,38178
23-Aug-13,2.30,2.33,2.25,2.28,32524
22-Aug-13,2.23,2.30,2.22,2.30,60430
21-Aug-13,2.21,2.26,2.18,2.22,100101
20-Aug-13,2.25,2.27,2.23,2.25,34689
19-Aug-13,2.23,2.25,2.23,2.23,49822
16-Aug-13,2.22,2.25,2.15,2.21,40998
15-Aug-13,2.08,2.25,2.08,2.23,63079
14-Aug-13,2.25,2.30,2.15,2.23,42133
13-Aug-13,2.26,2.30,2.13,2.28,97884
12-Aug-13,2.29,2.29,2.22,2.23,69742
9-Aug-13,2.17,2.29,2.15,2.29,183982
8-Aug-13,2.15,2.15,2.11,2.15,34664
7-Aug-13,2.10,2.19,2.09,2.11,28591
6-Aug-13,2.17,2.17,2.10,2.10,85584
5-Aug-13,2.19,2.19,2.06,2.17,91491
2-Aug-13,2.07,2.15,2.02,2.14,84188
1-Aug-13,2.06,2.10,2.02,2.05,70913
31-Jul-13,2.00,2.05,1.97,2.01,91775
30-Jul-13,2.01,2.06,1.96,1.96,46005
29-Jul-13,2.01,2.04,1.97,2.03,60555
26-Jul-13,1.99,2.01,1.97,1.99,25865
25-Jul-13,2.01,2.02,1.95,1.98,68925
24-Jul-13,2.00,2.02,1.94,2.02,82870
23-Jul-13,1.95,2.05,1.91,1.96,204233
22-Jul-13,1.89,1.95,1.88,1.94,72667
19-Jul-13,1.90,1.90,1.88,1.88,14525
18-Jul-13,1.86,1.90,1.86,1.88,31079
17-Jul-13,1.90,1.92,1.83,1.90,47737
16-Jul-13,1.85,1.90,1.82,1.89,34889
15-Jul-13,1.86,1.90,1.85,1.85,10169
12-Jul-13,1.87,1.90,1.86,1.90,28636
11-Jul-13,1.87,1.89,1.87,1.89,24303
10-Jul-13,1.83,1.87,1.83,1.87,35909
9-Jul-13,1.84,1.87,1.81,1.82,27257
8-Jul-13,1.85,1.86,1.82,1.83,15907
5-Jul-13,1.86,1.86,1.83,1.84,9887
3-Jul-13,1.85,1.86,1.82,1.86,12406
2-Jul-13,1.85,1.88,1.83,1.86,27426
1-Jul-13,1.85,1.88,1.81,1.88,36808
28-Jun-13,1.86,1.89,1.84,1.86,40145
27-Jun-13,1.87,1.88,1.85,1.85,9471
26-Jun-13,1.88,1.91,1.83,1.87,7415
25-Jun-13,1.87,1.87,1.82,1.86,71510
24-Jun-13,1.85,1.88,1.83,1.88,32605
21-Jun-13,1.94,1.95,1.85,1.85,46083
20-Jun-13,1.90,1.95,1.87,1.89,12517
19-Jun-13,1.94,1.94,1.87,1.89,123603
18-Jun-13,1.88,1.93,1.87,1.89,45768
17-Jun-13,1.87,1.89,1.85,1.88,39356
14-Jun-13,1.87,1.90,1.84,1.86,18798
13-Jun-13,1.88,1.88,1.85,1.85,14273
12-Jun-13,1.87,1.89,1.83,1.89,42872
11-Jun-13,1.89,1.90,1.86,1.87,23653
10-Jun-13,1.88,1.90,1.86,1.90,18089
7-Jun-13,1.91,1.91,1.86,1.90,33465
6-Jun-13,1.88,1.89,1.86,1.89,9441
5-Jun-13,1.90,1.92,1.86,1.87,43677
4-Jun-13,1.94,1.95,1.91,1.92,31917
3-Jun-13,1.99,1.99,1.89,1.95,62676
31-May-13,2.00,2.01,1.96,1.98,36782
30-May-13,1.99,2.00,1.96,1.98,13226
29-May-13,1.96,1.98,1.93,1.98,59320
28-May-13,1.96,2.00,1.92,1.95,73207
24-May-13,1.94,1.98,1.90,1.96,34663
23-May-13,1.90,1.95,1.88,1.94,27962
22-May-13,1.90,1.94,1.88,1.94,32104
21-May-13,1.86,1.90,1.83,1.90,28405
20-May-13,1.87,1.87,1.85,1.87,23553
17-May-13,1.87,1.88,1.85,1.86,22174
16-May-13,1.82,1.86,1.82,1.86,27347
15-May-13,1.85,1.87,1.85,1.85,17172
14-May-13,1.82,1.87,1.82,1.86,32445
13-May-13,1.86,1.88,1.82,1.85,128264
10-May-13,1.85,1.94,1.85,1.85,66289
9-May-13,1.88,1.93,1.88,1.91,28026
8-May-13,1.94,1.94,1.88,1.94,44202
7-May-13,1.94,1.94,1.89,1.92,16005
6-May-13,1.91,1.95,1.91,1.93,33019
3-May-13,1.95,1.95,1.89,1.91,24269
2-May-13,1.90,1.94,1.90,1.94,48688
1-May-13,1.91,1.91,1.87,1.90,4695
30-Apr-13,1.89,1.94,1.85,1.86,59000
29-Apr-13,1.94,1.94,1.88,1.93,28701
26-Apr-13,1.92,1.94,1.88,1.94,36687
25-Apr-13,1.89,1.91,1.84,1.88,42892
24-Apr-13,1.90,1.90,1.88,1.89,6518
23-Apr-13,1.92,1.92,1.86,1.89,26809
22-Apr-13,1.93,1.93,1.90,1.93,558660
19-Apr-13,1.90,1.91,1.90,1.91,3696
18-Apr-13,1.86,1.95,1.85,1.93,73091
17-Apr-13,1.93,1.93,1.88,1.88,75598
16-Apr-13,1.86,1.91,1.84,1.91,25599
15-Apr-13,1.89,1.90,1.84,1.86,83787
12-Apr-13,1.87,1.92,1.85,1.91,42631
11-Apr-13,1.85,1.95,1.82,1.90,31784
10-Apr-13,1.92,1.92,1.85,1.85,9891
9-Apr-13,1.89,1.93,1.86,1.89,18524
8-Apr-13,1.85,1.94,1.85,1.90,68909
5-Apr-13,1.92,1.92,1.88,1.89,16136
4-Apr-13,1.90,1.92,1.88,1.90,28816
3-Apr-13,1.85,1.91,1.85,1.89,29603
2-Apr-13,1.81,1.92,1.78,1.89,38165
1-Apr-13,1.92,1.95,1.86,1.92,50900
28-Mar-13,1.91,1.93,1.85,1.91,36364
27-Mar-13,1.94,1.94,1.89,1.91,11468
26-Mar-13,1.88,1.92,1.82,1.92,16270
25-Mar-13,1.91,1.92,1.87,1.90,81555
22-Mar-13,1.93,1.94,1.86,1.93,31581
21-Mar-13,1.90,1.94,1.86,1.93,158990
20-Mar-13,1.90,1.90,1.86,1.86,60312
19-Mar-13,1.88,1.91,1.86,1.91,47915
18-Mar-13,1.79,1.89,1.77,1.89,290273
15-Mar-13,1.87,1.90,1.77,1.77,258958
14-Mar-13,1.85,1.91,1.83,1.90,59483
13-Mar-13,1.81,1.84,1.81,1.84,29670
12-Mar-13,1.82,1.85,1.82,1.85,19992
11-Mar-13,1.92,1.92,1.82,1.82,101337
8-Mar-13,1.92,1.94,1.86,1.89,35712
