Date,Open,High,Low,Close,Volume
31-Dec-13,2.23,2.32,2.21,2.32,239442
30-Dec-13,2.23,2.25,2.19,2.25,236558
27-Dec-13,2.31,2.31,2.21,2.24,283263
26-Dec-13,2.32,2.32,2.26,2.29,114466
24-Dec-13,2.31,2.33,2.28,2.30,74723
23-Dec-13,2.30,2.34,2.28,2.31,175234
20-Dec-13,2.27,2.37,2.27,2.32,428690
19-Dec-13,2.25,2.28,2.22,2.27,109332
18-Dec-13,2.22,2.27,2.19,2.27,149189
17-Dec-13,2.23,2.25,2.20,2.22,326661
16-Dec-13,2.14,2.24,2.14,2.22,284441
13-Dec-13,2.13,2.16,2.11,2.14,174609
12-Dec-13,2.12,2.16,2.10,2.12,112291
11-Dec-13,2.12,2.15,2.10,2.13,166040
10-Dec-13,2.14,2.16,2.11,2.12,130227
9-Dec-13,2.16,2.17,2.14,2.14,51526
6-Dec-13,2.15,2.17,2.12,2.16,123020
5-Dec-13,2.20,2.21,2.11,2.13,180929
4-Dec-13,2.17,2.20,2.17,2.18,118681
3-Dec-13,2.23,2.26,2.12,2.17,154879
2-Dec-13,2.31,2.31,2.20,2.22,162079
29-Nov-13,2.30,2.32,2.27,2.31,99180
27-Nov-13,2.29,2.30,2.25,2.28,200752
26-Nov-13,2.32,2.32,2.25,2.27,243524
25-Nov-13,2.36,2.36,2.31,2.33,94787
22-Nov-13,2.36,2.36,2.33,2.35,165202
21-Nov-13,2.34,2.40,2.32,2.35,159322
20-Nov-13,2.37,2.38,2.31,2.33,175391
19-Nov-13,2.39,2.44,2.35,2.36,79820
18-Nov-13,2.40,2.44,2.37,2.39,97990
15-Nov-13,2.39,2.42,2.35,2.41,130993
14-Nov-13,2.37,2.41,2.36,2.40,131073
13-Nov-13,2.39,2.42,2.31,2.38,166807
12-Nov-13,2.34,2.42,2.31,2.39,185181
11-Nov-13,2.29,2.38,2.29,2.36,129480
8-Nov-13,2.26,2.35,2.24,2.30,170874
7-Nov-13,2.38,2.38,2.24,2.27,290130
6-Nov-13,2.40,2.41,2.33,2.37,99384
5-Nov-13,2.37,2.41,2.27,2.38,258998
4-Nov-13,2.39,2.42,2.34,2.40,241877
1-Nov-13,2.26,2.37,2.21,2.36,274110
31-Oct-13,2.47,2.47,2.26,2.27,417401
30-Oct-13,2.56,2.57,2.42,2.51,235574
29-Oct-13,2.54,2.56,2.47,2.54,136369
28-Oct-13,2.49,2.53,2.47,2.52,113143
25-Oct-13,2.51,2.54,2.46,2.50,163894
24-Oct-13,2.55,2.59,2.48,2.49,220117
23-Oct-13,2.53,2.58,2.50,2.54,125410
22-Oct-13,2.44,2.58,2.42,2.55,298225
21-Oct-13,2.48,2.50,2.42,2.43,160050
18-Oct-13,2.52,2.52,2.41,2.48,156336
17-Oct-13,2.40,2.50,2.31,2.48,187303
16-Oct-13,2.47,2.47,2.36,2.40,172007
15-Oct-13,2.44,2.50,2.41,2.47,173934
14-Oct-13,2.40,2.47,2.39,2.46,120052
11-Oct-13,2.37,2.45,2.32,2.42,194667
10-Oct-13,2.36,2.42,2.33,2.39,168668
9-Oct-13,2.28,2.35,2.24,2.33,279260
8-Oct-13,2.39,2.47,2.27,2.29,229615
7-Oct-13,2.40,2.46,2.37,2.39,128058
4-Oct-13,2.41,2.49,2.40,2.45,78810
3-Oct-13,2.46,2.49,2.41,2.42,126864
2-Oct-13,2.41,2.52,2.41,2.47,179431
1-Oct-13,2.48,2.54,2.38,2.42,353211
30-Sep-13,2.48,2.51,2.45,2.45,210531
27-Sep-13,2.55,2.55,2.50,2.52,118688
26-Sep-13,2.61,2.62,2.55,2.57,85075
25-Sep-13,2.60,2.64,2.55,2.61,169807
24-Sep-13,2.60,2.65,2.56,2.61,110416
23-Sep-13,2.61,2.65,2.60,2.60,154428
20-Sep-13,2.61,2.65,2.57,2.62,202413
19-Sep-13,2.64,2.64,2.56,2.60,129627
18-Sep-13,2.64,2.67,2.57,2.63,157393
17-Sep-13,2.65,2.67,2.61,2.64,152701
