Date,Open,High,Low,Close,Volume
31-Dec-13,5.67,5.78,5.67,5.69,18149
30-Dec-13,5.71,5.75,5.67,5.72,6791
27-Dec-13,5.80,5.80,5.65,5.74,30751
26-Dec-13,5.76,5.82,5.73,5.80,19018
24-Dec-13,5.66,5.84,5.66,5.75,23353
23-Dec-13,5.70,5.84,5.68,5.71,19137
20-Dec-13,5.65,5.84,5.64,5.72,19170
19-Dec-13,5.47,5.76,5.27,5.72,55977
18-Dec-13,5.67,5.67,5.38,5.50,41152
17-Dec-13,5.74,5.74,5.64,5.67,18207
16-Dec-13,5.79,5.80,5.71,5.74,14050
13-Dec-13,5.83,5.85,5.78,5.81,13442
12-Dec-13,5.80,5.85,5.62,5.78,16094
11-Dec-13,5.89,5.90,5.70,5.77,70439
10-Dec-13,5.65,5.75,5.65,5.72,80099
9-Dec-13,5.58,5.72,5.52,5.55,20357
6-Dec-13,5.58,5.71,5.58,5.60,7013
5-Dec-13,5.67,5.75,5.30,5.64,11674
4-Dec-13,5.51,5.70,5.51,5.70,11800
3-Dec-13,5.74,5.75,5.54,5.72,28259
2-Dec-13,5.83,5.83,5.50,5.74,16476
29-Nov-13,5.84,5.88,5.64,5.79,22191
27-Nov-13,5.57,5.91,5.47,5.84,64734
26-Nov-13,5.16,5.52,5.13,5.51,93839
25-Nov-13,5.19,5.20,5.15,5.15,9094
22-Nov-13,5.15,5.19,5.10,5.14,16686
21-Nov-13,5.19,5.19,5.12,5.12,22562
20-Nov-13,5.11,5.20,5.10,5.14,9781
19-Nov-13,5.11,5.20,5.10,5.17,21982
18-Nov-13,5.20,5.24,5.09,5.10,68231
15-Nov-13,5.19,5.20,4.91,5.19,138310
14-Nov-13,5.29,5.29,5.13,5.20,85730
13-Nov-13,5.04,5.26,4.93,5.24,109176
12-Nov-13,4.84,5.10,4.79,5.10,86638
11-Nov-13,4.70,4.85,4.68,4.81,5495
8-Nov-13,4.68,4.72,4.55,4.68,15557
7-Nov-13,4.73,4.75,4.65,4.69,21524
6-Nov-13,4.78,4.81,4.67,4.72,9384
5-Nov-13,4.55,4.82,4.50,4.82,21362
4-Nov-13,4.80,4.82,4.73,4.81,11400
1-Nov-13,4.78,4.82,4.50,4.82,37733
31-Oct-13,4.94,4.98,4.71,4.82,44277
30-Oct-13,5.04,5.04,4.90,4.99,8677
29-Oct-13,5.00,5.14,4.91,4.97,19940
28-Oct-13,5.08,5.23,4.70,4.96,75739
25-Oct-13,5.24,5.28,5.10,5.12,40677
24-Oct-13,5.25,5.30,5.08,5.30,42480
23-Oct-13,5.06,5.28,5.06,5.26,87796
22-Oct-13,4.96,5.14,4.91,5.10,85344
21-Oct-13,4.82,4.96,4.75,4.91,147215
18-Oct-13,4.82,4.82,4.66,4.80,80135
17-Oct-13,4.38,4.83,4.38,4.80,143141
16-Oct-13,4.27,4.39,4.27,4.38,15389
15-Oct-13,4.35,4.36,4.29,4.36,16186
14-Oct-13,4.27,4.39,4.27,4.37,15084
11-Oct-13,4.30,4.38,4.26,4.34,28316
10-Oct-13,4.34,4.38,4.19,4.35,9715
9-Oct-13,4.47,4.54,4.10,4.31,51563
8-Oct-13,4.25,4.46,4.22,4.40,146245
7-Oct-13,4.16,4.30,4.12,4.30,17273
4-Oct-13,4.14,4.19,4.14,4.15,21791
3-Oct-13,4.10,4.14,4.05,4.14,29511
2-Oct-13,4.03,4.10,4.03,4.05,3414
1-Oct-13,4.07,4.10,4.00,4.00,10444
30-Sep-13,4.12,4.13,4.05,4.09,25547
27-Sep-13,4.16,4.34,4.09,4.13,63044
26-Sep-13,4.05,4.19,4.02,4.16,39413
25-Sep-13,4.09,4.11,4.00,4.00,39917
24-Sep-13,4.01,4.11,4.00,4.06,8323
23-Sep-13,4.12,4.12,4.00,4.05,29884
20-Sep-13,4.12,4.14,4.00,4.14,19837
19-Sep-13,4.03,4.18,3.98,4.18,76891
18-Sep-13,4.04,4.07,4.02,4.02,17214
17-Sep-13,4.15,4.20,4.02,4.02,35019
16-Sep-13,4.11,4.20,4.11,4.16,7591
13-Sep-13,4.16,4.19,4.08,4.08,21412
12-Sep-13,4.21,4.25,4.05,4.16,27105
11-Sep-13,4.26,4.26,4.18,4.18,13398
10-Sep-13,4.06,4.25,4.02,4.24,39897
9-Sep-13,4.08,4.12,3.99,4.08,34041
6-Sep-13,4.15,4.15,4.08,4.08,22948
5-Sep-13,4.16,4.19,4.06,4.12,37701
4-Sep-13,4.18,4.22,4.09,4.20,41564
3-Sep-13,4.23,4.29,4.10,4.14,30391
30-Aug-13,4.12,4.31,4.12,4.29,41392
29-Aug-13,4.19,4.21,4.11,4.16,31435
28-Aug-13,4.04,4.22,3.99,4.15,36143
27-Aug-13,4.06,4.13,3.98,4.02,61594
26-Aug-13,4.09,4.25,4.01,4.20,68148
23-Aug-13,4.10,4.27,4.07,4.24,21605
22-Aug-13,4.11,4.28,4.09,4.16,7323
21-Aug-13,4.09,4.17,4.05,4.11,17317
20-Aug-13,4.28,4.28,4.05,4.16,13405
19-Aug-13,4.02,4.29,3.99,4.23,72232
16-Aug-13,3.98,4.00,3.93,3.97,12100
15-Aug-13,3.98,4.06,3.98,4.00,15145
