Date,Open,High,Low,Close,Volume
31-Dec-13,13.67,13.74,13.24,13.52,81585
30-Dec-13,13.42,13.70,13.42,13.58,79483
27-Dec-13,13.28,13.89,12.92,13.50,65308
26-Dec-13,13.25,13.71,12.82,13.20,57564
24-Dec-13,13.30,13.38,13.09,13.23,50476
23-Dec-13,12.90,13.28,12.80,13.25,87846
20-Dec-13,12.27,12.92,12.23,12.73,439870
19-Dec-13,12.20,12.33,11.86,12.20,63821
18-Dec-13,12.17,12.17,11.76,12.15,88205
17-Dec-13,12.23,12.23,11.98,12.11,67178
16-Dec-13,12.41,12.51,11.72,12.17,111525
13-Dec-13,12.11,12.42,11.89,12.26,147865
12-Dec-13,12.06,12.10,11.74,12.04,111587
11-Dec-13,12.00,12.09,11.76,11.99,85549
10-Dec-13,12.00,12.12,11.75,11.97,105327
9-Dec-13,11.89,12.19,11.89,12.07,156250
6-Dec-13,11.74,11.94,11.65,11.88,46710
5-Dec-13,11.73,11.78,11.42,11.66,17262
4-Dec-13,11.21,11.80,11.11,11.71,60826
3-Dec-13,11.54,11.57,10.96,11.23,138355
2-Dec-13,11.73,11.97,11.50,11.56,70663
29-Nov-13,11.82,12.08,11.30,11.76,50163
27-Nov-13,12.00,12.00,11.19,11.76,139676
26-Nov-13,11.15,12.24,11.07,12.00,169276
25-Nov-13,10.69,11.19,10.61,11.06,47717
22-Nov-13,10.76,11.06,10.52,10.73,90913
21-Nov-13,11.00,11.20,10.55,10.73,227961
20-Nov-13,10.68,11.23,10.65,10.88,126058
19-Nov-13,11.17,11.17,10.60,10.63,113315
18-Nov-13,11.58,11.63,11.12,11.25,83059
15-Nov-13,12.00,12.36,11.46,11.53,209964
14-Nov-13,10.65,12.24,10.55,12.06,295248
13-Nov-13,10.70,10.96,10.23,10.59,316520
12-Nov-13,10.28,10.43,10.12,10.22,130102
11-Nov-13,10.19,10.50,10.05,10.34,277304
8-Nov-13,10.08,10.48,10.00,10.12,275524
7-Nov-13,10.50,10.50,9.85,10.04,1579155
6-Nov-13,12.07,12.10,11.26,11.31,112641
5-Nov-13,12.36,12.48,11.96,12.16,37900
4-Nov-13,12.00,12.49,11.64,12.28,79574
1-Nov-13,12.53,12.78,11.70,12.22,121426
31-Oct-13,12.65,12.65,12.50,12.53,29294
30-Oct-13,12.88,12.99,12.63,12.64,26558
29-Oct-13,12.75,12.90,12.71,12.84,34364
28-Oct-13,12.95,12.95,12.60,12.72,57358
25-Oct-13,12.92,13.10,12.81,12.95,51646
24-Oct-13,13.08,13.08,12.92,12.97,31345
23-Oct-13,13.07,13.18,12.73,13.08,77298
22-Oct-13,13.20,13.20,12.51,13.09,84005
21-Oct-13,13.28,13.42,12.68,13.20,107207
18-Oct-13,11.33,13.38,11.30,13.20,145858
17-Oct-13,11.18,11.82,11.01,11.15,70668
16-Oct-13,11.99,12.04,10.99,11.07,83897
15-Oct-13,12.81,12.81,11.76,11.90,142019
14-Oct-13,12.70,13.55,12.20,12.53,122651
11-Oct-13,11.75,12.84,11.75,12.80,156713
10-Oct-13,10.65,11.84,10.65,11.58,70678
9-Oct-13,11.04,11.06,10.35,10.52,84534
8-Oct-13,11.39,11.40,11.00,11.04,51718
7-Oct-13,11.62,11.79,11.37,11.38,33264
4-Oct-13,11.15,12.02,11.15,11.72,63459
3-Oct-13,11.45,11.50,10.90,11.12,94621
2-Oct-13,11.76,11.80,11.34,11.49,84851
1-Oct-13,11.58,12.32,11.58,11.77,164759
30-Sep-13,11.40,11.62,11.28,11.38,60137
27-Sep-13,11.51,11.70,11.32,11.49,65907
26-Sep-13,11.31,11.53,11.02,11.47,50572
25-Sep-13,11.31,11.31,10.60,11.25,82570
24-Sep-13,11.27,11.50,11.03,11.25,42964
23-Sep-13,11.50,11.52,10.42,11.18,109599
20-Sep-13,11.50,11.76,11.27,11.53,251938
19-Sep-13,10.26,11.77,10.26,11.49,195200
18-Sep-13,9.53,10.55,9.40,10.27,404456
17-Sep-13,9.96,9.96,9.32,9.48,51937
