Date,Open,High,Low,Close,Volume
31-Dec-13,17.96,18.28,17.96,18.07,566014
30-Dec-13,18.24,18.29,17.87,17.96,471279
27-Dec-13,17.84,18.31,17.72,18.11,1337630
26-Dec-13,17.77,17.99,17.54,17.85,311617
24-Dec-13,17.73,17.97,17.50,17.70,196659
23-Dec-13,17.41,17.88,17.21,17.80,325133
20-Dec-13,17.49,17.70,16.85,17.41,914460
19-Dec-13,17.41,18.04,17.31,17.43,995944
18-Dec-13,16.92,17.58,16.69,17.53,1662142
17-Dec-13,16.59,16.96,16.50,16.95,721900
16-Dec-13,16.27,16.76,16.20,16.60,505027
13-Dec-13,15.98,16.37,15.94,16.24,388847
12-Dec-13,15.57,16.07,15.57,15.99,468554
11-Dec-13,15.96,16.27,15.56,15.83,551778
10-Dec-13,16.48,16.49,15.75,16.00,789689
9-Dec-13,16.63,16.77,16.25,16.50,562203
6-Dec-13,16.40,16.74,16.40,16.65,773086
5-Dec-13,16.01,16.55,15.85,16.43,630546
4-Dec-13,15.97,16.24,15.56,16.11,799775
3-Dec-13,16.04,16.16,15.41,16.09,859284
2-Dec-13,16.61,16.67,15.56,15.84,1283677
29-Nov-13,16.59,16.88,16.26,16.75,874296
27-Nov-13,16.60,17.00,15.99,16.06,1984784
26-Nov-13,14.34,16.47,14.27,15.49,2249308
25-Nov-13,13.84,14.34,13.54,14.25,831553
22-Nov-13,15.84,15.84,13.12,13.88,3501709
21-Nov-13,16.49,16.80,15.76,15.83,1501781
20-Nov-13,17.82,17.83,15.05,16.15,3855818
19-Nov-13,16.86,18.19,16.65,17.83,4606597
18-Nov-13,15.08,16.32,15.01,16.32,4327241
15-Nov-13,12.33,14.63,10.05,14.50,20175160
14-Nov-13,21.18,21.18,11.41,12.95,19634993
13-Nov-13,20.84,21.45,20.84,21.22,366428
12-Nov-13,21.17,21.20,20.58,20.95,559263
11-Nov-13,21.15,21.55,21.02,21.17,873895
8-Nov-13,21.82,22.07,20.09,21.10,1535886
7-Nov-13,23.24,23.24,21.62,21.79,1094997
6-Nov-13,22.61,23.36,22.41,23.18,708414
5-Nov-13,22.95,23.11,22.49,22.57,441253
4-Nov-13,22.64,22.98,22.52,22.92,395577
1-Nov-13,22.92,22.92,22.15,22.44,1103985
31-Oct-13,23.50,23.51,19.35,22.33,4148709
30-Oct-13,24.48,24.62,23.71,23.90,626230
29-Oct-13,24.55,25.27,24.04,24.55,228008
28-Oct-13,25.47,25.47,24.22,24.45,349507
25-Oct-13,24.95,25.45,24.52,25.42,331958
24-Oct-13,24.09,25.20,23.50,25.00,795274
23-Oct-13,22.98,24.17,22.63,24.05,932016
22-Oct-13,23.75,24.28,23.11,23.21,1223721
21-Oct-13,25.89,26.19,23.31,23.79,2867965
18-Oct-13,25.64,25.92,25.39,25.87,958711
17-Oct-13,26.01,26.18,25.55,25.61,270961
