Date,Open,High,Low,Close,Volume
31-Dec-13,17.41,17.59,17.34,17.37,2883295
30-Dec-13,17.64,17.68,17.34,17.40,1336895
27-Dec-13,17.91,17.94,17.65,17.68,980073
26-Dec-13,17.75,17.90,17.66,17.88,1938753
24-Dec-13,17.58,17.76,17.58,17.67,1398890
23-Dec-13,17.61,17.76,17.52,17.73,2666378
20-Dec-13,17.77,17.83,17.50,17.58,3902083
19-Dec-13,17.60,17.82,17.50,17.80,3138365
18-Dec-13,17.49,17.74,17.31,17.70,1849006
17-Dec-13,17.36,17.55,17.17,17.48,1889950
16-Dec-13,17.00,17.37,16.91,17.36,2837766
13-Dec-13,16.45,16.98,16.45,16.94,1751886
12-Dec-13,16.57,16.57,16.25,16.42,2924799
11-Dec-13,16.98,16.99,16.42,16.49,1789781
10-Dec-13,16.80,17.00,16.70,16.90,1262407
9-Dec-13,16.73,17.04,16.67,16.89,2200073
6-Dec-13,16.51,16.75,16.50,16.64,1442162
5-Dec-13,16.61,16.71,16.36,16.41,1826286
4-Dec-13,16.44,16.69,16.40,16.61,1319163
3-Dec-13,16.49,16.63,16.34,16.50,2305139
2-Dec-13,16.36,16.62,16.26,16.45,2309463
29-Nov-13,16.23,16.44,16.15,16.36,997031
27-Nov-13,16.03,16.26,16.00,16.15,3333059
26-Nov-13,16.01,16.42,15.99,16.01,6734331
25-Nov-13,16.89,17.00,16.35,16.93,3472630
22-Nov-13,16.72,17.01,16.26,16.86,4051338
21-Nov-13,17.05,17.23,16.99,17.12,1690175
20-Nov-13,17.19,17.37,17.01,17.04,1793402
19-Nov-13,17.45,17.65,17.13,17.13,2204828
18-Nov-13,17.81,17.97,17.48,17.51,2799411
15-Nov-13,18.03,18.03,17.70,17.99,1850370
14-Nov-13,18.06,18.11,17.87,18.00,1478549
13-Nov-13,17.78,18.05,17.76,18.05,1483204
12-Nov-13,17.95,17.97,17.76,17.86,1635746
11-Nov-13,17.88,18.00,17.70,17.95,2280968
8-Nov-13,17.32,17.75,17.21,17.51,3037070
7-Nov-13,17.84,17.92,17.34,17.40,3047817
6-Nov-13,18.40,18.48,17.79,17.83,2615454
5-Nov-13,18.15,18.46,17.87,18.24,3039913
4-Nov-13,17.99,18.38,17.84,18.35,3657678
1-Nov-13,17.91,18.03,17.50,17.97,3833182
31-Oct-13,17.13,18.17,17.10,17.91,7464957
30-Oct-13,17.86,18.23,16.84,17.14,11231978
29-Oct-13,17.90,18.02,17.60,17.95,6491845
28-Oct-13,17.50,17.69,17.36,17.68,3022880
25-Oct-13,17.25,17.45,17.15,17.34,2885201
24-Oct-13,16.99,17.20,16.99,17.06,3102399
23-Oct-13,17.25,17.30,16.98,16.99,2393441
22-Oct-13,17.30,17.44,17.13,17.28,2377978
21-Oct-13,17.29,17.50,17.13,17.15,1773308
18-Oct-13,17.22,17.35,16.96,17.22,2552541
17-Oct-13,17.02,17.18,16.86,17.15,2158366
16-Oct-13,17.00,17.20,16.90,17.02,1799494
15-Oct-13,17.12,17.16,16.88,16.94,1458426
14-Oct-13,16.70,17.15,16.58,17.12,1714358
11-Oct-13,17.12,17.31,16.80,16.84,2499961
10-Oct-13,17.00,17.36,16.92,17.05,3651266
9-Oct-13,16.98,17.10,16.45,16.84,3587739
8-Oct-13,17.41,17.43,16.70,16.80,4218906
7-Oct-13,17.72,17.80,17.39,17.41,2780908
4-Oct-13,17.83,18.15,17.74,17.83,2961416
3-Oct-13,18.11,18.32,17.66,17.73,2508591
2-Oct-13,18.25,18.60,18.00,18.20,3491758
1-Oct-13,18.16,18.54,17.88,18.38,3650635
30-Sep-13,17.66,18.29,17.40,18.17,3324793
27-Sep-13,18.32,18.62,18.00,18.12,2792223
26-Sep-13,18.61,18.88,18.33,18.42,3707791
25-Sep-13,18.43,18.61,18.07,18.35,4920182
24-Sep-13,17.35,18.20,17.25,18.04,6438407
23-Sep-13,17.46,17.48,16.95,17.23,4741777
20-Sep-13,17.70,17.70,16.98,16.99,5743996
19-Sep-13,18.10,18.12,17.28,17.43,8354248
18-Sep-13,17.13,17.69,16.78,17.20,5614936
17-Sep-13,17.70,17.70,16.44,17.00,6394102
16-Sep-13,18.15,18.16,17.14,17.35,3566876
13-Sep-13,17.39,17.84,17.25,17.66,2683452
12-Sep-13,17.33,17.52,17.20,17.24,2504884
11-Sep-13,17.96,17.98,16.96,17.30,7013602
10-Sep-13,18.57,18.60,18.12,18.14,1747389
9-Sep-13,18.27,18.53,18.20,18.49,1366104
6-Sep-13,18.75,18.75,18.03,18.18,1779656
5-Sep-13,18.69,18.83,18.50,18.66,1154727
4-Sep-13,18.71,18.84,18.53,18.63,1656703
3-Sep-13,18.55,18.92,18.50,18.65,1152719
30-Aug-13,18.90,18.91,18.29,18.36,1325891
29-Aug-13,18.55,18.96,18.51,18.87,799571
