Date,Open,High,Low,Close,Volume
31-Dec-13,25.64,26.11,25.00,25.89,47103
30-Dec-13,26.10,26.14,25.76,25.84,16231
27-Dec-13,27.00,27.18,26.04,26.30,13519
26-Dec-13,27.28,27.33,26.68,27.02,15177
24-Dec-13,27.00,27.41,26.59,27.23,8920
23-Dec-13,26.57,27.42,26.08,27.41,10247
20-Dec-13,26.12,26.82,25.45,26.34,58124
19-Dec-13,25.98,26.22,25.89,26.06,10256
18-Dec-13,25.74,26.29,25.23,26.18,12584
17-Dec-13,26.22,26.22,25.47,25.78,5771
16-Dec-13,26.28,26.55,25.68,26.09,17087
13-Dec-13,26.28,26.34,25.40,26.22,15221
12-Dec-13,25.29,26.32,25.05,26.29,20541
11-Dec-13,26.34,26.63,25.18,25.26,18748
10-Dec-13,27.05,27.05,26.22,26.37,26916
9-Dec-13,28.27,28.27,26.95,27.06,24238
6-Dec-13,27.04,27.04,26.00,26.89,8480
5-Dec-13,26.39,26.98,26.39,26.83,3651
4-Dec-13,26.88,27.45,26.49,26.64,11714
3-Dec-13,27.67,27.71,27.01,27.06,11279
2-Dec-13,28.60,28.76,27.74,27.79,13238
29-Nov-13,28.89,29.00,28.69,28.73,7080
27-Nov-13,28.63,28.96,28.58,28.70,11216
26-Nov-13,27.77,28.99,27.42,28.52,55041
25-Nov-13,28.00,28.47,27.74,27.74,21177
22-Nov-13,26.74,27.99,26.58,27.95,33875
21-Nov-13,26.48,26.74,26.46,26.72,18589
20-Nov-13,26.34,26.55,26.26,26.32,13328
19-Nov-13,26.68,26.69,26.27,26.29,9128
18-Nov-13,26.47,26.89,26.23,26.28,10323
15-Nov-13,26.43,26.59,26.23,26.30,16745
14-Nov-13,26.18,26.72,26.18,26.47,17183
13-Nov-13,26.84,26.84,26.39,26.47,14657
12-Nov-13,26.82,26.98,26.36,26.52,5837
11-Nov-13,26.38,26.99,26.38,26.84,46105
8-Nov-13,25.91,27.02,25.91,26.36,17717
7-Nov-13,26.89,27.02,25.82,25.90,24270
6-Nov-13,26.32,26.79,26.10,26.57,11902
5-Nov-13,26.40,26.40,26.04,26.27,20537
4-Nov-13,26.02,26.31,25.84,26.13,35589
1-Nov-13,25.82,26.02,25.25,25.92,30464
31-Oct-13,25.71,26.09,25.62,25.87,20905
30-Oct-13,25.77,25.86,25.47,25.62,18947
29-Oct-13,25.71,26.05,25.57,25.82,13189
28-Oct-13,26.10,26.10,25.50,25.68,19567
25-Oct-13,26.00,26.00,25.79,26.00,15030
24-Oct-13,26.10,26.10,25.82,25.99,27012
23-Oct-13,26.09,26.51,25.73,25.93,26283
22-Oct-13,26.74,26.95,26.09,26.67,23659
21-Oct-13,26.89,27.26,26.63,27.11,29455
18-Oct-13,26.42,26.94,25.30,26.94,29079
17-Oct-13,25.62,26.19,25.62,26.11,13819
16-Oct-13,26.06,26.16,25.78,25.82,10791
15-Oct-13,26.04,26.62,25.74,25.95,13905
14-Oct-13,26.08,26.37,25.75,26.05,33637
11-Oct-13,25.65,26.39,25.57,26.01,25971
10-Oct-13,26.66,26.66,25.38,25.69,24654
9-Oct-13,25.00,25.00,24.72,24.77,11645
8-Oct-13,24.91,25.63,24.85,24.88,13373
7-Oct-13,24.46,25.09,24.46,24.86,22467
4-Oct-13,25.69,25.69,24.16,24.76,39636
3-Oct-13,26.26,26.26,25.66,25.78,14559
2-Oct-13,26.13,26.38,26.05,26.12,13043
1-Oct-13,26.15,26.60,25.88,26.45,18960
30-Sep-13,25.64,26.15,25.64,26.13,34325
27-Sep-13,25.73,26.13,25.73,26.03,10840
26-Sep-13,26.08,26.14,25.81,25.98,8540
25-Sep-13,26.00,26.12,25.66,25.89,14949
24-Sep-13,26.00,26.05,25.48,25.99,24650
23-Sep-13,25.90,25.90,25.11,25.74,15306
20-Sep-13,26.10,26.20,25.77,25.99,34766
19-Sep-13,25.96,26.15,25.60,26.06,29923
18-Sep-13,25.79,26.00,25.50,25.88,14045
17-Sep-13,26.00,26.06,25.66,25.78,17742
16-Sep-13,25.50,26.11,25.49,25.97,21902
13-Sep-13,25.47,25.47,25.10,25.31,14186
12-Sep-13,25.97,26.05,25.35,25.41,14934
11-Sep-13,25.85,26.18,25.75,25.97,12415
10-Sep-13,26.25,26.25,25.92,26.11,16290
9-Sep-13,25.67,26.24,25.67,26.10,13694
6-Sep-13,25.92,26.20,25.37,25.63,12907
5-Sep-13,26.25,26.82,25.69,25.86,10591
4-Sep-13,26.78,27.01,26.21,26.26,16166
3-Sep-13,26.70,26.90,26.39,26.56,34803
30-Aug-13,26.46,27.01,26.23,26.39,31508
29-Aug-13,25.94,26.50,25.94,26.46,8832
28-Aug-13,26.00,26.10,25.87,26.00,9442
27-Aug-13,25.89,26.30,25.80,25.92,14889
26-Aug-13,26.05,26.50,25.89,26.34,12527
23-Aug-13,26.34,26.71,25.57,25.89,12574
22-Aug-13,25.52,26.50,25.52,26.34,8706
