Date,Open,High,Low,Close,Volume
31-Dec-13,10.00,10.11,9.96,10.03,150634
30-Dec-13,9.99,10.12,9.89,9.95,183588
27-Dec-13,10.15,10.22,9.92,10.05,132212
26-Dec-13,10.44,10.44,10.11,10.16,189071
24-Dec-13,10.30,10.45,10.22,10.36,76669
23-Dec-13,10.21,10.50,10.21,10.32,191366
20-Dec-13,9.94,10.66,9.94,10.13,740205
19-Dec-13,10.08,10.15,9.95,10.09,99495
18-Dec-13,10.03,10.10,9.93,10.07,119349
17-Dec-13,10.00,10.11,9.98,10.02,107267
16-Dec-13,9.92,10.18,9.86,9.99,231532
13-Dec-13,9.90,10.05,9.86,9.92,270572
12-Dec-13,9.64,9.89,9.56,9.86,180924
11-Dec-13,9.55,9.71,9.51,9.63,197496
10-Dec-13,9.56,9.84,9.50,9.50,141205
9-Dec-13,9.88,9.97,9.70,9.75,177179
6-Dec-13,9.75,9.89,9.67,9.88,231134
5-Dec-13,9.81,10.00,9.55,9.64,261665
4-Dec-13,9.84,9.96,9.50,9.84,161156
3-Dec-13,10.00,10.03,9.74,9.84,155156
2-Dec-13,10.00,10.01,9.68,9.98,216890
29-Nov-13,9.90,10.03,9.84,9.96,77865
27-Nov-13,9.66,9.89,9.60,9.82,149505
26-Nov-13,9.38,9.74,9.34,9.68,246826
25-Nov-13,9.39,9.47,9.12,9.41,176151
22-Nov-13,9.46,9.50,9.36,9.40,183834
21-Nov-13,9.41,9.51,9.33,9.48,165354
20-Nov-13,9.41,9.51,9.16,9.40,82664
19-Nov-13,9.39,9.70,9.13,9.39,196963
18-Nov-13,10.02,10.07,9.41,9.45,191609
15-Nov-13,9.90,10.00,9.85,9.95,157662
14-Nov-13,10.00,10.30,9.87,9.88,199664
13-Nov-13,9.79,10.00,9.73,9.99,188946
12-Nov-13,9.78,9.88,9.63,9.82,147532
11-Nov-13,9.75,9.86,9.57,9.76,251554
8-Nov-13,9.43,9.68,9.37,9.66,175427
7-Nov-13,9.80,9.91,9.38,9.45,198508
6-Nov-13,9.78,9.99,9.71,9.80,247195
5-Nov-13,9.75,10.22,9.63,9.74,771830
4-Nov-13,9.45,9.85,9.35,9.73,627579
1-Nov-13,9.32,9.40,9.25,9.33,221484
31-Oct-13,9.08,9.50,8.88,9.31,556706
30-Oct-13,9.01,9.15,8.92,9.03,145090
29-Oct-13,8.83,9.12,8.82,9.03,122091
28-Oct-13,8.40,9.47,8.39,8.89,612907
25-Oct-13,8.29,8.37,8.10,8.35,92533
24-Oct-13,8.30,8.42,8.23,8.27,159792
23-Oct-13,8.40,8.51,8.30,8.38,218435
22-Oct-13,8.48,8.57,8.00,8.47,497731
21-Oct-13,7.10,7.17,7.02,7.11,71592
18-Oct-13,7.25,7.25,7.00,7.11,91035
17-Oct-13,7.05,7.21,7.04,7.19,60223
16-Oct-13,7.16,7.17,7.08,7.08,77457
15-Oct-13,7.10,7.18,7.07,7.13,37172
14-Oct-13,6.87,7.15,6.87,7.11,79337
11-Oct-13,6.93,7.04,6.92,7.04,48973
10-Oct-13,6.92,7.02,6.74,6.97,41114
9-Oct-13,6.71,6.90,6.67,6.81,54431
8-Oct-13,6.84,6.84,6.67,6.70,51081
7-Oct-13,6.86,6.92,6.79,6.79,19742
4-Oct-13,6.75,7.00,6.75,6.94,50781
3-Oct-13,6.69,6.80,6.53,6.77,39962
2-Oct-13,6.73,6.89,6.70,6.70,60092
1-Oct-13,6.89,6.91,6.79,6.80,21188
30-Sep-13,6.91,6.96,6.64,6.91,81861
27-Sep-13,6.78,7.03,6.78,6.99,40423
26-Sep-13,7.11,7.11,6.75,6.84,57965
25-Sep-13,6.96,7.03,6.92,6.98,36235
24-Sep-13,7.00,7.04,6.88,6.97,93027
23-Sep-13,6.84,7.00,6.82,6.99,42802
20-Sep-13,6.66,6.90,6.53,6.90,113097
19-Sep-13,6.67,6.71,6.57,6.66,15817
18-Sep-13,6.61,6.76,6.52,6.69,55478
17-Sep-13,6.52,6.82,6.52,6.62,54308
16-Sep-13,6.74,6.74,6.51,6.55,41831
13-Sep-13,6.61,6.66,6.50,6.65,48881
12-Sep-13,6.82,6.82,6.58,6.59,40166
11-Sep-13,6.82,6.85,6.78,6.81,29480
10-Sep-13,6.92,6.93,6.79,6.84,41032
9-Sep-13,6.69,6.90,6.69,6.87,39957
6-Sep-13,6.82,6.82,6.58,6.69,15338
5-Sep-13,6.78,6.86,6.66,6.77,24745
4-Sep-13,6.66,6.88,6.53,6.81,71624
3-Sep-13,6.69,6.80,6.58,6.66,57019
30-Aug-13,6.80,6.86,6.50,6.65,96668
29-Aug-13,6.79,6.89,6.78,6.82,21419
28-Aug-13,6.73,6.87,6.69,6.78,99341
27-Aug-13,6.96,6.98,6.63,6.72,128578
26-Aug-13,6.99,7.09,6.92,7.02,66802
23-Aug-13,7.00,7.03,6.91,7.00,85051
22-Aug-13,6.84,7.00,6.84,7.00,77517
21-Aug-13,6.78,6.90,6.71,6.83,71437
20-Aug-13,6.67,6.88,6.67,6.81,51367
19-Aug-13,6.77,6.90,6.68,6.68,87422
16-Aug-13,6.70,6.84,6.69,6.79,180865
15-Aug-13,6.66,6.78,6.62,6.66,81433
14-Aug-13,6.76,6.85,6.70,6.74,53897
13-Aug-13,6.77,6.89,6.70,6.74,89347
12-Aug-13,6.68,6.86,6.64,6.74,73912
9-Aug-13,6.75,6.77,6.61,6.71,57109
8-Aug-13,6.90,6.95,6.76,6.79,46925
7-Aug-13,6.83,6.94,6.73,6.90,75306
6-Aug-13,6.98,7.02,6.86,6.88,56637
5-Aug-13,6.93,7.04,6.93,6.97,100590
2-Aug-13,6.95,7.04,6.84,6.92,68467
1-Aug-13,6.98,7.00,6.85,6.96,104675
31-Jul-13,6.98,7.00,6.87,6.93,196232
30-Jul-13,7.02,7.05,6.85,6.94,249126
29-Jul-13,6.84,7.00,6.83,6.97,307810
26-Jul-13,6.83,6.93,6.77,6.87,112137
25-Jul-13,6.59,6.89,6.59,6.85,172378
24-Jul-13,6.68,6.81,6.53,6.63,158723
23-Jul-13,6.12,6.65,6.12,6.64,174986
22-Jul-13,6.24,6.26,6.07,6.12,84580
19-Jul-13,6.26,6.29,6.15,6.28,105451
18-Jul-13,6.34,6.34,6.24,6.28,194589
17-Jul-13,6.30,6.32,6.28,6.30,36598
16-Jul-13,6.25,6.27,6.21,6.26,81650
15-Jul-13,6.23,6.27,6.21,6.26,148315
12-Jul-13,6.25,6.26,6.19,6.21,202784
11-Jul-13,6.27,6.27,6.22,6.24,211582
10-Jul-13,6.29,6.34,6.18,6.22,66346
9-Jul-13,6.25,6.29,6.20,6.29,65596
8-Jul-13,6.21,6.33,6.20,6.24,121645
5-Jul-13,6.12,6.23,6.07,6.21,162395
3-Jul-13,6.10,6.13,6.05,6.09,32023
2-Jul-13,6.09,6.12,6.00,6.10,50462
1-Jul-13,6.07,6.14,6.04,6.10,68312
28-Jun-13,6.11,6.21,6.02,6.05,669687
