Date,Open,High,Low,Close,Volume
31-Dec-13,38.11,38.49,37.58,38.11,100429
30-Dec-13,38.36,38.64,38.06,38.15,76312
27-Dec-13,38.83,38.84,38.20,38.51,112379
26-Dec-13,38.63,39.00,38.14,38.67,46536
24-Dec-13,39.00,39.25,38.31,38.56,31105
23-Dec-13,38.20,39.00,37.76,38.86,98651
20-Dec-13,37.74,38.42,37.53,37.91,174760
19-Dec-13,38.06,38.06,37.50,37.55,53738
18-Dec-13,37.50,38.38,37.40,38.22,50338
17-Dec-13,36.72,37.53,36.35,37.33,85757
16-Dec-13,36.87,37.02,36.75,36.76,74884
13-Dec-13,36.20,37.02,35.61,36.68,57790
12-Dec-13,36.03,36.45,35.65,36.20,77796
11-Dec-13,36.06,36.93,35.01,35.96,172646
10-Dec-13,36.93,37.45,35.88,35.98,112283
9-Dec-13,37.54,38.24,36.93,37.11,84870
6-Dec-13,37.22,37.40,36.75,37.11,166092
5-Dec-13,36.65,37.46,36.26,37.09,64370
4-Dec-13,37.50,38.20,36.08,36.75,78396
3-Dec-13,36.49,38.09,36.06,37.64,109653
2-Dec-13,38.04,38.04,35.24,36.42,131848
29-Nov-13,38.73,38.73,37.87,38.01,32702
27-Nov-13,38.65,38.65,37.78,38.44,53878
26-Nov-13,36.39,38.86,36.22,38.51,112125
25-Nov-13,37.59,37.82,36.26,36.44,81967
22-Nov-13,37.46,37.92,37.14,37.39,94805
21-Nov-13,37.14,38.16,36.81,37.62,123139
20-Nov-13,36.36,37.03,36.36,36.80,76247
19-Nov-13,36.58,37.26,36.06,36.29,101382
18-Nov-13,37.07,37.26,36.31,36.50,99983
15-Nov-13,37.00,37.16,36.69,37.01,84829
14-Nov-13,37.08,37.55,36.50,36.85,74644
13-Nov-13,35.74,37.27,35.65,37.25,103907
12-Nov-13,36.60,37.50,35.76,36.20,168470
11-Nov-13,37.00,37.57,37.00,37.26,131882
8-Nov-13,38.00,38.36,36.50,37.15,222803
7-Nov-13,39.36,39.36,37.25,37.56,85669
6-Nov-13,39.93,40.57,39.04,39.13,116569
5-Nov-13,39.04,39.63,38.71,39.47,73275
4-Nov-13,39.20,39.53,38.41,39.12,115312
1-Nov-13,38.85,39.24,38.33,38.92,71262
31-Oct-13,39.20,39.29,38.13,38.91,146086
30-Oct-13,39.90,39.90,38.65,39.02,101503
29-Oct-13,39.46,40.00,39.46,39.79,102891
28-Oct-13,39.14,39.28,38.90,39.20,77335
25-Oct-13,39.37,39.40,38.89,39.23,61635
24-Oct-13,38.43,39.42,38.31,39.17,61011
23-Oct-13,38.39,38.56,38.27,38.49,143125
22-Oct-13,38.54,38.59,38.14,38.49,112519
21-Oct-13,38.81,38.81,38.21,38.50,187122
18-Oct-13,36.74,38.69,36.16,38.46,200250
17-Oct-13,35.91,36.73,33.02,36.65,130062
16-Oct-13,35.95,36.19,35.36,36.13,55478
15-Oct-13,35.38,35.74,35.25,35.54,85141
14-Oct-13,35.37,35.62,35.08,35.58,34560
11-Oct-13,34.37,35.68,34.35,35.54,44672
10-Oct-13,34.19,34.96,34.01,34.48,37681
9-Oct-13,33.98,34.51,33.16,33.62,85359
8-Oct-13,35.30,35.44,33.59,33.92,37927
7-Oct-13,35.53,35.74,34.96,35.16,75377
4-Oct-13,34.42,36.00,34.07,35.84,41472
3-Oct-13,36.07,36.11,33.88,34.50,147436
2-Oct-13,35.95,36.45,35.32,36.26,72730
1-Oct-13,36.12,36.50,35.99,36.48,73229
30-Sep-13,36.03,36.44,35.77,36.03,85578
27-Sep-13,36.00,36.71,35.91,36.41,58673
26-Sep-13,35.41,36.40,35.20,36.39,147134
25-Sep-13,33.24,35.11,32.63,35.07,85691
24-Sep-13,32.69,33.48,32.55,33.24,86628
23-Sep-13,33.00,33.00,32.07,32.55,63742
20-Sep-13,32.72,33.00,32.53,32.99,102231
19-Sep-13,32.21,32.63,32.21,32.61,49772
18-Sep-13,32.04,32.50,31.42,32.21,77691
17-Sep-13,31.13,32.40,31.01,32.13,50421
16-Sep-13,32.50,32.50,31.01,31.22,56004
13-Sep-13,32.10,32.50,31.90,32.43,20357
12-Sep-13,32.24,32.41,31.91,31.97,20323
11-Sep-13,31.98,32.50,31.68,32.42,59978
10-Sep-13,31.76,32.07,31.57,31.98,70053
9-Sep-13,31.48,31.73,30.88,31.59,89129
6-Sep-13,31.25,31.50,30.28,31.24,32785
5-Sep-13,31.21,31.50,30.95,31.15,37992
4-Sep-13,30.64,31.26,30.09,31.07,57774
3-Sep-13,30.78,30.98,30.27,30.50,74895
30-Aug-13,31.63,31.64,30.01,30.16,99849
29-Aug-13,31.14,31.99,31.14,31.75,38672
28-Aug-13,31.00,31.65,31.00,31.13,37390
27-Aug-13,31.29,31.73,31.00,31.01,50872
26-Aug-13,31.90,32.13,31.42,31.67,70004
23-Aug-13,31.87,32.00,31.49,31.78,30619
22-Aug-13,31.65,31.99,31.65,31.86,20979
21-Aug-13,31.92,32.20,31.32,31.44,23562
20-Aug-13,31.99,32.44,31.76,31.96,43202
19-Aug-13,32.04,32.32,31.55,31.84,61810
16-Aug-13,31.48,32.10,31.48,31.96,98924
15-Aug-13,31.63,32.06,31.43,31.68,59301
14-Aug-13,32.00,32.10,31.60,32.10,114709
13-Aug-13,33.39,33.94,31.72,31.90,175613
12-Aug-13,32.39,35.74,32.39,34.16,248097
9-Aug-13,30.00,32.99,29.80,32.52,178410
8-Aug-13,29.95,30.36,29.27,29.99,84560
7-Aug-13,30.07,30.16,29.55,29.56,36227
6-Aug-13,30.03,30.33,29.13,30.09,96764
5-Aug-13,30.80,30.80,29.83,30.04,95953
2-Aug-13,30.98,31.45,30.74,30.76,23157
1-Aug-13,31.05,31.49,30.74,31.25,49723
31-Jul-13,29.99,31.35,29.91,30.83,86306
30-Jul-13,30.16,30.42,29.75,29.99,39760
29-Jul-13,31.42,31.42,29.85,30.04,56731
26-Jul-13,31.06,31.53,30.84,31.42,47940
25-Jul-13,30.89,31.51,30.50,31.46,89980
24-Jul-13,30.70,31.50,30.48,31.33,82949
23-Jul-13,30.32,30.70,30.04,30.47,53447
22-Jul-13,30.14,30.56,29.91,30.08,97654
19-Jul-13,30.23,30.45,29.78,30.23,106069
18-Jul-13,30.32,30.50,29.91,30.23,123229
17-Jul-13,30.42,30.42,29.79,30.10,119728
16-Jul-13,30.64,30.74,30.10,30.13,60351
15-Jul-13,30.75,30.84,30.03,30.59,70942
12-Jul-13,31.00,31.00,30.58,30.64,37090
11-Jul-13,31.51,32.40,30.74,31.07,57013
10-Jul-13,30.98,31.28,30.74,31.09,46506
9-Jul-13,30.60,30.95,30.40,30.94,55492
8-Jul-13,30.51,30.95,30.17,30.40,86039
5-Jul-13,30.00,30.27,29.70,30.27,59020
3-Jul-13,28.85,29.80,28.10,29.79,47383
2-Jul-13,28.94,29.18,28.36,28.91,61729
1-Jul-13,28.21,29.20,28.21,28.88,59967
28-Jun-13,28.40,28.76,28.06,28.13,117599
27-Jun-13,28.27,28.82,28.10,28.56,52190
26-Jun-13,28.34,28.49,27.98,28.14,114930
25-Jun-13,27.40,28.26,27.40,28.01,81858
24-Jun-13,26.49,27.33,25.83,27.05,70476
21-Jun-13,26.64,26.80,26.10,26.68,90627
20-Jun-13,27.11,27.33,26.38,26.52,54157
