Date,Open,High,Low,Close,Volume
31-Dec-13,52.01,52.68,51.83,52.14,59228
30-Dec-13,51.89,52.63,51.88,52.03,49226
27-Dec-13,52.98,52.98,51.58,52.03,41683
26-Dec-13,53.16,53.78,52.26,52.75,99100
24-Dec-13,52.29,53.63,52.29,53.00,35968
23-Dec-13,51.90,52.75,51.75,52.37,65566
20-Dec-13,50.00,51.60,49.99,51.46,255053
19-Dec-13,49.87,50.59,49.82,49.93,75407
18-Dec-13,48.88,51.09,48.67,50.16,122006
17-Dec-13,49.05,49.05,48.31,48.66,120689
16-Dec-13,49.38,49.50,48.52,48.93,117764
13-Dec-13,48.96,50.52,48.96,49.51,97792
12-Dec-13,49.09,49.92,48.71,49.32,142903
11-Dec-13,49.26,49.73,48.48,49.06,130064
10-Dec-13,50.15,51.30,49.14,49.29,156509
9-Dec-13,49.89,50.23,49.06,50.15,113093
6-Dec-13,49.74,50.38,49.57,50.00,81498
5-Dec-13,49.90,50.65,48.58,49.50,65626
4-Dec-13,49.94,51.33,49.16,50.05,118359
3-Dec-13,50.80,51.09,49.78,50.25,81455
2-Dec-13,51.71,53.23,50.58,51.03,118415
29-Nov-13,53.26,53.26,51.86,51.97,57765
27-Nov-13,52.39,53.38,52.22,52.89,95346
26-Nov-13,51.52,52.46,50.85,52.20,82681
25-Nov-13,51.50,51.78,50.90,51.61,60739
22-Nov-13,51.80,52.14,51.36,51.56,52220
21-Nov-13,51.37,51.97,50.91,51.74,81929
20-Nov-13,51.74,52.02,50.66,51.21,79036
19-Nov-13,51.52,51.85,51.02,51.39,78204
18-Nov-13,52.65,52.65,51.04,51.41,95634
15-Nov-13,52.12,52.75,51.55,52.29,83296
14-Nov-13,52.14,52.75,51.97,52.12,109180
13-Nov-13,52.32,52.70,52.07,52.25,89205
12-Nov-13,52.36,53.17,52.20,52.61,138553
11-Nov-13,53.65,53.82,52.28,52.38,119687
8-Nov-13,52.20,54.23,52.07,53.74,203000
7-Nov-13,53.88,54.35,52.25,52.39,170623
6-Nov-13,53.60,54.40,53.13,53.75,188744
5-Nov-13,53.71,53.71,52.91,53.28,109269
4-Nov-13,53.57,53.91,53.00,53.82,127316
1-Nov-13,52.81,53.91,52.12,53.50,167148
31-Oct-13,53.30,53.88,52.26,52.92,167359
30-Oct-13,53.28,54.00,53.05,53.44,144031
29-Oct-13,52.39,53.60,52.39,53.41,100445
28-Oct-13,51.35,52.68,51.35,52.34,91942
25-Oct-13,50.93,51.65,50.12,51.48,135048
24-Oct-13,49.70,51.09,49.48,51.08,290558
23-Oct-13,48.76,50.12,48.49,49.70,156839
22-Oct-13,47.71,49.00,47.02,48.90,190793
21-Oct-13,47.50,48.00,46.63,47.36,251470
18-Oct-13,47.00,47.91,45.79,47.50,308064
17-Oct-13,43.44,48.76,43.44,46.66,664092
16-Oct-13,42.42,42.67,41.87,42.51,100438
15-Oct-13,42.13,42.64,41.36,42.00,93104
14-Oct-13,42.08,42.49,41.67,42.38,37647
11-Oct-13,41.26,42.31,40.34,42.27,90927
10-Oct-13,40.08,42.04,40.08,41.68,53439
9-Oct-13,39.42,40.35,38.60,39.52,99918
8-Oct-13,40.10,40.10,39.01,39.12,122728
7-Oct-13,41.20,41.68,39.98,40.09,81153
4-Oct-13,40.93,42.16,40.17,41.70,50046
3-Oct-13,42.03,42.52,40.96,41.03,41969
2-Oct-13,42.36,42.92,41.89,42.13,38304
1-Oct-13,42.17,42.75,42.15,42.56,81333
30-Sep-13,41.24,42.58,41.01,41.99,76058
27-Sep-13,42.22,42.90,41.78,41.81,47245
26-Sep-13,42.23,42.64,41.38,42.62,62232
25-Sep-13,41.83,42.98,41.48,42.04,122439
24-Sep-13,41.30,42.70,41.21,41.83,106079
23-Sep-13,41.39,41.88,40.76,41.30,90727
20-Sep-13,41.01,42.20,40.95,41.38,191106
19-Sep-13,42.50,42.52,40.69,41.02,44996
18-Sep-13,39.80,42.95,39.10,42.51,124539
17-Sep-13,39.70,40.80,39.17,40.14,77032
16-Sep-13,41.02,41.40,39.35,39.74,79486
13-Sep-13,40.09,40.58,39.35,40.40,23996
12-Sep-13,41.06,41.41,39.72,39.88,55571
11-Sep-13,40.76,41.20,40.50,41.11,65148
10-Sep-13,41.10,41.21,40.42,40.76,72773
9-Sep-13,39.86,41.19,39.54,41.01,118070
6-Sep-13,38.80,40.27,37.80,39.55,119444
5-Sep-13,38.09,38.37,37.13,38.11,83198
4-Sep-13,36.66,37.35,36.65,37.01,55003
3-Sep-13,37.89,38.57,36.01,36.52,104532
30-Aug-13,38.55,38.89,37.06,37.44,73546
29-Aug-13,37.35,39.33,37.32,38.70,77155
28-Aug-13,37.40,38.00,37.11,37.53,66005
27-Aug-13,38.10,38.57,37.28,37.51,64028
26-Aug-13,38.74,39.44,38.39,38.67,23774
23-Aug-13,39.16,39.98,38.02,38.73,42861
22-Aug-13,39.21,39.50,38.39,39.14,29761
21-Aug-13,39.17,39.93,38.39,38.97,47414
20-Aug-13,38.21,40.11,37.80,39.42,75582
19-Aug-13,38.67,38.85,38.02,38.27,78782
16-Aug-13,38.51,39.63,38.40,38.65,54810
15-Aug-13,38.48,39.16,37.06,38.68,175934
14-Aug-13,39.99,40.39,38.75,39.00,109758
13-Aug-13,40.52,40.75,39.59,40.11,96673
12-Aug-13,39.99,40.71,39.77,40.60,108411
9-Aug-13,40.67,40.95,39.83,40.33,58377
8-Aug-13,41.07,41.16,40.38,40.68,67195
7-Aug-13,40.72,40.99,40.21,40.77,44410
6-Aug-13,41.06,41.16,40.40,40.77,65303
5-Aug-13,41.26,41.47,40.71,41.23,65068
2-Aug-13,40.91,41.67,40.62,41.46,109323
1-Aug-13,41.64,41.97,40.88,41.22,174486
31-Jul-13,40.90,42.00,40.72,41.25,117618
30-Jul-13,40.84,41.28,40.67,40.83,76414
29-Jul-13,40.88,41.24,40.39,40.59,151489
26-Jul-13,40.46,41.43,40.06,40.87,117889
25-Jul-13,40.35,40.97,39.74,40.90,210332
24-Jul-13,40.84,40.84,40.20,40.57,125503
23-Jul-13,40.81,40.96,39.97,40.52,148854
22-Jul-13,40.66,40.66,39.57,40.63,171220
19-Jul-13,39.84,40.77,39.58,40.71,154358
18-Jul-13,38.69,42.57,38.38,40.13,389065
17-Jul-13,38.76,38.76,37.79,38.31,126324
16-Jul-13,38.53,39.24,38.21,38.40,164932
15-Jul-13,38.60,38.87,38.11,38.60,128169
12-Jul-13,38.84,38.94,38.32,38.55,185275
11-Jul-13,39.12,39.20,38.11,38.85,129495
10-Jul-13,38.61,38.92,38.11,38.48,155378
9-Jul-13,39.84,39.84,38.38,38.73,160986
8-Jul-13,40.16,40.32,39.67,39.70,183308
5-Jul-13,40.98,40.98,39.35,40.13,61069
3-Jul-13,40.00,40.42,39.64,40.27,24277
2-Jul-13,40.25,40.81,39.84,40.05,52254
1-Jul-13,40.47,40.98,39.78,40.41,145999
28-Jun-13,40.48,40.50,39.60,39.92,144016
27-Jun-13,40.51,40.83,39.66,40.50,107561
26-Jun-13,41.31,41.31,39.32,40.10,126735
25-Jun-13,42.37,42.89,40.50,41.05,115393
24-Jun-13,43.37,43.47,41.33,41.76,195964
21-Jun-13,42.86,45.60,40.96,43.84,1523380
20-Jun-13,42.44,43.46,41.50,42.78,237474
19-Jun-13,44.95,44.95,42.76,43.16,173260
18-Jun-13,43.20,45.22,42.86,45.04,141872
17-Jun-13,40.01,43.67,39.61,43.23,326294
14-Jun-13,39.81,39.86,39.12,39.39,87807
13-Jun-13,39.63,40.25,39.50,40.00,61900
12-Jun-13,39.61,40.05,39.44,39.49,50455
11-Jun-13,39.25,39.89,38.98,39.18,41939
10-Jun-13,39.76,40.06,39.39,39.87,27699
7-Jun-13,39.92,40.06,38.51,39.67,97561
6-Jun-13,39.59,39.59,38.82,39.50,65815
5-Jun-13,39.79,40.39,39.51,39.70,88600
