Date,Open,High,Low,Close,Volume
31-Dec-13,25.59,25.98,24.98,25.22,79366
30-Dec-13,25.44,25.99,25.44,25.94,6336
27-Dec-13,25.93,25.95,25.71,25.71,6047
26-Dec-13,26.00,26.03,25.90,25.91,9714
24-Dec-13,25.79,26.00,25.66,25.95,17382
23-Dec-13,25.49,25.69,25.49,25.61,19723
20-Dec-13,24.85,25.67,24.85,25.49,38708
19-Dec-13,24.50,25.35,24.30,24.85,16512
18-Dec-13,24.66,24.99,24.21,24.64,31276
17-Dec-13,24.52,25.50,23.96,24.51,25097
16-Dec-13,24.55,24.61,23.00,24.38,25567
13-Dec-13,24.96,25.31,24.28,24.58,29466
12-Dec-13,24.99,25.54,24.52,25.06,14749
11-Dec-13,24.70,25.00,24.56,24.86,15971
10-Dec-13,25.54,25.70,24.56,24.82,16807
9-Dec-13,25.46,25.78,25.38,25.38,6417
6-Dec-13,25.00,25.51,24.80,25.35,12689
5-Dec-13,25.45,25.45,24.93,24.93,16071
4-Dec-13,25.37,25.60,25.09,25.45,12475
3-Dec-13,25.40,25.54,25.01,25.36,12622
2-Dec-13,25.60,25.62,25.34,25.35,9060
29-Nov-13,25.54,25.60,25.54,25.60,5886
27-Nov-13,25.00,25.56,25.00,25.34,11657
26-Nov-13,24.89,25.17,24.86,25.07,32805
25-Nov-13,24.90,25.57,24.90,24.95,20624
22-Nov-13,25.01,25.09,24.84,24.90,18479
21-Nov-13,24.47,24.90,24.47,24.89,10075
20-Nov-13,24.98,25.38,24.40,24.65,22401
19-Nov-13,24.85,25.14,24.81,24.81,10769
18-Nov-13,24.95,25.49,24.42,24.76,17348
15-Nov-13,24.69,25.36,24.63,25.23,27882
14-Nov-13,25.25,25.45,24.40,24.75,13113
13-Nov-13,25.03,25.46,25.00,25.24,19720
12-Nov-13,25.32,25.34,25.06,25.25,34495
11-Nov-13,25.81,25.81,23.46,25.32,31859
8-Nov-13,25.36,25.79,24.88,25.78,20002
7-Nov-13,26.00,26.00,25.10,25.45,29392
6-Nov-13,25.49,26.18,25.23,26.05,78319
5-Nov-13,22.62,26.02,22.62,25.15,38314
4-Nov-13,22.91,23.30,22.62,22.85,29082
1-Nov-13,22.99,23.21,22.78,22.83,28381
31-Oct-13,22.94,23.30,22.91,23.05,13807
30-Oct-13,22.95,22.95,22.78,22.85,11070
29-Oct-13,22.82,23.10,22.82,23.02,8425
28-Oct-13,23.07,23.12,22.91,23.03,10656
25-Oct-13,23.14,23.25,23.00,23.07,10887
24-Oct-13,22.85,23.10,22.80,23.03,17344
23-Oct-13,23.07,23.16,22.73,22.88,22927
22-Oct-13,22.95,23.14,22.94,23.05,13970
21-Oct-13,22.93,23.19,22.79,22.98,18721
18-Oct-13,22.87,23.43,22.74,22.99,33433
17-Oct-13,22.02,22.80,22.02,22.66,35584
16-Oct-13,22.44,22.68,22.29,22.49,12188
15-Oct-13,22.17,22.54,22.10,22.37,22141
14-Oct-13,22.08,22.36,22.07,22.26,9962
11-Oct-13,22.06,22.47,21.97,22.26,18563
10-Oct-13,22.13,22.13,21.90,22.05,16642
9-Oct-13,22.00,22.08,21.86,21.90,14782
8-Oct-13,22.13,22.13,21.92,21.99,17813
7-Oct-13,22.06,22.21,22.05,22.09,12341
4-Oct-13,22.14,22.22,21.86,22.22,16386
3-Oct-13,22.97,22.97,22.09,22.19,51344
2-Oct-13,23.15,23.30,22.95,23.05,24818
1-Oct-13,22.75,23.24,22.51,23.21,31159
30-Sep-13,22.35,22.97,22.35,22.77,38474
27-Sep-13,22.20,22.43,21.89,22.40,4022
26-Sep-13,22.14,22.50,22.08,22.42,6572
25-Sep-13,22.25,22.37,22.01,22.18,5582
24-Sep-13,22.10,22.34,21.95,22.18,7105
23-Sep-13,22.00,22.24,21.87,22.12,38200
20-Sep-13,22.08,22.25,21.87,21.94,13617
19-Sep-13,22.17,22.46,21.94,22.13,12513
18-Sep-13,21.93,22.14,21.85,22.12,9276
17-Sep-13,21.86,21.95,21.86,21.92,8860
16-Sep-13,22.00,22.00,21.78,21.91,14852
13-Sep-13,21.73,21.94,21.70,21.86,11662
12-Sep-13,21.67,21.79,21.67,21.70,8303
11-Sep-13,21.72,21.89,21.62,21.67,30163
10-Sep-13,21.71,21.84,21.50,21.71,11438
9-Sep-13,21.72,21.72,20.85,21.60,37074
6-Sep-13,21.12,21.45,20.86,21.00,8075
5-Sep-13,20.94,21.09,20.67,20.99,14149
4-Sep-13,20.25,21.25,20.21,20.95,37877
3-Sep-13,20.72,21.01,20.48,20.62,28471
30-Aug-13,21.17,21.25,20.58,20.63,8242
29-Aug-13,21.04,21.23,21.00,21.23,7743
28-Aug-13,20.84,21.19,20.80,21.01,7546
27-Aug-13,21.19,21.39,20.82,20.90,17889
26-Aug-13,21.17,21.43,21.17,21.25,13115
23-Aug-13,21.00,21.25,20.88,21.17,14470
22-Aug-13,20.67,21.16,20.67,20.89,14450
21-Aug-13,20.39,20.67,20.10,20.50,24499
20-Aug-13,20.76,20.76,19.86,20.54,10376
19-Aug-13,20.69,20.89,20.43,20.58,24445
16-Aug-13,19.95,20.51,19.95,20.42,30768
15-Aug-13,20.19,20.28,20.00,20.09,13382
14-Aug-13,20.78,20.78,20.06,20.40,22582
13-Aug-13,21.08,21.08,20.62,20.75,3127
12-Aug-13,21.05,21.20,21.04,21.12,11341
9-Aug-13,21.62,21.67,20.95,20.95,89281
8-Aug-13,21.16,22.25,21.08,21.62,160957
7-Aug-13,21.15,21.15,20.94,21.15,18692
6-Aug-13,21.16,21.19,21.00,21.10,13215
5-Aug-13,21.58,21.75,20.89,21.21,63224
2-Aug-13,21.51,21.58,21.02,21.56,16018
1-Aug-13,21.42,21.80,21.34,21.60,22087
31-Jul-13,21.27,21.31,21.01,21.27,3025
30-Jul-13,21.27,21.28,20.92,21.18,13631
29-Jul-13,21.31,21.51,21.15,21.47,8478
26-Jul-13,21.39,21.55,21.16,21.38,10893
25-Jul-13,21.29,21.60,20.98,21.59,14979
24-Jul-13,21.25,21.40,21.24,21.40,11970
23-Jul-13,21.00,21.34,21.00,21.17,18058
22-Jul-13,20.93,21.45,20.93,21.24,35517
19-Jul-13,21.07,21.15,20.71,21.02,32258
18-Jul-13,21.15,21.33,20.84,21.15,22940
17-Jul-13,20.99,21.57,20.75,21.22,46515
16-Jul-13,20.80,21.00,20.42,20.85,35252
15-Jul-13,20.47,20.95,20.45,20.87,10127
12-Jul-13,20.50,20.97,20.20,20.43,35545
11-Jul-13,20.44,20.60,20.38,20.55,18804
10-Jul-13,20.33,20.50,20.24,20.39,16057
9-Jul-13,20.56,20.57,20.28,20.47,16961
8-Jul-13,20.34,20.60,20.28,20.53,19262
5-Jul-13,20.20,20.35,20.10,20.27,9034
3-Jul-13,19.92,20.25,19.40,19.91,27228
2-Jul-13,19.38,20.09,19.38,19.90,37657
1-Jul-13,19.56,20.03,19.54,19.93,32866
28-Jun-13,19.61,19.96,19.00,19.58,95279
27-Jun-13,19.89,19.89,19.30,19.54,23400
26-Jun-13,19.06,19.60,19.06,19.43,37160
25-Jun-13,19.12,19.58,18.67,19.54,42539
24-Jun-13,19.17,19.35,19.00,19.01,15429
21-Jun-13,19.57,19.57,19.10,19.45,50083
20-Jun-13,19.33,19.68,19.21,19.44,38983
19-Jun-13,19.84,19.93,19.44,19.61,24282
18-Jun-13,19.83,19.97,19.64,19.78,17419
17-Jun-13,19.42,19.92,19.42,19.89,8422
14-Jun-13,19.23,19.34,19.03,19.21,11634
13-Jun-13,18.97,19.35,18.97,19.35,13968
12-Jun-13,19.19,19.33,19.05,19.08,10437
11-Jun-13,19.04,19.32,19.03,19.13,14045
10-Jun-13,19.29,19.42,19.10,19.32,6022
7-Jun-13,19.33,19.49,19.02,19.39,7601
6-Jun-13,19.23,19.43,18.85,19.28,23185
5-Jun-13,19.29,19.30,19.09,19.15,2304
4-Jun-13,19.49,19.49,19.17,19.22,15966
3-Jun-13,19.29,19.57,19.09,19.51,33333
31-May-13,19.27,19.72,19.17,19.19,14531
30-May-13,19.32,19.56,19.30,19.36,12044
29-May-13,19.72,19.72,19.07,19.14,4632
28-May-13,19.31,20.00,19.31,19.82,70705
24-May-13,19.23,19.65,18.80,19.35,5552
23-May-13,19.40,19.60,18.78,19.23,6000
22-May-13,19.92,19.92,19.50,19.52,26906
21-May-13,19.64,20.25,19.64,19.91,8044
20-May-13,19.75,19.98,19.32,19.98,12328
17-May-13,19.52,19.75,19.28,19.67,8391
16-May-13,19.70,19.88,19.43,19.53,29501
15-May-13,19.16,19.98,18.93,19.88,12036
14-May-13,19.00,19.43,18.90,19.41,72975
13-May-13,19.50,19.57,18.90,19.04,24733
10-May-13,19.16,19.72,18.91,19.60,10710
9-May-13,19.32,19.39,19.20,19.20,8689
8-May-13,19.06,19.47,19.06,19.38,10547
7-May-13,18.99,19.20,18.92,19.00,11937
6-May-13,19.00,19.48,18.78,18.93,28449
3-May-13,19.60,19.60,18.10,18.91,34532
