Date,Open,High,Low,Close,Volume
31-Dec-13,94.26,97.15,93.59,96.52,1382737
30-Dec-13,93.75,94.38,93.07,94.37,622803
27-Dec-13,94.69,95.40,93.48,93.53,411989
26-Dec-13,95.05,95.55,94.35,94.81,544067
24-Dec-13,93.42,94.99,93.06,94.42,515891
23-Dec-13,95.17,95.92,93.01,93.36,1092623
20-Dec-13,93.71,95.19,93.24,95.19,1917088
19-Dec-13,93.02,94.63,92.73,93.44,743225
18-Dec-13,91.50,94.39,91.49,93.64,1849139
17-Dec-13,91.04,91.94,88.61,91.63,1821603
16-Dec-13,92.45,93.00,90.60,91.18,1095247
13-Dec-13,91.48,93.32,91.26,91.96,877828
12-Dec-13,93.37,93.37,91.10,91.24,914556
11-Dec-13,94.36,95.36,92.74,93.21,3018610
10-Dec-13,89.46,96.31,89.42,94.39,4166735
9-Dec-13,93.12,93.80,89.65,90.21,6153923
6-Dec-13,92.27,97.75,91.70,93.76,13931315
5-Dec-13,124.85,125.90,117.80,118.00,2509085
4-Dec-13,123.73,124.99,122.55,123.48,1079765
3-Dec-13,126.39,126.89,124.44,125.01,598112
2-Dec-13,126.74,128.12,126.34,126.93,396547
29-Nov-13,128.66,128.75,126.43,126.94,340037
27-Nov-13,129.00,129.49,127.86,128.47,433290
26-Nov-13,128.89,130.73,128.84,128.89,454615
25-Nov-13,128.16,130.00,127.95,129.15,311838
22-Nov-13,127.37,128.54,127.01,128.00,326618
21-Nov-13,125.80,129.16,125.80,127.11,462874
20-Nov-13,128.10,128.34,125.74,125.80,444740
19-Nov-13,129.96,131.41,127.37,127.49,371352
18-Nov-13,132.02,132.72,129.58,129.98,357506
15-Nov-13,130.16,132.35,130.16,131.24,391545
14-Nov-13,130.31,130.67,129.05,130.44,305722
13-Nov-13,128.54,130.53,128.02,130.41,437948
12-Nov-13,128.62,129.67,127.22,129.53,591110
11-Nov-13,128.46,129.91,127.07,128.27,377370
8-Nov-13,127.06,129.20,126.61,127.89,507582
7-Nov-13,131.46,131.96,126.30,126.84,593554
6-Nov-13,131.84,131.94,129.63,131.41,282295
5-Nov-13,130.40,131.99,128.85,131.50,232128
4-Nov-13,129.31,131.33,128.43,130.70,354371
1-Nov-13,128.80,130.33,127.68,128.63,271756
31-Oct-13,128.30,129.97,127.50,128.85,439917
30-Oct-13,128.19,129.42,127.67,128.56,414632
29-Oct-13,127.59,128.39,126.81,128.29,230180
28-Oct-13,127.55,129.14,126.48,127.29,561521
25-Oct-13,128.85,128.90,126.70,127.52,470128
24-Oct-13,125.61,128.28,125.04,128.28,378159
23-Oct-13,125.33,126.19,124.42,125.77,255759
22-Oct-13,127.05,127.90,124.78,126.11,292047
21-Oct-13,127.31,127.46,123.07,125.99,981206
18-Oct-13,124.69,126.95,124.00,126.21,682888
17-Oct-13,121.08,124.11,120.07,123.69,652379
16-Oct-13,118.50,122.43,117.92,121.58,685579
15-Oct-13,118.55,119.06,116.58,117.85,1168346
14-Oct-13,117.56,118.74,116.35,118.22,663563
11-Oct-13,120.00,120.00,118.23,118.64,597242
10-Oct-13,120.27,120.93,118.80,119.81,541651
9-Oct-13,118.77,120.02,116.41,118.63,823287
8-Oct-13,123.17,123.57,119.93,119.99,944883
7-Oct-13,122.79,125.15,122.32,123.49,695747
4-Oct-13,124.16,125.00,122.84,123.92,1119678
3-Oct-13,121.86,126.02,121.81,124.04,1144791
2-Oct-13,121.31,121.86,120.60,121.42,398827
1-Oct-13,119.65,121.99,119.09,121.74,854742
30-Sep-13,118.07,119.75,117.29,119.46,620635
27-Sep-13,117.11,119.17,116.08,119.11,488072
26-Sep-13,117.75,118.88,116.83,117.32,356624
