Date,Open,High,Low,Close,Volume
31-Dec-13,152.64,153.36,151.08,153.22,108854
30-Dec-13,152.93,153.01,151.95,152.11,57839
27-Dec-13,153.43,154.04,152.17,153.09,94760
26-Dec-13,151.69,153.18,151.69,152.77,89693
24-Dec-13,151.33,152.01,149.58,151.04,89167
23-Dec-13,151.96,152.70,150.94,151.59,143539
20-Dec-13,148.15,153.19,145.18,151.42,350735
19-Dec-13,148.35,149.16,146.41,147.13,183158
18-Dec-13,147.50,148.63,146.84,148.31,251457
17-Dec-13,148.91,148.91,146.84,147.48,171077
16-Dec-13,147.74,149.43,147.03,148.00,177902
13-Dec-13,145.50,149.06,144.30,147.67,152539
12-Dec-13,146.48,146.48,144.04,145.31,130529
11-Dec-13,151.00,151.45,146.05,146.52,150447
10-Dec-13,153.03,154.29,150.50,151.03,113076
9-Dec-13,155.71,156.94,152.70,153.70,104221
6-Dec-13,154.84,156.26,154.50,155.17,103989
5-Dec-13,153.21,154.49,152.91,153.30,49888
4-Dec-13,153.43,153.95,150.38,153.64,76721
3-Dec-13,152.61,154.50,152.27,154.21,122934
2-Dec-13,156.57,157.40,152.22,152.97,83283
29-Nov-13,157.82,157.82,156.20,156.69,67967
27-Nov-13,157.17,157.49,155.95,156.93,44673
26-Nov-13,154.97,157.24,152.68,156.77,99042
25-Nov-13,155.57,156.14,153.91,154.48,50123
22-Nov-13,154.29,155.79,153.55,155.37,63114
21-Nov-13,155.21,155.88,153.56,153.87,155051
20-Nov-13,155.43,155.92,153.76,154.25,97450
19-Nov-13,156.15,157.23,153.84,154.98,99845
18-Nov-13,157.50,158.00,155.87,156.17,154181
15-Nov-13,156.72,157.85,155.56,157.50,130738
14-Nov-13,158.65,158.65,155.91,156.90,90951
13-Nov-13,157.28,159.04,156.63,158.80,65542
12-Nov-13,156.18,159.33,155.78,158.54,119716
11-Nov-13,154.76,157.09,154.12,156.86,143141
8-Nov-13,153.36,155.50,152.82,155.44,188288
7-Nov-13,155.68,156.64,152.34,153.45,205070
6-Nov-13,154.55,155.59,153.91,155.32,112013
5-Nov-13,151.29,154.19,150.63,153.98,134744
4-Nov-13,152.20,153.70,151.38,152.19,120535
1-Nov-13,154.43,155.03,150.92,152.04,226282
31-Oct-13,157.21,158.65,154.35,154.48,188039
30-Oct-13,160.00,162.88,155.22,157.43,332484
29-Oct-13,153.20,156.61,151.14,153.18,482508
28-Oct-13,152.68,153.89,151.75,153.03,249856
25-Oct-13,153.57,153.61,151.32,152.87,130995
24-Oct-13,150.14,153.20,149.67,152.80,119091
23-Oct-13,149.40,150.56,147.66,149.17,118131
22-Oct-13,150.10,152.55,148.97,150.52,130041
