Date,Open,High,Low,Close,Volume
31-Dec-13,64.36,64.84,64.05,64.28,96761
30-Dec-13,64.97,64.97,64.21,64.28,69449
27-Dec-13,64.87,65.23,64.30,64.80,103178
26-Dec-13,64.86,65.34,64.37,64.64,99196
24-Dec-13,65.03,65.44,64.55,64.62,75644
23-Dec-13,64.10,65.13,63.55,65.12,202656
20-Dec-13,63.55,64.17,63.11,64.03,409911
19-Dec-13,64.12,64.32,62.88,63.25,206505
18-Dec-13,63.35,64.44,62.78,64.37,123171
17-Dec-13,63.45,63.67,63.01,63.16,323366
16-Dec-13,62.14,63.49,61.59,63.42,246097
13-Dec-13,61.71,62.24,60.90,61.99,188265
12-Dec-13,60.43,62.00,60.17,61.65,204570
11-Dec-13,61.29,61.38,60.35,60.51,191916
10-Dec-13,62.55,62.55,61.20,61.40,122695
9-Dec-13,62.85,63.03,62.38,62.82,121060
6-Dec-13,62.27,62.99,61.62,62.99,202605
5-Dec-13,61.60,61.91,61.17,61.72,225569
4-Dec-13,61.79,62.52,61.06,61.79,158871
3-Dec-13,62.74,63.21,61.19,61.98,153423
2-Dec-13,64.04,64.23,62.87,62.91,152727
29-Nov-13,64.86,64.86,63.93,64.12,69712
27-Nov-13,64.26,64.67,63.82,64.48,107840
26-Nov-13,63.95,64.04,63.66,64.03,139293
25-Nov-13,63.54,64.00,63.35,63.75,120923
22-Nov-13,63.01,64.00,62.45,63.73,109220
21-Nov-13,61.82,63.34,61.59,63.18,148752
20-Nov-13,62.17,62.21,61.34,61.57,166987
19-Nov-13,62.29,62.53,61.55,61.98,73619
18-Nov-13,61.97,63.13,61.60,62.16,144008
15-Nov-13,61.94,61.97,61.00,61.86,113598
14-Nov-13,61.73,62.28,61.45,62.03,104069
13-Nov-13,61.36,61.97,60.70,61.90,63568
12-Nov-13,61.58,62.04,60.72,61.54,132032
11-Nov-13,62.27,62.33,61.53,61.61,153191
8-Nov-13,60.47,62.81,60.23,62.53,142505
7-Nov-13,60.63,60.76,60.11,60.53,212688
6-Nov-13,59.72,60.56,59.48,60.50,186944
5-Nov-13,58.81,59.62,58.44,59.49,152371
4-Nov-13,58.85,59.11,58.07,58.98,136969
1-Nov-13,58.73,59.07,57.91,58.58,195153
31-Oct-13,59.71,59.91,58.80,58.92,173016
30-Oct-13,60.09,60.31,59.48,59.61,148014
29-Oct-13,59.93,60.23,59.05,59.90,204723
28-Oct-13,59.80,60.38,59.42,59.93,129821
25-Oct-13,60.33,60.86,59.67,59.88,185622
24-Oct-13,60.11,60.67,59.72,60.06,264651
23-Oct-13,59.00,60.84,58.73,60.13,302174
22-Oct-13,58.95,58.99,58.48,58.70,152150
21-Oct-13,58.95,58.99,58.37,58.90,183799
18-Oct-13,59.14,59.19,58.28,58.97,176297
17-Oct-13,58.93,59.05,58.16,58.72,193848
16-Oct-13,57.36,59.32,57.36,59.24,334544
15-Oct-13,57.66,58.40,57.16,57.19,251741
14-Oct-13,57.07,57.72,56.54,57.63,299541
11-Oct-13,56.10,57.66,55.59,57.52,370875
10-Oct-13,54.94,55.53,54.94,55.51,159970
9-Oct-13,54.16,54.90,54.14,54.47,232002
8-Oct-13,54.09,54.35,53.80,54.06,174247
7-Oct-13,53.98,54.32,53.72,54.00,217579
4-Oct-13,54.60,54.93,54.31,54.42,146634
3-Oct-13,54.78,55.08,54.50,54.76,204027
2-Oct-13,54.96,55.24,54.62,54.98,265949
1-Oct-13,54.49,55.51,54.15,55.33,441851
30-Sep-13,53.46,54.56,53.02,54.34,691355
27-Sep-13,53.43,54.45,53.21,54.05,308592
26-Sep-13,53.68,54.15,53.37,53.85,301501
25-Sep-13,53.64,54.10,52.84,53.83,199886
24-Sep-13,53.41,54.05,53.17,53.74,281754
23-Sep-13,53.62,53.85,52.23,53.60,296693
20-Sep-13,52.82,53.95,52.50,53.84,790037
19-Sep-13,53.16,53.16,51.86,52.88,254465
18-Sep-13,53.29,54.05,53.01,53.32,418588
17-Sep-13,52.93,53.63,52.85,53.56,230867
16-Sep-13,53.39,53.44,52.66,53.02,317291
13-Sep-13,52.29,53.29,51.90,53.05,389505
12-Sep-13,53.10,53.38,51.90,52.34,672181
11-Sep-13,53.99,54.04,53.20,53.22,2977512
10-Sep-13,58.00,58.00,55.20,55.37,473790
9-Sep-13,57.26,57.57,56.63,57.34,107210
6-Sep-13,58.61,58.64,56.78,57.18,177576
5-Sep-13,57.78,59.20,57.49,58.76,276653
4-Sep-13,59.67,60.32,59.42,59.61,198863
