Date,Open,High,Low,Close,Volume
31-Dec-13,13.90,13.90,13.25,13.25,12442
30-Dec-13,13.31,13.86,13.31,13.41,3159
27-Dec-13,13.50,13.50,13.30,13.30,750
26-Dec-13,13.78,13.84,13.40,13.40,1056
24-Dec-13,13.95,13.95,13.50,13.50,3005
23-Dec-13,13.25,13.93,13.25,13.85,30018
20-Dec-13,12.61,12.61,12.26,12.26,814
19-Dec-13,12.30,12.30,12.15,12.15,2080
18-Dec-13,12.15,12.35,12.15,12.29,1751
17-Dec-13,11.78,12.06,11.78,12.01,6488
16-Dec-13,11.83,11.83,11.61,11.71,4662
13-Dec-13,11.85,11.95,11.85,11.95,301
12-Dec-13,11.90,11.90,11.82,11.82,2300
11-Dec-13,11.82,11.83,11.82,11.82,599
10-Dec-13,11.93,12.05,11.82,11.82,17311
9-Dec-13,12.04,12.04,11.82,11.83,27699
6-Dec-13,12.34,12.40,12.06,12.06,904
5-Dec-13,12.15,12.62,11.85,12.25,18150
4-Dec-13,12.32,12.32,12.13,12.18,1300
3-Dec-13,12.39,12.39,12.35,12.35,750
2-Dec-13,12.65,12.65,12.32,12.36,4921
29-Nov-13,12.64,12.64,12.64,12.64,100
27-Nov-13,12.32,12.55,12.32,12.55,3269
26-Nov-13,12.56,12.65,12.56,12.58,300
25-Nov-13,12.32,12.55,12.32,12.54,5900
22-Nov-13,12.38,12.38,12.31,12.32,490
21-Nov-13,12.36,12.38,12.36,12.38,597
20-Nov-13,12.45,12.55,12.45,12.55,500
19-Nov-13,12.47,12.61,12.37,12.41,950
18-Nov-13,12.65,12.65,12.35,12.64,1400
15-Nov-13,12.45,12.65,12.45,12.65,3818
14-Nov-13,12.64,12.65,12.34,12.60,2215
13-Nov-13,12.65,12.75,12.37,12.42,3899
12-Nov-13,12.34,12.75,12.34,12.65,5901
11-Nov-13,12.35,12.35,12.35,12.35,100
8-Nov-13,12.52,12.75,12.36,12.36,1900
7-Nov-13,12.60,12.60,12.32,12.34,600
6-Nov-13,12.37,12.60,12.37,12.60,1905
5-Nov-13,12.35,12.39,12.35,12.39,300
4-Nov-13,12.30,12.59,12.30,12.35,1200
1-Nov-13,12.30,12.30,12.30,12.30,200
31-Oct-13,12.65,12.65,12.30,12.65,4000
30-Oct-13,12.52,12.74,12.26,12.65,3700
29-Oct-13,12.40,12.74,12.40,12.74,2459
28-Oct-13,12.39,12.60,12.39,12.51,1500
25-Oct-13,12.39,12.39,12.25,12.35,1000
24-Oct-13,12.59,12.60,12.26,12.26,1896
23-Oct-13,12.38,12.60,12.35,12.40,1700
22-Oct-13,12.60,12.60,12.34,12.40,1200
21-Oct-13,12.60,12.60,12.50,12.58,500
18-Oct-13,12.34,12.75,12.30,12.59,5150
17-Oct-13,12.19,12.65,12.01,12.10,2301
16-Oct-13,12.06,12.50,12.06,12.32,3641
15-Oct-13,12.30,12.30,12.05,12.06,569
14-Oct-13,12.50,12.50,12.21,12.21,900
11-Oct-13,12.35,12.59,12.23,12.59,1000
10-Oct-13,12.57,12.68,12.20,12.20,4766
9-Oct-13,12.35,12.49,12.32,12.49,600
8-Oct-13,12.60,12.60,12.31,12.35,9775
7-Oct-13,12.66,12.66,12.31,12.42,1100
4-Oct-13,12.23,12.26,12.16,12.26,400
3-Oct-13,12.30,12.40,12.06,12.18,2400
1-Oct-13,12.49,12.71,12.25,12.65,5099
30-Sep-13,12.15,12.49,12.15,12.47,4250
27-Sep-13,12.27,12.30,12.27,12.30,500
26-Sep-13,12.50,12.50,12.11,12.15,1956
25-Sep-13,12.12,12.13,12.12,12.12,600
24-Sep-13,11.90,12.27,11.90,12.04,2998
23-Sep-13,12.22,12.45,11.90,11.90,1937
20-Sep-13,12.14,12.50,12.02,12.50,8455
19-Sep-13,12.49,12.49,11.97,11.99,3101
18-Sep-13,12.07,12.24,11.94,12.24,1400
17-Sep-13,12.04,12.18,11.80,12.07,5447
16-Sep-13,12.00,12.33,11.54,11.70,3815
13-Sep-13,11.89,11.89,11.51,11.60,3600
12-Sep-13,11.89,11.94,11.50,11.63,2800
11-Sep-13,11.66,12.15,11.52,11.59,2484
10-Sep-13,11.95,11.95,11.65,11.65,1200
9-Sep-13,11.90,12.00,11.65,11.65,1949
6-Sep-13,12.11,12.11,12.01,12.01,200
5-Sep-13,12.12,12.12,11.91,12.01,500
4-Sep-13,12.10,12.10,11.80,11.80,4320
3-Sep-13,12.20,12.22,11.90,11.90,637
30-Aug-13,12.25,12.25,11.76,12.01,1436
29-Aug-13,12.13,12.13,11.80,11.80,800
28-Aug-13,11.70,12.10,11.70,12.01,500
27-Aug-13,12.10,12.10,11.74,11.74,859
26-Aug-13,12.15,12.25,11.71,11.80,6230
23-Aug-13,12.11,12.25,12.04,12.16,5676
22-Aug-13,12.38,12.38,12.08,12.10,600
21-Aug-13,12.00,12.00,12.00,12.00,100
20-Aug-13,12.07,12.26,12.07,12.26,5931
19-Aug-13,12.40,12.40,12.04,12.20,3583
16-Aug-13,12.33,12.33,12.30,12.30,1303
15-Aug-13,11.94,12.20,11.94,12.20,200
14-Aug-13,11.96,12.17,11.75,12.17,1372
13-Aug-13,12.19,12.19,12.19,12.19,200
9-Aug-13,12.17,12.17,11.95,11.95,4067
8-Aug-13,12.17,12.25,11.95,11.95,1445
7-Aug-13,11.97,12.18,11.97,12.11,1186
6-Aug-13,11.93,12.01,11.70,12.00,1672
5-Aug-13,10.80,12.10,10.80,11.95,6169
2-Aug-13,11.46,11.46,11.46,11.46,100
1-Aug-13,11.44,12.21,11.44,11.45,5757
31-Jul-13,11.30,12.89,10.95,11.55,4332
30-Jul-13,11.45,11.45,11.15,11.30,1839
29-Jul-13,11.47,11.47,11.10,11.47,1900
26-Jul-13,11.55,11.80,11.00,11.20,8408
24-Jul-13,11.62,11.62,11.62,11.62,100
23-Jul-13,11.77,11.77,11.77,11.77,100
22-Jul-13,11.95,11.95,11.60,11.75,8400
18-Jul-13,11.64,11.77,11.40,11.75,4866
17-Jul-13,11.90,12.00,11.64,11.64,1084
16-Jul-13,11.95,11.95,11.75,11.95,600
15-Jul-13,11.48,12.15,11.48,11.87,6637
12-Jul-13,12.84,12.84,10.08,11.50,4125
11-Jul-13,12.31,12.75,12.31,12.42,900
10-Jul-13,12.44,12.44,12.26,12.26,700
9-Jul-13,12.35,12.41,12.25,12.41,2421
8-Jul-13,12.48,12.58,12.24,12.35,800
5-Jul-13,12.26,12.84,12.26,12.84,400
3-Jul-13,12.50,12.61,12.50,12.50,6108
2-Jul-13,12.94,12.94,12.50,12.80,1200
1-Jul-13,12.80,13.25,12.04,12.99,2549
28-Jun-13,12.31,12.89,12.18,12.89,1420
27-Jun-13,12.51,12.90,12.51,12.90,900
26-Jun-13,12.50,12.60,12.21,12.60,1000
25-Jun-13,12.39,12.70,12.39,12.60,4250
24-Jun-13,12.00,12.48,12.00,12.48,4468
21-Jun-13,12.16,13.16,12.16,12.20,3206
20-Jun-13,12.76,12.76,12.08,12.50,1945
19-Jun-13,12.81,12.92,12.76,12.76,2480
14-Jun-13,13.00,13.00,12.91,13.00,2000
12-Jun-13,13.25,13.28,13.25,13.28,1400
