Date,Open,High,Low,Close,Volume
30-Dec-13,22.12,23.00,22.01,23.00,3991
27-Dec-13,21.93,22.56,21.92,22.01,1180
26-Dec-13,22.50,22.50,22.19,22.20,1179
24-Dec-13,22.04,22.20,21.91,22.08,4193
23-Dec-13,22.58,22.58,21.87,22.35,6430
20-Dec-13,22.00,22.30,21.80,21.80,10355
19-Dec-13,21.98,21.99,21.80,21.80,969
18-Dec-13,21.87,22.00,21.75,22.00,4721
17-Dec-13,21.70,21.99,21.70,21.80,3293
16-Dec-13,21.97,21.98,21.66,21.89,1516
13-Dec-13,21.93,21.93,21.61,21.61,1051
12-Dec-13,21.98,21.98,21.56,21.78,2053
11-Dec-13,21.96,21.96,21.50,21.51,2693
10-Dec-13,21.83,21.95,21.75,21.95,2683
9-Dec-13,21.75,21.75,21.75,21.75,474
6-Dec-13,21.80,21.80,21.65,21.75,900
5-Dec-13,21.50,21.76,21.50,21.60,1558
4-Dec-13,21.52,21.78,21.50,21.65,2085
3-Dec-13,21.59,21.68,21.56,21.58,2799
2-Dec-13,21.45,21.70,21.45,21.65,2199
26-Nov-13,21.38,21.46,21.38,21.46,600
25-Nov-13,21.38,21.83,21.38,21.83,200
22-Nov-13,21.78,21.78,21.25,21.46,2251
21-Nov-13,21.83,21.85,21.83,21.85,400
20-Nov-13,21.39,21.92,21.39,21.92,300
19-Nov-13,21.37,21.54,21.36,21.50,1916
18-Nov-13,21.44,21.65,21.35,21.35,1039
15-Nov-13,21.43,21.48,21.27,21.46,1908
14-Nov-13,21.89,21.89,21.48,21.50,1325
13-Nov-13,21.80,22.00,21.26,21.99,2890
12-Nov-13,21.61,21.70,21.56,21.70,869
11-Nov-13,21.55,21.55,21.50,21.50,401
8-Nov-13,21.95,22.02,21.60,21.60,1600
7-Nov-13,22.02,22.02,21.50,21.95,1828
6-Nov-13,21.62,21.62,21.61,21.61,200
5-Nov-13,21.96,21.96,21.65,21.65,387
4-Nov-13,21.30,21.99,21.30,21.96,1100
1-Nov-13,21.35,21.35,21.25,21.25,4615
31-Oct-13,21.49,21.70,21.43,21.67,1050
30-Oct-13,21.70,21.70,21.50,21.50,1300
29-Oct-13,21.60,21.67,21.60,21.67,2100
28-Oct-13,21.90,21.90,21.59,21.59,3200
25-Oct-13,21.90,21.90,21.90,21.90,200
24-Oct-13,21.53,21.93,21.53,21.93,1115
23-Oct-13,22.21,22.21,21.66,21.94,3875
22-Oct-13,21.74,22.50,21.70,22.00,8150
21-Oct-13,21.50,21.75,21.50,21.66,5007
18-Oct-13,21.46,21.49,21.31,21.49,2100
17-Oct-13,21.30,21.49,21.30,21.41,4082
16-Oct-13,21.35,21.49,21.09,21.25,3890
15-Oct-13,21.42,21.50,21.20,21.20,2837
14-Oct-13,21.31,21.47,21.24,21.43,725
11-Oct-13,21.11,21.42,21.11,21.32,800
10-Oct-13,21.06,21.11,21.06,21.10,400
9-Oct-13,21.25,21.36,21.25,21.30,1346
8-Oct-13,21.23,21.25,21.20,21.20,3730
7-Oct-13,21.17,21.17,21.03,21.04,1844
4-Oct-13,21.26,21.27,21.12,21.12,600
3-Oct-13,21.03,21.10,21.03,21.10,646
2-Oct-13,21.15,21.27,21.03,21.12,1124
1-Oct-13,21.28,21.28,21.20,21.20,1079
30-Sep-13,21.08,21.31,21.06,21.07,1955
27-Sep-13,21.12,21.25,21.12,21.14,500
26-Sep-13,21.27,21.27,21.27,21.27,300
25-Sep-13,21.03,21.30,21.03,21.30,900
24-Sep-13,21.29,21.29,21.03,21.09,1802
23-Sep-13,21.09,21.28,21.09,21.21,511
20-Sep-13,21.02,21.42,21.01,21.16,5992
19-Sep-13,21.23,21.35,21.23,21.25,3177
18-Sep-13,21.00,21.23,21.00,21.23,1226
17-Sep-13,21.47,21.47,21.07,21.07,300
16-Sep-13,21.60,21.67,20.88,21.46,750
13-Sep-13,21.01,21.20,21.00,21.20,3660
12-Sep-13,21.00,21.44,21.00,21.10,1710
11-Sep-13,21.69,21.69,21.03,21.06,3590
10-Sep-13,21.05,21.35,21.01,21.35,3000
9-Sep-13,21.01,21.01,21.01,21.01,200
6-Sep-13,21.01,21.01,21.00,21.00,800
5-Sep-13,21.20,21.45,20.99,20.99,1013
4-Sep-13,21.01,21.48,21.01,21.44,500
3-Sep-13,21.00,21.00,21.00,21.00,100
30-Aug-13,21.10,21.10,20.83,21.10,500
29-Aug-13,21.00,21.35,21.00,21.35,5634
28-Aug-13,21.00,21.18,21.00,21.18,700
26-Aug-13,21.00,21.30,20.73,21.30,2451
23-Aug-13,20.97,20.99,20.97,20.99,1300
22-Aug-13,21.48,21.48,20.75,20.80,570
21-Aug-13,21.00,21.00,21.00,21.00,100
20-Aug-13,21.02,21.04,20.88,20.88,7850
19-Aug-13,21.14,21.47,21.04,21.08,2445
16-Aug-13,21.12,21.12,21.00,21.10,2100
15-Aug-13,21.09,21.15,21.00,21.01,2000
14-Aug-13,21.00,21.16,20.78,20.78,6831
13-Aug-13,20.87,21.49,20.79,21.49,1680
12-Aug-13,20.88,21.39,20.88,21.38,1782
9-Aug-13,21.25,21.25,21.25,21.25,200
8-Aug-13,21.25,21.25,21.25,21.25,663
7-Aug-13,21.15,21.44,21.14,21.19,2059
6-Aug-13,21.00,21.13,21.00,21.10,3463
5-Aug-13,21.05,21.30,21.05,21.30,926
2-Aug-13,21.00,21.00,20.99,21.00,1846
1-Aug-13,20.99,21.15,20.99,21.15,1448
31-Jul-13,21.21,21.21,21.21,21.21,100
30-Jul-13,21.32,21.47,21.00,21.08,1050
29-Jul-13,21.28,21.41,20.85,21.41,13175
26-Jul-13,21.43,21.50,21.27,21.35,3278
25-Jul-13,21.50,21.50,21.27,21.50,4892
24-Jul-13,22.08,22.08,21.26,21.79,7288
23-Jul-13,21.94,22.05,21.75,22.05,6284
22-Jul-13,21.93,21.99,21.30,21.75,11022
19-Jul-13,21.96,21.99,21.80,21.99,2056
18-Jul-13,21.98,22.00,21.63,22.00,5108
17-Jul-13,21.61,21.61,21.61,21.61,155
16-Jul-13,21.50,21.50,21.50,21.50,300
15-Jul-13,21.89,21.96,21.51,21.61,2817
12-Jul-13,21.89,21.94,21.89,21.94,1092
11-Jul-13,21.69,21.69,21.69,21.69,300
10-Jul-13,21.47,21.97,21.35,21.46,3223
9-Jul-13,21.40,21.57,21.38,21.57,1500
8-Jul-13,21.36,21.81,21.36,21.70,1400
5-Jul-13,21.72,21.72,21.72,21.72,300
3-Jul-13,22.00,22.00,21.99,22.00,600
1-Jul-13,21.61,21.70,21.61,21.70,325
28-Jun-13,21.58,21.99,21.58,21.75,620
27-Jun-13,21.99,21.99,21.50,21.50,1486
26-Jun-13,21.53,21.93,21.53,21.67,575
25-Jun-13,21.98,21.99,21.51,21.51,900
24-Jun-13,21.97,21.97,21.37,21.37,600
21-Jun-13,21.47,21.95,21.47,21.95,1287
20-Jun-13,21.94,21.95,21.40,21.40,816
19-Jun-13,21.37,21.95,21.37,21.95,400
18-Jun-13,21.87,21.87,21.36,21.36,1212
17-Jun-13,21.42,21.83,21.42,21.47,765
14-Jun-13,21.73,22.00,21.11,21.36,2798
13-Jun-13,21.99,21.99,21.55,21.68,300
12-Jun-13,21.51,21.99,21.51,21.99,844
11-Jun-13,21.78,21.95,21.50,21.80,3318
10-Jun-13,21.39,21.79,21.39,21.68,1216
7-Jun-13,21.37,21.37,21.37,21.37,125
6-Jun-13,21.79,21.79,21.35,21.70,1625
5-Jun-13,21.28,21.99,21.25,21.80,674
4-Jun-13,21.50,21.59,21.48,21.56,400
3-Jun-13,21.15,21.66,21.15,21.53,3126
31-May-13,21.16,21.49,21.16,21.49,541
30-May-13,21.50,21.50,21.21,21.46,630
29-May-13,20.93,21.78,20.80,21.78,1138
28-May-13,20.98,20.98,20.98,20.98,100
24-May-13,21.03,21.03,21.03,21.03,100
23-May-13,21.23,21.23,20.91,21.06,3586
21-May-13,21.37,21.37,21.27,21.27,1399
20-May-13,21.34,21.34,21.34,21.34,580
17-May-13,21.48,21.48,21.27,21.27,2082
16-May-13,21.48,21.48,21.39,21.39,200
15-May-13,21.26,21.40,21.26,21.40,800
14-May-13,21.29,21.31,21.29,21.31,300
13-May-13,21.46,21.46,21.27,21.27,300
10-May-13,21.49,21.50,21.15,21.49,2231
9-May-13,21.50,21.50,21.42,21.42,703
8-May-13,21.25,21.47,21.25,21.47,400
6-May-13,21.40,21.49,21.25,21.25,1424
3-May-13,21.32,21.32,21.32,21.32,350
2-May-13,21.30,21.36,21.30,21.36,425
1-May-13,21.26,21.45,21.26,21.45,1801
30-Apr-13,21.49,21.49,21.20,21.34,3850
29-Apr-13,21.20,21.20,21.17,21.20,2644
26-Apr-13,21.10,21.20,21.00,21.20,500
25-Apr-13,21.00,21.10,20.99,21.10,2100
24-Apr-13,20.80,21.00,20.80,21.00,1500
23-Apr-13,20.71,21.00,20.71,20.80,4399
22-Apr-13,20.56,20.75,20.56,20.73,744
19-Apr-13,20.75,20.75,20.52,20.55,591
17-Apr-13,20.50,20.89,20.40,20.74,1840
16-Apr-13,20.44,20.49,20.44,20.49,200
15-Apr-13,20.90,20.90,20.40,20.60,1550
12-Apr-13,20.95,20.95,20.40,20.88,1300
11-Apr-13,20.43,20.43,20.41,20.41,200
10-Apr-13,20.28,20.70,20.28,20.64,688
9-Apr-13,20.21,20.54,20.21,20.36,1660
8-Apr-13,20.50,20.60,20.50,20.60,200
5-Apr-13,20.53,20.69,20.50,20.69,958
4-Apr-13,20.50,20.90,20.50,20.55,1734
3-Apr-13,20.76,20.90,20.70,20.90,3411
2-Apr-13,20.50,20.95,20.40,20.55,3867
1-Apr-13,20.40,20.40,20.35,20.39,850
28-Mar-13,20.41,20.50,20.34,20.35,1000
27-Mar-13,20.49,20.49,20.02,20.42,2153
26-Mar-13,20.50,20.50,20.25,20.30,2487
25-Mar-13,20.20,20.50,20.20,20.43,2200
21-Mar-13,20.49,20.49,20.20,20.20,300
20-Mar-13,20.12,20.49,19.70,20.21,1850
19-Mar-13,20.05,20.21,20.00,20.00,2800
18-Mar-13,19.70,20.00,19.70,20.00,2177
15-Mar-13,19.95,19.95,19.65,19.65,3351
14-Mar-13,19.85,19.85,19.75,19.84,500
13-Mar-13,19.82,19.85,19.80,19.85,1831
12-Mar-13,19.95,19.96,19.81,19.85,2608
8-Mar-13,19.82,20.00,19.82,20.00,3743
7-Mar-13,20.00,20.20,19.85,19.85,1420
6-Mar-13,20.44,20.44,19.91,19.93,7385
5-Mar-13,20.38,20.38,20.38,20.38,100
4-Mar-13,20.01,20.98,20.00,20.50,1873
1-Mar-13,20.05,20.09,20.00,20.00,1960
28-Feb-13,20.06,20.24,20.06,20.07,622
27-Feb-13,20.04,20.20,20.00,20.00,400
26-Feb-13,20.10,21.33,20.04,20.04,4418
25-Feb-13,20.11,20.15,20.11,20.15,442
22-Feb-13,20.00,20.40,20.00,20.13,705
21-Feb-13,20.13,20.19,20.00,20.19,750
20-Feb-13,20.00,21.02,19.99,20.50,7439
19-Feb-13,20.25,20.25,19.98,19.99,7754
15-Feb-13,19.96,20.15,19.96,20.10,1783
14-Feb-13,20.29,20.29,19.95,19.98,2250
13-Feb-13,20.27,20.27,20.27,20.27,250
12-Feb-13,19.94,20.01,19.91,19.93,2069
11-Feb-13,20.05,20.05,20.05,20.05,100
8-Feb-13,21.49,21.49,20.09,20.55,3674
7-Feb-13,20.21,20.22,20.21,20.22,918
6-Feb-13,20.24,20.90,19.91,19.91,1063
5-Feb-13,20.25,20.25,20.25,20.25,100
4-Feb-13,20.17,20.24,20.17,20.24,1029
1-Feb-13,20.01,20.20,19.98,20.10,3911
31-Jan-13,20.20,20.20,20.00,20.18,600
