Date,Open,High,Low,Close,Volume
31-Dec-13,113.78,114.70,111.90,113.08,511791
30-Dec-13,113.45,114.47,111.02,112.33,453859
27-Dec-13,111.99,115.00,111.93,113.57,661615
26-Dec-13,112.56,114.06,111.26,111.99,831648
24-Dec-13,114.35,116.65,112.52,112.85,1041282
23-Dec-13,104.64,115.48,103.08,114.51,4885306
20-Dec-13,87.03,88.10,85.76,87.84,918915
19-Dec-13,88.58,88.58,85.76,86.76,453813
18-Dec-13,86.19,88.89,85.40,88.59,580746
17-Dec-13,88.50,88.50,85.73,85.89,647945
16-Dec-13,88.32,90.19,88.05,88.44,417790
13-Dec-13,91.19,91.27,87.99,88.19,545411
12-Dec-13,89.80,91.12,89.27,90.65,438016
11-Dec-13,91.81,91.95,89.72,89.96,626713
10-Dec-13,90.43,92.50,89.72,91.77,783527
9-Dec-13,89.73,91.36,89.28,90.46,444306
6-Dec-13,89.98,91.11,88.93,90.97,595981
5-Dec-13,90.74,90.74,88.63,89.24,946587
4-Dec-13,92.83,93.18,90.60,90.72,1108377
3-Dec-13,95.00,95.23,92.74,93.47,850601
2-Dec-13,92.82,95.10,91.92,94.95,645204
29-Nov-13,91.55,92.90,91.12,92.31,241783
27-Nov-13,92.67,93.47,90.97,91.54,672678
26-Nov-13,92.93,93.24,91.86,92.33,405290
25-Nov-13,93.50,94.38,92.66,92.95,382928
22-Nov-13,93.06,94.04,92.76,93.34,275669
21-Nov-13,92.12,93.00,91.33,92.60,697577
20-Nov-13,92.78,93.16,91.08,91.64,277082
19-Nov-13,91.27,93.22,90.87,92.57,452835
18-Nov-13,93.98,94.22,91.02,91.37,408144
15-Nov-13,93.21,94.17,92.08,94.00,320760
14-Nov-13,92.00,93.52,91.48,93.06,505011
13-Nov-13,92.82,93.66,91.02,91.65,465924
12-Nov-13,92.23,93.39,91.13,93.21,533314
11-Nov-13,90.30,92.12,89.71,91.86,665528
8-Nov-13,87.92,91.97,87.92,90.46,566058
7-Nov-13,90.48,91.20,87.53,87.63,645945
6-Nov-13,89.83,90.80,88.43,89.93,695839
5-Nov-13,89.15,90.47,88.05,90.11,666808
4-Nov-13,90.25,90.73,89.22,89.71,388237
1-Nov-13,88.79,90.44,88.02,90.34,781177
31-Oct-13,86.52,89.08,86.25,88.52,933161
30-Oct-13,87.27,87.45,85.31,86.58,720423
29-Oct-13,85.06,87.50,83.65,86.50,1053967
28-Oct-13,82.36,83.60,81.83,83.39,418793
25-Oct-13,83.87,83.96,81.60,82.65,364521
24-Oct-13,83.31,84.35,83.02,83.48,446074
23-Oct-13,82.50,83.47,82.00,82.83,554811
22-Oct-13,81.74,83.22,81.26,82.60,418587
21-Oct-13,82.78,83.25,80.77,81.12,577437
18-Oct-13,82.68,82.99,81.15,82.47,449935
17-Oct-13,81.01,82.64,80.51,82.01,468513
16-Oct-13,81.56,81.99,80.97,81.74,565143
15-Oct-13,81.80,82.14,80.48,80.69,306705
14-Oct-13,81.55,82.40,80.79,81.90,336487
11-Oct-13,81.36,82.56,80.95,81.79,653167
10-Oct-13,81.47,83.54,81.02,81.48,594130
9-Oct-13,81.29,82.10,78.14,80.03,702130
8-Oct-13,85.40,85.65,81.18,81.47,946539
7-Oct-13,84.25,85.57,83.52,85.08,491116
4-Oct-13,85.06,85.92,84.37,85.48,547741
3-Oct-13,83.15,85.27,83.15,84.67,1143930
2-Oct-13,82.01,83.74,81.51,83.67,727527
1-Oct-13,79.00,82.36,78.40,82.28,1479823
30-Sep-13,77.78,79.02,77.22,78.85,443715
27-Sep-13,78.71,79.90,77.95,78.72,279470
26-Sep-13,77.58,79.16,77.14,78.96,328730
25-Sep-13,77.50,77.79,76.02,77.22,395402
24-Sep-13,77.40,77.81,76.20,77.16,229596
23-Sep-13,78.04,78.36,77.04,77.40,297366
20-Sep-13,79.00,79.47,77.77,77.86,433992
19-Sep-13,79.67,79.89,77.76,78.67,250656
18-Sep-13,79.54,79.54,78.03,79.31,230206
17-Sep-13,79.16,79.95,78.54,79.58,316059
16-Sep-13,78.71,79.19,77.68,78.98,244098
13-Sep-13,77.78,77.95,76.87,77.59,240925
12-Sep-13,77.36,77.92,76.18,77.15,318534
11-Sep-13,77.18,78.38,76.23,77.35,544691
10-Sep-13,76.61,77.17,75.23,77.14,663643
9-Sep-13,73.47,75.79,73.36,75.74,385906
6-Sep-13,74.29,74.29,72.28,73.67,316447
5-Sep-13,73.11,74.52,72.85,74.17,272602
4-Sep-13,72.38,73.65,72.03,73.50,436494
3-Sep-13,71.87,72.64,70.95,72.03,449562
30-Aug-13,73.27,73.27,70.68,70.91,256110
29-Aug-13,72.29,73.81,71.66,73.12,276866
28-Aug-13,71.33,72.38,70.34,72.20,421337
27-Aug-13,72.56,72.98,70.85,71.29,275715
26-Aug-13,72.04,73.85,71.66,73.38,233035
23-Aug-13,72.85,73.44,71.49,71.66,237202
22-Aug-13,72.05,73.03,71.79,72.61,296492
21-Aug-13,71.59,72.85,71.20,71.92,271673
20-Aug-13,70.62,72.58,70.62,72.08,303668
19-Aug-13,70.93,72.36,70.73,70.74,240482
16-Aug-13,71.06,72.38,70.58,71.21,350261
15-Aug-13,72.20,72.28,70.74,71.14,445026
14-Aug-13,73.90,74.08,72.78,72.80,722020
13-Aug-13,74.00,74.31,73.33,73.76,332265
12-Aug-13,73.66,73.75,72.91,73.56,190125
9-Aug-13,73.27,74.17,73.07,73.75,171391
8-Aug-13,74.14,74.14,72.87,73.27,241954
7-Aug-13,73.61,74.19,73.13,73.46,375120
6-Aug-13,74.91,75.18,73.34,73.84,689874
5-Aug-13,76.93,76.95,75.01,75.14,561714
2-Aug-13,75.87,76.75,75.18,76.69,432185
1-Aug-13,75.71,76.47,74.64,75.87,832687
31-Jul-13,73.90,75.37,73.34,74.93,783896
30-Jul-13,72.99,74.64,72.70,73.75,964222
29-Jul-13,72.50,72.89,71.57,72.63,397182
26-Jul-13,71.50,72.67,71.12,72.50,340254
25-Jul-13,73.85,74.46,70.19,71.83,905003
24-Jul-13,71.25,71.53,70.29,70.61,324030
23-Jul-13,71.30,71.38,70.25,70.79,435514
22-Jul-13,70.09,71.75,70.09,71.22,494081
19-Jul-13,69.43,71.15,69.22,70.00,566926
18-Jul-13,68.51,70.00,68.18,69.85,403687
