Date,Open,High,Low,Close,Volume
31-Dec-13,57.63,58.48,55.66,57.16,4700
30-Dec-13,58.65,58.90,57.35,57.35,2273
27-Dec-13,59.50,59.50,58.22,58.50,1221
26-Dec-13,59.20,59.78,58.60,59.35,2550
24-Dec-13,58.01,59.40,58.01,59.31,2595
23-Dec-13,56.65,58.40,55.64,58.02,4372
20-Dec-13,53.04,56.76,53.04,55.09,33302
19-Dec-13,52.98,53.40,52.39,53.13,2503
18-Dec-13,49.91,53.83,48.94,53.69,7752
17-Dec-13,49.81,50.04,48.80,50.04,4412
16-Dec-13,50.79,51.19,49.22,50.93,5792
13-Dec-13,50.84,50.90,49.69,50.79,4490
12-Dec-13,48.59,51.20,48.59,50.86,6113
11-Dec-13,50.10,50.10,48.46,48.53,8471
10-Dec-13,50.64,50.87,49.18,49.90,6155
9-Dec-13,51.57,51.64,50.43,50.50,3750
6-Dec-13,51.79,52.53,51.39,51.68,1368
5-Dec-13,51.35,52.20,51.26,51.31,1100
4-Dec-13,51.44,52.65,51.28,51.31,3750
3-Dec-13,51.53,52.46,51.53,52.46,3666
2-Dec-13,51.30,53.62,50.74,51.41,7279
29-Nov-13,52.34,53.21,52.00,53.21,10859
27-Nov-13,53.41,53.60,51.50,52.10,13338
26-Nov-13,53.97,53.97,53.48,53.60,2878
25-Nov-13,52.16,53.60,52.16,53.59,1872
22-Nov-13,53.16,53.16,50.01,52.96,6712
21-Nov-13,53.96,54.00,52.95,52.99,5085
20-Nov-13,55.54,55.54,53.51,53.88,696
19-Nov-13,54.43,54.43,51.80,53.32,4693
18-Nov-13,56.99,56.99,54.42,54.42,10570
15-Nov-13,56.06,56.75,54.80,56.03,7383
14-Nov-13,56.00,56.70,56.00,56.30,541
13-Nov-13,57.97,58.11,55.60,55.96,3604
12-Nov-13,56.00,58.75,55.80,58.09,2696
11-Nov-13,54.82,55.73,54.35,55.10,3110
8-Nov-13,54.58,55.09,54.41,55.09,1934
7-Nov-13,55.80,55.80,54.32,54.62,4524
6-Nov-13,55.07,55.30,55.07,55.30,320
5-Nov-13,54.87,55.99,54.12,55.00,5040
4-Nov-13,56.49,56.49,54.26,54.98,5633
1-Nov-13,55.32,57.01,54.25,56.37,10120
31-Oct-13,54.47,55.70,54.47,55.66,3999
30-Oct-13,54.80,56.20,54.68,54.68,5217
29-Oct-13,57.00,57.05,55.25,55.30,3412
28-Oct-13,57.22,57.90,56.56,56.65,2854
25-Oct-13,57.00,57.76,54.51,56.96,4850
24-Oct-13,55.10,57.35,55.10,56.94,4762
23-Oct-13,55.55,55.74,55.00,55.02,3061
22-Oct-13,54.26,56.54,54.26,55.88,3019
21-Oct-13,55.77,55.97,54.45,55.20,7999
18-Oct-13,55.29,56.24,53.97,56.24,4602
17-Oct-13,54.94,55.90,54.60,54.61,12891
16-Oct-13,56.28,56.47,54.70,55.50,4147
15-Oct-13,56.41,56.60,55.36,56.28,1701
14-Oct-13,55.71,57.10,55.71,56.87,1737
11-Oct-13,56.97,57.14,56.78,57.00,12074
10-Oct-13,56.49,56.96,56.25,56.96,3403
9-Oct-13,56.00,56.11,55.15,55.60,3105
8-Oct-13,55.59,56.09,55.25,55.25,3730
7-Oct-13,57.68,57.90,55.64,56.10,1989
4-Oct-13,56.72,58.45,56.72,57.54,3109
3-Oct-13,54.60,57.55,54.60,56.81,2324
2-Oct-13,60.24,60.24,58.40,58.91,1966
1-Oct-13,59.98,60.89,58.94,60.89,4909
30-Sep-13,53.21,59.44,53.21,59.44,5992
27-Sep-13,56.69,58.30,55.04,58.07,4034
26-Sep-13,57.42,57.74,55.34,56.99,3420
25-Sep-13,56.76,57.78,56.76,57.51,1587
24-Sep-13,56.78,57.35,55.30,57.26,3270
23-Sep-13,54.26,57.00,54.26,56.56,4485
20-Sep-13,52.70,54.79,52.04,54.15,14237
19-Sep-13,52.20,52.89,52.00,52.70,3232
18-Sep-13,50.90,52.17,50.43,52.17,3385
17-Sep-13,52.12,52.12,51.00,51.36,4461
16-Sep-13,51.12,51.12,49.99,50.80,2570
13-Sep-13,50.97,50.99,49.69,50.71,2042
12-Sep-13,50.94,50.94,50.29,50.40,5067
11-Sep-13,50.06,51.24,50.06,50.28,3248
10-Sep-13,50.25,51.75,50.13,50.13,5863
9-Sep-13,49.84,50.98,49.55,50.20,1385
6-Sep-13,50.08,50.91,49.84,49.93,1029
5-Sep-13,50.94,51.11,49.57,50.62,2418
4-Sep-13,50.06,50.79,49.93,50.45,10512
3-Sep-13,50.68,52.34,49.80,50.06,8229
30-Aug-13,50.18,50.80,50.09,50.50,10831
29-Aug-13,51.03,51.50,50.02,50.45,9434
28-Aug-13,50.33,51.36,50.33,51.10,1955
27-Aug-13,50.30,50.88,49.68,50.88,6590
26-Aug-13,50.56,50.95,50.12,50.58,2461
23-Aug-13,50.24,50.80,48.54,49.99,12247
22-Aug-13,50.64,51.20,50.01,50.25,7207
21-Aug-13,49.97,50.80,49.76,50.23,11818
20-Aug-13,50.19,50.97,49.57,50.44,11728
19-Aug-13,50.48,51.78,49.95,50.09,2657
16-Aug-13,49.40,50.32,49.01,50.30,11217
15-Aug-13,54.65,54.65,48.30,49.39,18311
14-Aug-13,55.60,55.60,54.62,54.62,8715
13-Aug-13,56.00,56.36,55.66,55.70,3325
12-Aug-13,56.29,56.70,56.01,56.28,2796
9-Aug-13,56.85,56.96,55.60,55.84,5986
8-Aug-13,56.77,57.17,55.48,55.60,6230
7-Aug-13,56.06,57.00,55.62,56.70,6418
6-Aug-13,57.01,57.07,56.53,56.70,4123
5-Aug-13,57.00,57.37,55.70,57.09,3326
2-Aug-13,57.10,57.49,56.54,56.86,1775
1-Aug-13,55.83,57.80,55.83,56.80,6001
31-Jul-13,57.70,58.15,55.58,55.82,10957
30-Jul-13,57.76,58.19,57.00,57.25,10709
29-Jul-13,57.73,58.20,57.47,57.95,4795
26-Jul-13,58.02,58.20,57.60,58.01,6021
25-Jul-13,57.24,58.20,57.24,58.20,6773
24-Jul-13,57.78,58.20,57.24,57.61,9802
23-Jul-13,57.82,58.00,57.11,57.80,9776
22-Jul-13,57.48,58.31,56.75,57.67,12736
19-Jul-13,58.36,58.36,56.98,57.89,8507
18-Jul-13,57.18,59.08,56.70,58.36,15570
17-Jul-13,56.47,57.36,55.56,57.02,13721
16-Jul-13,55.00,56.28,54.47,55.85,13330
15-Jul-13,52.11,54.61,52.01,54.48,15087
12-Jul-13,58.05,58.60,51.26,51.75,37891
11-Jul-13,63.19,64.02,58.52,59.48,24931
10-Jul-13,63.70,63.70,62.14,62.90,11063
9-Jul-13,60.02,64.84,60.02,63.74,25106
8-Jul-13,58.51,60.00,58.00,59.98,8704
5-Jul-13,56.50,58.50,55.25,58.22,8835
3-Jul-13,55.01,56.25,54.37,55.76,3701
2-Jul-13,55.99,56.99,54.60,55.02,6308
1-Jul-13,54.43,56.99,54.43,56.00,21775
28-Jun-13,50.23,54.59,50.23,54.30,53361
27-Jun-13,49.72,51.02,49.72,50.29,6355
26-Jun-13,49.01,49.85,48.50,49.63,5581
25-Jun-13,49.00,49.00,48.43,48.97,2636
24-Jun-13,48.43,48.92,48.06,48.65,3669
21-Jun-13,47.80,48.97,47.80,48.74,11312
20-Jun-13,47.61,48.02,47.55,47.58,1952
19-Jun-13,49.01,49.01,48.15,48.48,1771
18-Jun-13,47.75,48.99,47.75,48.99,1767
17-Jun-13,48.18,48.50,47.61,48.18,1467
14-Jun-13,48.43,48.71,47.49,47.78,3334
13-Jun-13,47.59,48.34,47.59,48.34,1552
12-Jun-13,47.42,47.82,46.72,47.63,2793
11-Jun-13,46.39,47.07,46.22,47.02,1659
10-Jun-13,46.52,47.14,46.50,46.62,1007
7-Jun-13,47.84,47.84,46.95,47.21,5603
6-Jun-13,47.03,47.50,47.03,47.49,1609
5-Jun-13,47.38,47.88,47.01,47.56,1622
4-Jun-13,46.60,47.79,46.60,47.31,3124
3-Jun-13,46.34,47.26,46.22,46.38,7920
31-May-13,46.72,47.56,46.27,46.27,11282
30-May-13,46.71,48.88,46.71,47.09,1426
29-May-13,47.80,47.80,47.12,47.12,1258
28-May-13,48.78,49.22,47.95,48.01,5137
24-May-13,47.16,48.92,47.16,47.98,4389
23-May-13,48.61,48.61,47.79,48.04,4229
22-May-13,48.22,49.19,48.22,48.61,2776
21-May-13,47.32,49.76,47.32,48.44,1220
20-May-13,49.83,49.83,48.56,48.79,3335
17-May-13,49.41,49.78,49.18,49.31,4326
16-May-13,49.54,49.54,49.26,49.26,1437
15-May-13,48.55,48.76,47.57,48.76,2245
14-May-13,48.50,48.50,48.07,48.50,3458
13-May-13,48.17,48.24,47.21,48.24,1651
10-May-13,47.84,48.50,47.83,48.50,982
9-May-13,48.42,48.48,47.78,48.02,1581
8-May-13,46.60,47.54,46.25,47.41,3746
7-May-13,44.51,46.34,44.51,46.34,3143
6-May-13,45.90,45.90,45.59,45.70,1055
3-May-13,45.76,46.00,45.40,46.00,2122
2-May-13,43.53,45.39,43.53,45.36,2310
1-May-13,44.30,45.38,42.48,43.24,10886
30-Apr-13,45.60,45.62,43.85,44.33,19198
29-Apr-13,45.14,45.50,45.14,45.50,2273
26-Apr-13,45.58,45.59,44.17,44.88,19400
25-Apr-13,45.47,46.80,45.25,45.56,32439
24-Apr-13,46.14,46.14,45.36,45.88,1493
23-Apr-13,44.64,46.49,44.64,46.49,3252
22-Apr-13,44.77,45.49,44.77,45.04,1331
19-Apr-13,44.09,45.00,44.09,44.94,2077
18-Apr-13,43.96,44.84,42.53,44.03,14996
17-Apr-13,43.62,44.00,42.49,43.86,6773
16-Apr-13,46.00,46.00,40.84,44.02,4617
15-Apr-13,43.88,44.00,41.34,42.63,13420
12-Apr-13,43.62,46.43,43.62,44.03,1523
11-Apr-13,44.32,44.32,43.28,43.50,5090
10-Apr-13,45.94,46.15,43.96,44.26,7053
9-Apr-13,47.88,47.99,45.32,45.73,4668
8-Apr-13,47.72,47.72,46.92,47.45,3877
5-Apr-13,47.40,48.32,47.12,47.32,5686
4-Apr-13,47.62,48.18,47.27,48.00,1829
3-Apr-13,48.60,48.60,47.01,47.01,2728
2-Apr-13,48.28,48.55,47.93,48.28,751
1-Apr-13,48.77,49.00,47.86,47.93,5989
28-Mar-13,48.78,49.09,48.40,48.77,9438
27-Mar-13,48.88,49.04,48.25,48.59,1986
26-Mar-13,49.85,49.85,48.72,48.88,8931
25-Mar-13,49.31,49.38,48.88,49.04,2511
22-Mar-13,48.60,49.15,48.60,49.05,3129
21-Mar-13,48.48,48.65,48.27,48.33,2702
20-Mar-13,48.50,48.86,48.50,48.59,2133
19-Mar-13,49.08,49.08,48.11,48.25,4231
18-Mar-13,48.55,48.98,48.48,48.75,4628
15-Mar-13,48.56,49.00,48.05,48.78,10984
14-Mar-13,48.20,49.00,48.04,48.98,3997
13-Mar-13,48.45,48.45,47.50,48.21,3760
12-Mar-13,48.51,48.69,48.00,48.28,3537
11-Mar-13,46.52,49.45,46.52,48.73,5322
8-Mar-13,44.48,47.98,43.31,46.92,7124
7-Mar-13,43.95,44.30,43.94,44.18,3104
6-Mar-13,43.83,44.00,43.53,43.94,1560
5-Mar-13,43.49,43.95,43.00,43.95,7359
4-Mar-13,41.95,43.47,41.95,43.30,2671
1-Mar-13,41.66,42.00,41.48,41.90,2033
28-Feb-13,41.31,42.11,41.23,41.45,3922
27-Feb-13,42.06,42.49,42.05,42.49,4803
26-Feb-13,42.13,42.18,41.42,42.12,2085
25-Feb-13,42.00,42.18,41.27,42.00,5008
22-Feb-13,41.20,42.07,41.12,41.95,4125
21-Feb-13,41.55,42.09,40.13,40.97,6230
20-Feb-13,41.59,42.21,41.42,41.61,5491
19-Feb-13,40.73,41.71,39.37,41.71,5638
15-Feb-13,40.59,40.86,40.15,40.39,4100
14-Feb-13,40.04,40.48,40.04,40.47,1014
13-Feb-13,40.30,40.88,39.45,39.99,3479
12-Feb-13,39.88,40.31,39.36,40.31,590
11-Feb-13,39.53,40.11,39.53,39.75,1614
8-Feb-13,39.97,40.48,39.26,39.81,1694
7-Feb-13,40.66,41.62,39.79,39.88,4231
6-Feb-13,40.34,40.68,40.34,40.68,223
5-Feb-13,40.18,40.36,40.11,40.36,694
4-Feb-13,40.10,40.49,40.10,40.15,2947
1-Feb-13,40.30,40.98,40.10,40.69,2003
31-Jan-13,40.90,41.17,40.12,40.20,4652
30-Jan-13,40.55,40.92,40.32,40.74,1444
29-Jan-13,40.07,40.78,40.05,40.49,1959
28-Jan-13,40.73,40.77,40.09,40.77,1942
25-Jan-13,40.65,40.77,39.42,40.32,3310
24-Jan-13,39.73,40.55,39.73,40.41,1700
23-Jan-13,40.50,40.57,40.10,40.31,1360
22-Jan-13,40.23,40.60,39.96,40.40,3288
18-Jan-13,40.67,40.95,40.13,40.58,4441
17-Jan-13,40.45,40.91,40.45,40.81,1468
16-Jan-13,40.59,41.00,40.07,40.42,2281
15-Jan-13,40.72,41.00,40.43,40.75,2673
14-Jan-13,40.44,41.00,40.00,40.97,3679
11-Jan-13,40.33,40.76,40.33,40.51,3204
10-Jan-13,40.64,40.64,39.26,40.42,3755
9-Jan-13,40.44,40.50,39.96,40.43,1751
8-Jan-13,39.92,40.86,39.79,40.54,4952
7-Jan-13,38.85,40.05,37.79,39.81,4753
4-Jan-13,38.76,39.09,38.48,39.09,2338
3-Jan-13,38.50,38.97,38.50,38.58,6688
2-Jan-13,36.32,39.08,36.18,38.32,16424
31-Dec-12,35.61,36.14,35.08,36.05,3228
28-Dec-12,35.41,35.80,35.41,35.57,3352
27-Dec-12,35.73,35.79,34.42,35.39,1970
26-Dec-12,36.16,36.16,35.61,35.83,1265
24-Dec-12,35.10,35.75,35.10,35.64,3409
21-Dec-12,36.29,36.32,35.01,35.10,30615
20-Dec-12,35.74,36.24,35.72,36.16,5914
19-Dec-12,35.85,35.95,34.95,35.53,3746
18-Dec-12,35.63,35.86,35.00,35.85,4991
17-Dec-12,35.39,35.88,35.02,35.88,5466
14-Dec-12,35.46,35.46,35.10,35.25,3965
13-Dec-12,34.90,35.48,34.90,35.23,2715
12-Dec-12,35.72,35.79,34.36,34.88,3356
11-Dec-12,34.98,35.91,34.98,35.81,4233
10-Dec-12,35.00,35.15,34.90,35.14,9976
7-Dec-12,34.47,35.00,34.09,35.00,5827
6-Dec-12,35.00,35.00,34.51,34.51,7625
5-Dec-12,34.97,35.42,34.63,35.05,6240
4-Dec-12,35.03,35.25,34.88,34.88,1072
3-Dec-12,35.39,35.40,34.39,35.02,6495
30-Nov-12,35.24,35.34,34.70,35.34,4375
29-Nov-12,35.20,35.34,34.90,35.34,2014
28-Nov-12,34.74,35.00,34.45,35.00,1744
27-Nov-12,35.43,35.46,35.18,35.18,2420
26-Nov-12,35.21,35.28,34.89,35.18,6640
23-Nov-12,35.44,35.44,34.99,35.19,2612
21-Nov-12,34.99,35.21,34.96,35.21,790
20-Nov-12,34.98,34.98,34.91,34.94,993
19-Nov-12,35.00,35.00,34.51,34.98,7888
16-Nov-12,34.55,34.89,34.55,34.83,6658
15-Nov-12,34.52,34.70,34.50,34.57,3920
14-Nov-12,34.74,34.74,34.50,34.51,1483
13-Nov-12,34.63,34.72,34.02,34.62,7878
12-Nov-12,34.62,34.94,34.61,34.68,1591
9-Nov-12,34.06,34.87,34.06,34.80,6974
8-Nov-12,34.41,34.66,34.00,34.02,5684
7-Nov-12,34.26,34.63,34.20,34.36,6096
6-Nov-12,33.86,34.48,33.86,34.48,95920
5-Nov-12,34.18,34.18,33.79,33.99,1591
2-Nov-12,33.86,34.64,33.52,34.07,16835
1-Nov-12,33.42,34.06,33.42,34.01,4110
31-Oct-12,33.77,34.36,33.75,34.02,3405
26-Oct-12,33.84,34.35,33.84,33.95,40211
25-Oct-12,33.16,33.90,33.16,33.87,4978
24-Oct-12,33.50,33.56,32.99,33.30,7523
23-Oct-12,33.28,33.39,33.13,33.37,6136
22-Oct-12,33.65,33.65,33.31,33.31,26587
19-Oct-12,33.40,33.74,33.40,33.59,7486
18-Oct-12,33.50,33.78,33.50,33.54,3777
17-Oct-12,33.87,33.87,33.28,33.50,3018
16-Oct-12,33.79,33.80,33.57,33.61,11788
15-Oct-12,33.50,33.83,33.48,33.72,3531
12-Oct-12,33.76,33.90,33.28,33.30,13672
11-Oct-12,33.97,33.97,33.62,33.72,20753
10-Oct-12,33.97,33.97,33.85,33.91,1731
9-Oct-12,33.87,33.98,33.66,33.88,5319
8-Oct-12,33.88,33.98,33.86,33.87,5639
5-Oct-12,33.80,33.99,33.67,33.80,11502
4-Oct-12,33.99,33.99,33.51,33.88,9367
3-Oct-12,33.84,33.99,33.71,33.95,3274
2-Oct-12,33.89,33.92,33.80,33.92,2228
1-Oct-12,33.94,34.01,33.62,33.78,8793
28-Sep-12,33.88,34.00,33.59,33.99,5134
27-Sep-12,33.90,34.18,33.67,34.01,3919
26-Sep-12,33.78,33.92,33.74,33.85,2217
25-Sep-12,33.83,34.04,33.59,33.72,17730
24-Sep-12,33.51,34.00,33.51,33.72,5188
21-Sep-12,33.89,33.92,33.58,33.62,14047
20-Sep-12,33.79,33.98,33.70,33.78,2782
19-Sep-12,34.00,34.06,33.65,33.98,5195
18-Sep-12,33.82,34.02,33.80,33.96,4828
17-Sep-12,34.09,34.09,33.79,33.84,3148
14-Sep-12,34.00,34.01,33.73,34.01,4849
13-Sep-12,33.65,34.12,33.55,34.11,8962
12-Sep-12,33.84,34.11,33.84,34.11,1864
11-Sep-12,34.21,34.21,33.82,33.87,4943
10-Sep-12,34.14,34.16,33.90,34.14,5272
7-Sep-12,34.02,34.18,33.78,34.18,9445
6-Sep-12,33.61,34.12,33.57,34.02,10591
5-Sep-12,33.74,33.98,33.54,33.57,8768
4-Sep-12,33.97,33.97,33.58,33.74,3361
31-Aug-12,33.78,33.81,33.65,33.81,896
30-Aug-12,33.64,33.65,33.58,33.65,2515
29-Aug-12,33.61,33.98,33.30,33.65,7602
28-Aug-12,33.76,34.10,33.50,33.73,7714
27-Aug-12,33.78,33.97,33.75,33.97,1446
24-Aug-12,33.59,33.83,33.55,33.80,3335
23-Aug-12,33.60,33.60,33.60,33.60,351
22-Aug-12,33.94,33.94,33.56,33.63,1479
21-Aug-12,33.99,34.02,33.78,33.88,2654
20-Aug-12,34.15,34.15,33.88,34.00,1701
17-Aug-12,33.75,34.20,33.75,34.17,6926
16-Aug-12,33.78,34.06,33.66,33.88,2672
