Date,Open,High,Low,Close,Volume
31-Dec-13,11.40,11.90,11.16,11.61,8463
30-Dec-13,11.31,11.40,11.01,11.32,12264
27-Dec-13,11.34,11.95,11.01,11.31,8427
26-Dec-13,11.49,11.49,11.00,11.02,4565
24-Dec-13,11.25,11.63,11.25,11.32,2414
23-Dec-13,11.69,12.00,11.01,11.26,17198
20-Dec-13,10.74,11.88,10.74,11.88,16589
19-Dec-13,10.08,11.20,10.08,10.60,26766
18-Dec-13,10.11,10.89,10.11,10.47,12042
17-Dec-13,11.11,11.11,10.40,10.75,4041
16-Dec-13,11.03,11.14,10.81,10.97,6578
13-Dec-13,11.05,11.30,10.11,11.30,13319
12-Dec-13,10.77,11.77,10.77,10.90,16187
11-Dec-13,11.49,11.83,10.95,10.98,6465
10-Dec-13,11.56,12.62,10.55,11.38,40728
9-Dec-13,10.68,11.75,10.68,11.75,12901
6-Dec-13,10.54,11.00,10.28,10.68,14381
5-Dec-13,10.37,10.55,9.84,10.54,4845
4-Dec-13,10.09,10.53,9.78,10.53,6172
3-Dec-13,9.98,10.15,9.74,10.09,14886
2-Dec-13,10.01,10.37,9.74,9.88,55295
29-Nov-13,10.00,10.67,9.89,9.89,7889
27-Nov-13,9.85,9.89,9.70,9.89,4500
26-Nov-13,9.69,9.90,9.60,9.65,11261
25-Nov-13,9.45,10.20,9.45,9.50,24743
22-Nov-13,9.45,9.55,9.05,9.21,12054
21-Nov-13,9.45,9.48,9.45,9.48,1500
20-Nov-13,9.52,9.54,9.47,9.49,4329
19-Nov-13,9.45,9.62,9.45,9.61,4806
18-Nov-13,9.60,9.61,9.25,9.30,10448
15-Nov-13,9.39,9.59,9.39,9.47,8295
14-Nov-13,9.25,9.40,9.25,9.39,2884
13-Nov-13,9.40,9.40,9.25,9.25,3872
12-Nov-13,9.25,9.36,9.14,9.34,12197
11-Nov-13,9.25,9.39,9.25,9.31,10272
8-Nov-13,9.17,9.29,9.17,9.18,2671
7-Nov-13,9.15,9.29,8.97,9.29,8958
6-Nov-13,9.22,9.24,9.10,9.10,1600
5-Nov-13,9.37,9.47,9.14,9.25,12912
4-Nov-13,9.10,9.38,9.08,9.38,4157
1-Nov-13,9.25,9.25,9.25,9.25,500
31-Oct-13,9.17,9.33,9.08,9.33,7696
30-Oct-13,9.11,9.18,9.08,9.18,2000
29-Oct-13,9.08,9.22,9.08,9.08,4649
28-Oct-13,9.38,9.38,9.14,9.34,750
25-Oct-13,9.14,9.69,9.07,9.48,2414
24-Oct-13,9.46,9.56,9.09,9.09,17674
23-Oct-13,9.25,9.65,9.18,9.65,25916
22-Oct-13,9.00,9.22,9.00,9.16,15023
21-Oct-13,8.88,9.07,8.88,9.00,7804
18-Oct-13,8.99,9.02,8.72,8.99,7612
17-Oct-13,9.00,9.04,8.57,9.02,7248
16-Oct-13,9.00,9.00,8.92,8.92,1493
15-Oct-13,8.97,9.00,8.83,9.00,6751
14-Oct-13,8.93,9.10,8.79,9.10,7158
11-Oct-13,8.89,9.10,8.64,8.64,19270
10-Oct-13,8.81,8.81,8.60,8.81,5928
9-Oct-13,8.61,8.88,8.61,8.75,2200
8-Oct-13,8.59,8.70,8.58,8.58,4339
7-Oct-13,8.49,8.72,8.43,8.60,3200
4-Oct-13,8.63,8.65,8.63,8.65,1386
3-Oct-13,8.70,8.70,8.56,8.62,1086
2-Oct-13,8.75,8.75,8.75,8.75,148
1-Oct-13,8.87,8.87,8.48,8.77,8991
30-Sep-13,8.88,8.98,8.83,8.83,823
27-Sep-13,8.99,9.00,8.96,8.96,4633
26-Sep-13,8.78,8.81,8.78,8.81,600
25-Sep-13,8.77,8.77,8.77,8.77,130
24-Sep-13,8.99,8.99,8.82,8.82,1511
20-Sep-13,8.77,8.99,8.77,8.98,4605
19-Sep-13,8.93,9.00,8.79,8.98,3900
18-Sep-13,8.78,9.00,8.78,8.89,1221
17-Sep-13,8.77,8.85,8.77,8.81,750
16-Sep-13,8.84,8.87,8.84,8.87,863
13-Sep-13,8.82,8.82,8.82,8.82,101
12-Sep-13,8.97,8.99,8.80,8.80,1984
11-Sep-13,8.96,9.00,8.80,8.85,3870
10-Sep-13,8.90,9.00,8.84,8.92,2546
9-Sep-13,8.77,8.93,8.77,8.88,1843
6-Sep-13,8.77,8.88,8.76,8.76,2181
5-Sep-13,8.78,8.96,8.76,8.78,5323
4-Sep-13,8.97,9.00,8.85,8.85,1971
3-Sep-13,8.93,9.00,8.83,8.96,3060
30-Aug-13,8.82,8.97,8.81,8.81,1181
29-Aug-13,8.86,8.99,8.78,8.78,2141
28-Aug-13,8.83,8.85,8.83,8.85,2245
27-Aug-13,8.99,8.99,8.85,8.86,1789
26-Aug-13,8.90,9.00,8.90,8.91,2610
23-Aug-13,8.98,8.98,8.91,8.91,300
22-Aug-13,8.98,9.04,8.98,9.02,3459
21-Aug-13,9.00,9.00,8.90,8.91,304
20-Aug-13,9.02,9.02,8.90,8.91,7263
19-Aug-13,8.88,9.04,8.88,8.91,6871
16-Aug-13,8.98,8.98,8.86,8.86,200
15-Aug-13,8.88,8.99,8.87,8.97,2000
14-Aug-13,9.01,9.02,8.87,8.87,1251
13-Aug-13,9.03,9.03,8.89,9.01,5825
12-Aug-13,9.02,9.04,8.88,9.01,4043
9-Aug-13,8.98,9.00,8.81,9.00,4591
8-Aug-13,8.76,8.86,8.76,8.80,500
7-Aug-13,9.07,9.07,8.80,8.83,10373
6-Aug-13,8.92,9.09,8.86,8.98,7335
5-Aug-13,8.99,9.00,8.85,8.94,11299
2-Aug-13,8.89,8.98,8.87,8.98,3399
1-Aug-13,8.86,9.09,8.85,9.02,10943
31-Jul-13,9.10,9.10,9.00,9.05,7520
30-Jul-13,8.85,9.10,8.85,9.10,1899
29-Jul-13,9.16,9.16,8.83,9.10,11458
26-Jul-13,8.94,9.27,8.75,9.03,26922
25-Jul-13,9.10,9.10,9.02,9.03,5490
24-Jul-13,9.11,9.20,9.05,9.05,4085
23-Jul-13,9.10,9.15,8.91,9.05,7800
22-Jul-13,8.93,9.10,8.91,8.96,7508
19-Jul-13,9.05,9.09,8.90,8.93,3260
18-Jul-13,8.97,9.10,8.92,9.01,3285
17-Jul-13,8.83,9.05,8.76,9.00,21699
16-Jul-13,9.00,9.00,8.93,9.00,14356
15-Jul-13,9.21,9.21,8.76,8.99,28310
12-Jul-13,8.88,8.88,8.73,8.73,5418
11-Jul-13,8.71,8.87,8.63,8.82,10869
10-Jul-13,8.71,8.86,8.61,8.61,3562
9-Jul-13,8.64,8.72,8.57,8.65,10412
8-Jul-13,8.58,8.60,8.57,8.60,400
5-Jul-13,8.61,8.83,8.50,8.60,6652
3-Jul-13,8.38,8.83,8.38,8.53,4100
2-Jul-13,8.63,8.90,8.48,8.57,13879
1-Jul-13,8.33,8.70,8.33,8.52,8499
28-Jun-13,8.53,8.75,8.44,8.50,209282
27-Jun-13,8.23,8.59,8.15,8.53,16278
26-Jun-13,8.28,8.56,8.11,8.25,12207
25-Jun-13,8.16,8.50,8.13,8.27,4847
24-Jun-13,8.18,8.36,8.02,8.03,9212
21-Jun-13,8.24,8.51,8.18,8.30,6711
20-Jun-13,8.25,8.28,8.18,8.19,2238
19-Jun-13,8.31,8.45,8.31,8.32,3289
18-Jun-13,8.14,8.61,8.14,8.18,9658
17-Jun-13,8.25,8.47,8.10,8.34,4226
14-Jun-13,8.15,8.20,8.10,8.13,3600
13-Jun-13,8.61,8.65,8.03,8.20,19118
12-Jun-13,8.60,8.61,8.59,8.60,1842
11-Jun-13,8.75,8.75,8.60,8.63,3830
10-Jun-13,8.80,8.88,8.75,8.86,9213
7-Jun-13,8.95,8.95,8.83,8.83,2715
6-Jun-13,8.86,8.95,8.85,8.95,2694
5-Jun-13,8.96,8.96,8.85,8.85,2492
4-Jun-13,9.01,9.05,8.97,9.01,3343
3-Jun-13,9.00,9.10,9.00,9.01,3002
31-May-13,9.02,9.10,9.00,9.08,5545
30-May-13,9.05,9.07,9.01,9.01,1815
29-May-13,9.06,9.06,9.02,9.02,1040
28-May-13,9.10,9.10,9.06,9.10,8135
24-May-13,9.10,9.10,9.08,9.10,800
23-May-13,9.08,9.10,9.08,9.08,2000
22-May-13,9.08,9.10,9.08,9.08,7834
21-May-13,9.09,9.09,9.08,9.08,1300
20-May-13,9.21,9.21,9.06,9.08,9952
17-May-13,9.10,9.10,9.07,9.08,6344
16-May-13,9.19,9.45,9.11,9.11,13242
15-May-13,9.18,9.27,9.07,9.10,6611
14-May-13,9.14,9.24,9.07,9.07,7031
13-May-13,9.14,9.26,9.14,9.18,2305
10-May-13,9.09,9.20,9.06,9.13,4625
9-May-13,9.13,9.14,9.06,9.07,3360
8-May-13,9.16,9.16,9.12,9.12,600
7-May-13,9.29,9.29,9.12,9.15,1893
6-May-13,9.54,9.54,9.12,9.29,4254
3-May-13,9.28,9.40,9.27,9.33,2135
2-May-13,9.23,9.23,9.16,9.20,2221
1-May-13,9.36,9.36,9.12,9.12,8610
30-Apr-13,9.13,9.40,9.13,9.36,2016
29-Apr-13,9.39,9.39,9.11,9.24,1125
26-Apr-13,9.01,9.56,9.01,9.40,1938
25-Apr-13,9.98,10.03,9.54,9.69,5908
24-Apr-13,9.47,9.82,9.41,9.77,6884
23-Apr-13,9.01,9.46,9.00,9.44,7391
22-Apr-13,9.04,9.20,9.04,9.20,1055
19-Apr-13,9.20,9.20,9.03,9.03,1041
18-Apr-13,9.15,9.26,9.10,9.14,2616
17-Apr-13,9.10,9.18,9.00,9.01,3742
16-Apr-13,9.08,9.30,9.05,9.08,2867
15-Apr-13,9.17,9.20,9.05,9.05,3314
12-Apr-13,9.37,9.37,9.15,9.21,2118
11-Apr-13,9.26,9.48,9.05,9.14,7647
10-Apr-13,9.26,9.27,9.21,9.27,2674
9-Apr-13,9.21,9.21,9.21,9.21,485
8-Apr-13,9.20,9.48,9.08,9.30,1539
5-Apr-13,9.30,9.30,9.30,9.30,365
4-Apr-13,9.34,9.55,9.34,9.55,1370
3-Apr-13,9.40,9.65,9.40,9.44,3921
2-Apr-13,9.47,9.47,9.37,9.37,585
1-Apr-13,9.85,9.85,9.38,9.40,835
28-Mar-13,9.42,9.45,9.42,9.42,1068
27-Mar-13,9.47,9.63,9.38,9.42,985
26-Mar-13,9.78,9.78,9.38,9.38,700
25-Mar-13,9.74,9.78,9.05,9.57,7565
22-Mar-13,9.64,9.78,9.64,9.78,200
21-Mar-13,9.68,9.76,9.68,9.76,393
20-Mar-13,9.63,9.75,9.63,9.75,789
19-Mar-13,9.62,9.62,9.62,9.62,100
18-Mar-13,9.67,9.67,9.62,9.62,211
15-Mar-13,9.75,9.75,9.45,9.75,4229
14-Mar-13,9.73,9.75,9.68,9.73,2545
13-Mar-13,9.74,9.74,9.52,9.71,1160
12-Mar-13,9.53,9.77,9.50,9.56,2864
11-Mar-13,9.72,9.78,9.70,9.74,5352
8-Mar-13,9.74,9.74,9.74,9.74,1903
7-Mar-13,9.74,9.74,9.74,9.74,166
6-Mar-13,9.77,9.78,9.51,9.75,816
5-Mar-13,9.64,9.85,9.56,9.77,7526
4-Mar-13,9.68,9.69,9.42,9.66,1413
1-Mar-13,9.73,9.75,9.69,9.69,558
28-Feb-13,9.69,9.69,9.45,9.45,1055
27-Feb-13,9.54,9.73,9.54,9.62,1138
26-Feb-13,9.62,9.78,9.62,9.78,300
25-Feb-13,9.78,9.78,9.42,9.47,3347
22-Feb-13,9.73,9.85,9.58,9.78,4567
21-Feb-13,9.82,9.85,9.45,9.71,4857
20-Feb-13,9.90,9.90,9.60,9.62,11149
19-Feb-13,9.85,9.90,9.85,9.90,1108
15-Feb-13,9.99,10.02,9.85,9.85,5954
14-Feb-13,9.73,10.00,9.70,9.95,15961
13-Feb-13,9.59,9.64,9.59,9.59,1838
12-Feb-13,9.65,9.71,9.65,9.70,6889
11-Feb-13,9.74,9.81,9.68,9.77,1510
8-Feb-13,9.70,9.73,9.68,9.73,983
7-Feb-13,9.77,9.77,9.45,9.73,1547
6-Feb-13,9.68,9.79,9.66,9.76,4724
5-Feb-13,9.64,9.68,9.45,9.68,1020
4-Feb-13,9.68,9.68,9.58,9.58,494
1-Feb-13,9.68,9.68,9.52,9.67,786
31-Jan-13,9.45,9.68,9.43,9.68,1585
30-Jan-13,9.59,9.59,9.45,9.56,852
29-Jan-13,9.84,9.85,9.68,9.69,2663
28-Jan-13,9.69,9.89,9.69,9.83,1303
25-Jan-13,9.56,9.89,9.56,9.75,3025
24-Jan-13,9.71,9.89,9.71,9.89,388
23-Jan-13,9.84,9.84,9.55,9.80,2600
22-Jan-13,9.64,9.80,9.64,9.80,587
18-Jan-13,9.56,9.80,9.56,9.64,3820
17-Jan-13,9.45,9.69,9.45,9.69,326
16-Jan-13,9.60,9.79,9.45,9.77,3648
15-Jan-13,9.61,9.80,9.50,9.52,2969
14-Jan-13,9.75,9.99,9.72,9.72,3797
