Date,Open,High,Low,Close,Volume
31-Dec-13,22.40,24.00,22.40,22.56,1439
30-Dec-13,23.44,24.00,22.58,22.88,1256
27-Dec-13,23.20,24.96,22.40,24.06,2587
26-Dec-13,23.20,24.48,21.60,24.03,1237
24-Dec-13,22.40,25.60,21.76,22.72,3083
23-Dec-13,25.12,25.12,21.60,21.60,4223
20-Dec-13,25.12,25.12,22.82,23.20,195
19-Dec-13,22.40,22.40,22.08,22.24,240
18-Dec-13,22.56,25.12,21.60,22.72,1790
17-Dec-13,23.53,23.53,21.92,23.36,1477
16-Dec-13,23.68,23.68,23.67,23.67,157
13-Dec-13,23.68,24.80,21.76,22.56,1046
12-Dec-13,22.72,22.72,22.08,22.56,708
11-Dec-13,19.52,22.08,19.04,21.92,993
10-Dec-13,21.60,21.60,19.68,20.56,168
9-Dec-13,19.20,20.64,19.20,20.48,570
6-Dec-13,18.40,19.20,18.40,19.20,216
5-Dec-13,18.88,18.88,18.38,18.38,538
4-Dec-13,18.88,20.00,18.88,20.00,903
3-Dec-13,21.44,21.44,19.06,19.06,655
2-Dec-13,18.08,20.80,18.08,20.64,1692
29-Nov-13,18.88,18.88,18.72,18.88,609
27-Nov-13,18.24,18.56,18.24,18.56,106
26-Nov-13,18.40,18.40,18.40,18.40,6
25-Nov-13,18.70,18.72,17.94,18.08,530
22-Nov-13,19.04,19.04,18.40,18.56,178
21-Nov-13,19.20,19.38,18.42,18.88,658
20-Nov-13,19.20,19.68,19.20,19.68,106
19-Nov-13,19.66,19.66,19.66,19.66,10
18-Nov-13,19.68,20.16,19.68,20.14,562
15-Nov-13,19.68,20.32,19.68,19.84,94
14-Nov-13,23.20,23.20,19.20,19.52,1352
13-Nov-13,22.40,22.40,21.44,21.44,73
12-Nov-13,24.80,24.80,21.12,21.28,786
11-Nov-13,24.72,24.72,24.72,24.72,25
8-Nov-13,24.80,24.80,24.80,24.80,36
7-Nov-13,25.08,25.28,24.80,24.80,119
6-Nov-13,25.28,25.28,25.28,25.28,72
5-Nov-13,25.60,25.60,24.80,25.28,212
4-Nov-13,25.92,25.92,25.60,25.60,84
31-Oct-13,25.92,25.92,25.92,25.92,112
30-Oct-13,25.92,25.92,25.92,25.92,62
29-Oct-13,25.92,26.56,25.92,26.08,159
28-Oct-13,25.92,25.92,25.92,25.92,38
25-Oct-13,26.24,26.24,26.24,26.24,19
24-Oct-13,25.92,26.16,25.92,26.16,53
23-Oct-13,25.92,25.92,25.92,25.92,94
22-Oct-13,25.92,25.92,25.92,25.92,8
21-Oct-13,27.20,27.20,25.92,25.92,239
18-Oct-13,25.92,25.92,25.92,25.92,131
17-Oct-13,27.20,27.20,25.92,25.92,225
15-Oct-13,27.20,27.20,27.20,27.20,18
11-Oct-13,27.04,27.20,27.04,27.17,56
10-Oct-13,25.92,27.20,25.92,25.92,131
9-Oct-13,25.76,25.92,25.76,25.92,144
8-Oct-13,25.97,25.97,25.97,25.97,28
7-Oct-13,26.40,26.40,26.40,26.40,9
4-Oct-13,27.20,27.20,27.20,27.20,24
3-Oct-13,25.76,25.76,25.76,25.76,6
2-Oct-13,25.76,25.76,25.76,25.76,6
1-Oct-13,27.20,27.22,25.60,25.60,989
30-Sep-13,27.20,27.23,27.20,27.23,12
27-Sep-13,27.34,27.34,27.34,27.34,6
25-Sep-13,25.76,25.76,25.76,25.76,112
24-Sep-13,26.88,27.20,25.60,25.60,132
23-Sep-13,27.36,27.36,27.20,27.36,277
20-Sep-13,27.20,27.36,26.41,27.20,321
18-Sep-13,26.88,26.88,26.88,26.88,6
17-Sep-13,26.72,27.36,26.72,26.72,42
16-Sep-13,26.72,26.72,26.72,26.72,12
12-Sep-13,26.64,26.64,26.64,26.64,62
10-Sep-13,26.08,26.19,26.08,26.19,256
9-Sep-13,26.99,27.36,26.99,27.33,197
6-Sep-13,26.95,26.95,26.95,26.95,50
5-Sep-13,26.08,26.41,26.08,26.41,88
4-Sep-13,27.20,27.36,26.72,26.72,262
3-Sep-13,26.24,27.00,26.24,26.72,169
28-Aug-13,25.92,25.92,25.92,25.92,31
27-Aug-13,27.52,28.00,27.36,28.00,1300
26-Aug-13,27.36,27.36,26.38,27.36,130
23-Aug-13,25.68,25.68,25.68,25.68,6
21-Aug-13,25.12,25.28,25.12,25.28,12
20-Aug-13,25.76,25.76,24.96,24.96,806
19-Aug-13,26.24,26.24,25.92,25.92,211
16-Aug-13,25.92,26.14,25.92,26.14,82
15-Aug-13,25.60,25.92,25.60,25.92,131
14-Aug-13,26.05,27.36,26.05,27.36,229
13-Aug-13,27.20,27.20,25.60,25.74,50
12-Aug-13,26.08,26.26,26.08,26.24,449
9-Aug-13,26.08,27.36,26.08,27.20,324
8-Aug-13,28.32,28.32,25.93,26.06,250
7-Aug-13,25.60,26.40,25.60,26.08,506
6-Aug-13,25.60,25.60,25.60,25.60,6
5-Aug-13,28.32,28.32,25.60,25.60,38
2-Aug-13,28.32,28.32,28.32,28.32,6
1-Aug-13,27.52,28.67,25.28,25.60,125
31-Jul-13,26.56,28.80,26.48,28.80,1748
30-Jul-13,24.00,26.72,22.88,26.40,590
29-Jul-13,22.72,24.00,22.08,23.52,1032
26-Jul-13,23.68,23.68,22.72,22.72,12
25-Jul-13,22.08,22.30,22.05,22.30,817
24-Jul-13,24.64,24.64,21.76,21.76,1286
23-Jul-13,26.56,26.56,23.84,24.00,1698
22-Jul-13,26.40,26.40,26.40,26.40,62
19-Jul-13,27.04,27.20,27.04,27.20,129
18-Jul-13,27.20,27.20,25.60,25.60,175
17-Jul-13,27.20,27.20,26.40,26.40,50
16-Jul-13,27.20,27.20,25.31,27.20,169
15-Jul-13,26.56,26.56,25.28,25.28,31
12-Jul-13,25.76,27.20,25.60,25.76,185
11-Jul-13,27.20,27.20,25.76,26.56,262
10-Jul-13,28.44,28.44,26.40,27.20,183
9-Jul-13,27.20,28.02,26.88,27.20,354
5-Jul-13,30.08,30.08,26.88,27.52,443
1-Jul-13,26.88,28.96,26.88,27.04,88
28-Jun-13,29.12,29.28,26.72,26.72,106
27-Jun-13,29.12,29.12,29.12,29.12,19
26-Jun-13,28.64,28.64,26.72,26.72,45
25-Jun-13,26.56,26.56,26.56,26.56,12
24-Jun-13,28.32,28.32,26.56,26.72,119
21-Jun-13,27.20,27.20,26.56,26.67,265
20-Jun-13,27.40,27.40,27.20,27.20,62
19-Jun-13,28.64,28.64,27.84,27.84,493
18-Jun-13,31.18,31.18,27.84,27.84,1297
17-Jun-13,33.60,33.60,28.16,28.16,1061
14-Jun-13,31.68,31.68,28.64,31.20,1044
11-Jun-13,31.04,31.04,30.56,30.56,556
10-Jun-13,29.57,29.57,29.57,29.57,14
7-Jun-13,28.64,31.68,28.64,28.96,107
5-Jun-13,29.28,30.40,29.28,30.24,461
4-Jun-13,28.32,29.28,28.32,29.28,401
3-Jun-13,29.76,29.78,29.60,29.60,583
31-May-13,30.64,30.64,29.67,30.40,106
30-May-13,28.64,30.88,28.64,30.86,475
29-May-13,28.96,28.96,28.80,28.80,84
28-May-13,30.24,30.24,30.24,30.24,8
24-May-13,27.22,30.08,27.22,30.08,56
23-May-13,29.76,29.76,27.20,27.20,50
22-May-13,27.36,30.08,27.36,29.85,62
21-May-13,29.76,30.08,27.20,27.20,315
20-May-13,30.88,30.88,26.88,28.00,1733
17-May-13,28.96,30.08,28.96,30.06,544
16-May-13,32.00,32.00,30.40,31.84,108
15-May-13,33.60,34.24,32.00,32.00,244
14-May-13,32.16,34.40,32.16,34.40,49
13-May-13,32.00,32.14,32.00,32.14,45
9-May-13,32.32,32.32,31.52,31.52,161
8-May-13,32.48,33.89,31.52,31.52,165
7-May-13,32.48,33.60,32.48,32.48,71
6-May-13,32.72,32.72,32.72,32.72,19
3-May-13,32.64,32.64,32.64,32.64,12
2-May-13,32.48,35.20,32.48,32.48,116
1-May-13,32.96,32.96,32.80,32.80,14
30-Apr-13,32.48,35.84,32.48,32.80,108
29-Apr-13,32.80,35.68,32.64,32.64,62
25-Apr-13,34.24,34.40,32.32,32.32,66
24-Apr-13,32.00,34.40,32.00,34.40,19
22-Apr-13,35.52,35.52,32.80,33.44,72
19-Apr-13,37.76,37.76,37.76,37.76,6
18-Apr-13,36.32,36.32,36.32,36.32,21
17-Apr-13,37.76,37.76,32.16,36.00,412
16-Apr-13,32.80,32.80,32.80,32.80,12
15-Apr-13,33.44,34.24,31.52,34.24,56
12-Apr-13,32.32,32.64,32.32,32.48,41
11-Apr-13,32.00,32.32,32.00,32.32,84
10-Apr-13,32.00,32.00,32.00,32.00,19
9-Apr-13,32.00,37.69,30.56,32.00,521
8-Apr-13,31.04,35.04,31.04,35.04,330
5-Apr-13,31.84,31.84,30.40,30.72,269
4-Apr-13,31.98,32.16,31.84,31.84,62
3-Apr-13,31.52,32.00,30.56,31.68,504
2-Apr-13,30.40,32.53,30.40,32.53,42
1-Apr-13,34.08,34.08,32.00,32.00,137
28-Mar-13,34.40,34.72,34.40,34.72,100
27-Mar-13,33.76,34.40,33.60,34.24,420
26-Mar-13,31.52,31.68,31.52,31.68,105
25-Mar-13,25.60,34.24,25.60,31.68,1629
22-Mar-13,25.12,27.84,25.12,26.88,1118
21-Mar-13,29.28,29.28,24.80,26.72,829
20-Mar-13,33.28,33.60,27.20,29.44,2679
19-Mar-13,37.17,37.22,33.31,33.60,50
18-Mar-13,36.48,36.96,35.20,35.46,350
15-Mar-13,34.56,34.56,34.56,34.56,6
14-Mar-13,35.84,36.48,34.40,34.40,453
13-Mar-13,34.08,36.24,34.08,34.08,78
12-Mar-13,32.96,36.96,32.96,36.96,212
11-Mar-13,32.80,33.28,32.80,32.96,237
8-Mar-13,36.00,36.38,32.80,32.80,999
7-Mar-13,36.00,37.54,36.00,36.00,274
6-Mar-13,36.32,37.64,36.00,36.00,461
5-Mar-13,36.64,36.64,36.16,36.32,149
4-Mar-13,36.48,36.48,36.48,36.48,47
1-Mar-13,36.64,36.64,35.20,36.48,121
28-Feb-13,35.20,36.32,35.20,35.20,88
27-Feb-13,35.84,37.60,35.04,37.10,119
26-Feb-13,37.22,37.60,36.80,37.60,316
25-Feb-13,36.80,36.80,35.20,35.20,167
22-Feb-13,38.92,38.92,37.52,37.60,102
21-Feb-13,33.92,38.24,33.92,38.24,1101
20-Feb-13,37.76,37.81,32.64,32.64,634
19-Feb-13,41.12,41.12,36.80,38.56,2061
15-Feb-13,33.44,41.12,32.32,41.12,3610
14-Feb-13,30.08,32.48,28.80,32.48,1854
13-Feb-13,25.76,28.80,25.76,28.80,985
