Date,Open,High,Low,Close,Volume
31-Dec-13,11.60,11.90,11.30,11.80,89432
30-Dec-13,12.20,12.20,11.00,11.80,166592
27-Dec-13,12.00,12.30,11.70,12.10,81864
26-Dec-13,12.20,12.40,11.70,11.90,177464
24-Dec-13,11.30,12.40,11.30,12.10,147638
23-Dec-13,11.00,11.50,10.80,11.50,193053
20-Dec-13,10.50,11.25,10.30,11.00,371250
19-Dec-13,10.20,10.60,10.10,10.40,118615
18-Dec-13,10.30,10.60,10.20,10.40,102271
17-Dec-13,10.10,10.60,10.10,10.20,149768
16-Dec-13,10.50,10.50,10.10,10.15,117985
13-Dec-13,10.70,10.90,10.50,10.50,76809
12-Dec-13,10.50,11.00,10.50,10.80,66448
11-Dec-13,11.00,11.25,10.60,10.60,121820
10-Dec-13,11.10,11.20,10.90,10.90,160199
9-Dec-13,11.20,11.20,10.90,11.00,78714
6-Dec-13,11.40,11.40,10.95,11.20,90574
5-Dec-13,11.70,11.70,11.00,11.30,97808
4-Dec-13,12.00,12.00,11.40,11.50,96926
3-Dec-13,12.50,12.60,11.70,12.00,149488
2-Dec-13,11.60,12.50,11.40,12.00,214821
29-Nov-13,11.60,11.60,11.20,11.60,51723
27-Nov-13,11.30,11.60,11.30,11.50,84032
26-Nov-13,11.20,11.60,11.00,11.30,156630
25-Nov-13,11.10,11.30,11.00,11.10,97431
22-Nov-13,11.00,11.00,10.80,11.00,53123
21-Nov-13,11.10,11.30,10.80,11.00,109930
20-Nov-13,10.80,11.10,10.80,11.00,34111
19-Nov-13,11.10,11.30,10.80,10.90,85345
18-Nov-13,11.70,11.90,11.00,11.00,70688
15-Nov-13,11.00,11.70,11.00,11.60,92673
14-Nov-13,11.20,11.30,11.00,11.10,27704
13-Nov-13,10.90,11.30,10.90,11.20,47147
12-Nov-13,11.40,11.70,11.00,11.10,58159
11-Nov-13,11.30,11.80,11.30,11.50,40175
8-Nov-13,11.20,11.40,11.00,11.40,82483
7-Nov-13,12.40,12.60,11.10,11.30,165823
6-Nov-13,12.90,12.90,12.40,12.40,58185
5-Nov-13,12.60,12.80,12.50,12.70,50346
4-Nov-13,12.90,13.20,12.60,12.70,80873
1-Nov-13,12.50,12.95,12.40,12.60,91521
31-Oct-13,12.90,12.90,12.40,12.50,121010
30-Oct-13,13.80,13.90,13.10,13.10,117312
29-Oct-13,14.40,14.50,13.60,13.80,112472
28-Oct-13,14.20,14.80,14.00,14.00,89439
25-Oct-13,15.00,15.00,14.20,14.39,90563
24-Oct-13,15.00,15.00,14.00,14.80,249968
23-Oct-13,13.50,15.30,13.50,14.90,555290
22-Oct-13,13.70,13.70,13.40,13.50,141426
21-Oct-13,13.50,14.20,13.40,13.60,133253
18-Oct-13,13.10,14.00,12.80,13.40,256160
17-Oct-13,12.70,13.00,12.70,12.99,77490
16-Oct-13,12.70,12.80,12.60,12.70,53561
15-Oct-13,12.80,13.00,12.60,12.60,40961
14-Oct-13,13.00,13.10,12.80,12.90,54049
11-Oct-13,12.80,13.10,12.80,12.90,47516
10-Oct-13,12.90,13.30,12.70,12.90,84337
9-Oct-13,12.90,13.10,12.50,12.60,98336
8-Oct-13,13.80,14.40,12.70,12.70,244571
7-Oct-13,12.50,13.50,12.50,13.50,180977
4-Oct-13,12.60,12.90,12.60,12.70,79157
3-Oct-13,13.00,13.20,12.60,12.60,137376
2-Oct-13,12.70,12.90,12.50,12.60,92896
1-Oct-13,12.50,12.90,12.50,12.80,104241
30-Sep-13,12.80,12.90,12.50,12.50,99140
27-Sep-13,12.80,13.00,12.74,12.90,101111
26-Sep-13,12.90,13.00,12.50,12.90,65084
25-Sep-13,12.70,13.10,12.50,12.90,139300
24-Sep-13,12.10,12.70,12.10,12.70,124429
23-Sep-13,12.50,12.55,12.10,12.41,127002
20-Sep-13,12.30,12.60,12.30,12.50,150349
19-Sep-13,12.20,12.30,12.10,12.25,71267
18-Sep-13,12.60,12.60,12.10,12.20,149502
17-Sep-13,12.50,12.80,12.40,12.50,104591
16-Sep-13,12.70,12.80,12.50,12.60,66252
13-Sep-13,12.80,12.80,12.20,12.70,118654
12-Sep-13,13.50,13.50,12.60,12.80,226229
11-Sep-13,12.40,13.40,12.30,13.30,435116
10-Sep-13,12.40,12.40,12.10,12.30,137517
9-Sep-13,12.30,12.55,12.00,12.40,155574
6-Sep-13,11.80,12.60,11.70,12.40,255135
5-Sep-13,12.20,12.20,11.80,11.90,168119
4-Sep-13,12.50,12.60,12.10,12.20,150830
3-Sep-13,13.10,13.20,12.30,12.50,282603
30-Aug-13,13.00,13.20,12.90,12.90,97052
29-Aug-13,13.10,13.50,12.90,13.10,144353
28-Aug-13,13.10,13.30,12.90,13.20,141781
27-Aug-13,13.50,13.70,13.00,13.00,265932
26-Aug-13,13.50,14.10,13.50,13.60,176830
23-Aug-13,13.50,13.80,13.40,13.50,178081
22-Aug-13,13.20,13.80,13.05,13.30,67205
21-Aug-13,13.40,13.50,12.45,13.20,360354
20-Aug-13,14.00,14.40,13.40,13.50,178028
19-Aug-13,14.20,14.60,13.80,14.00,173870
16-Aug-13,14.40,14.50,13.90,14.00,256986
15-Aug-13,14.90,15.00,14.30,14.50,322292
14-Aug-13,15.80,16.40,14.70,15.10,588032
13-Aug-13,15.40,16.30,15.35,16.20,728403
12-Aug-13,14.50,16.10,13.70,15.30,3092451
9-Aug-13,37.00,37.00,35.70,35.80,129657
8-Aug-13,37.90,37.90,36.50,37.20,73226
7-Aug-13,37.70,38.60,37.00,37.30,91656
6-Aug-13,39.60,39.90,36.20,37.90,205942
5-Aug-13,41.10,41.80,39.50,39.90,242837
2-Aug-13,43.80,44.90,40.25,41.80,311450
1-Aug-13,39.00,45.10,38.70,42.60,416138
31-Jul-13,41.00,41.80,38.20,38.60,403140
30-Jul-13,34.80,38.90,33.90,38.60,357773
29-Jul-13,34.40,36.00,34.30,34.40,73918
26-Jul-13,35.00,35.40,34.00,34.60,45749
25-Jul-13,34.40,35.90,33.70,35.50,76327
24-Jul-13,34.10,34.50,33.00,34.40,87352
23-Jul-13,35.50,35.50,33.40,33.50,107884
22-Jul-13,36.10,36.50,34.30,35.10,62839
19-Jul-13,37.40,37.90,34.90,36.20,93638
18-Jul-13,38.60,38.60,37.40,37.70,59064
17-Jul-13,38.30,38.60,37.60,38.30,69416
16-Jul-13,38.00,38.30,37.60,38.10,127013
15-Jul-13,37.60,38.31,36.90,38.10,80535
12-Jul-13,37.20,37.60,36.10,37.30,152026
11-Jul-13,36.70,37.30,36.00,37.20,84721
10-Jul-13,36.50,36.60,33.60,36.30,100984
9-Jul-13,36.30,37.35,35.10,36.60,156068
8-Jul-13,36.70,36.96,34.70,36.10,96587
5-Jul-13,34.50,36.10,33.90,36.10,77286
3-Jul-13,33.50,34.20,33.10,33.80,27793
2-Jul-13,32.50,33.50,32.50,33.50,46728
1-Jul-13,31.80,32.90,31.50,32.50,76079
28-Jun-13,31.30,31.40,31.00,31.30,95383
27-Jun-13,30.90,31.40,30.60,31.40,55206
26-Jun-13,30.90,31.09,30.20,30.60,42457
25-Jun-13,30.70,31.00,29.40,30.30,65571
24-Jun-13,29.60,30.60,29.13,30.10,64891
21-Jun-13,30.00,30.20,29.00,29.80,123587
20-Jun-13,30.90,31.29,29.60,29.80,87922
19-Jun-13,31.40,31.70,31.00,31.10,92784
18-Jun-13,29.80,31.00,29.80,30.80,92367
17-Jun-13,29.80,30.00,29.30,29.60,86564
14-Jun-13,29.40,29.70,29.00,29.30,87502
13-Jun-13,29.50,30.58,29.30,29.40,60783
12-Jun-13,30.20,30.80,29.50,29.50,130482
11-Jun-13,30.40,30.40,29.90,30.00,89604
10-Jun-13,32.50,32.50,30.40,30.80,79574
7-Jun-13,30.60,32.00,29.80,31.89,157121
6-Jun-13,30.70,31.50,29.80,30.50,128450
5-Jun-13,32.40,33.60,30.50,30.50,127571
4-Jun-13,34.80,35.30,32.00,32.50,161720
3-Jun-13,35.30,35.60,32.50,34.40,159510
31-May-13,35.70,36.30,35.00,35.10,69011
30-May-13,35.30,36.39,34.90,35.90,31411
29-May-13,35.50,35.90,34.50,35.10,62289
28-May-13,36.20,36.90,34.50,35.70,81350
24-May-13,35.50,36.10,34.90,35.00,45539
23-May-13,34.70,36.10,34.50,35.80,51216
22-May-13,36.50,37.30,34.80,35.10,62002
21-May-13,36.00,37.00,36.00,36.30,39527
20-May-13,36.00,36.50,35.90,36.10,50508
17-May-13,35.30,36.39,34.50,35.90,63223
16-May-13,36.00,36.60,35.20,35.70,46108
15-May-13,36.10,37.00,35.00,35.70,63775
14-May-13,34.80,36.50,34.80,36.40,54978
13-May-13,35.60,36.50,34.40,34.50,92399
10-May-13,35.00,36.15,34.10,35.40,55673
9-May-13,36.00,37.80,34.50,34.80,156599
8-May-13,35.10,35.30,34.20,34.50,79431
7-May-13,36.10,36.40,35.00,35.20,56804
6-May-13,36.50,37.40,35.30,35.60,94323
3-May-13,34.60,36.20,33.90,35.80,88057
2-May-13,34.70,35.50,33.60,34.40,72954
1-May-13,37.00,37.40,34.20,34.60,117873
30-Apr-13,37.10,37.50,36.60,36.90,36477
29-Apr-13,37.40,37.77,36.40,36.80,32699
26-Apr-13,37.40,37.90,36.30,36.90,52962
25-Apr-13,36.80,38.50,36.40,37.60,58086
24-Apr-13,36.20,36.70,35.00,36.30,48577
23-Apr-13,37.90,38.00,35.90,36.30,52095
22-Apr-13,38.40,38.60,37.10,37.50,36418
19-Apr-13,36.70,38.30,36.10,38.15,58506
18-Apr-13,38.50,39.01,36.60,36.80,103706
17-Apr-13,39.40,39.50,37.90,38.50,40602
16-Apr-13,40.10,40.20,37.65,40.00,91302
15-Apr-13,41.20,41.40,38.85,39.30,95466
12-Apr-13,41.20,42.00,40.90,41.30,47074
11-Apr-13,41.20,41.20,40.10,41.00,45701
10-Apr-13,40.40,41.30,40.10,41.10,53017
9-Apr-13,41.10,41.60,39.90,40.10,42693
8-Apr-13,42.40,42.40,40.20,40.90,83753
5-Apr-13,42.20,43.50,40.90,42.10,121019
4-Apr-13,40.60,42.65,40.20,42.20,106215
3-Apr-13,39.50,41.10,39.40,40.30,67408
2-Apr-13,39.20,40.80,39.20,39.50,56517
1-Apr-13,39.10,39.80,38.60,38.80,67893
28-Mar-13,40.60,41.00,38.60,39.80,68700
27-Mar-13,40.00,41.60,39.40,40.50,73854
26-Mar-13,40.70,40.80,39.60,40.30,34865
25-Mar-13,38.80,41.40,38.80,40.40,63371
22-Mar-13,38.10,38.70,37.80,38.30,37463
21-Mar-13,38.50,38.60,37.85,38.00,24660
20-Mar-13,38.70,39.30,38.20,38.70,19394
19-Mar-13,39.60,39.80,37.80,38.50,36065
18-Mar-13,39.50,39.80,38.70,39.40,33528
15-Mar-13,41.00,41.50,39.80,40.00,78800
14-Mar-13,40.00,41.00,39.00,40.90,56422
13-Mar-13,41.70,42.00,39.54,40.00,65158
12-Mar-13,41.00,42.00,40.00,41.70,55861
11-Mar-13,42.30,43.00,40.30,41.60,77595
8-Mar-13,40.00,42.60,39.90,42.60,168531
7-Mar-13,40.00,40.50,37.20,39.70,116852
6-Mar-13,35.00,40.70,34.70,40.40,242750
5-Mar-13,33.60,35.00,33.40,35.00,53689
4-Mar-13,32.30,33.40,31.90,33.40,43056
1-Mar-13,31.40,32.50,31.00,32.50,31727
28-Feb-13,31.70,32.80,31.30,32.00,60721
27-Feb-13,32.70,33.10,31.50,31.70,33482
26-Feb-13,32.00,32.80,31.30,32.60,31461
25-Feb-13,33.00,33.40,31.80,31.90,30832
22-Feb-13,32.60,32.90,31.60,32.60,30157
21-Feb-13,33.50,34.00,31.20,32.20,73430
20-Feb-13,34.50,34.80,33.50,33.50,39859
19-Feb-13,34.30,35.20,33.60,34.60,45938
15-Feb-13,33.80,34.20,33.25,34.10,51614
14-Feb-13,33.90,34.00,33.30,33.40,31017
13-Feb-13,33.60,34.00,32.60,33.90,40720
12-Feb-13,34.50,34.80,33.50,33.60,35221
11-Feb-13,34.50,35.00,34.00,34.60,37883
8-Feb-13,36.00,36.00,34.10,34.60,56904
7-Feb-13,36.40,36.50,34.70,35.60,65314
6-Feb-13,36.50,38.10,35.30,36.40,231678
5-Feb-13,36.30,37.30,36.10,36.60,179639
4-Feb-13,36.50,36.90,35.70,36.00,71454
1-Feb-13,36.40,36.50,35.60,36.00,59252
31-Jan-13,36.00,36.50,35.40,35.80,46183
30-Jan-13,34.00,36.60,34.00,35.70,121002
29-Jan-13,33.50,34.00,33.05,33.70,39080
28-Jan-13,33.40,33.90,33.10,33.70,29407
25-Jan-13,34.30,34.30,32.60,33.40,31818
24-Jan-13,35.10,35.70,33.60,34.10,38874
23-Jan-13,34.90,35.50,34.70,35.10,55246
22-Jan-13,34.80,35.65,34.00,35.10,50662
18-Jan-13,35.20,35.30,34.15,34.90,38815
17-Jan-13,35.20,36.25,35.00,35.20,61409
16-Jan-13,35.50,36.20,34.90,35.00,48934
15-Jan-13,33.00,36.30,33.00,35.50,83831
14-Jan-13,33.20,33.90,32.90,33.30,33490
11-Jan-13,33.30,33.80,32.70,33.10,50212
10-Jan-13,33.00,33.90,32.20,33.20,56603
9-Jan-13,31.50,33.00,31.50,32.80,50652
8-Jan-13,31.20,31.20,30.50,31.20,20135
7-Jan-13,31.20,32.00,30.80,31.10,37062
4-Jan-13,31.00,31.80,30.40,31.50,35878
3-Jan-13,30.90,31.90,30.50,30.80,69270
2-Jan-13,30.40,31.00,29.70,30.90,68333
31-Dec-12,27.20,29.50,27.20,29.10,72604
28-Dec-12,27.90,28.30,26.10,27.40,129881
27-Dec-12,30.10,30.70,27.80,28.10,122587
26-Dec-12,30.40,31.00,29.50,30.20,45421
24-Dec-12,30.80,31.00,30.20,30.50,19868
21-Dec-12,30.40,31.00,29.60,30.90,87465
20-Dec-12,30.10,30.90,29.70,30.70,51684
19-Dec-12,30.70,31.00,29.60,30.20,54788
18-Dec-12,30.70,30.90,30.10,30.70,33567
17-Dec-12,31.00,31.50,30.50,30.60,35472
14-Dec-12,29.60,31.00,29.60,30.80,43292
13-Dec-12,29.70,30.40,29.30,29.80,22024
12-Dec-12,30.20,30.50,29.30,29.50,34223
11-Dec-12,29.60,30.30,29.20,30.20,31500
10-Dec-12,29.00,29.90,29.00,29.30,23806
7-Dec-12,30.50,30.50,29.00,29.10,41508
6-Dec-12,30.30,30.70,29.80,30.20,28688
5-Dec-12,30.20,31.10,30.00,30.20,36489
4-Dec-12,30.80,31.70,29.80,30.10,54091
3-Dec-12,31.80,31.80,30.05,30.50,57268
30-Nov-12,33.00,33.00,31.20,31.40,117148
29-Nov-12,31.10,32.70,31.10,32.40,80775
28-Nov-12,29.90,30.90,29.40,30.60,72387
27-Nov-12,31.00,31.00,29.60,29.90,96355
26-Nov-12,28.70,29.80,28.10,29.10,259002
23-Nov-12,28.10,28.90,27.70,28.70,25592
21-Nov-12,28.40,28.60,27.80,28.10,93887
20-Nov-12,28.30,28.60,28.00,28.20,72347
19-Nov-12,28.80,29.40,28.00,28.40,95090
16-Nov-12,29.10,29.40,28.00,28.50,71714
15-Nov-12,29.10,29.50,28.10,29.10,67690
14-Nov-12,30.10,30.60,28.80,29.10,66677
13-Nov-12,29.50,30.70,29.50,30.10,30631
12-Nov-12,29.80,30.50,29.00,29.80,47848
9-Nov-12,30.20,30.60,29.00,29.80,106484
8-Nov-12,31.80,34.30,30.00,30.60,44006
7-Nov-12,33.60,34.00,29.70,31.50,170140
6-Nov-12,34.10,34.60,33.50,34.40,42904
5-Nov-12,33.00,34.30,32.80,33.90,24522
2-Nov-12,33.90,34.50,33.00,33.10,42180
1-Nov-12,34.10,34.50,33.60,33.80,36075
31-Oct-12,34.60,35.00,33.67,34.10,35033
26-Oct-12,35.30,35.60,34.30,34.70,32412
25-Oct-12,35.90,35.90,34.90,35.20,31358
24-Oct-12,36.50,36.90,35.25,35.60,31318
23-Oct-12,35.40,36.80,34.50,36.40,76056
22-Oct-12,36.20,36.30,35.10,35.80,53917
19-Oct-12,38.30,38.80,35.80,36.40,64888
18-Oct-12,38.40,39.30,37.98,38.70,42975
17-Oct-12,38.80,39.20,37.10,38.40,97587
16-Oct-12,39.50,39.80,38.50,38.70,68502
15-Oct-12,38.80,40.00,38.30,39.20,44782
12-Oct-12,40.60,40.60,38.50,38.90,60973
11-Oct-12,40.30,41.00,40.30,40.50,38739
10-Oct-12,40.60,41.50,39.20,39.90,47681
9-Oct-12,42.30,42.30,39.70,40.30,72400
8-Oct-12,43.10,43.10,41.90,42.10,38261
5-Oct-12,43.00,44.00,42.50,43.20,45613
4-Oct-12,42.40,43.00,42.00,42.70,37955
3-Oct-12,43.30,43.30,42.20,42.30,30461
2-Oct-12,43.30,43.60,42.10,43.20,51893
1-Oct-12,43.50,44.20,42.70,42.99,50462
28-Sep-12,43.50,44.10,43.10,43.30,39847
27-Sep-12,43.30,44.50,43.20,43.80,70632
26-Sep-12,45.90,45.90,41.60,43.40,139227
25-Sep-12,46.20,47.40,45.00,45.80,130986
24-Sep-12,43.70,45.50,43.55,45.40,98251
21-Sep-12,44.30,44.80,43.40,44.30,165247
20-Sep-12,43.00,43.10,41.50,42.30,78309
19-Sep-12,42.60,44.50,42.50,43.30,132021
18-Sep-12,41.30,42.30,41.00,42.30,101550
17-Sep-12,40.10,41.80,40.10,41.20,86779
14-Sep-12,41.10,41.90,39.65,39.90,162337
13-Sep-12,41.20,42.40,39.20,40.20,387245
12-Sep-12,38.10,38.70,37.50,37.70,34517
11-Sep-12,37.40,38.20,37.20,38.00,38334
10-Sep-12,38.10,38.20,37.00,37.20,30517
