Date,Open,High,Low,Close,Volume
31-Dec-13,2.32,2.44,2.28,2.33,51500
30-Dec-13,2.34,2.48,2.33,2.37,52637
27-Dec-13,2.35,2.41,2.35,2.37,40346
26-Dec-13,2.31,2.39,2.31,2.34,19210
24-Dec-13,2.25,2.35,2.25,2.35,20959
23-Dec-13,2.35,2.35,2.27,2.28,3483437
20-Dec-13,2.33,2.38,2.32,2.34,13739
19-Dec-13,2.38,2.38,2.23,2.32,15813
18-Dec-13,2.35,2.37,2.28,2.36,1521289
17-Dec-13,2.25,2.37,2.25,2.35,20745
16-Dec-13,2.26,2.38,2.23,2.23,34007
13-Dec-13,2.40,2.44,2.26,2.28,28901
12-Dec-13,2.27,2.37,2.25,2.25,54081
11-Dec-13,2.29,2.31,2.28,2.28,10252
10-Dec-13,2.28,2.34,2.28,2.33,4386
9-Dec-13,2.30,2.35,2.27,2.28,19426
6-Dec-13,2.33,2.34,2.27,2.33,33268
5-Dec-13,2.33,2.33,2.30,2.32,6300
4-Dec-13,2.33,2.36,2.30,2.34,11082
3-Dec-13,2.37,2.37,2.30,2.31,11890
2-Dec-13,2.40,2.41,2.30,2.32,26310
29-Nov-13,2.43,2.43,2.33,2.38,9214
27-Nov-13,2.50,2.50,2.32,2.45,61526
26-Nov-13,2.50,2.51,2.29,2.29,88621
25-Nov-13,2.33,2.40,2.32,2.39,7506
22-Nov-13,2.37,2.39,2.33,2.33,8471
21-Nov-13,2.33,2.39,2.33,2.39,15931
20-Nov-13,2.35,2.38,2.32,2.33,12485
19-Nov-13,2.38,2.44,2.33,2.37,12269
18-Nov-13,2.45,2.45,2.40,2.40,4296
15-Nov-13,2.35,2.45,2.35,2.45,4200
14-Nov-13,2.47,2.47,2.40,2.47,11800
13-Nov-13,2.38,2.46,2.38,2.45,19332
12-Nov-13,2.40,2.45,2.40,2.41,16740
11-Nov-13,2.27,2.44,2.27,2.44,10200
8-Nov-13,2.31,2.38,2.30,2.33,18228
7-Nov-13,2.30,2.35,2.27,2.28,24326
6-Nov-13,2.30,2.38,2.30,2.31,13534
5-Nov-13,2.30,2.35,2.30,2.31,19800
4-Nov-13,2.30,2.35,2.30,2.30,23937
1-Nov-13,2.37,2.38,2.31,2.31,25006
31-Oct-13,2.33,2.40,2.33,2.40,13250
30-Oct-13,2.37,2.41,2.31,2.35,18149
29-Oct-13,2.38,2.43,2.38,2.38,17588
28-Oct-13,2.36,2.46,2.36,2.40,17091
25-Oct-13,2.38,2.41,2.37,2.37,23470
24-Oct-13,2.40,2.41,2.35,2.36,15221
23-Oct-13,2.30,2.45,2.30,2.39,23683
22-Oct-13,2.42,2.48,2.30,2.32,85133
21-Oct-13,2.36,2.48,2.35,2.42,67955
18-Oct-13,2.33,2.35,2.28,2.31,56279
17-Oct-13,2.32,2.39,2.32,2.33,40563
16-Oct-13,2.30,2.39,2.30,2.32,72072
15-Oct-13,2.36,2.41,2.24,2.31,79922
14-Oct-13,2.27,2.41,2.27,2.38,18188
11-Oct-13,2.37,2.38,2.31,2.31,24839
10-Oct-13,2.41,2.42,2.40,2.41,21862
9-Oct-13,2.35,2.41,2.35,2.37,14786
8-Oct-13,2.37,2.43,2.35,2.35,23223
7-Oct-13,2.34,2.44,2.34,2.35,30628
4-Oct-13,2.34,2.44,2.34,2.42,21997
3-Oct-13,2.40,2.40,2.32,2.37,24611
2-Oct-13,2.27,2.44,2.27,2.41,32067
1-Oct-13,2.30,2.41,2.27,2.31,13195
30-Sep-13,2.26,2.35,2.22,2.31,19852
27-Sep-13,2.21,2.29,2.20,2.22,32739
26-Sep-13,2.36,2.39,2.22,2.27,26773
25-Sep-13,2.33,2.40,2.28,2.36,31839
24-Sep-13,2.20,2.34,2.16,2.30,20320
23-Sep-13,2.13,2.50,2.11,2.16,113921
20-Sep-13,2.23,2.23,2.15,2.18,17372
19-Sep-13,2.11,2.23,2.11,2.19,7226
18-Sep-13,2.22,2.22,2.16,2.17,30825
17-Sep-13,2.11,2.23,2.11,2.18,13403
16-Sep-13,2.12,2.23,2.12,2.14,33627
13-Sep-13,2.15,2.25,2.10,2.14,36334
12-Sep-13,2.20,2.25,2.11,2.11,57138
11-Sep-13,2.12,2.21,2.10,2.17,20886
10-Sep-13,2.08,2.20,2.08,2.09,89119
9-Sep-13,2.32,2.32,2.07,2.11,190620
6-Sep-13,2.09,2.13,2.09,2.09,39873
5-Sep-13,2.09,2.15,2.09,2.11,11533
4-Sep-13,2.18,2.20,2.05,2.10,103604
3-Sep-13,2.19,2.24,2.18,2.22,4169
30-Aug-13,2.20,2.23,2.17,2.18,10180
29-Aug-13,2.20,2.25,2.19,2.20,18858
28-Aug-13,2.27,2.35,2.15,2.23,33264
27-Aug-13,2.29,2.31,2.27,2.27,24289
26-Aug-13,2.30,2.32,2.28,2.29,15008
23-Aug-13,2.30,2.32,2.30,2.31,19091
22-Aug-13,2.32,2.33,2.30,2.31,7157
21-Aug-13,2.31,2.32,2.31,2.31,20500
20-Aug-13,2.33,2.36,2.31,2.31,2200
19-Aug-13,2.32,2.38,2.30,2.30,20419
16-Aug-13,2.35,2.39,2.30,2.31,20046
15-Aug-13,2.33,2.39,2.31,2.35,15160
14-Aug-13,2.29,2.36,2.28,2.33,7246
13-Aug-13,2.27,2.36,2.27,2.28,7700
12-Aug-13,2.27,2.35,2.27,2.27,9138
9-Aug-13,2.28,2.29,2.26,2.26,11680
8-Aug-13,2.27,2.29,2.26,2.26,5613
7-Aug-13,2.33,2.39,2.25,2.27,20608
6-Aug-13,2.25,2.32,2.25,2.30,11122
5-Aug-13,2.25,2.28,2.25,2.27,35835
2-Aug-13,2.29,2.29,2.25,2.29,14242
1-Aug-13,2.31,2.32,2.25,2.28,8581
31-Jul-13,2.22,2.32,2.22,2.28,9923
30-Jul-13,2.24,2.27,2.22,2.25,28321
29-Jul-13,2.31,2.36,2.24,2.26,28404
26-Jul-13,2.32,2.42,2.32,2.34,24025
25-Jul-13,2.49,2.51,2.32,2.38,24807
24-Jul-13,2.37,2.53,2.34,2.43,29163
23-Jul-13,2.35,2.50,2.32,2.45,40925
22-Jul-13,2.38,2.40,2.31,2.39,15664
19-Jul-13,2.38,2.40,2.35,2.38,10901
18-Jul-13,2.34,2.42,2.34,2.36,29490
17-Jul-13,2.27,2.44,2.27,2.36,88403
16-Jul-13,2.60,2.74,2.33,2.40,103232
15-Jul-13,2.05,2.85,2.02,2.54,584026
12-Jul-13,2.01,2.07,1.99,2.05,19675
11-Jul-13,2.07,2.07,1.97,2.04,22648
10-Jul-13,2.04,2.05,2.04,2.05,11924
9-Jul-13,2.02,2.07,2.01,2.05,18661
8-Jul-13,2.01,2.11,2.00,2.01,15083
5-Jul-13,1.95,2.09,1.95,2.09,19578
3-Jul-13,1.99,2.06,1.97,2.01,15954
2-Jul-13,2.00,2.07,1.95,2.04,20489
1-Jul-13,2.02,2.07,1.97,1.99,14016
28-Jun-13,2.06,2.08,2.00,2.03,19302
27-Jun-13,1.97,2.10,1.96,1.97,42407
26-Jun-13,1.94,2.00,1.93,1.93,42433
25-Jun-13,1.91,2.01,1.91,1.93,83553
24-Jun-13,1.95,1.98,1.90,1.90,25459
21-Jun-13,2.00,2.00,1.97,1.97,27960
20-Jun-13,1.91,2.14,1.91,1.95,29881
19-Jun-13,2.01,2.08,1.94,1.94,18476
18-Jun-13,2.01,2.14,1.95,2.03,100289
17-Jun-13,1.93,2.03,1.89,1.98,591469
14-Jun-13,1.79,1.95,1.77,1.93,32880
13-Jun-13,1.79,1.85,1.77,1.83,128092
12-Jun-13,1.86,1.86,1.80,1.80,21489
11-Jun-13,1.77,1.93,1.77,1.84,21327
10-Jun-13,1.94,1.94,1.77,1.79,36645
7-Jun-13,1.80,1.94,1.80,1.88,17947
6-Jun-13,1.87,2.05,1.80,1.88,38060
5-Jun-13,1.93,1.93,1.78,1.84,155776
4-Jun-13,1.94,1.99,1.91,1.92,31194
3-Jun-13,1.95,2.00,1.91,2.00,90727
31-May-13,1.92,1.99,1.91,1.97,33627
30-May-13,1.98,1.99,1.94,1.97,26214
29-May-13,1.98,2.05,1.97,2.05,12344
28-May-13,2.04,2.04,1.98,2.00,27805
24-May-13,1.97,2.02,1.95,1.96,36920
23-May-13,1.97,2.02,1.94,1.96,25969
22-May-13,1.97,2.03,1.97,2.00,25566
21-May-13,2.04,2.04,1.97,1.99,24645
20-May-13,2.04,2.04,1.97,1.99,64177
17-May-13,2.02,2.05,1.96,2.04,54749
16-May-13,1.96,2.07,1.95,2.03,449367
15-May-13,1.95,2.10,1.95,2.08,50450
14-May-13,2.05,2.06,2.01,2.04,35531
13-May-13,2.02,2.07,1.97,2.01,47681
10-May-13,2.01,2.08,2.00,2.00,34383
9-May-13,2.00,2.06,1.96,1.96,30712
8-May-13,2.03,2.08,1.99,2.01,47018
7-May-13,2.02,2.03,2.00,2.00,26998
6-May-13,2.02,2.10,2.02,2.03,51571
3-May-13,2.04,2.10,2.01,2.03,41425
2-May-13,1.91,2.06,1.91,2.02,38007
1-May-13,1.89,1.94,1.84,1.90,16916
30-Apr-13,1.91,2.00,1.90,1.91,82235
29-Apr-13,1.84,1.91,1.84,1.88,24087
26-Apr-13,1.78,1.84,1.70,1.81,128368
25-Apr-13,1.88,1.90,1.80,1.88,25653
24-Apr-13,1.83,1.91,1.72,1.90,33471
23-Apr-13,1.84,1.86,1.80,1.82,142063
22-Apr-13,1.88,1.88,1.80,1.83,44104
19-Apr-13,1.94,1.94,1.89,1.89,62271
18-Apr-13,1.95,2.02,1.88,1.91,14019
17-Apr-13,1.97,2.03,1.93,1.97,41573
16-Apr-13,1.94,2.00,1.94,1.99,45835
15-Apr-13,1.99,2.00,1.93,1.95,82835
12-Apr-13,1.99,2.05,1.97,2.01,78373
11-Apr-13,1.91,2.05,1.91,1.96,42972
10-Apr-13,1.94,2.03,1.94,1.94,36050
9-Apr-13,1.97,2.05,1.97,1.97,28877
8-Apr-13,1.97,2.05,1.95,1.98,24414
5-Apr-13,1.95,2.04,1.95,2.00,35719
4-Apr-13,1.92,2.04,1.92,2.00,55296
3-Apr-13,2.06,2.08,1.90,1.95,77094
2-Apr-13,1.93,2.06,1.93,2.00,37552
1-Apr-13,2.01,2.08,1.96,1.98,534861
28-Mar-13,2.08,2.09,1.93,1.98,41958
27-Mar-13,2.03,2.09,2.02,2.08,28177
26-Mar-13,2.05,2.06,1.97,2.04,15689
25-Mar-13,2.00,2.13,2.00,2.08,25235
22-Mar-13,2.17,2.21,1.97,1.99,138976
21-Mar-13,2.02,2.20,2.02,2.12,83836
20-Mar-13,1.99,2.09,1.93,2.01,554123
19-Mar-13,2.05,2.05,1.96,1.98,55846
18-Mar-13,1.93,2.15,1.92,1.99,722422
15-Mar-13,1.98,2.00,1.87,1.94,113821
14-Mar-13,2.00,2.05,1.98,1.99,699569
13-Mar-13,2.00,2.04,1.98,2.00,372266
12-Mar-13,2.00,2.19,1.99,2.00,60953
11-Mar-13,2.00,2.05,1.98,2.03,47518
8-Mar-13,2.01,2.07,1.99,1.99,112532
7-Mar-13,2.01,2.03,1.98,2.03,55386
6-Mar-13,2.03,2.04,1.91,2.01,83356
5-Mar-13,1.99,2.13,1.93,1.99,90093
4-Mar-13,1.99,2.11,1.90,1.91,69527
1-Mar-13,2.13,2.19,2.00,2.02,25835
28-Feb-13,2.10,2.19,2.02,2.11,40465
27-Feb-13,1.99,2.18,1.99,2.10,4605
26-Feb-13,2.12,2.17,2.01,2.15,36180
25-Feb-13,2.20,2.27,2.02,2.16,50851
22-Feb-13,2.23,2.29,2.16,2.17,75471
21-Feb-13,2.25,2.32,2.17,2.21,29393
20-Feb-13,2.30,2.34,2.25,2.29,18397
19-Feb-13,2.25,2.43,2.25,2.28,39621
15-Feb-13,2.25,2.34,2.13,2.27,38332
14-Feb-13,2.33,2.33,2.25,2.25,22539
13-Feb-13,2.35,2.35,2.23,2.30,47060
12-Feb-13,2.28,2.35,2.23,2.30,35670
11-Feb-13,2.22,2.34,2.22,2.31,26128
8-Feb-13,2.28,2.33,2.23,2.24,26482
7-Feb-13,2.41,2.41,2.29,2.32,30169
6-Feb-13,2.38,2.42,2.20,2.38,53543
5-Feb-13,2.40,2.42,2.35,2.40,37642
4-Feb-13,2.40,2.44,2.35,2.38,51048
1-Feb-13,2.40,2.42,2.36,2.38,20542
31-Jan-13,2.36,2.44,2.36,2.38,30973
30-Jan-13,2.43,2.43,2.37,2.37,24909
29-Jan-13,2.39,2.44,2.39,2.39,2089
28-Jan-13,2.43,2.45,2.40,2.40,11396
25-Jan-13,2.38,2.45,2.37,2.43,41433
24-Jan-13,2.39,2.42,2.33,2.42,47130
23-Jan-13,2.40,2.43,2.33,2.40,61672
22-Jan-13,2.40,2.45,2.33,2.42,26643
18-Jan-13,2.41,2.44,2.39,2.42,15183
17-Jan-13,2.43,2.47,2.36,2.44,15798
16-Jan-13,2.42,2.48,2.42,2.44,4359
15-Jan-13,2.45,2.47,2.40,2.41,30714
14-Jan-13,2.45,2.49,2.42,2.44,31415
11-Jan-13,2.44,2.44,2.40,2.44,6700
10-Jan-13,2.38,2.45,2.38,2.42,11964
9-Jan-13,2.40,2.44,2.37,2.39,11856
8-Jan-13,2.39,2.45,2.35,2.40,12004
7-Jan-13,2.38,2.47,2.37,2.42,24623
4-Jan-13,2.35,2.45,2.32,2.42,9321
