Date,Open,High,Low,Close,Volume
31-Dec-13,2.29,2.29,2.29,2.29,272
30-Dec-13,2.28,2.31,2.27,2.31,71294
27-Dec-13,2.39,2.39,2.30,2.33,32567
26-Dec-13,2.36,2.40,2.29,2.35,18758
24-Dec-13,2.34,2.40,2.33,2.38,17117
23-Dec-13,2.35,2.37,2.29,2.32,13242
20-Dec-13,2.26,2.38,2.26,2.28,10717
19-Dec-13,2.38,2.38,2.24,2.37,10706
18-Dec-13,2.27,2.34,2.20,2.30,64727
17-Dec-13,2.23,2.37,2.08,2.30,9816
16-Dec-13,2.09,2.15,2.06,2.13,25478
13-Dec-13,2.10,2.10,2.00,2.00,7341
12-Dec-13,2.10,2.10,2.10,2.10,1301
11-Dec-13,2.05,2.11,2.00,2.11,142402
10-Dec-13,2.08,2.18,2.08,2.13,3552
9-Dec-13,2.12,2.13,2.05,2.08,14331
6-Dec-13,2.09,2.45,2.06,2.09,39030
4-Dec-13,2.07,2.13,2.06,2.06,5200
3-Dec-13,2.08,2.08,2.04,2.04,11500
2-Dec-13,2.07,2.07,2.07,2.07,200
29-Nov-13,2.08,2.08,2.08,2.08,100
26-Nov-13,2.04,2.06,2.04,2.04,6000
22-Nov-13,2.02,2.10,2.00,2.04,17672
21-Nov-13,2.05,2.05,2.00,2.01,20741
20-Nov-13,2.08,2.09,2.08,2.08,800
19-Nov-13,2.02,2.07,2.02,2.07,640
18-Nov-13,2.09,2.09,2.07,2.07,3800
15-Nov-13,2.07,2.10,2.07,2.10,5400
14-Nov-13,2.06,2.06,2.06,2.06,100
13-Nov-13,2.09,2.09,2.06,2.06,1400
12-Nov-13,2.05,2.09,2.05,2.05,478
11-Nov-13,2.07,2.07,2.01,2.06,6300
8-Nov-13,2.09,2.09,2.08,2.09,500
7-Nov-13,2.12,2.12,2.12,2.12,1000
6-Nov-13,2.09,2.09,2.09,2.09,1000
5-Nov-13,2.05,2.09,2.05,2.07,2780
1-Nov-13,2.03,2.05,2.01,2.01,3900
31-Oct-13,2.17,2.17,2.10,2.10,1853
30-Oct-13,2.07,2.07,2.07,2.07,800
29-Oct-13,2.05,2.05,2.04,2.05,1700
28-Oct-13,2.05,2.05,2.02,2.02,410
25-Oct-13,2.03,2.05,2.00,2.01,27298
24-Oct-13,2.01,2.08,2.01,2.08,1021
23-Oct-13,2.11,2.11,2.00,2.08,6400
22-Oct-13,2.10,2.10,2.09,2.09,780
21-Oct-13,2.00,2.11,2.00,2.02,1100
18-Oct-13,2.04,2.04,1.98,1.98,47086
17-Oct-13,2.00,2.05,2.00,2.03,14100
16-Oct-13,2.08,2.08,1.98,1.98,13054
15-Oct-13,2.04,2.04,2.03,2.03,1200
14-Oct-13,2.03,2.05,2.01,2.03,19077
11-Oct-13,2.05,2.05,2.04,2.04,1500
10-Oct-13,2.07,2.07,2.07,2.07,500
9-Oct-13,2.06,2.06,2.06,2.06,200
8-Oct-13,2.05,2.05,2.04,2.04,1950
7-Oct-13,2.05,2.05,2.05,2.05,100
4-Oct-13,2.07,2.11,2.04,2.11,5676
3-Oct-13,2.04,2.05,2.03,2.05,3403
2-Oct-13,2.03,2.06,1.99,2.05,10788
1-Oct-13,2.05,2.06,2.00,2.03,25583
30-Sep-13,2.04,2.10,2.04,2.06,2290
27-Sep-13,2.06,2.06,2.04,2.04,2200
26-Sep-13,2.12,2.12,2.03,2.04,3241
25-Sep-13,2.06,2.10,2.05,2.05,4900
24-Sep-13,2.11,2.15,2.10,2.10,8800
23-Sep-13,2.20,2.20,2.13,2.13,5176
20-Sep-13,2.18,2.24,2.15,2.18,39058
19-Sep-13,2.25,2.25,2.16,2.16,2300
18-Sep-13,2.19,2.22,2.18,2.18,3400
17-Sep-13,2.29,2.31,2.18,2.18,33552
16-Sep-13,2.30,2.41,2.26,2.29,6803
13-Sep-13,2.40,2.49,2.18,2.27,61334
12-Sep-13,2.29,2.30,2.27,2.27,1169
11-Sep-13,2.25,2.29,2.25,2.25,20148
10-Sep-13,2.25,2.29,2.24,2.25,4702
9-Sep-13,2.27,2.28,2.23,2.23,4224
