Date,Open,High,Low,Close,Volume
9-Dec-11,-,-,-,7.36,0
8-Dec-11,7.41,7.41,7.03,7.03,71444
7-Dec-11,7.22,7.55,7.03,7.55,98816
6-Dec-11,7.24,7.39,7.04,7.30,48621
5-Dec-11,7.38,7.38,7.14,7.23,85364
2-Dec-11,7.07,7.30,6.98,7.22,44257
1-Dec-11,-,-,-,7.02,0
30-Nov-11,6.95,7.25,6.71,7.24,115102
29-Nov-11,6.63,6.82,6.54,6.61,74432
28-Nov-11,6.79,6.87,6.57,6.61,73492
25-Nov-11,6.63,6.82,6.55,6.55,37256
23-Nov-11,-,-,-,6.66,0
22-Nov-11,6.88,7.09,6.84,6.97,85484
21-Nov-11,6.89,7.06,6.79,6.81,47034
18-Nov-11,6.98,7.17,6.95,7.07,46316
17-Nov-11,6.94,7.14,6.91,6.95,48237
16-Nov-11,6.94,7.11,6.94,6.95,68354
15-Nov-11,6.96,7.18,6.90,7.05,35954
14-Nov-11,7.29,7.33,6.87,7.01,101960
11-Nov-11,-,-,-,7.12,0
10-Nov-11,7.08,7.44,6.85,7.10,78112
9-Nov-11,7.20,7.28,6.87,6.95,125483
8-Nov-11,7.17,7.42,7.00,7.39,77580
7-Nov-11,7.07,7.07,6.86,7.04,60650
4-Nov-11,7.16,7.19,6.92,7.07,54646
3-Nov-11,-,-,-,6.93,0
2-Nov-11,6.88,7.07,6.78,7.06,46937
1-Nov-11,6.82,7.22,6.70,6.76,95651
31-Oct-11,-,-,-,7.34,0
28-Oct-11,7.42,7.42,6.88,7.31,75004
27-Oct-11,7.01,7.55,6.80,7.49,196461
26-Oct-11,6.39,6.83,6.27,6.77,91640
25-Oct-11,-,-,-,6.23,0
24-Oct-11,6.18,6.52,6.15,6.49,60779
21-Oct-11,6.23,6.23,6.00,6.15,85556
20-Oct-11,6.20,6.20,5.94,6.10,49179
19-Oct-11,6.40,6.40,6.12,6.21,71190
18-Oct-11,6.11,6.47,5.98,6.42,115232
17-Oct-11,6.01,6.25,5.85,6.08,135051
14-Oct-11,6.01,6.08,5.91,6.04,89065
13-Oct-11,5.86,5.98,5.77,5.95,71565
